id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
60f2583d7fc999e3e7ce104407b33a10045e0409,-1,-1,-1,-1,-1,-1,-1,0.014
b9397a2324caf4897bf640c20fe49acdc3b1d984,6427,1,1714,132,1,1,712,0.017
db942d32cbb37f2c53ad057f1d9882d0d04c9a50,3509,269,926,426,1,10,126,0.017
65d3f6aea1fb2c30285e67aba08ee32312b05a3d,-1,-1,-1,-1,-1,-1,-1,0.022
a887b1da7c0fb8388346082b60b7f1e6a53e36a7,5089,387,310,352,2,30,3970,0.034
1077f82ba490a1a5c46cacf4a1f5a360efe5cfcc,-1,-1,-1,-1,-1,-1,-1,0.036
5adb5a667de296c035f9740504370d8e7a6a592c,-1,-1,-1,-1,-1,-1,-1,0.050
db258e0c65d3163e311ab15aec439924c43ea05e,1579,202,83,377,2,2,148,0.081
2582ba9fa2d78ff2e89a2cba569c1e7d8de7b548,-1,-1,-1,-1,-1,-1,-1,0.143
ec5750adae186e269cd9e9d276b176a28030b955,-1,-1,-1,-1,-1,-1,-1,0.158
603bec1c479f688851ef0a67088f53400280cb71,1070,1103,120,1431,1,0,33669,0.172
9a324d6b98f3137a70bae5d71b7f5f40150512b3,2986,19,590,97,0,0,225,0.183
555f0f649ae7d2455674102e0295b06e6c71a326,6442,50,788,837,0,0,197,0.211
38090a095c43424b25547f0f490f56a6539f0e17,2181,96,253,193,9,1780,9,0.237
3fa04bf635c141abe3a29d38a5215b9dcdbb9ac1,287,28,247,25,1,0,0,0.252
5c7801858dd80321cc14998a6fd5cfe43db85ce2,-1,-1,-1,-1,-1,-1,-1,0.302
eed2f46532f1d864423dcba31898a61c85c5326a,2527,153,0,149,21,385,5033,0.353
d1b1f911c1d1988b05ace006e4176cbe4449905a,3077,437,66,1750,11,184,574,0.357
0bbd2d4ead1ebd6b3161852a31b166fa7408d2ee,5144,1780,24,2894,3,0,46,0.362
e3b390e354d527385bf11c8619e8e5adf72e2ebf,7662,73,19766,76,10,100002,21,0.393
5347fcdbece1bac4304be8b220846fc88f2e2117,5170,38,1966,325,39,5026,1487,0.413
27b862b3fadb409f30d855b3a0902ea1eee23c25,579,4,2,9,0,0,20,0.414
03f8662aa02591521b2796aeeb977cc026439c43,3792,39,181,36,0,0,1952,0.418
8993c12aff4541bed34702e40bf49b5e82d12d1b,4220,12,0,14,1,0,2,0.422
c2c173cf5a962c8ccd9500235f9ce846b4bce16d,6969,17,376,955,0,0,468,0.440
356b4283e122e9f1ff05cf9bf76da73e3b28148d,3383,6,701,18,0,0,4,0.441
d27f3301931a85dd29edc597be346e794b7182da,1664,19,135,189,3,139,26,0.450
b61730e7839ae0cf46083030abe44a71c52de04d,3254,217,2,714,18,0,34,0.455
ad087c374fbf55233e3b2d5a6ccb927baeb6f3ba,5096,101,1504,96,5,0,61,0.463
72b35fe8348e053c178bae8af49e60c91ed738d8,3516,56,11,511,3,150,175,0.475
13cfb7e6c530798441366454266c801da0b5899e,4591,291,46,852,0,0,2114,0.477
e0d2228a2f2c2d6fe0ec9908a10aafa60843b277,5634,859,558,347,3,30,341,0.479
f3837f43282e69e2aa10d9a54b5c442e920e2dc0,660,71,537,177,0,0,8,0.499
7ba60cfe9430b6ea3096baa07a1699cb41f2ecac,311,55,75,45,6,9,103,0.502
9f48a287aeca4a28d0ec0f69e2df57de43537700,725,10,36,11,0,0,28,0.517
bf59a5ad61cea786a3b8a992be45e64eefd38f1e,-1,-1,-1,-1,-1,-1,-1,0.520
3ee064ea5b4119cc82b16b0ff5fe4eef02452787,209,25,10,23,0,0,20,0.529
168fe5c8c05376e0fc3520f2d10f3502c0f29878,4517,32,282,501,3,5,26,0.549
f35654f558e09a79423ffaffc05970d498d34d92,-1,-1,-1,-1,-1,-1,-1,0.550
33d5578c457f22ebe7159f54cd03fcea225269ba,-1,-1,-1,-1,-1,-1,-1,0.556
f85e75f129c8d7505b531a53ca99bdd8ac326051,-1,-1,-1,-1,-1,-1,-1,0.562
3c80520a4ca388dd4e6dcd93398600c3ee042dd7,133,27,3063,22,0,0,6,0.567
0ea2cc56208298d716934287c77e6dc14389b9f9,803,1,111,3,0,0,3,0.573
8da633ce5e748882912fdbcd1dd695ca0ce5475b,6272,1017,9294,934,0,0,128,0.582
987e909895a8ed0b568b9eb6054d2be43c5d326e,3247,65,441,744,0,0,95,0.585
0be2ee6460db97dc2788210df1fab5ccb9764e91,3153,999,121,1522,1,0,421,0.599
85d63ca4be6b7f2bd8128f515f651b4937b54c78,2571,6,1493,58,4,2,36,0.629
d3456bee507f199c4d50172d411c09569829d2ca,387,0,103,9,0,0,34,0.649
a541bf220ad10da375cea4f7961c656633f69dcc,3,11,0,7,0,0,1,0.649
f2ba21f1481288bad69553968d0b73e4bd2052cf,390,3,6041,4,2,0,2,0.661
b2562b1a8d45e3c84be65cc62a31c09a43e7d776,-1,-1,-1,-1,-1,-1,-1,0.663
4358dfa18f757702eecc5da11a8eb59400c4efad,9992,5,8743,4,1,78,37309,0.664
496bb058d7ce2e1d9f75c874cea9095edabcc02d,9216,242,6,77,0,0,2,0.686
88601c3e5776608b222ae4e70004b7915142634c,8271,484,8683,1152,0,0,64,0.695
b82dd42576054e2075b381c0068ee8df44a64637,6227,108,77,759,0,0,279,0.696
92f5a5b4a46d682c9a2070f42160294280a50a23,420,345,138,226,7,5,13,0.697
0599092f7c740fd740f9412fe5d079ed10ebabef,2243,21,0,21,0,0,13,0.698
34b002acdc759c1598dfc4eda1501b806fee6a2e,3259,23,66,490,1,16,181,0.700
14dee39569de6c797f91d4cf1bd14fe0d08bc267,9611,14,552,88,0,0,275,0.711
b4d2fa61acbf123e1ce1d6a0d104a6139ab91c8c,254,0,114,80,0,0,21,0.717
4b110092c3886c0765f1f97c5f4b23bd218c6d33,1644,20,5,248,0,0,11,0.732
be7bffa06f03c9e894992fe74760b0a2de2fdee7,38,119,742,112,1,0,3,0.736
