id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
1e004d2fc3cf030dfb3cef7ef535cd008012e85d,371,9,74,9,5,139,410,0.004
7367a48f8b150673b4356e0fed9e0ffcdb135241,109,141,32,28,2,48,275,0.009
a98bfb0f68e270fc545f8817deb3ae0785ed0ff4,-1,-1,-1,-1,-1,-1,-1,0.011
0f2e572285b33e8d4b3633ffd0db6312ffe74c16,62,19,65,20,2,6,165,0.015
2b5e3acabdec0c341ed5eac8ee2c581a5ce28fc9,153,16,33,17,0,0,22,0.022
e9bfb9e7deb513af76bde61497555761db40bab6,78,1,34,1,0,0,0,0.026
3b1cabf6345cd6b06531cfec4c87ad31aac056e6,206,28,39,25,0,0,171,0.028
97e0f715a3b939b0bcccc546cd629f5a50e73e5d,-1,-1,-1,-1,-1,-1,-1,0.031
18b89758733e13cf20f65d0c1bb1a408875a5102,-1,-1,-1,-1,-1,-1,-1,0.035
1f0d9ad7502293049845ae94708c939c1cc6abb7,-1,-1,-1,-1,-1,-1,-1,0.037
090f89d3056a6a9dd4e336480d26ed7161659153,-1,-1,-1,-1,-1,-1,-1,0.037
2bad02838673e49d01ef96e943927ee85d270f72,120,36,29,36,0,0,49,0.038
2d77e625c01c7ec42d1dfe459fabbbda083cec29,250,14,44,15,7,18,58,0.041
f2afddb1d6af68d08c0d74e340eeb824204eb11b,252,93,103,81,0,0,13,0.055
2ac6d0a053e0e5d32ede4447d3c003340ab7dc3d,39,4,13,3,0,0,6,0.056
dcfe7f2a1b279638743bba9c4da6e67a51fe266f,-1,-1,-1,-1,-1,-1,-1,0.060
153347792d5ed8908b8323bd1b5c026412ea2bb3,-1,-1,-1,-1,-1,-1,-1,0.090
fd6162ee4b97936d6336bd68822d5feb21c92499,204,12,113,7,2,0,92,0.098
2be5cdd14b144130d09231da64f9508b02aadd06,583,300,243,228,2,2,908,0.101
73c5c39a548a95310f8663c0f064c63beae517ac,-1,-1,-1,-1,-1,-1,-1,0.104
f24ee0a6eb39dfc5d52b9bf9ac5bb6817419af6b,198,1,19,1,0,0,6,0.107
966b8eacc6f2ec335a6b2e8f0e00eb006c463bd5,-1,-1,-1,-1,-1,-1,-1,0.107
9f38df4a9550783c6ae7081a3558cd62bbd1c8d3,238,22,97,25,2,58,328,0.112
6dafe43f50746819432bda75a4ab3726ed161c4a,120,57,369,71,8,112,1685,0.112
1d796d6eb8c088d87b2b2cba7269a41175403695,124,22,35,7,3,11,64,0.114
