id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
1a29001e15623a826165904ae1987bf9f491f043,932,23,465,22,2,22,2194,0.001
f0bda8be9aa0f9255ea1c2f8e3358f046d571c17,311,320,29,136,2,6,445,0.018
1288fc504f640c09eb1951a02a62c7a3f28aab6e,-1,-1,-1,-1,-1,-1,-1,0.019
d44e3600dbf1073ecdbe1899a0bc096c50468d0b,160,1000,224,686,0,0,20,0.022
95f89dbf05d9d8f2532f6c03e33203aa48550693,925,945,266,579,9,156,88,0.029
e472d8f827b52a478cd70322cbcec954a1b6614e,808,576,189,536,0,0,43,0.033
cf329e29dcb5391ec7d295c29a412cd685e74f87,-1,-1,-1,-1,-1,-1,-1,0.037
0eac900624b41086e62c98d1f1cd4ad3ae718eb4,514,59,115,38,2,5,5,0.047
6622ac1d62040902b77153247fb59ca4a332b8f0,4875,42,260,43,132,1912,503,0.050
c46eb33a98a639457b207ebf6af9aef15a84cc39,2754,29,2318,26,6,176,23,0.052
3dfd478531d1ad4f32df28107529d46916be42d0,1099,1000,148,1871,12,678,339,0.063
d31ba1b8db5ccdf3c119f8dccdc0afcbd3551fd5,-1,-1,-1,-1,-1,-1,-1,0.127
a1ae98d56efa1fe4bc40352c6f9f06efa3acb7ae,92,26,63,27,1,26,2,0.178
da2ed4087c7784de40210e7e4a19916c53f831c3,-1,-1,-1,-1,-1,-1,-1,0.188
1730c4962f63e9ee5b87acaddda5ab61db8c22e2,-1,-1,-1,-1,-1,-1,-1,0.190
e6dd9dab8db8092d775bad1ef1b8c767f4681138,419,210,143,228,1,3,220,0.203
b43e9fa05c0dad5dc8e13778a85a53264935260a,3095,27,44,1037,0,0,15,0.227
914f0be114d07de0be91d4ec55fce6fab4043e4c,109,20,55,23,0,0,6,0.247
116918e57fa8cc0f95cc383bcb115bad69bd8e05,-1,-1,-1,-1,-1,-1,-1,0.278
eb0c2314190a409f7a70c6cc8bb308d8e95883db,260,234,17,338,2,24,62,0.281
8733a402a3a80598cdd41105c120d64d963d7c2f,-1,-1,-1,-1,-1,-1,-1,0.313
afb8ebc2c5ce8f542e39e4f5737265804e648d35,-1,-1,-1,-1,-1,-1,-1,0.313
64f3c48e5086a2cdaa0c2f41141d7c7395214c70,-1,-1,-1,-1,-1,-1,-1,0.326
cdf8086b91c72e3496f225500b40de98cb0188f7,772,438,477,389,0,0,1271,0.331
24a8350b17fb312a1f7e254b47ad7bfee90aaefe,5435,746,77,1788,1,0,294,0.331
9ecd0aca88dbefdb982f1306e8b32a471b5cce56,94,0,1828,107,0,0,10,0.335
f5979721d3640e19cdd493c4ae6bad1f35fc4037,3406,748,102,1270,1,4,1794,0.337
756e3c85edace481bdf58ce8d072f8a1f81d85c3,-1,-1,-1,-1,-1,-1,-1,0.355
9472d606e5936478898e4292592fc37aa3147401,612,0,35,250,0,0,735,0.362
4eb4e0e7441b040afdfbceb803d44975c32e43ce,-1,-1,-1,-1,-1,-1,-1,0.365
8612031cd64d71a3ef15687fe573c5c034292caa,114,27,534,26,5,37,17,0.376
22a7542a0a04914300d8353ec8549a511eebaaab,-1,-1,-1,-1,-1,-1,-1,0.390
8ddf589f1e85df206f5fb73701ef5a0e524c5369,3009,7,305,7,7,221,2685,0.396
7aa9ed76ee898ff1f906d2b0461ca951e1ec6400,-1,-1,-1,-1,-1,-1,-1,0.397
eae06c905d80bf532fea3d5dfe7a56bc5018f068,3188,63,227,203,3,47,5045,0.408
6447576f3179ace2c923f4d0ffc668be9ff424dd,-1,-1,-1,-1,-1,-1,-1,0.413
d25c4e1f92df0cd55310753a2f5b405c2b628f77,504,43,596,46,0,0,165,0.415
6a9cfb81e5299a8d6eeacce21da3e3d8f6b72535,-1,-1,-1,-1,-1,-1,-1,0.421
1e2af1d5e175be1ae46c0483ca202cc092de2656,129,7,24,5,0,0,2,0.421
7a33e0c094511df266d67353973b69b3e802e15a,96,25,34,26,3,17,6,0.456
de5f61c652ca004c172aa9cda55e0780b0a3099d,95,47,37,30,0,0,43,0.471
6769b77c55c5d0482969734d4e133ab4d5305c8d,84,68,75,62,0,0,32,0.475
17b9cd7120e07b304ebd2b62d705457054ede352,101,17,41,17,1,8,15,0.489
a6cce2e13b1933baf0bc4efaf01ca507b21a8e95,-1,-1,-1,-1,-1,-1,-1,0.496
45f48000344672f1a483b7f46810fc9e73386689,292,74,0,76,1,20,11,0.502
620d5340607267b5a198ce045e44e8bb3dc24652,5785,672,2849,2679,10,1,506,0.518
d579b6e8ba533fc143905bc939052143d8475344,-1,-1,-1,-1,-1,-1,-1,0.532
32ed3e3a2c0ea813cd565264f23d6ca5fa198e3a,671,0,102,232,0,0,50,0.553
35ab19fe01071963f352fd511de062947801ad45,-1,-1,-1,-1,-1,-1,-1,0.563
87d63c955cb2b34d07731fc125bfb2d8c65dfc0e,-1,-1,-1,-1,-1,-1,-1,0.569
60f4733e72eab6928fe0ba67bddc3ccacf5dbcca,155,1,7,1,0,0,1,0.572
bf892f6494d3550ba9de0248181a24b2fe1df3fc,5766,552,66,2390,1,4,3430,0.610
769618f31283b6984be68cbdd7bc62f9bfcfaf5e,503,0,123,113,1,3,206,0.625
2d2808c3359d561efb28cbb7bc6d4f84732b2d55,231,75,1,67,1,17,9,0.638
d458c16aac0dcbd12f837683fb09c15333244b78,247,81,1,66,3,50,13,0.643
225d8b463ebf77e98abc654234be903f34239667,-1,-1,-1,-1,-1,-1,-1,0.650
1bdc155d046502574d77750291b5c5d8db8805ed,-1,-1,-1,-1,-1,-1,-1,0.670
d5510d6e2b9aa74d6ceb60084d440e7c6cb68671,81,25,103,24,0,0,26,0.691
28cf362a015d519b14629c81f1881b64c1e00926,-1,-1,-1,-1,-1,-1,-1,0.693
1eeafc648b1c3d786535f171b36240d0c7374ea7,-1,-1,-1,-1,-1,-1,-1,0.697
f63f363dbefe925e3f5e625f0149b5628a03119a,2594,265,12,830,0,0,21,0.697
315e407d3c523593d18ecbaabe952a67a9ac173d,613,82,33,98,0,0,11,0.703
b977f45507ac2298858ec804804f3220a24e7b32,93,0,1,59,2,37,22,0.712
a81382cd6695448b4c96f031426fb33bec0c715c,813,467,273,250,0,0,54,0.715
9721eb8990567b2d4a426d576f0d78912501ea01,-1,-1,-1,-1,-1,-1,-1,0.716
f64468f1b8b968c41999905c7977cb2a4193950d,-1,-1,-1,-1,-1,-1,-1,0.717
2e96204c0e28b22c01825191aab2edd767d73b59,15,0,2,23,0,0,0,0.724
bb2e1acc80e63a6053124a19ecacbfc085f18dca,-1,-1,-1,-1,-1,-1,-1,0.730
6b8a4a2da302c8f2d0f49f5602eddaf8ba66f560,-1,-1,-1,-1,-1,-1,-1,0.742
d411acbdf2dc9c743061fc75b6a0f4ee4be46209,-1,-1,-1,-1,-1,-1,-1,0.744
2dbb942cbaa23aa7a5171dc6985ef238136289ae,6898,109,728,1114,0,0,142,0.748
6c8c239f4ca762fa6487d3c4634760ec201f990e,-1,-1,-1,-1,-1,-1,-1,0.748
9fccd7c7051c2f9b1220e6e7f51a9ef5c1eab4a4,-1,-1,-1,-1,-1,-1,-1,0.748
9a30e97367d82cb386d881a5178f6146a673a1e2,-1,-1,-1,-1,-1,-1,-1,0.749
0b12d6f37be8b5d005a60e5d8f78a0261040cb9e,-1,-1,-1,-1,-1,-1,-1,0.749
fb5e4a6bd29a61e22ef431d3a15ae63fd4012310,-1,-1,-1,-1,-1,-1,-1,0.749
5bd079f8a35f5cd3f6c0a12d6025ad886838fe4d,-1,-1,-1,-1,-1,-1,-1,0.749
c42049b85e0e7b4ea937afcbad93066dc1ea580e,-1,-1,-1,-1,-1,-1,-1,0.749
