id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f0e8519b051b9302133bad0e587780eab8244fe6,1338,140,606,199,3,253,758,0.055
297ec6297baf057b33b9a2efca40e84deb3c40b0,104,25,142,28,1,0,1,0.080
16a9491ad1bcb07eca36e050429365bfcef8997d,-1,-1,-1,-1,-1,-1,-1,0.096
75480be9c523ece58b340424dee8ecb98d4d731d,-1,-1,-1,-1,-1,-1,-1,0.106
24e8118926198ade58746ba8175df8f3bca4ee92,134,42,29,67,1,9,425,0.180
97323dba636f90a5468bd65a8e58ec9e04476821,107,59,147,57,1,10,137,0.186
d8b0a90c4121891ba7b2056ba6cc756793a7874f,122,501,305,426,10,222,2403,0.205
bc0d503d0d94459572cdbfce0592f2a418d794be,-1,-1,-1,-1,-1,-1,-1,0.216
fd6da88a5cc147366362308cbfdaa7f9a36215ff,183,33,83,17,4,13,291,0.241
4485ed94644d9d8aa18ea0648db2749e1e5bd0e1,-1,-1,-1,-1,-1,-1,-1,0.250
1234480a12ee2a277182383008795574b7b14fb6,297,60,118,45,1,0,9,0.267
2d39e29ecbdf66b846efcc6db0d5aad5ee7fc65b,3263,431,84,623,1,12,374,0.270
655cebb7e0242663fb71bb1c7c18b484bd9d8711,-1,-1,-1,-1,-1,-1,-1,0.294
5a79724a282bd5de5e1b49980a6aa1addfc0721c,95,42,113,41,4,0,1975,0.297
0032ecd3f42060bfa930f96aac3511c0314fc608,-1,-1,-1,-1,-1,-1,-1,0.320
e49417e6187fb2bf3539a75591d3b1bfbef38c80,7703,1000,359,893,0,0,2392,0.321
6201dbf369beb9234dea6bc2a1af2478a3984d3b,-1,-1,-1,-1,-1,-1,-1,0.322
e31e109631b36bb46beae4d2bc0a9d8e6063972c,180,111,249,108,1,2,458,0.343
aa46b3a8c51514dafa1787191a3daac5a1e57eba,-1,-1,-1,-1,-1,-1,-1,0.346
