id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
355cf82b8452c3c1f6beb736268489a93145b4b4,-1,-1,-1,-1,-1,-1,-1,0.039
b6ff8e41e23ff353008e2c5d122991b5dac989ce,444,24,219,22,1,1,1,0.048
974b09eb7490115039deb670c112a64bf632bdc4,2542,65,7595,61,1,95,61,0.056
f7a03e303f23a5180afe8c0721fead3a3d1bacb8,308,146,536,140,1,17,15,0.064
0b59e52766b29544509ac37125bfc479e4e1198e,-1,-1,-1,-1,-1,-1,-1,0.076
91d666185b8e83d1e5a1f08caaf4e0f8f3b2ff94,-1,-1,-1,-1,-1,-1,-1,0.080
0e6bc6a36378c464e5088709dfb1ab8d0aa27d3f,180,100,30,107,1,5,20,0.093
b9bcdf0686761ed51e7db67f69476a878948a021,-1,-1,-1,-1,-1,-1,-1,0.114
6fff74723e5e2b25b4b14619513d72083b31bafa,185,16,53,15,1,0,43,0.121
acc14a46073a2a4a40e17e627390b5f566416695,-1,-1,-1,-1,-1,-1,-1,0.126
965fcd16c5ecced59a57ea181ac7c6c7ac51008a,-1,-1,-1,-1,-1,-1,-1,0.126
98e6eadb07ec2edb4b29abd1eeff2ff98afac4a6,-1,-1,-1,-1,-1,-1,-1,0.133
7ac0b4980586ee131b95f6bee39c017e8e4229c0,350,238,245,197,9,0,408,0.162
b65c443f05ec3f7f25b615e357b9e51c0c26c08c,-1,-1,-1,-1,-1,-1,-1,0.167
a89425f6a1f3f621a6ca37988950268889f5b043,-1,-1,-1,-1,-1,-1,-1,0.193
77604279114ccd98449a263d21582cf4fbe5ea8d,321,109,1002,106,0,0,11,0.197
8cd8ca68bc5612d6af3fbbcb9df2c78ab05ac942,374,17,181,16,9,209,249,0.202
a51b44208d2dae38438be7c734561b5571bb29fb,116,41,152,39,0,0,1,0.207
377f7190a5894f0a5f3c23ade5ca14dcc41e8855,94,35,424,34,1,0,3,0.208
77c5c57ef76594636c5e03fb78b322323ece6870,150,223,470,196,0,0,8,0.217
8e388e4a3a82b2630a6ea577b97a23a61da0f93f,392,255,550,239,0,0,11,0.218
7f945ad501df9a20bc4f45ad1d541821c8dcc656,88,19,115,15,0,0,12,0.219
0e54f1b2ce13041db3afff695b3a8ac6d20fbc47,551,263,330,242,1,2,11,0.231
73cadc4a7e2f338d82ba7b3afce8cde66ccd1e6d,-1,50,182,49,1,1,1,0.245
6ac20840853e110dd8dd0f852e45ab9c97df6df4,397,183,328,116,2,0,394,0.248
6638e3740b5eb15de452fce258d318411a00c1f7,-1,-1,-1,-1,-1,-1,-1,0.268
096c6e7c9aa807ef5fa7394e944b6eff88cd2ab6,-1,-1,-1,-1,-1,-1,-1,0.269
6d26f532c27ea5ae3a4662e926969631eaa70ff6,186,139,1095,101,1,0,13,0.280
cf696d6766055bfada34252a410ff74acb11058e,749,10,104,123,1,11,29,0.280
efa373717820e314bb49171bb9daedd7b607957e,158,27,217,28,0,0,1,0.285
2e90949ae99dae7f5c3fdad72922a284e2aa95f0,684,212,289,212,0,0,989,0.297
fd2b2f0e4c4fb315ee29d3862b7368aa960c4de9,-1,-1,-1,-1,-1,-1,-1,0.303
c78d4a36328be00189ee4a693d1442050f135a69,300,41,228,38,2,0,8681,0.327
0389d8d6a45b27cf373075c282a8ddd71fa5e125,-1,-1,-1,-1,-1,-1,-1,0.361
fce2021610c4a37cb9d6b81be7bb381e9aa4e249,-1,116,1,111,0,0,7,0.371
4f32a02d1361237377411f0c210c0b4884d69f72,163,70,69,35,0,0,2,0.374
247002950ba3baf0619e7e09bcc812ee9a8126af,-1,-1,-1,-1,-1,-1,-1,0.396
6213876dee38d8084654740824632172cf33f442,298,203,62,197,1,3,7,0.406
b7e471a7fca2b02c2fa121e156b10e97ac15c211,794,324,522,295,1,0,5,0.414
2174a684773d4e98051f09ad23d8356f1008a34b,487,56,49,61,0,0,8,0.425
e5f47c92f3161ecfee9d8c40ab4c5978c3ac5dc3,156,27,266,23,2,0,4,0.476
77888b895bc24cad5504d8f435c8ace292ae3046,200,182,265,178,0,0,29,0.489
06db664b0e4e1c3c9c8f9b6197831460e297a404,-1,-1,-1,-1,-1,-1,-1,0.537
a597444559e8cbbe4532abfc79ca4203257a91a2,166,57,15,58,0,0,666,0.608
70e13070d351aec25cd46ec37ed10ba9574569cc,267,349,206,242,0,0,5,0.830
6e3cb2d181dee2c150e47b317fd62401da39913b,-1,-1,-1,-1,-1,-1,-1,0.951
