id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
23fc75d7bb02779f04497c9a9331c137f52c5d99,1303,116,34,254,6,32,78,0.007
33f8f8e8bc65dbf92d0ad1255cb69e634ef45e79,-1,-1,-1,-1,-1,-1,-1,0.009
187df8c4f6fc1c94e1ad78cf5719bf7d78926a54,146,49,115,45,0,0,99,0.012
7d786dfce60562b17011fbdb06b410cdff88ff4b,240,203,237,65,0,0,287,0.014
ed8015a0aade84b28616c8d1508f9b7393a35bed,1757,165,32,184,0,0,259,0.016
64a401b028f172e6dcd957482f26e1e249754aee,183,17,87,18,6,18,507,0.024
652fb184edaff14417d7a3a0019ecd8bb0eed824,1166,42,105,46,0,0,30,0.028
74cf29353e396ba94e706ee9fd5ffa37b503788e,5711,22,708,445,2,1,238,0.033
f405ca111233096ce85447516fced79f7c46cea3,2071,130,142,142,5,149,930,0.033
66fb096c410f69f02e5a7bd0db6428f14ee6ee06,1932,0,962,0,0,0,242,0.037
d786110ebdc79c04757422a3179aa2eeb040e919,163,48,73,9,0,0,27,0.043
8a956dfffd189969f16028284f1e3441af671027,140,15,51,14,2,86,122,0.050
4916ccb2ecb8ba7fa6e16e2034664478b4c21052,-1,-1,-1,-1,-1,-1,-1,0.052
2029d54378d31428904b671c97d6003899a15dd9,49,1,11,2,0,0,5,0.053
fecd877f9b0bef976b621f4f509a815a99bb83f6,4647,85,679,258,2,96,364,0.057
fe26bc942ba6a7c104ce1eee29b794582e1a602e,436,75,619,84,1,27,1087,0.066
f119bb02801f51abbeb6a4990ef72652458eb78f,110,115,201,64,2,17,259,0.068
12f7015e5e11544b092574640ab8c5d77e361079,1898,96,5424,95,0,0,111,0.068
bcb4db623829eaab617568ec86fc0a1bff5b5b36,432,30,74,29,1,1,77,0.072
0309917f20f8112867c4f577180be9cbb84e5d2f,97,9,24,10,1,4,31,0.092
0af8ee73cc2e7dccda202071bb06915de68b933b,-1,-1,-1,-1,-1,-1,-1,0.098
a7f737981a5fd60bc428078b36fe0bb6052540cc,209,40,109,39,1,11,13,0.101
46c0d362071be57c800fb0e500420c51344b10ae,21,0,14,0,3,31,32,0.107
b4a537f871bb30510993b626e3473ebfba011168,74,0,14,1,0,0,1,0.110
75f4f49cfe5255ab61aaf80f0e87687b16d3f743,229,42,68,40,1,3,36,0.112
dfd3bffc440e1fd91a511ef0e6305e3f5cdec7df,139,28,73,27,1,40,51,0.114
7e46169e634c27b09e3eb11e3529335355497e3f,257,68,151,61,0,0,425,0.115
6ca522a9fbd31469cd5ed094c55f589ba9ab5655,200,53,23,58,4,1,42,0.117
2c3f6fc7eaa720f1df851365462ed6abacd0422b,149,5,57,8,2,55,6,0.118
631f2f7e3eff6f7ffd734b9e3b3654bcaf0c410a,101,7,36,7,0,0,185,0.130
edb529ef29df87b02f7b5756ce7035696c7517fa,227,12,189,15,1,10,154,0.136
1acd3781d579716cdd83e0df4178c7f08f46b7f5,106,21,26,20,0,0,21,0.142
b30b960a8402ac87bfe5a3abae4990157cc2c9a0,1543,1130,7,1520,3,77,151,0.143
1d5330dd3a1cbe2b0d9cd390a210371b7ea95783,-1,-1,-1,-1,-1,-1,-1,0.153
900d18cfe5e1763b2d27b6d3a3d73432531c62cd,119,2,16,7,2,11,130,0.154
48076f6983050a07a4759f29e268f69972863a63,2209,177,347,893,4,31,616,0.156
7c50ed0770a37f4fa0998b78683386dce5b307e3,-1,-1,-1,-1,-1,-1,-1,0.158
99f2d7f15eb7b1717d819241ea8b465ba8467ff0,-1,-1,-1,-1,-1,-1,-1,0.159
017e9b69f89339051d3baf66e8ed913f3ec8424b,198,16,82,2,1,1,1,0.167
9e4245e5f1770d066e704f4140a841078a051113,-1,-1,-1,-1,-1,-1,-1,0.168
a35c937a5222d47c52e1efdadf53ffe9414dcf30,71,0,23,2,5,42,33,0.185
a2a56e9c3c5ec3c198e165cc4ad89c7b0b9cb8fc,93,3,10,3,0,0,12,0.196
393fae0b461270b4c20efcfa5ccf78a731f018f6,341,105,213,104,6,67,377,0.219
30c0a0ee1d0a1f99c36b93b768dcf7ea8c8d5307,8744,1000,931,670,35,2953,297,0.220
99fb1f9559baca89a170576ec060fd12fed33fad,162,15,14,15,3,23,28,0.220
f796bb3bc775c4d4869a5cb37754c9997af95e77,242,156,195,56,0,0,145,0.224
c997025cde4e85e434c7be52c762c17be34dfc6a,194,96,2,56,8,162,118,0.225
e04829d26dc674197d3600f0256b102528f004f1,126,8,143,33,1,0,163,0.229
2b869a485c62aff295af2c82a605bc8839c87e5b,98,41,20,30,3,198,43,0.235
1b09e962b7564e365dc6b16efdd3dbb466171187,81,21,57,15,3,118,512,0.235
7251d9bc15cb8867cd2a014e86c6528688acbdd0,77,42,91,26,1,82,544,0.242
13a835e655063a200f77da60d0dee6656130d72e,339,155,80,143,5,2,367,0.254
0d1d941b7f897d64117d0f1c3d123ba830c1a3ec,113,3,131,4,0,0,4,0.256
366cd8e40f1c386e5bbc10bab665751a23630c01,266,30,159,28,0,0,170,0.256
b1a396a2a169815e395dd1efa331ef4e72342297,-1,-1,-1,-1,-1,-1,-1,0.260
99897e91f9acdd15d9e59532f7d56405dceba623,171,6,33,1,0,0,108,0.282
a98bead9da637fa33957b13c954ce2f4af088939,59,16,16,246,0,0,30,0.290
e8040eb43bc99380291774b944d06a2810e21654,672,208,21,58,1,0,204,0.297
99f0bfb09d45026dc92bd482414dbacb9e0a942e,9366,178,180,107,15,9,49,0.299
50aa4c144536b8591c72bc0ea2093eea86b7aaef,1393,25,244,50,0,0,130,0.303
a0e85635da527bb762dfea18e813871e2e1e2054,171,212,24,65,5,51,1760,0.311
36fdd51bc21612d14c2c8241050129f897bf1a20,17,1,1,1,1,10,8,0.312
5daade0faafb860adbf1d6750c83b63c893c10b9,52,89,467,156,1,73,100,0.317
d140c9393373777f4909642dc39393229ccdc7e2,6920,7,0,134,2,81,716,0.318
104f56513807f9a05db999293dc0bb5489d6fb4c,-1,-1,-1,-1,-1,-1,-1,0.322
7fdb2a4723511511d143dc7ec52ce7643a21b304,14,0,4,0,1,0,28,0.334
c10b0453c3277e41a23a7202e9eb256111cf1ba1,-1,-1,-1,-1,-1,-1,-1,0.342
7683cdfd7adaf69077df736cca2bd019ee9b9fb2,4,5,4,3,0,0,10,0.344
2054788269bcc0bba6b9356368a5a399da67d6cc,16,75,1,26,0,0,13,0.345
6b1853f04cd3a71dd33461d4a9e711dd5a8895a3,205,105,82,79,0,0,144,0.355
a06b4abcd45b909b165b10beb26989cde0f1b922,134,12,1,5,1,0,16,0.356
492182d7ee6924557b0099e5ea235fa1635d7599,37,10,7,1,0,0,40,0.361
653f3a324341dae89b1a831744c9c10edbf04dbd,-1,-1,-1,-1,-1,-1,-1,0.362
3809e8b51c50a8e89f07038d72d05e38af54e1bc,6768,922,35,903,5,26,1082,0.370
dc74ca2544a2f1a029f2b90bdad0c7cdd4505d51,2768,74,112,89,1,38,134,0.381
a2e880d525821676dafc361c8e17dbd4eddc7f37,2028,1000,25,784,0,0,1240,0.382
591ffd55517c2fb81fe5fd3d3254da058af1e19e,1567,83,17,151,6,870,725,0.391
d8d2a2986b631d2ef372a146241b24485f476720,1495,14,325,191,0,0,43,0.399
0b2a6ed32569369e8a26ce17cf3cf1fdadfe0b38,-1,-1,-1,-1,-1,-1,-1,0.405
a85d1aa91e2202425d2708202508ee5a9673a7c0,1525,133,9,54,4,170,1565,0.441
3622acf2416a5e308bbb42363c4256d6319a8ed1,308,1,18,62,0,0,75,0.441
d0166d72300d5d29bc137b6249a8c587db396a05,1430,7,120,65,0,0,37,0.447
c128dc05bd38cb474c73d882603ecb7c729bef00,295,5,21,86,0,0,29,0.452
399058ee98d940b54d8ac2d35113338683102a7d,-1,-1,-1,-1,-1,-1,-1,0.457
633ee586ec5f8fc370c6c194d27f9884f06d53ad,8132,13,579,3,6,94,789,0.462
ddc6b7cfe7b62071ff53bb21459af523ae66d6b5,8,2,2,1,0,0,5,0.462
1bc6ac7ddb1ce41eece55c42101bcd65b88aae25,235,51,2,30,0,0,508,0.466
2a432614462d08726a1ca5bcec7b363f3c14678c,-1,-1,-1,-1,-1,-1,-1,0.481
3f4da9f9b281f5d034bda18e0045c15197c12eef,17,80,13,52,0,0,197,0.486
9f34b872d25c0c49216a3257bea3970c60f65f6e,22,34,2,21,0,0,3,0.487
fb52fef9494bf88c980c9955c9a5db03372fbab6,85,65,6,20,2,143,62,0.487
1446054746089ec044bd467d9a29227145eeba07,8245,73,0,217,12,473,496,0.497
40ee92565eb09ec9b18dd47ed2ddb509c6cc6381,873,208,0,394,1,29,64,0.518
bc11adbebe24b69f1df7fec33b03e9f9d11b62fe,-1,-1,-1,-1,-1,-1,-1,0.520
16d5270dda1741cfad7be60a3b1d24d8d5345aee,-1,-1,-1,-1,-1,-1,-1,0.522
f75577114a29e881ec56df8defda6c911ed5aa09,4272,67,9,351,0,0,178,0.525
caf610bb5bd60632fe41ca3b886369ad0f11051e,1299,380,184,415,4,447,3378,0.534
70d45b366aab337a0ddc98420c05ec18e5fee85f,552,151,59,141,0,0,103,0.543
edd5ecf576783db715d5a13f63d7722ce1ed045d,223,7,28,59,2,11,8,0.544
abb34c49b861c49f6e4e8ff79fdc92e4ab832334,749,1,22,4,0,0,204,0.545
30b8bb1c899d4b811f20b9ccff6a149eaec84bee,-1,-1,-1,-1,-1,-1,-1,0.549
6df615fa12a90ded5dcb186bf4cea1d62eb58175,-1,-1,-1,-1,-1,-1,-1,0.553
769b3643b9d5417eba90515dad6b623a9164e17c,-1,-1,-1,-1,-1,-1,-1,0.563
30d06336642a79831bb424984afbde5e12500edf,2184,154,1148,376,1,0,18,0.564
bc479273f4adc0d6ffa07ef50c097f3a1dbcb8d8,196,43,88,112,0,0,56,0.587
35e3c66406fb8cfdfd0091c36828e411b501f6ca,242,21,4,134,0,0,4,0.588
b0586b9f5315ce2b5b0f7a6fb14e01faccb9d431,-1,-1,-1,-1,-1,-1,-1,0.589
3ef9d6c0e08dda6c7c2f06088d299dbe573c1707,175,142,412,141,0,0,110,0.601
956d1bc2e0de0e276434118e74e02053734b0942,58,12,7,4,0,0,63,0.601
71022ed3a00613a3b26ae6da98da50e429d01ab9,-1,-1,-1,-1,-1,-1,-1,0.605
58ae5dec637cbed4267880934b3d1a340c771018,-1,-1,-1,-1,-1,-1,-1,0.605
48a1b1fb8d9b0be6b05f0627960ce04cd0375625,-1,-1,-1,-1,-1,-1,-1,0.606
85acdf1397e3d2029f7be5cf9b9e36e953fa5c0f,8529,5,3322,5,7,1429,1417,0.607
3570fefc9bc7e18bec06f6a98caf0e71311710f6,201,45,232,45,3,0,263,0.611
e19f289c98b279c9d5e49ad2e37c8b5497f2d0b2,3332,435,0,522,0,0,3573,0.613
1be5e7b256d306f339f55c013551635e54959815,143,17,16,15,0,0,1,0.616
43a9aef4e5116d672c52ee943f5115fdeb956806,-1,-1,-1,-1,-1,-1,-1,0.619
3eea26e8944c49d6f87b583ac8fbab1756dc9f19,-1,-1,-1,-1,-1,-1,-1,0.621
231402e8231506b2c8867aed6756d0b32a19e1ab,1005,82,7,390,0,0,168,0.621
9f019f7b10600ebaf627fe6cd0fa0a9b68431215,2065,12,149,2161,0,0,55,0.626
8685792d533c43ecb872c9139ba552400be3cc63,519,233,19,421,2,135,2130,0.630
c0a276ed60695e0cb8729f9a7c5873a8b48c526d,196,238,18,240,1,2,57,0.634
fa33dccce4de1349fea55aed39c48827de436b06,58,12,6,31,0,0,12,0.636
30ee971560e103ed43a1293b4a5db7b99a251897,1872,30,198,27,2,70,76,0.638
