id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
344357265756b86efdea823e5761632d88acebe9,985,28,312,476,1,1,39,0.004
b56b3b70e730d47f9a2ac646aacd6090584db008,-1,-1,-1,-1,-1,-1,-1,0.011
968d5a4b363a9b9504acff5cb8bf76846f17cb28,4600,1000,518,1534,5,60,5517,0.015
fc07c7f82049b29a011ff666d3dc4fd86b70770a,219,149,515,150,3,34,2081,0.029
17520e4c46495614878259a1d2290788525585c8,-1,-1,-1,-1,-1,-1,-1,0.029
323cc413fcc37443e96b62f059366dc979f6fc3a,267,76,70,84,3,57,16,0.031
74cf29353e396ba94e706ee9fd5ffa37b503788e,5712,22,708,445,2,1,238,0.033
a4c0c218eda7d654b69e66d758c41e83da332aca,325,76,780,92,0,0,55,0.049
fecd877f9b0bef976b621f4f509a815a99bb83f6,4632,85,679,258,2,96,364,0.057
1fa02990fcda0c521519692b9c1cb6bcc7577836,230,3,17,8,0,0,40,0.061
b51a92f9d0bae98b5cd37beb12828efc49bb4961,3018,22,1260,163,1,0,51,0.074
b3f29fe515ac4ea79a3f177e36c51017f817a60b,135,30,21,9,5,220,1,0.081
4a33284bd1036e3e0b250a94914c3bfa5732a147,-1,-1,-1,-1,-1,-1,-1,0.090
3431b9a1b074bc91068e8b3afd57cac21217c4eb,636,113,110,119,3,9,872,0.098
15a3090f06a4e269ebe0fa32862fd3b7aba5bcda,-1,-1,-1,-1,-1,-1,-1,0.102
bf4ecdbc01f824b8b0a2e1f91a4dcb61b24952e2,-1,-1,-1,-1,-1,-1,-1,0.104
a205f5645d79b87319dea9470de6efdfb54b4be3,-1,-1,-1,-1,-1,-1,-1,0.106
ec2a82ac7c2a3ab60c67f8ea59b76ff3da70c4c7,-1,-1,-1,-1,-1,-1,-1,0.109
0439210e6c179b9420aae04d852905b5e56bb593,303,57,79,23,0,0,738,0.117
4f67216b02054ff75d453e376698a298618dca58,258,155,154,147,5,514,408,0.126
2d500d19cfc419f9b8c41566ef21cf5495292a4a,366,353,1102,336,14,351,1527,0.134
bd502d1672e40e1a500f6ca382fbd34b7ac24034,-1,-1,-1,-1,-1,-1,-1,0.137
f382cadba847c89c368245f6dcc99bfa826c3e7b,242,38,283,38,1,65,312,0.140
f3e3a19e071e29a7555148827499048601bb1ea3,-1,-1,-1,-1,-1,-1,-1,0.143
30ddea3a5725bb8bb734aaf77ff944eebd886522,498,194,52,200,7,68,442,0.148
928fb95b9cbdecde936772725c6f74c83e0a0ec2,1808,871,204,835,2,28,4742,0.149
d882cb1e72c22e39dffc3231b7470a77a3e265df,11,0,18,1,3,11,16,0.150
aa84ed2c0c77717c8097d605f54140d78a770fa0,251,28,13,8,2,76,389,0.213
1a9400fe26d22ac5acc1394a3dcbef12c6fb8e44,228,31,23,28,25,51,18,0.216
a11aa774d680b705c15710e7d02c71533305243f,136,8,9,2,0,0,20,0.220
58c5786a3227269b9fd53efc0acad1ff451bb068,55,36,35,67,0,0,966,0.225
a7e41e24e878fa7cd3435849aa8a07797485d15f,229,21,85,21,0,0,97,0.231
1c34cb293e2be61453e797b1a213b7602995d6b3,80,89,255,54,0,0,57,0.232
1df1137e0459a7577132ea42d453632463d46443,1272,15,340,48,1,24,27,0.246
cd79a463dad5ca2e9a586773be1ff450f8e11b14,61,14,12,11,0,0,113,0.270
d04680228bcbbb749fcfa0b548ec1b4ba2663c5b,172,233,86,166,3,134,1635,0.277
b417c8e18878aeb337e3ff7f16caef9ff63f16ca,131,1000,88,1064,1,4,275,0.286
fdad598bc97307dc4a8e379a51b072a0b17919d9,22,3,13,5,1,49,81,0.301
536838ac688f268875876d7a792b2e35c2c7019d,96,194,58,120,1,36,262,0.310
33ec50d94ef28c9db266765081d0ca90411b6cd3,10,0,9,1,1,8,66,0.316
715304ab6720797d89ac5a234b9d881e32eb5118,1523,55,528,50,5,331,299,0.349
4a7d9943eb2cf7d0f68e4019c717ab74fd119a3e,8857,3,148,234,1,8,348,0.378
6ce0587483db0f694327da5793f7335f8a970c4d,1443,33,179,427,1,5,1,0.391
299d9514f4c8a2e6246138b8e7fa6bbec79da003,182,31,14,201,1,9,37,0.393
6303ecd21a6d61afeed6ddb35eec128db347e773,-1,-1,-1,-1,-1,-1,-1,0.397
8cfb21578f2221d82cb73095b8fa43e3df460067,41,1000,66,1070,0,0,438,0.399
eae06c905d80bf532fea3d5dfe7a56bc5018f068,3188,63,227,203,3,47,5045,0.408
91ea6a22589bef1117d91ea0a37f2dba22016c52,-1,-1,-1,-1,-1,-1,-1,0.496
882a71617185cd2687d169856f08f7c1ff18f6be,25,27,10,13,1,0,7,0.500
bd6cdc27bc7075f4269ffa7dff9d5094c890f632,590,97,28,33,0,0,1067,0.504
608f192a4a203d3217ccc5cbdf27cc00efb762f2,7021,16,10642,10,0,0,310,0.531
13f63b04b4d156f0a50e4204a176d07b049f0344,-1,-1,-1,-1,-1,-1,-1,0.542
44552a082eb00bf2060bef27a9cb5a2039410cc5,-1,-1,-1,-1,-1,-1,-1,0.571
a5903beb1e683aba4251ac46d01bdbe8c17f42c2,-1,-1,-1,-1,-1,-1,-1,0.576
7ce4a5608415c8502c2eb5318d33a2f19312f310,-1,-1,-1,-1,-1,-1,-1,0.582
434ed1b209b4c8bc8a8f02f05d31185e5ffedd4e,3436,42,1,299,18,296,555,0.610
35f483d130fcc2d875dc96e9b6a7fe477acb5c60,3225,161,32,1785,0,0,3835,0.624
8d35a70a570a1feee3761da12fa3deaed80fbac8,4199,83,822,466,0,0,24,0.643
d1fdaac4de0dddebc369c833e29de75c813e29bc,9734,104,1522,100,16,968,468,0.650
c228f832a25b5f6ba45404070b0ec32bac63b349,4127,209,11,492,0,0,3279,0.662
e711da206dd54237fe195de36dab8aa291ff814a,66,63,14,36,0,0,98,0.672
bc9518e4099a385862e0e27c2c6c0b589981111a,-1,-1,-1,-1,-1,-1,-1,0.705
bf7f3e5035e15546b8597dbf3ebfd12d74511b55,-1,-1,-1,-1,-1,-1,-1,0.718
db79579e6d4dccd6ef3cb6a97227ada0aa297989,44,41,0,69,0,0,339,0.736
99d56f668957461c89a8fe4a5025c680fe691b55,290,6,6,11,1,0,2,0.736
1b7c6586de67add2ddeddbb2906b6a3a613f10f8,498,129,2,191,0,0,666,0.742
7294f325142bad209bea4636c6017b307adb0871,122,15,48,25,0,0,13,0.748
60134efcbf3f38000d35969061deb30136b9c97e,9931,4,6899,12,0,0,47396,0.777
39dd219c0e693b8412686106f6c666ae1dfe05fb,773,1,1030,3,0,0,264,0.784
0e871c3b2d6aaf378c6965393288b49456253074,33,68,19,57,1,4,178,0.789
3c7e6afebf85ef760ee5b38ffe26b79888d8190f,1181,17,214,96,0,0,24,0.790
e09af8b9994f09660bbd89ccf09fe09223bc72ac,1594,146,113,573,2,2,47,0.799
7d08c8021a9388bc6fed3c7850e4c083a6350991,3977,177,224,1247,0,0,209,0.806
37cf8b3642aa56be304015c7f680ea251eba2e27,-1,-1,-1,-1,-1,-1,-1,0.821
7c74991b60bb749803106e4aa12bc86d670b7835,5962,52,555,548,1,0,21,0.824
3a0eab638b7d53f8181dc529c1c642f68d32185a,642,6,7,6,0,0,77,0.856
63e806fa5e40f9f8a86429fe6f3fb1e35cdd8de8,-1,-1,-1,-1,-1,-1,-1,0.861
14a227019dcc8ca01059fccd0b44a1fc216ffa59,198,28,7,57,0,0,3,0.862
409a946204fdd9c3d29e1ab14cab115c0e0e6d4d,3740,13,1,9,0,0,1,0.873
862dda6bb04bed9331d0c69b00b37b14cf02aab8,157,1,5,14,0,0,3,0.873
1ec305e6939eb8c190d2ce3d98c45e1b40fe49fc,1305,57,0,276,0,0,1,0.878
05f473e32e5339e20816e618c1025afe1378dd68,-1,-1,-1,-1,-1,-1,-1,0.878
5d92b4c5abbf39d09527b4f21e4cea735a68b464,-1,-1,-1,-1,-1,-1,-1,0.878
d1c0745b59a87ae76d8275a718d7093cc1a0e17d,5735,2,2033,7,2,20,345,0.881
09749fd09b45d603a1f370b8119796c70a81e8b3,-1,-1,-1,-1,-1,-1,-1,0.903
7e439d491a5baeac45478ea30956411219683734,421,10,24,31,0,0,18,0.920
b51e0111d14acd1b5f1b1bc76d3d133276772336,-1,-1,-1,-1,-1,-1,-1,0.931
44b3ed4f9d26fedd308224c45453c633e511a45b,339,28,20,49,0,0,39,0.935
ac87a684982f2c1747b048d85b4f7e4c433e891f,583,6,32,88,0,0,10,0.936
