id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
fd27e201f34612b996299236332c3be379cc6716,573,75,159,79,13,183,552,0.003
7c3770ca6f1d27176f8871cfa6bad1e34564afa3,-1,-1,-1,-1,-1,-1,-1,0.003
85ac108ef1bcfe40fa0d404121a8d3cabc329bdd,-1,-1,-1,-1,-1,-1,-1,0.005
327f806c1b125aa1cc79c6f4953797989bceac3a,323,95,1014,93,0,0,662,0.008
a8a3fa218c80c49020272bd68a455f5c622cde15,3991,61,1014,73,4,415,1683,0.012
90cbfb1d180ff6e4f1ae45fea7c96b15c6edcbb5,-1,-1,-1,-1,-1,-1,-1,0.015
ed8015a0aade84b28616c8d1508f9b7393a35bed,1757,165,32,184,0,0,259,0.016
4dbe5936ec0e9de485c1bb183855a51b85dcd1d5,-1,-1,-1,-1,-1,-1,-1,0.019
10cfa44ea6c07b0d274f6b5d5e1a13a20baf63bc,5679,435,1299,596,33,1818,7115,0.020
a951e45d64c501fec84c76249c329905da8e5306,209,94,48,58,3,16,453,0.021
e977dcbb7ced259a75e9a012702275db379d32ea,1747,434,694,406,1,32,2500,0.023
ee9fc674f1cb9defb9554af12dc509c1c5374bbc,125,612,1530,237,4,11,607,0.023
aa919be472b25aac6997ff572c110583072b2402,-1,-1,-1,-1,-1,-1,-1,0.026
cbb54d48da209f3c600d9541035ea47fd90ddd6f,-1,-1,-1,-1,-1,-1,-1,0.027
4ad8d93b91e5569765b6794e6f2d80b36f786595,212,144,112,82,1,0,199,0.028
ea5d9218f083419089e04cf3607e25ee5c1772a2,1084,78,795,90,0,0,368,0.029
31731b41f401cda0fe02f81e7d468e54e378e52a,591,176,318,131,0,0,799,0.031
768d2131319d6c50924e284d55ae890f437e9a6a,66,4,30,5,6,60,61,0.032
7bfdaa95c618742a9ff57b2ff20610c04e453c65,1137,37,652,72,3,272,2509,0.033
dee83912eff4ab44de0b59a08521f2be27de9637,829,82,386,120,1,0,209,0.033
2b444125ebb24119200033bbb69711846c7d7a11,-1,-1,-1,-1,-1,-1,-1,0.033
e30d0e79b1814d6693e7a767009b6482e75d671e,196,34,23,35,3,61,81,0.036
26bfa93a7a7d6c02f679611368232159305303db,879,2,91,112,6,78,462,0.037
2f5c08c9229c409d1a34aa4cf5c4055cdc6472fd,222,5,158,5,0,0,0,0.038
ec5be4140603a308af8c19ed7d8d7eb5e65ca13e,442,304,286,79,30,1893,5808,0.038
04ef5e8427ec017e8b0782990e46e4fa32af34e8,905,88,340,86,38,1326,737,0.039
b98c7894e9fdd6701ee18dc40a7324b054c71605,7813,53,335,321,27,4196,46,0.043
3174da9a5723a9629aae40062bb00e6d9d7b4c2a,64,3,61,4,8,69,57,0.045
d310f227f392c70f804121252d7e8357a5320d84,142,79,180,72,3,16,51,0.046
188108593c97ba8172f222db3943b5406b06d29e,397,433,3742,406,18,1536,4549,0.046
14c428b1885d5f2f1b018e9bc492429eac677059,198,81,69,25,8,117,42,0.051
defeaec07892da312882321af76783500e110979,1761,1066,598,1263,2,34,50,0.052
e2a35b9bb91dd54e04e0ddf4cfa671ab69095457,244,33,291,28,1,23,23,0.053
9435ce770bad96bedd2587705e2743aa8f93ebec,703,196,303,190,7,4658,3722,0.053
b0a2a064f162a274912db37f79d4133e32553f2f,-1,-1,-1,-1,-1,-1,-1,0.053
0e0f45f5fb9526d2aac731894e828a38d8805009,702,75,239,71,0,0,94,0.060
0c9b51e09987d5700e78e09b898d39108d69272b,394,31,35,73,2,0,239,0.066
53f549f0eb8a19b6e9eeab9fd19798c5f3de158d,-1,-1,-1,-1,-1,-1,-1,0.066
9158bddb68d77740cd097e432156eb5a2fd3eceb,346,134,448,132,1,505,158,0.068
b973f2d2527fff11a89ff3a2241e70dda0994eb0,-1,-1,-1,-1,-1,-1,-1,0.068
2646177a7b4f8a9f4cfa4f0296da18777925d013,57,92,47,89,2,604,17373,0.069
f81b1bbfa69e521598e4ccd5493ce1b797a6ac63,323,27,614,27,11,589,204,0.070
37f557d944c4382df06c317d0e3035d592bcc61d,727,326,265,309,11,719,521,0.070
9ce0ffcb01590ab3df582aadbac1e8fc27d683e6,184,153,177,163,1,1,515,0.070
c2d00a3dddf221edeeafd67d99e86a3b54f82695,358,67,191,69,5,126,712,0.073
36ef457e4bbe41aca8343db4cdde7bce87766e1e,195,47,57,50,1,31,650,0.076
1aef76b42fb44555c676b0c4346604256b79e38b,1303,8,10898,9,12,494,293,0.078
22f416afe403f91bed5c15b59840c21d543220f8,738,10,92,18,6,349,1068,0.079
c489d08d7da5c8338c9def068166bb6ef5505418,1780,495,343,566,51,4205,17237,0.079
6f9313b3fc6bbb362a3b133a4010b9e451987595,3440,535,181,581,2,37,1967,0.082
c5252eed2e35e534d98345ca3878831830979afe,495,152,136,98,2,3,591,0.085
3a3bfbe6875c96fb78db3014c98d3edb7002ac59,-1,-1,-1,-1,-1,-1,-1,0.086
d225e775d5fe8c2d7843f0159b869c3fa6d34b2d,217,116,38,121,0,0,743,0.087
48a6f088ca5e5e885959d71654c9e1786ebf7775,-1,-1,-1,-1,-1,-1,-1,0.087
97db2fcc7586b855258dc642bf20394f0aebb053,50,13,66,5,3,53,221,0.091
5e9e4753ac89ac2a4399108c22a19e01ba623906,403,22,10,39,1,19,31,0.093
e4e4306dadec6a149dd3694c5f618cf3f062a268,301,85,67,93,3,59,307,0.106
538d43321d384e007f6a6a6016408a34db078d37,-1,-1,-1,-1,-1,-1,-1,0.106
f86f8b7b4a5dde6c71a79962fc75b68664df8712,379,144,194,144,16,522,1647,0.107
7c93bc56a948f753ce399dff43263bb12e51ceb4,167,-2,154,106,1,0,19,0.118
4d61e350f7a07f84cea8684cb53b657eb6aadfd6,263,298,717,269,0,0,10,0.118
e82764db8d3200ef0d7b9b8788437b73ee2e2645,-1,-1,-1,-1,-1,-1,-1,0.126
3699ba6fa852a67c1859e62e0973c906e05b4a88,61,55,46,37,4,40,1,0.130
01061cca6b992bda18d168c54f0562fb8d240146,52,9,2347,29,0,0,15,0.132
7536c2b2c5cc1aecae61983901a82c38e37e2a43,-1,-1,-1,-1,-1,-1,-1,0.146
2aa390e2ea4c4395f5295f359a4fc6108b965aa5,0,0,6,0,0,0,0,0.150
4ec6fca3ac4c4f848bab397e2e16f4822c0381b1,-1,-1,-1,-1,-1,-1,-1,0.152
9943cfdccf79545bf26fdf48377177c364daa01a,319,25,22,30,2,67,171,0.153
bf1b50791ead0bd536ef01ff80afad0cae73a461,195,68,51,26,3,46,1315,0.155
652187ce58148d0f993104a538f620c8e192e302,-1,-1,-1,-1,-1,-1,-1,0.155
137b18ad98a31d697b2d9cf6271bb39ca1bb4681,247,450,152,209,3,22,581,0.160
7f1ee5f72da02a84c8250485c2fd9e1ef7ef1cc3,114,110,188,104,2,8,196,0.163
839cb4caa1d2e3c99bfb5a0843e465a20fcb4b68,915,155,323,154,1,0,38,0.173
6fef76f26366f3dcd39bb4a17b750c2e722caf3e,16,2,10,2,0,0,7,0.197
c99254297b817bb11d932d4a8b80a23e4e034d88,157,72,301,80,1,24,11,0.199
d4769b6bfb877d40bbd647d7f0f67796dc850d29,581,171,68,68,0,0,311,0.200
56c123422fca76993962f298740785c4256c1902,162,36,61,37,16,95,119,0.204
ae3978a2e328a4d9bcfa1d0c9bbd849303fc2c82,4170,87,688,1711,2,412,322,0.205
92776849a7973148a889f9d249aa79544f09273a,-1,-1,-1,-1,-1,-1,-1,0.205
e4ce8f27f4a6ad94b9cd32d3ba6f8c4c8506e73b,126,46,141,46,1,2,6,0.206
55afc8429faa84ad0a7d4c74d641c370cd5a68c5,519,62,756,61,0,0,1,0.217
98570ba8b337a188cec16854475882f276c8d462,756,586,62,251,18,1251,630,0.219
46d60a80759fbe1aab1d3d1288f1638b2f9451dd,-1,-1,-1,-1,-1,-1,-1,0.225
9639abb291e38a7fe065ae7bf375babb3547b14b,385,37,230,45,6,160,162,0.226
3782b92983c3c064d41f602a805dc3df88e24ddc,198,879,118,845,0,0,978,0.227
678c6eaad56a95e9df5b03124ed2ce8d5b25635b,711,30,1540,109,1,4,35,0.236
abc6d9c15ffeae8219775dcd49702d5b6d9e0e9a,-1,-1,-1,-1,-1,-1,-1,0.237
eda79237be7dc8cc6259036b2287bacab6af6dca,-1,-1,-1,-1,-1,-1,-1,0.237
c442e72e9590f7caea4ff8581871faece7fce1a1,-1,-1,-1,-1,-1,-1,-1,0.245
7683e0fbb19042f8299969d9801265f32ae9d532,321,76,78,47,2,30,362,0.250
84f70eeb216a15efc466c6287076bd3245f33f4e,2297,222,59,511,2,64,420,0.253
99d9fd75789f438cbaab9b8a94ba1699038fa72e,-1,-1,-1,-1,-1,-1,-1,0.254
e6297dd0629c920e56ce89f227a93a11159a066d,191,30,36,12,5,10,52,0.254
5e1d4a554da813fe42756934256830960e13f3b2,-1,-1,-1,-1,-1,-1,-1,0.255
