id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
683c61f09c90d2bc1101dff976b28d5100cf92a6,179,35,553,51,1,0,115,0.000
10801b2e2cdccf8de9d30c9dfbfad0683a60c4bf,505,309,555,166,9,135,1592,0.001
a721e676de9358c5086d69894c8d6f64f658f8bf,176,84,343,83,0,0,260,0.002
70b894bc26e481b71ffe60e1928621aa278bfb83,190,269,191,97,1,34,1241,0.002
b9e85218c830dd0335593008c57b31401d2e7b48,134,533,309,267,2,25,344,0.005
078a1f3fd1ca8ad24647091dfec8a5ccaa1a5dc6,1017,69,119,156,5,38,300,0.010
3bd7eca99b45e491671cc688316e63d9045b2d0e,1434,17,741,310,4,168,444,0.010
65d428db9b40d47d4fdcdd6d9c53ed806f97c728,96,39,113,21,11,333,456,0.016
264d173e5c83a618f385bfc2b9ca1551dedcd5ae,-1,-1,-1,-1,-1,-1,-1,0.017
5992c0be251a2cd96ecf77b942756a313abb2d37,-1,-1,-1,-1,-1,-1,-1,0.020
95f89dbf05d9d8f2532f6c03e33203aa48550693,923,946,264,579,9,156,88,0.029
ca99f2cc7ec66de29e3860945a090a21cd2b90c1,414,122,894,119,8,485,1117,0.031
6da9b36533a69752d78a9936d7bdbee65189afdf,-1,-1,-1,-1,-1,-1,-1,0.032
c3aceb9c296e7a008adaf7f793a794673e7f1ed3,438,133,397,142,1,72,799,0.035
73f2282d5244a6d97e847117f769f28c4498912f,1442,442,772,934,1,8,361,0.037
ae3ff25039cdbd757de0a4c8b9018c8a15f51c06,-1,-1,-1,-1,-1,-1,-1,0.051
4f84c2c1f7bbf1affe77140cb10369d842ddc309,6404,240,3948,373,2,1515,3387,0.052
897f1a8d4a6ee6c04a30c6fdaaf976472d947088,118,111,531,100,0,0,489,0.055
d9cac1e0b8e0555026d3916f65ccc37f60266f80,102,39,73,20,3,44,114,0.055
230360650eae62ad269f55b9846c4b75ad163998,-1,-1,-1,-1,-1,-1,-1,0.096
d8ceb06b7219f617e0d9e816a64917947dc85b89,-1,-1,-1,-1,-1,-1,-1,0.105
4f5d7a139360d10594d800407762a011d5d1e55e,-1,-1,-1,-1,-1,-1,-1,0.122
cc874d2903eb5042373a63d29c07560231e57dfd,62,57,12,58,6,280,65,0.127
62a80623e92ecbca877d3a3fdee1a44dbd9ceff2,96,46,51,46,0,0,310,0.148
8fcf82647dfa11cd5a60307a3b9d24db9cbe36e8,1978,26,587,46,1,13,381,0.151
c50d15f248f070ee35227e29b1948c4b81d036fd,-1,-1,-1,-1,-1,-1,-1,0.162
fc6029cfcabdf53b6c460d128282599d08f6c472,137,537,272,317,14,1218,1051,0.177
ac542ac114bf162a93af95e3846cb2310e0582f9,262,15,99,17,2,114,540,0.179
bd70ccc43bf236d188a538a8b2630ff53a1451e3,304,1000,117,719,16,821,490,0.184
580cf51a09e3c4153d44d889db177e3c0205b838,119,462,61,257,14,0,123,0.201
906f71c7114c8e570f077184075fe90dcc79844f,362,120,209,37,0,0,31,0.203
6f71168d8250a989cf79e1ddad670c73ea3dc873,81,7,36,2,1,2,85,0.222
ccd2bfb1362c5b6ee422c9b439109e5fe1e125c2,102,23,99,23,5,111,87,0.222
8814ef0a84b7a88ec3d04c79fc887de50f9201c0,283,305,280,301,2,0,1190,0.225
ffe4342ade858ab648c6c70616b3c48782fd223d,-1,-1,-1,-1,-1,-1,-1,0.232
4200357687501bf4a5963f51a55f006829e3a4f9,2701,815,31,973,0,0,8135,0.245
df19027c0399cf2d883612e9f182ccdfce62869a,1162,127,592,123,19,108,892,0.248
4969a99c1ccbc6ac4809ef37928c6ed7ce047bcd,312,175,121,165,3,45,3532,0.263
b436a9881b24cb1eb4515a4b986389b3a29f9f67,152,132,80,88,0,0,429,0.267
46835186b07eceaa67673cbb1e6b5442349aec76,-1,-1,-1,-1,-1,-1,-1,0.271
293a31e96829feeabffedb7730b3caef5ee09a33,211,284,93,137,1,0,281,0.274
6103a06cb14632fb0cd5a77c4dde2b20144319c8,195,313,178,164,1,0,340,0.274
9b680cf7bce5415afea52719b1c07327259b6f99,43,181,58,155,0,0,9,0.275
