id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4e1c32eaa8e80e6303c12db5a05091e6394da4a3,-1,-1,-1,-1,-1,-1,-1,0.002
85e4aea0496bd8f001379c3c02edfd07144dfd75,79,14,57,13,0,0,1266,0.002
2cceb19a17ea01b39141a8131017e31d49a75091,430,34,228,38,0,0,727,0.003
fc61615794789c750a5d024cb7c3ffcebe20642c,197,1,112,7,1,4,557,0.003
7ead776de3af0a1b803953466d2b117168e440da,-1,-1,-1,-1,-1,-1,-1,0.004
cd60d3c48875a3b4e6d7f0cfd6ac56094eed2634,779,95,1352,176,5,297,1191,0.005
e55803008d41f09fa7883ddc7e82450a181ef01b,-1,-1,-1,-1,-1,-1,-1,0.005
145a5ffe659583a3ef342340f976578b978e3582,-1,-1,-1,-1,-1,-1,-1,0.005
5c3e09d5a682451206737b62b543077df32e6d6c,804,42,186,41,9,79,154,0.006
12c4ce3e077aadd74df057441d64e942c52ae9e7,-1,-1,-1,-1,-1,-1,-1,0.007
46957dfc601b001b7081f3406bc59704ccff8385,151,102,203,104,14,93,191,0.008
a98931f606be262ae3e492c0ff3f6dd56f2ad133,-1,-1,-1,-1,-1,-1,-1,0.008
db366630a9505612afd8f785923b25c08bd0f14c,-1,-1,-1,-1,-1,-1,-1,0.009
6ee5e38890cd3d59e543f75e694dac85d303ea1b,-1,-1,-1,-1,-1,-1,-1,0.009
33349cd6680b97bbbe8095eb9c502c8036f3a8bc,73,1,0,2,0,0,0,0.010
ac77cf4ccfd92c4064ce4ba44f55486d9fac6c14,207,35,148,34,0,0,2775,0.010
d38b636bff72b0da590a17cfdf81a1b3eda5dc31,-1,-1,-1,-1,-1,-1,-1,0.011
53db5574922227c1fbf3bcfcb06c4fb19c5c5523,-1,-1,-1,-1,-1,-1,-1,0.011
e42ff1c372ac29564b6170ab5ef4029e22c9e613,343,23,209,24,0,0,166,0.012
09fbf586bdcd2b962c4b638bd87ee18f2261b007,493,80,195,83,0,0,5,0.012
6bed6b0f2da25fe9eab455f4c51369d90e6e662b,192,27,231,26,5,435,43,0.012
7e71855b38c5bbb3ab3342378725ec99368fccf1,188,81,160,79,8,832,375,0.013
8d0fc31cbfbc2e3e6241390bbdf06519a3efa6e0,328,167,123,95,1,1,893,0.014
350b2e7f88a5c1e3afaef77592af075368de624d,148,146,3079,136,0,0,2,0.015
e9cf0b92b097f6253f51dbdfa9d38e25ee0cb5b2,-1,-1,-1,-1,-1,-1,-1,0.016
c348af483c517669dc545c2ff51b89a09b7eb426,-1,-1,-1,-1,-1,-1,-1,0.016
663cf3d4c90170848d72f5127e2a62224b733a12,85,22,232,21,0,0,2135,0.016
936eb25836fa55d4747d84f4fce79f9dc56c9ca9,95,343,106,117,2,30,718,0.019
c1e0e3a8368de3240db3a26a0e014da1a5c0ffb6,303,75,223,69,0,0,443,0.019
a013069b0c53f5283c49b19a38e4979b00af8b6e,247,190,121,185,1,10,48,0.020
5cb0d9c31913d5d938d8a093eef8093e56f749eb,5846,83,358,821,4,2,88,0.021
1174fcdcc352971bafa06a3ba5ef0d29664b593f,72,15,21,16,0,0,136,0.021
