id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
119c0ff10e07103785ffc3b81cdba0331d6466a1,765,1492,1227,1358,8,7,1722,0.012
5f82f5eec86f2b54e8b4942bf68968c01902d654,-1,-1,-1,-1,-1,-1,-1,0.014
4b39db92e4026b079052718cebf1313d38c48834,119,89,96,54,0,0,149,0.019
b6824fc974cc8a2bc1a1cbcff72a65c2eaeba558,766,18,84746,20,10,369,1793,0.022
3f5d84fa0c0bc004a0ca2bec284cdd0ea0bf2e91,70,35,51,15,3,42,244,0.025
622ff1fd57a02952f83981c611ee0456e9a19b2e,420,6,200,19,0,0,288,0.032
13e3cc3972d78b8b9fd47e3502cdba034dc7ebf8,1213,80,903,77,2,61,890,0.044
5997aa79454cde497abc608256e728cabbc3e041,430,66,151,68,1,1,2,0.051
aa98d9a09355bf9d40d0c3f56158770974ee3712,129,111,161,112,0,0,1499,0.058
6f36a63a5289708cb1605325fa495e4d16226e64,-1,-1,-1,-1,-1,-1,-1,0.075
b2904e4cc19ce9ecde83184799c328e7b4fdb435,569,133,147,126,3,3,80,0.076
b865cc9b64fb373650728fb357e02c1ffae1b5d6,6259,309,1342,282,0,0,17,0.095
6d2f5f51b14834ea03430275a34ef3828a7347de,485,27,444,26,3,0,218,0.113
90f2a57bbabff319953526037177246f3881953f,-1,-1,-1,-1,-1,-1,-1,0.120
7a4501abde19a2d599dc3ee8d974ec4cf15d139f,41,12,110,12,0,0,3,0.136
0d87900f024f4d633b46bf723bf4d5fbef18a48a,188,114,113,111,0,0,11,0.138
c8d8ef7dd6282d4c3c24a8aa2a77a0c992f32143,-1,-1,-1,-1,-1,-1,-1,0.146
a7158214f49b231a8ba34103eb6134a8efe46836,17,2,38,0,0,0,11,0.148
bafecafbc3e627228fdcce32e53840c898cde9a7,120,43,91,43,0,0,99,0.151
5c22e055c13935f8320b5235f429b0c73934b2fa,-1,-1,-1,-1,-1,-1,-1,0.165
c4bf7e30d59db2dcb47505a531752b530cfd0ffb,-1,-1,-1,-1,-1,-1,-1,0.178
4758be5e97813ea973dbaaa2e3f956634bcf9f78,56,15,57,14,0,0,0,0.192
06e59342c589f685c6ae7fafb76ae3e1e9f58fc8,329,111,447,106,0,0,16,0.202
0f18db84299f9ad30bfa3ce495fc0ee6137b5c8f,-1,-1,-1,-1,-1,-1,-1,0.206
1e52809856983663547aecff2e1a2090c25918ea,-1,-1,-1,-1,-1,-1,-1,0.208
b21ff3c38297d37b4e2116da04618ebc89a00b16,98,16,25,56,3,17,115,0.209
2b5d2745297ccee68e5eec90993b0e5dcce276b8,-1,-1,-1,-1,-1,-1,-1,0.217
12c043ba276a0091d8832ff436b3fe86510fd190,415,186,246,214,0,0,1250,0.222
5f666b9208b7873095e06822ad903d46b64f7bc1,159,91,320,87,0,0,30,0.223
06ba7e54580266cea63ebcd6699e14e79acbb059,90,97,127,99,0,0,2,0.225
aae2bfca274f3fd45b36ba95f115301346479bf0,262,16,79,16,10,221,372,0.229
b8dbd7155f1f5ff98ba2e50846acfa1d65ed8191,464,298,413,281,2,73,45,0.232
fc1865537b927a7e0bc999ace1af9c804446cd8f,-1,-1,-1,-1,-1,-1,-1,0.236
1b2db6110cf65274f2f62c8dfe8366d8bef67cd8,131,188,207,173,1,5,24,0.239
4a4aea198f6d5e734e7ec71251200d7ac94bca8a,4507,1000,1509,836,0,0,235,0.246
2d2b913f280f7a629da28f35f7076c34d6850439,404,1000,642,685,3,148,8934,0.247
bda03ee7182228bfdc9e0c81d2214c0633ea1995,-1,-1,-1,-1,-1,-1,-1,0.249
5730608981a1ed4850ab60bfe541b82605ea8002,257,207,611,201,11,101,31,0.253
79b9daabee2c980484040bc6030aa315bb8dcd5d,92,20,175,20,0,0,8,0.254
96d736ce47075efb696f5e3e019b97cc89dcf780,45,88,160,83,0,0,10,0.255
54b4d27e1bef096722212f48b5f5bd663f4486e0,226,163,443,120,0,0,43,0.257
85cae7806b6f95e0188ef6accf3bfe08966d2d90,70,42,88,38,0,0,2,0.257
33f3c87cf06a6097fd9f0ffb9a1f0e879ea931ba,37,127,37,123,2,46,584,0.259
aa5f321a3ed0253d5084aa6868f346ed1d44d7a1,456,240,78,224,0,0,6671,0.261
e5c6fdf7fc8fefbb15fc559fc93169fd4a214cb5,70,60,281,55,0,0,0,0.266
d80819aeab8049fa42e5ee435a557d18cb1019fe,111,180,40,71,5,9,107,0.267
a7b91c92c724cf28cb7e9d70506799e052db70f8,329,816,174,584,1,0,163,0.270
205be6fb994f886682b0f930333ba560bf797389,915,145,127,142,0,0,10219,0.272
d7a224cd30f2818949dc718c3ae206d50cda1e7b,326,31,23,22,4,32,806,0.273
61d6987c7ad2b58306fd2a8ba335a02f7442996e,435,302,392,285,0,0,1599,0.278
efb3b244ffd2e52d90234c507aaa2cfeccd89299,433,294,50,251,2,0,640,0.279
40a1e5fdd27224eb8ae001bfe0ca7ce0a2e78e3d,5,0,5,0,0,0,3,0.280
02c9b25cc00b09a5a3abdee6ddfd2f708d5005ea,160,210,302,199,1,0,22,0.281
3d0076e3a828d3a70d4130fc612822740b1af078,235,787,224,733,0,0,12,0.282
ae48104065c6e58782b24f40b532d1913c9f4480,156,53,165,52,1,0,3,0.287
f82847f5c74ac2a033b9f8bbb69c4630fe6fa04d,142,74,313,73,0,0,4,0.287
5aaff1a133c2f1c9843797e27b0e4c34fda31adf,122,279,462,242,0,0,55,0.291
30c31ae1b649017234424d114bc4c36d5bbccf1a,-1,-1,-1,-1,-1,-1,-1,0.295
