id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
014aeb2132b1d85d4c677079b21a2a78e4f34183,-1,-1,-1,-1,-1,-1,-1,0.000
ec12f55353266e06f85518f2a476a3816ea2ab11,1239,102,4332,95,0,0,12,0.000
a0c90bbf6faee15e7267349729a7bb365cf25f65,1322,99,403,15,0,0,1104,0.000
356a2970b09d0087470ba85ac5b4821974fa1d49,-1,-1,-1,-1,-1,-1,-1,0.000
187a670494bb6aa5435d6399fe61855fad148a9c,2692,1000,91,439,39,1999,3306,0.000
91da1cf558770c9aca2e36acdf4e85264716ce95,641,127,232,124,0,0,325,0.000
8cfe04c77f8f9441340b31d8f85eb84b16033009,-1,-1,-1,-1,-1,-1,-1,0.000
e13bba91e0c2abdbe2e86ca2e41bda1eb126f398,-1,-1,-1,-1,-1,-1,-1,0.001
9dc8302afee3fda6e93b7033a28d1fff7178f3b1,-1,-1,-1,-1,-1,-1,-1,0.001
d059d6c2f88585d541c911ff487fa032de494293,1665,289,2047,322,3,208,2373,0.002
b504be1ad763cb7e31bf2bbeea60c7a3c95de4ba,8433,122,3642,678,7,1389,5439,0.002
24d9dd98e5c7bf4d5770ac5213bd508eee719152,375,89,202,93,10,115,462,0.003
6bfe0dd17d4ff6eb49bbcf7bf8aa7fe8b35ab812,9642,149,839,153,33,745,764,0.003
3573dd379a17905736854ad7aeccce120fa97559,1297,705,248,407,16,93,9846,0.003
8d6657d1febecb1705c997e6c1e55b9d23263ce7,2340,667,713,95,63,2338,4193,0.003
7e6a0da91cb08ec6c252f6046ab9183834daf74d,9235,502,7248,490,5,138,4108,0.003
416947c99808dbe56a6e1c29e17554e4131e457d,-1,-1,-1,-1,-1,-1,-1,0.003
93fe96672db0cd0e797812bd954435122388b31e,-1,-1,-1,-1,-1,-1,-1,0.003
44b37bb2cba2ca8d72221cb9c3d67aaf4127f73c,7983,205,5358,599,1,85,1629,0.004
a90f5e51cd23ff3a63fa856195a208d5c3459eb0,-1,-1,-1,-1,-1,-1,-1,0.005
fa60ebdacbf2ecffe5b3307d9999c1b6e3a7271b,2667,429,999,47,43,539,4210,0.005
93bd175e207ef04fb1f978c82ff309a36a8445ec,-1,-1,-1,-1,-1,-1,-1,0.006
7af279ad0532ea9d051a1f01c9485063e1050255,9992,1000,6684,171,14,396,1540,0.006
7bb414517ecdd7e37b4770feb4beabf422958c70,2677,473,1072,94,65,2366,838,0.006
b819fc76f774f192435d96a52ffd935f110d18ce,2290,143,2091,431,13,160,333,0.007
5966e00637329079d30c7c60252f77b07c89a8a0,-1,-1,-1,-1,-1,-1,-1,0.007
fc4c997d00a473773a3cb57c1d00bae0f7384be4,419,24,147,24,20,647,707,0.007
cf17fae6e434dcf8b26b8ff0dd229d9ed139b51a,-1,-1,-1,-1,-1,-1,-1,0.007
341ea05c6925659a91dd17bdf2b6e00b8f0d88ce,275,91,162,87,8,63,600,0.007
cc4baead150a15ab711cc122f6132cbfc5ce78ce,1876,82,99,140,6,50,453,0.008
1878b3b93f640ab050eb4c707adbfec715fba180,9591,45,3683,59,56,6631,2757,0.008
222f8fd61933050740d4950f009b58193c4cd6cd,-1,-1,-1,-1,-1,-1,-1,0.009
f7e4790706d337c18a7e0b4999eb1302a2ef00b8,53,9,106,8,3,0,3,0.009
0178abdf270549023d1f1b59fdaa9988b2de0641,1799,44,0,45,2,45,59,0.009
95463fd333916f6603933c1c2bdd4ab46ce3a873,5973,232,2134,702,6,42,850,0.009
e74d93388ce82ba199d991699830397e1493bfbd,9388,988,19,922,11,552,42141,0.009
f5ed2de99097303f6735151c9154ed6c5563e3d0,9959,96,2501,90,32,4433,7634,0.010
f512064aab6ced934b2c7110c79e47f081026e18,-1,-1,-1,-1,-1,-1,-1,0.010
634c982bf189b2a5e71ab0b9987ebf73e7db9b4d,1777,73,249,78,1,0,117,0.010
e1f2e6c41eb187456c864fa9657707c1f0693437,-1,-1,-1,-1,-1,-1,-1,0.011
57c33db27383e5eed45f08eb1ebefe21684a569c,207,36,125,49,0,0,749,0.011
cae898dfee47bba264902b1214ced4db2e37ab2b,6941,135,894,820,0,0,124,0.011
27acad3b4001ca0861e8aaeeb30a68cea9d76ab9,1200,160,9,45,3,12,96,0.011
a9adfdea8aa4bf76adc95239118eaf6bf55ff626,211,29,4,33,7,131,424,0.011
90e5e1fb6e5bd5b11092feec9b556a07280922a5,4082,24,2546,61,33,2400,3685,0.011
b18f4afbab3efd6197fdda3a8840acd740657177,3961,594,221,556,0,0,929,0.012
36f5b84b090a2fb719a5cef0e6bcd1e857801b0c,658,377,140,333,6,20,367,0.012
68cb605696af85e427ee5ab803c94c53dedade4b,1873,123,206,129,12,1107,1377,0.012
98e4bb54796788737afe80ecbe70579045de216b,1396,59,193,71,1,39,341,0.012
7f7eceeca5412187620abbea454ea53bf1b60c8f,-1,-1,-1,-1,-1,-1,-1,0.012
11355e70872d2a0a5369999516740a5223497a31,9547,1000,4739,275,1,5,3315,0.012
d2db6e091c4d57f0fba1bb9c418a9194dc86bc7e,-1,-1,-1,-1,-1,-1,-1,0.012
0abb0a729bfd3cf426e090dd83ebad816d7a9818,9995,3,1000,4,19,1316,2570,0.012
8508b4785ee907b3bb8124b7271de80965de6133,483,333,195,301,10,217,16,0.012
2a47ef2ca071ae6d01ff47be5168db65861655f8,1622,616,663,352,11,259,5598,0.012
b4d8c5b802a9752222f4d74e6a530f569f69db97,940,75,22,70,0,0,25,0.012
f8990b3da7f009026848cceeba23bc3115c7d1e2,1104,8,130,19,18,660,182,0.013
3b4199964878078145a40618b4b191941491265d,524,94,174,110,11,143,589,0.013
4f4c057cce22d7237f5d414cd2b8cb1af6c16814,9967,1454,231,1370,30,848,11273,0.013
64ec558b4c90f31c6ef4f578f1c373551f5d8567,-1,-1,-1,-1,-1,-1,-1,0.013
e0751bd2a620480b8b5eed71f1223e5659e5ba5b,698,38,1,51,1,8,16,0.013
ff641fa94d76c5a4ed8ec47f63d387c15980042d,656,7,363,67,4,571,297,0.014
aa115beb77d0c20ec75408b3c9a939977efa4f77,-1,-1,-1,-1,-1,-1,-1,0.015
fa4065ebc8d37647ccd23c2e66b2ca0810ba397d,-1,-1,-1,-1,-1,-1,-1,0.015
8414cd384b3e18e4b60b96aa4be6f5f23c285f9d,491,46,163,17,6,273,117,0.015
eb38dcf1e1a7047195547225de8cf72180a123b3,330,43,122,13,11,1052,887,0.015
3191aa80c27d58535b383cda36871b37a84c35e5,-1,-1,-1,-1,-1,-1,-1,0.017
fe8b2618a3514785c85147aa6ef424398ddffda1,9863,299,2879,65,43,1878,1910,0.017
d589ace22dc88c71097aab26384135a52ebd60e1,-1,-1,-1,-1,-1,-1,-1,0.017
1d117eb332f178f271acdf7c41bc063ff94cb3a8,683,83,156,106,0,0,3693,0.017
709d1dfe4f11fcf2fc950bb5bda690aea81766ea,-1,-1,-1,-1,-1,-1,-1,0.017
69a2ee376089be6bd0b4740a51bd61f9e442b436,-1,-1,-1,-1,-1,-1,-1,0.017
86eb0bbc4844d6dce69385e151239a3ef139ce1e,1200,34,3,49,5,19,125,0.018
b1807cb9cdbb5be74600c798bec2e8d9af8317aa,392,222,333,295,22,543,1892,0.018
7c1f2849b17f03f95b051a521cb48947205b506b,510,300,267,287,0,0,573,0.018
8262b765a962855473e1711f37ec50562b8877fc,6818,159,65,712,1,3,332,0.018
ea625f71112ad35cd120e5a1d67412ad2acf982b,2628,147,1572,432,0,0,1811,0.018
4feb7f12981ad351c60b633ea81549c183af9e5a,373,360,4,38,1,5,1368,0.018
4966b058e950b5f6d6b25cd433e12de6deb0c4f3,6462,290,2233,478,1,6,7898,0.018
36c26c008c6625043a1a8088609b64c640ee4a34,8796,505,3961,485,8,697,14087,0.018
a21a84f08754c112df532f1f4f2b8b0cd1f0f2b5,-1,-1,-1,-1,-1,-1,-1,0.020
550c2809cb01577a43ff6f9939c7406d5974161c,82,33,51,43,0,0,25,0.020
63d3e2eaa453800634165468a20ef2ddc766d5e4,1068,74,48,78,2,0,230,0.021
7cb1ff49b4878a15e766e59bde07c24e5a654652,558,86,438,83,2,39,778,0.021
07929cd59107f80459082b7424fdf850df7d2cc4,421,86,68,33,16,567,332,0.021
ef49a829e292103fd5236473a9fe922b2f00de0a,-1,-1,-1,-1,-1,-1,-1,0.022
ac53617534322a73a45a1f36ac9f0106ce4f661d,6950,734,1914,885,22,1099,4791,0.022
d568753061a895e345616bd7b465b8743e9471c3,384,47,31,66,7,33,133,0.022
6dcc116a9b52597b4e85ae8f5d5170b97a0a9036,2600,154,597,152,17,1936,11866,0.023
f9e8f53d51a5bed4a4c25863fb133a2667771e94,-1,-1,-1,-1,-1,-1,-1,0.023
d2df4837dee526ea906074e1cd2672002beeafdb,131,10,7,11,0,0,38,0.024
99c9274581d3ca890e10cf7fd10332b0b8e4f8f9,760,10,200,29,12,892,4,0.024
60a121def8412c10c1c4b42a272da7ba7d7e05bf,677,474,239,433,6,170,14,0.025
3e9512e0e4106468e0dcaaf328997d8a5af3a439,914,31,4,27,6,213,131,0.027
65a3b0e303cf1717507397c09d16cae44e6369e6,3882,57,1038,77,5,14,1456,0.027
52347e2b54b80c979ee3e32edea7c07ac80ebe3c,-1,-1,-1,-1,-1,-1,-1,0.027
d44d0e69aa7023e50462197d459cf986b1193991,5463,154,1757,208,1,53,1785,0.029
834a967089564d8faa37dc5e2b1954f0fed5220a,-1,-1,-1,-1,-1,-1,-1,0.029
17387b46ce4f93ccd91b0517ccf396114373e342,8810,410,8447,453,1,4,3800,0.029
3e8913738803112e8c16d19c9e28913269987901,24,11,21,11,2,5,62,0.030
fb73ff29eb5f86920dd64dde87cb4d2d977bddac,501,132,349,117,33,2055,24311,0.030
6e53b2c481f8a704b086ad6461d8b5f3482e104e,2040,293,448,262,9,589,772,0.031
4635bd503aba6ae990635fac38de3d4eea808613,-1,-1,-1,-1,-1,-1,-1,0.032
aaa1328fef354799d0c0ba78c1442c6d2e1801ce,6409,384,104,19,13,386,3733,0.032
0625b97eaf39debeaf43912ed99c849b9d7fea75,9120,44,1216,39,17,1363,347,0.032
5dcc4b1c75867d053fa9251be2727b9dd8391184,581,17,19,21,5,69,481,0.032
7b656d16321e1431daf4a56405ae639ccce4f467,4001,20,726,781,0,0,791,0.032
a778fcf35ed7ac5ffbe64fc0f53a18b40605abe9,295,267,44,278,3,41,143,0.033
15de0f9605eccf9aadfd3e12ec74d7881041b589,7856,1098,110,1628,19,1643,1521,0.033
a5825f4f01dad06ddf79ab3efc9e6f434eba73ad,3706,452,498,276,5,136,3211,0.033
5d348bd2a6ca32565e511b1f89304c8ae728eea5,-1,-1,-1,-1,-1,-1,-1,0.033
bc97130349c29988b381c3f5eefb7ac709a5daa1,9984,338,1575,321,0,0,2043,0.033
899a63671f33d634e88bc81144033aa1d1a6535c,-1,-1,-1,-1,-1,-1,-1,0.034
ac5b32f841f68f5d1c66bfc3ad829a3b8aef7a28,9946,11,7281,13,1,246,1160,0.034
11eebdb02be9b4adf32040324ab7ee1f66291ea3,383,26,52,67,3,49,161,0.034
fe9e0a987b97169bf937572f36e1e51cdb1c3017,137,40,72,50,0,0,99,0.034
ed1e3b0e3441b3ec8c5586d6b45f2cc7e0ee36da,2673,61,1462,83,3,432,4632,0.035
2d422b56e2af4b7377825651c4fcd842adca89bf,-1,-1,-1,-1,-1,-1,-1,0.035
423512b6c547dc7715d0c38486bb5e5ea97f0023,-1,-1,-1,-1,-1,-1,-1,0.036
54ce0c14a6222986f350783dd77caba7b304ea91,778,206,1199,197,3,39,3259,0.036
a1004515816af84a2113f60769577c70cc7bf253,3219,340,178,315,6,319,2610,0.037
b500f657697dd80287a55e95ae18911fdaccd242,1662,226,150,238,2,51,270,0.037
c8ee4e84f3eb7ca48452aa53859154f0f59cd81e,-1,-1,-1,-1,-1,-1,-1,0.037
9e06d3e70ba732973ab749bb01703adf62d14af9,8394,129,3296,357,11,492,1960,0.037
f78983b90d82900cda118eb85d9bfe20b0966bc1,1156,129,176,132,2,79,1457,0.037
cc997a75420f7b45660d65091797144a03f38b8f,-1,-1,-1,-1,-1,-1,-1,0.038
dd7f0a2ae6f2575eaf81b3e5b2550d05110162f7,445,47,45,109,30,414,200,0.038
f97cd3cff1a9c67d800c0b6d19a5a32f24076ee6,123,7,30,22,0,0,16,0.038
eec9e455041b27e03902c63e2690f82c8087bdf1,-1,-1,-1,-1,-1,-1,-1,0.038
a9ad55a8b1e0d202fb9a87514c9eb4195becb9e2,5943,301,1677,23,14,460,65,0.038
113a49ba3938cdbfb38e164c3cf2acdfdb970879,332,173,160,42,5,244,860,0.038
ccc954dec3f44e5c69a7f71165ded9d26bcb8a89,266,57,178,56,0,0,3012,0.039
eb0202c69dee8d39683f7971fc8476d76f3d4014,-1,-1,-1,-1,-1,-1,-1,0.039
abd3f220c612bbb8267a8450b29aa7ebeabcb346,3635,25,25,1018,17,3850,235,0.039
39dee5a073e01cffa4196ad53d36b1352c342f71,663,152,73,159,7,211,131,0.040
6222587631b6ca671f593c79292b27c2239af4da,206,53,557,50,2,85,47,0.040
ea5504e9facbd5000b81cacdbc579ec8206f5695,982,143,271,160,11,452,2616,0.040
d0c56ce96261aa154726b48419df5e576ef58d46,-1,-1,-1,-1,-1,-1,-1,0.041
5c1167df90a8be634b980729b9fbd249dd152fe8,7083,448,48,295,11,771,1521,0.041
0244c57293a6fdef41e42cc7382ad4cc391b3ce1,907,80,82,96,1,30,16,0.041
ec930bba36f01c031dfc2f850b5be380399d1f7e,-1,-1,-1,-1,-1,-1,-1,0.042
b4ab9c7bd462e3ad2ab363c1ec25703ec193a83b,-1,-1,-1,-1,-1,-1,-1,0.043
b8ddd4995db0328d9e39164292ca52c23d94832d,7231,361,277,866,2,22,826,0.043
d49bcf6652a124126f57161c4ba9068dfa9110b3,65,1,32,0,1,7,197,0.045
50c83f1fff6255ea001a735f64961799f4d3131d,9948,878,4628,817,3,815,3480,0.046
9162d504f3684dfd3ff3d2fb5efa23c8930f6038,-1,-1,-1,-1,-1,-1,-1,0.047
1f92e48bd13ff61b2d6670e989b5d4cfe5a7368d,3241,81,125,258,23,2973,514,0.047
63865e74dfb9ad54e8608f7d87bd4f686e17dc73,5424,32,504,78,0,0,61,0.047
