id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
545916711e79ba80d40009f0c42bcb49e6a5da6c,3282,46,1131,52,0,0,119,0.000
c8df0859094139adc19a85d31751b32e7a30baee,1652,34,1094,286,2,30,106,0.002
68ba20ed6ddec48d77771b452216312bdf99b991,1525,56,145,288,0,0,147,0.003
4a685cd213ebc885d596206b81224ccc8e83c57f,7928,598,397,174,6,1519,422,0.004
b3c57a5aaac39e4e6aeb52a4899df4d5bdf47f53,-1,-1,-1,-1,-1,-1,-1,0.004
8afe4076adedf52bb63165adaf2b98076fe0d6b9,-1,-1,-1,-1,-1,-1,-1,0.004
6357b09f108a860a49d9721357edcdacc7fef0f3,4235,58,77,1294,2,132,19,0.005
399d7b77397375bce9c849a2d50c480eacec0ca6,-1,-1,-1,-1,-1,-1,-1,0.006
8d3fd1225a6b7346deab2dbeb0af00f4a17e63f5,-1,-1,-1,-1,-1,-1,-1,0.009
0a70e5330576217285452552dcf1399a3d099ce6,6631,283,56,2245,0,0,969,0.009
85133f16ca8ccad74c0fc5c29ff826465219cc56,6396,314,242,874,14,0,7011,0.011
11f0bea59cb3a6ffa3a41b9b15d440f570736b7b,957,74,75,107,7,258,220,0.013
8cc77f2e8ee6b24e2df6567207d33fd33c16d7d1,-1,-1,-1,-1,-1,-1,-1,0.014
ed8015a0aade84b28616c8d1508f9b7393a35bed,1757,165,32,184,0,0,259,0.016
c0ca0d6d50e7f157dfe66b7c66b7c6e018b706ef,210,592,45,780,1,1,82,0.016
a5a97f96c66549cd03b973c0ea83426524e8cfd9,-1,-1,-1,-1,-1,-1,-1,0.018
7ff19e1095e2b6f8d5b63c84b330b2f9e3d86b4f,9615,11,3151,37,0,0,358,0.020
b25a840aadd25ed8b5259e302d9fa5398fadbe01,460,351,524,175,11,406,1399,0.021
42527e16f7a691c7140337b21c5052fa1e9276f0,1863,120,35,287,18,999,569,0.021
9047203bee5f7f30171f613e88ca6031c3efee90,4808,1158,35,1746,11,65,2210,0.022
98f21a5b63c912f1097c29b97691534c5f6d235f,2508,187,98,945,0,0,508,0.023
07bea9364278a6dd12f1f1e50e677628d26fafbb,-1,-1,-1,-1,-1,-1,-1,0.026
34d6b0f67b0a7087d7988e639d625ad047084124,5798,24,176,23,15,5,3396,0.026
e6339c0786c7046d7cb2f1c2899bf72d44080382,1527,1000,44,689,1,5,394,0.029
a2ec5e8b027c42c02fcfc52da7b442841c739e3b,357,431,0,128,0,0,467,0.031
