id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b83d3b901de4dd7080b56efae7bebc64ca91a198,571,4,42,7,55,5558,85,0.004
1f0d4d84a98ee4ae07ecc66b7bdf457e4f17531a,-1,-1,-1,-1,-1,-1,-1,0.005
5d0906ff72be7af5655ce5ebc2ac324f50f74130,1069,64,788,73,8,492,325,0.007
319639c860bc9d58cf19995c00d4d972be814f81,2248,164,32,421,0,0,1272,0.007
6d0f0bd775b5d8d72b7991651bbf867caff88bff,4783,697,956,256,29,679,4294,0.009
1becb68b3b7e91f66f8938a281b35a4f8a8ee623,-1,-1,-1,-1,-1,-1,-1,0.010
fe1f29b1a45f3456954e67ac97326443c8f9c722,410,3,101,101,1,7,9,0.010
eb1b6bb7263dcdcbb11862170b1001cdd5a0cd21,-1,-1,-1,-1,-1,-1,-1,0.014
d584a12e316ba28bdc3fce20ddef30b8127fbc6c,-1,-1,-1,-1,-1,-1,-1,0.015
428e7c044743c613272901cae7c8dd8c0cdbc5ca,86,52,74,51,1,2,5,0.016
6b686815861d618cd71eee268ab79e56989161ef,650,99,210,105,6,64,1311,0.017
bad1c5da68342956ecd68843c4a0cd515f922094,-1,-1,-1,-1,-1,-1,-1,0.021
4b3595d402b338ad9a4d40d352c8f69e1c93d0af,18,6,8,14,4,62,87,0.023
d084402a7e8e5698429b35ac2aa89aa1d91611e1,832,827,76,268,4,78,10,0.023
436fdfb2009dbf53ea9ff7706218abcc8b07a05f,-1,1,47,2,3,0,2,0.024
c09b8a3d6dfd28d99336e329499bf3779b519606,300,41,182,41,3,64,1061,0.027
6cfc48cf708a7aaf1b3fdcf1a60eb1770eef3252,-1,-1,-1,-1,-1,-1,-1,0.032
9446702a4161dd50d67bcff8f434c7f4861c1b20,219,26,121,25,2,0,10,0.032
23fcb3d0eae64c2309f5a92b0c93f56819605d12,530,367,68,337,9,142,1439,0.032
cdd5015da206c840291a34a72cc9c7ab5526a45a,-1,-1,-1,-1,-1,-1,-1,0.034
d7dbf3bb9fc7c169e0ab36535c6bf7f2790448b9,200,167,103,162,1,0,969,0.037
00344b90d76816a2e294e050ff3f74b22e26ef36,626,39,519,34,3,30,1263,0.043
92c444864b3166e96fb4c33df9ff5f99c18e0e8b,280,55,165,52,2,27,51,0.044
1d3b624f0a752d0c08bcc3f0941015e7f96e8911,-1,-1,-1,-1,-1,-1,-1,0.049
f8dd0335fe8504935289fd422c695b60253210ea,518,19,270,20,0,0,62,0.050
29b823711ad4ced8d5c27cb594aaaa18d34d3511,851,254,773,243,7,207,1026,0.051
23f0f8273cea811ff0c6a701b9bea1900bd03c8b,-1,-1,-1,-1,-1,-1,-1,0.054
9d680d84516eb0fe3ae7fe5870a1ab9f7c51f2b3,183,20,29,4,0,0,1,0.056
