id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c330b36731aea7a005ca748151868deb7cc970ac,144,34,58,35,0,0,104,0.001
9283c2aabf1790de5f7b294252f20b512cc673c2,29,7,6,1,4,0,38,0.002
dc3b76ceea939ee4814dc3b2203238b22eca9c24,4529,110,320,97,5,157,217,0.002
b5f2866c65f5c671f5631866625feda0cfbc7901,780,381,3713,401,10,49,35307,0.003
811e82563e37d761eab5aa3fa1e489b2c7e127b3,9977,236,4578,226,8,961,12472,0.003
be74bdbc86c0ba31e2856c29ca9ec606928967dd,7274,139,2589,135,11,244,345,0.005
3d0999782726eadaefc2b43e3d3fe95542d52eac,-1,-1,-1,-1,-1,-1,-1,0.006
ab251046478a750dc563d7aa96de852a3b6a63af,9642,669,1712,746,3,86,991,0.006
babbfcfa838d562991a73d8185f227fffa44ebcc,2896,8,221,18,8,101,842,0.006
c8b669004f36c43fcd54ae6968af80d2d9a9320d,2446,577,380,228,3,15,2580,0.006
2e5498a0f0d4201d0ef573c4c18a654eb5a6664c,8424,160,354,600,1,81,8073,0.007
7fd72a2762cb27349be8f0f16ef0cba1112e78df,-1,-1,-1,-1,-1,-1,-1,0.007
37603549e05244e0f396421c38b0bda4ae72a177,5061,274,147,444,2,121,4486,0.008
c3dbcc8c07a056c1268bc4912c24dac511bc8067,-1,-1,-1,-1,-1,-1,-1,0.008
c85461ed48341d62ad85ecca54813cb699f932ec,274,74,153,50,0,0,767,0.009
6d8287083f73b82400d007a72a4df17061a9bfc5,264,954,222,874,2,20,43,0.010
1c42e839589a73cf6dcec44c76bb7ab461e5d490,2491,93,984,152,27,2556,1648,0.011
3c18b74a476b6b9dbcd6c358ccd9645260f64378,52,21,35,24,1,0,290,0.011
2b65386acc1c32cb95b3bcf951216f9e92af295a,-1,-1,-1,-1,-1,-1,-1,0.011
9e32b6352e0ceb1ac552e01eb1110483137f37d7,2637,862,16692,820,636,25123,1624,0.013
ca2f0be51e00dfb8ef82e63581e37032374a657a,348,435,41,437,1,0,111,0.014
553a289216e1d6329ffa66606d21e0828130fd33,9996,126,3111,113,0,0,67,0.014
0d96534feac78730cbf9b5cae95019ec3c330ae6,-1,-1,-1,-1,-1,-1,-1,0.014
55b47a831eb879c884cc405797f40a7fb987c1d0,-1,-1,-1,-1,-1,-1,-1,0.014
ca9a0db9bc6e98b40c97baf1d66aecd0ccb97eda,2142,147,201,178,0,0,3349,0.015
d36af2256093b02c34622c659cccab4b634c093e,250,90,26,37,1,12,101,0.015
299098d7402b8a755b8918f06b9af6faddebd071,3158,2686,1716,3256,16,184,13653,0.015
db7beb4bd81f2ff5014842830b0360107ceac0b3,-1,-1,-1,-1,-1,-1,-1,0.016
dd8ed17ea5b387cd750e9a6b1a975060cda04633,3310,836,2823,661,3,323,1785,0.016
9e4ec2e1e65d34dcb69f943ce2895ee21ef46009,4940,118,1287,130,1,84,2807,0.018
ab7dccb61f59f8323c6d3c6ad9503213d4e664c1,1751,149,65,257,1,1,630,0.019
91674e3b0fd62bff8b2f00120cf69925258e9612,359,108,1287,98,0,0,1643,0.019
2c0da44648dfd8f912fa49b334f1f39f8cf29fcd,26,9,5,6,0,0,37,0.019
63f7e84acbba461096ed1962ed6f4701f1146629,251,338,54,52,7,229,1120,0.020
1e4ba613140366ca0f6cc66a15300481e1b4819d,1302,21,3333,64,0,0,214,0.020
c41223b8ad935ae32a0f0af9f4c52c77751eb240,-1,-1,-1,-1,-1,-1,-1,0.022
3e99387e2d7bb5b41cb070dc5de4402cbafd0208,5572,223,6019,862,30,1029,3461,0.023
662b09f3aeda60b0d6e2ecb2b347039c81c1c3d2,1567,76,276,1538,1,1,4467,0.024
bfe69a7edc8b6ca1640deca98255dbbbf00ab52b,2193,12,6351,21,3,526,1966,0.025
3d02f8469feca74507e1990e2b84be160585b21d,9335,98,6168,193,9,390,5425,0.025
02a4608c23d415fcb024f949d65c7fb4d52064bb,9800,260,2830,329,30,1479,1457,0.027
d735a640a5319b5f2b8dc29d9a736b0794483023,711,69,1230,248,2,18,449,0.032
d7bb5205471de15d5ec4d11c5b055ffd2b37cc53,2859,144,25597,134,6,365,260,0.032
48c75b5ab66fcf1142ec0c5cb8216867cb59d927,379,65,72,92,0,0,742,0.032
be63a0889a4cef3d14080402a67c70c428167f61,-1,-1,-1,-1,-1,-1,-1,0.034
2066a3cc18bef95907137bd5b2e7a12e94c84d5c,8769,5,3931,388,2,3,74,0.036
de8603881ba95612cf9ae94ecaf042dc0d3cac42,534,121,412,132,12,196,1637,0.039
24bcd62fdb530f613be6a4b54482040880a3322b,-1,-1,-1,-1,-1,-1,-1,0.042
2500396c18dea01a14fc78eb404b1318b17394e4,1405,337,602,918,0,0,614,0.044
45c3a35ee3238cb86141a09b3992a9b5577f77fe,9324,51,9092,72,0,0,3386,0.044
3e4ffc82569ca014d94f86ddb3cb58f89b487f2e,3885,209,8488,242,3,548,6000,0.046
1fb760a95e81ae16f858b8fa555ee49f606fab5a,96,43,16,18,0,0,407,0.047
5c9f82d331588e9df4bd78fa3b2ad9a9354218ea,3791,34,18188,57,0,0,4,0.050
c007576aa27ee57f598431153ac44968aa44d4e7,846,191,81,219,1,23,1792,0.055
b5ac8bf03d50bb31519aaf391903b157c0404ab3,825,290,47,43,4,98,518,0.056
487b62e5b1f414bfce539097770f92d2695ddfa9,29,2716,135,1581,3,3,34,0.056
8633337a2b3a825785b1b875d5f51869a4229c38,-1,-1,-1,-1,-1,-1,-1,0.056
b37a2e289b69bcac0a75fd0d1127b47d84bc40a2,1453,426,640,1319,7,1469,13676,0.058
7b8b521e38371a5bd7a3c4e087e516f9686d06f7,348,12,119,15,13,520,1748,0.061
dc4ffc3e4b52d711dddbc47c917baac4af382fc5,814,47,1234,43,4,3,565,0.063
e397949936694377a97544422ae7d929c456b7a5,454,103,21,33,6,147,633,0.066
731b80d924b913a3cb5e4f6880ad54008bcbad95,279,77,267,72,2,111,644,0.067
4cd2d07cc5b64f8c6adb33f36ae55a43e88a648d,666,208,473,211,11,1241,12,0.068
cec4ce655bcd830e4424da34f2e0983ac5f37204,5310,76,1676,552,34,3275,6861,0.069
d4a643bfa62eb271a3c5115c7548f7e6a6cb93eb,107,6,47,13,7,897,20,0.070
90ea7e1d72aa008fbee239b073c1037214cfd984,359,25,262,33,0,0,127,0.074
e729bc843a7a12f351ff9d9c254cadfb52b98450,854,383,83,561,34,372,1108,0.074
219c10152d0a85297e0cc4de045ae8eeb8e701e8,1138,180,375,205,0,0,225,0.075
45a2432ea65243d01224c05b139dda765369dab2,4690,5,195,22,0,0,173,0.077
fe79d01813f6e0119c4a95c110a859b00afb8273,1343,486,354,307,6,265,1041,0.080
de661644e14acd2e19d9bec2a5e9d21a4d8a2c6e,536,163,98,83,16,533,3501,0.080
f2ba78bbd939d115214234d89dddda6c66854d52,1665,2,7706,9,0,0,5,0.082
fd2af21695085da1dbcf8fcb26b84c9058119bc6,85,0,105,16,0,0,41,0.083
e2257cc6b87aecde7b8bb15f751c41cfdcc23014,227,6,60,129,2,9,108,0.086
bb875dfcb6b978cf3c8dd449a4ae52799218ad7f,2913,443,104,187,8,202,1586,0.087
437f764b54f79385d8263e3c3c812fcae6bc8321,3359,124,1396,128,4,25,922,0.088
701428820c816e2593d457edf5c4d89a486b647f,892,476,26,217,4,83,533,0.090
199f6b35819e61d10efa2079f4ffc2566c26ea67,833,180,15,200,2,1,71,0.091
e36b419942c3c39c98c0f506dbb9f785f1d799d3,5109,19,3116,20,2,34,1844,0.097
67db25d401c7388914e34ab13b7a20b56ddbc177,-1,-1,-1,-1,-1,-1,-1,0.097
02fb41656ee6c971a4fe68e4a1080da240d341de,-1,-1,-1,-1,-1,-1,-1,0.099
9983736bd22082f8bbaaff4d64814996e5a6570f,52,0,3,3,4,31,4,0.100
21eff9af6756efae85465979aceb9c5d895009bd,29,9,1,13,2,3,19,0.104
ccce03c55a9f9a856406b14a72bf2860cb31434d,5752,17,129,826,0,0,65,0.104
d0afcd0656914ae478879cf223425be28b91f517,1070,55,2674,119,11,729,7753,0.105
8e0601a0b6ded8b92d7729a2598a5e9566667913,4944,1389,1767,1516,16,1003,71890,0.105
b8cdae55e83497f4d55773579a5aaf810fb73a73,875,660,2069,599,0,0,1800,0.106
ad19ac5d7a21afb0b485f331074a7d117505dd3f,112,58,28,13,1,19,86,0.107
0932223a1d35dc062be232ade4957996f5629f76,20,4,14,1,0,0,7,0.114
59a6e02ce1aac6800c4ab5e0fe47488083543d7a,378,5,1,14,0,0,808,0.118
76d21d7b2f99d8e0881307d9cd064ec08a7e8f5c,1888,389,1152,366,6,206,320,0.122
c26c4f8985b408c5191b8bb9682351c801a21109,2703,164,186,782,0,0,38,0.125
15e760f366248a6a52980cc01a9120dedd9a33e7,236,194,99,802,1,14,268,0.125
a45bc1635310f0999264652533e9b3cf92b8ec6f,39,2,30,3,0,0,7,0.127
e71b811184a3e40633920d548d9a76ea51e98e8f,890,203,99,869,9,277,1849,0.135
a176b9e255c366395dac6352daee95249160d4c7,2167,53,165,328,2,24,577,0.139
0f84d8fa0e903689659ac2dcd44ec4567496d208,-1,-1,-1,-1,-1,-1,-1,0.141
2b6ab166e53746836704792ff51f15452f85687a,702,497,225,230,47,1770,2974,0.143
73464ca2da305434e5fc366483714e0cab0f9666,1344,50,246,49,16,2763,2246,0.143
501a72633dc8a10a7d06b6ab1ff6d684979de316,10,21,5,19,1,12,29,0.147
ab9007cbf92e04f95f9919247a820d499f8002df,-1,-1,-1,-1,-1,-1,-1,0.152
75408d51b4ac9804e19622d8e9b73a55671e6899,1863,78,240,84,4,193,1771,0.152
3f18c6e1541dba690852f708c00a94dd9383de7d,224,117,8,120,1,0,2869,0.159
1d8d4e271360895b4427a1e7a048334f18842c5c,9938,207,9284,203,18,140,494,0.159
def1c569ef414bdbf860b2cac862efced76156e1,7533,141,9034,692,21,358,30,0.162
fee8a94a24876be83890e03983f36405640e86e8,8,20,1,38,0,0,8,0.167
479319b6b4c079a7a933ec32e4a0d966dc58d092,457,9,0,488,1,7,905,0.170
de2682ad1ef38b9822501e975d8fb5fa5cc5adc4,-1,-1,-1,-1,-1,-1,-1,0.173
