id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bb8bbf5db910a0b188a7403b9c53fffd2365f145,177,98,250,97,0,0,305,0.009
92b24c7ef8a62329dce25f8c26ae30a0c60f0029,419,23,92,26,0,0,11,0.010
8d3758f0da4804aaa7771f0f7bf1c18b43d1689c,74,222,272,197,0,0,14,0.011
f24c4a2bbeec55c80aa488ca9643fc96ef3c5c9a,3777,10,1787,1,33,725,1476,0.015
45a9a0a3f5081ac9b68ed4e74903c3975d034f38,175,91,205,45,1,0,0,0.015
c2931c318b5d1ba148a852cda11bc253845cfdba,174,20,50,27,0,0,144,0.015
8d01174bad8a0b0f3961b531a205412f2895d77e,-1,-1,-1,-1,-1,-1,-1,0.017
9b6858aff1815eff980feb1fdd4a7216c01af51c,316,77,293,76,2,25,41,0.022
2803ddb3d6916efca92927ff63ea7a6ab6d68b37,215,107,224,100,3,39,1524,0.024
d7b49cdfd21e2abc04013caa643479c5920c41e7,-1,-1,-1,-1,-1,-1,-1,0.024
458d9ecbe8ce84c2ff478acc06aa3033b673a07a,745,118,135,111,0,0,389,0.025
0bce1a41289d241f548613e8141f59918eadf8c2,-1,-1,-1,-1,-1,-1,-1,0.026
bd99bf0efba4cc456376d76b0f28abc37504e17f,-1,-1,-1,-1,-1,-1,-1,0.027
88bf7ab6c4957b1331baaca405daa14325b2bd9c,372,110,2567,103,1,10,1531,0.028
471fc168337ee4861f3f2c9220db6c982e298b97,231,46,197,42,4,23,1459,0.031
8cde2de9a3b82c16c46fa63d9a03dba45970005c,220,35,139,34,1,6,153,0.032
3184e62388226ebe270a69a9b106ca8159495113,416,72,506,69,0,0,1,0.033
25fb51f317249b76482d721911ea6e62359f3a6f,260,25,59,9,4,126,140,0.035
99a103e7194f94588cc95b9cb325c7daef2ee545,306,160,1409,155,1,139,54,0.035
c148dbfdd25bee6c74c7f0836fd2f40f8a65b05e,491,1317,2148,1212,8,260,4175,0.038
fbe51eeb6e04cee1c6d9c52bcf565ccdc8ec5fbd,247,34,78,10,1,3,650,0.039
21e0f476b66040702700281c55fa577bc73f8723,331,190,192,187,6,69,150,0.044
300e025ea998cc61009960f44753a4c4148d5062,318,5,52,8,12,135,47,0.047
0a365c808db763038065d8ab0ff7ebaaa770b6bf,101,20,59,11,3,32,254,0.047
341a9aa6bb6bda92da22ed0138b83765d1c74459,-1,-1,-1,-1,-1,-1,-1,0.050
916f6982dccc692205a59b61240fef8e7e97cbb2,318,51,326,62,3,14,661,0.052
c46eb33a98a639457b207ebf6af9aef15a84cc39,2754,29,2318,26,6,176,23,0.052
b56449b1cbab052d6af796ae66efac74ff04c96b,429,50,19,66,1,0,370,0.052
49cee6278857d555be16237b785d618e0a9b881a,257,137,120,127,1,36,489,0.053
122446080632130937c735af03141f28b13b19ca,253,6,30,5,0,0,100,0.054
6c5a81bfa58fc5b2e3d642d5be1ff3c54e5399e0,469,39,250,38,4,52,770,0.058
555dab002bac09c7f72f94e914c1e90c649b06cc,-1,-1,-1,-1,-1,-1,-1,0.061
ccabca32153f95886ff36b089615bd02cd6769b7,128,286,386,272,1,14,21,0.062
a8b08dd3ae3ff1c875bf54cd9b3f84d342d592bf,1347,33,110,40,1,0,35,0.063
9577bfaf6f272435fbef995ffdf81ef38baf7e6a,-1,-1,-1,-1,-1,-1,-1,0.065
1ec1d8d830551b3530a40fa28102c1891e6a0029,-1,-1,-1,-1,-1,-1,-1,0.077
bdeba73f00da6e80647e8ecc8079acaf12d22947,204,114,111,106,2,8,2,0.081
11123fbacdb3b4c80ad5bedfa9a0b6bfb632167c,276,20,154,31,3,0,1228,0.081
59c0d9ef044acca0277eda2db7dcbb9a738b8737,151,18,179,18,10,526,519,0.082
9383310f59a4ebeec390bf1cbbc1d30c35edc1dc,-1,-1,-1,-1,-1,-1,-1,0.084
96dc8d6ed2fa557a12afde624c60c598e675005a,-1,-1,-1,-1,-1,-1,-1,0.085
4304c6347d872aa07b338c367b7bce3a00a2bdad,234,181,73,203,2,345,752,0.093
43d1ae8003ff27002f39dc586259bc76d16868ae,-1,-1,-1,-1,-1,-1,-1,0.096
eb456d1b1a536a31232388ac2ccefc4b87ccf787,178,21,342,26,0,0,1,0.099
303486f5f09294df7bd707786d4db993e4a02bcb,176,48,253,49,1,0,601,0.100
82ed12c8c79e0c1590e096b43b20ac62454b615a,-1,-1,-1,-1,-1,-1,-1,0.100
d7503bd15aaa37c7c3d83e3dbf035eb6420517b8,336,318,490,201,10,212,1495,0.108
c17f12d5ede572526d295a94fcf5fdd53ae6d494,-1,-1,-1,-1,-1,-1,-1,0.112
32233f70a2aedc22d6e64084c47b46c20e1c818b,-1,-1,-1,-1,-1,-1,-1,0.115
86abda4dac191466689b235af85a149f81dbc682,335,434,557,367,0,0,2360,0.118
41e2410972f675d28edc130d7a94c83eb0d7d2d3,104,78,676,73,0,0,9,0.118
6f3edc220e167ec21e39d4dd44c1b8d7f3ea3afb,-1,-1,-1,-1,-1,-1,-1,0.119
290cfeaa9e4fd33c12447c32b0afdb50bc8fd47e,640,522,442,165,1,0,818,0.123
e358b5784b9098d1899d9d6d97b79ba6209a5235,302,229,163,212,10,91,565,0.126
03833637e830b584f676124cd2040fe9226429e7,-1,-1,-1,-1,-1,-1,-1,0.127
1d4351c9fc5ca056381cb76093c33e95cd135685,184,66,29,58,1,50,746,0.133
57815725cf737852d01adc80f2773998b0635e27,9906,111,121,106,13,3699,44707,0.141
1289997e990886fbd1b968d89c4a6265cbc383bf,-1,-1,-1,-1,-1,-1,-1,0.142
e8797280941e7636a67a938460396a38d4b1d09a,308,15,66,7,2,0,327,0.142
83ec7d4d10f52e2a16208710aecaedb9c9537a70,-1,-1,-1,-1,-1,-1,-1,0.143
8fcf82647dfa11cd5a60307a3b9d24db9cbe36e8,1978,26,587,46,1,13,381,0.151
b76bc2acc1b02c24dd32af06f2805a85631c8f69,-1,-1,-1,-1,-1,-1,-1,0.154
488b4bda55dc461a3fb401bc027f221f2650c0e0,-1,-1,-1,-1,-1,-1,-1,0.155
c022f6c8a1f3cf5316e0d16506d5e059d748cbb3,-1,-1,-1,-1,-1,-1,-1,0.157
de3fc5b0dd841db82e131659493113c171dc57d8,272,83,400,100,0,0,536,0.157
3419e9eb2dceb7bd08a80179a20c7fe57d4e1749,160,122,857,119,1,3,14,0.160
ea511db779f404bae333e4d8e9fcf275283691ab,-1,-1,-1,-1,-1,-1,-1,0.170
c31e656f325e3c544e908f98d3f1ce852b90132e,-1,-1,-1,-1,-1,-1,-1,0.172
2a7f8405e1fefa93f1e95b19db99b58b2fe0d177,335,27,12,26,0,0,27,0.173
332f4147294c2d7b0d63f9a60b314e73315917d8,-1,-1,-1,-1,-1,-1,-1,0.174
0233902b31dc7d0690bdb88068f71af2a64a433a,825,121,902,68,2,18,5504,0.182
fb9fee9f8d46e1edadf86b82092e3ebd5aaff2ec,428,451,795,415,9,131,2497,0.185
fb289403dd02ecdb4e9ab4d1b87dbbb490cfd5df,432,440,395,98,2,0,182,0.193
690393c574a7ced412af7d43d8cc11f235de69ea,469,92,558,132,2,34,373,0.199
847a98bc27a705f3315a399ba74c76a1736390ab,212,46,130,50,0,0,9,0.201
dd6825adc404acaaa63011086a886fb0b3875ce9,256,793,241,730,4,101,2074,0.206
eaf27083c985d05538c4a42f6d644b6afc95bf9a,517,46,41,51,4,12,1277,0.216
7cbbae62d103bddc80cdbbaaea2555b8239dcc27,-1,-1,-1,-1,-1,-1,-1,0.217
081859d0a2fc1c254fbc2ffe9bce8acb811ba6a4,257,69,180,32,2,7,556,0.217
fd3dfd7c5373f39c933a66e9a2d2f21e76798887,231,306,901,278,2,85,85,0.218
e6c28632cc7da5f16e03fe63f763bea0ee199640,-1,-1,-1,-1,-1,-1,-1,0.220
6a9b68e5aa469e0ed381e2174161c4d5911771dc,254,42,91,51,3,5,479,0.222
ca45ee5fd8f0f875b6bd395ddd8cccdc3cec23c4,661,198,24,145,6,136,207,0.223
2d696ca2e367279e5d30b3e063fdc1a69e3746a9,-1,-1,-1,-1,-1,-1,-1,0.224
b6a43396566679d97eaa5c20013d2b8e30041607,60,29,151,14,3,4,5,0.225
8903f190a7d800a3f9483285abed09c92fdc9a02,76,86,132,74,2,11,58,0.227
83822c9541b3910ee62ab263452680a8d8bbd9be,469,397,225,165,1,0,1864,0.227
72bae1f42aabcdcce0fc25d5585f5f7c0464e894,174,172,444,125,1,4,1869,0.228
540f2ce617798057aaf07214f9660988a44d1fdc,-1,-1,-1,-1,-1,-1,-1,0.228
5d2fd2c2527ae8b6b2e85dbb71e14d23a619766a,335,115,50,122,3,15,1015,0.229
3a9e67ec800bcb9435faf4cee4281627ff647764,-1,-1,-1,-1,-1,-1,-1,0.229
00b0ee29a0e6ceabcf3751c67e5245efd0895c7b,416,44,25,13,1,28,22,0.234
8d9a63c6c7f71e0b53e7eb9a08c29ef144fd39b8,109,163,411,134,0,0,8,0.235
99c6c5042d39e712a58f19c63b9a4dfc7aa6e700,-1,-1,-1,-1,-1,-1,-1,0.236
ecffaad77d49501ac7df6f0d0446c80cb8ee4616,-1,-1,-1,-1,-1,-1,-1,0.248
d79b2c9270a1a6cc569664b957321df90595cf27,6517,133,177,411,0,0,1752,0.249
58cb621b6cc0fff390fe9e6fd623c607913a79c2,64,43,31,40,0,0,18,0.251
0d3051eb5b90af1b1d127312ee338b91e88df9fa,-1,-1,-1,-1,-1,-1,-1,0.252
d88f916995b1cfac84c93e10f61913eb6c451d5c,230,88,70,95,1,0,5,0.252
0ec0a1a35f825967cb05879144f32b330a4df5ab,-1,-1,-1,-1,-1,-1,-1,0.256
b69a0167f593361158c590fde4096c69cdb9700e,-1,-1,-1,-1,-1,-1,-1,0.259
14f1d799517ee5af7b1327856d91b8afb9abe6f8,154,4,24,16,3,305,309,0.259
ddbd8528415e9970890a3f1a38ca4d93689923b4,279,37,29,26,5,0,8,0.264
e8a6bd850e944698f9178b0529dc62a3c1e89dff,370,154,642,76,1,12,427,0.265
779a88654089ca4321a279cbb7a3fd5f17c3c7c5,-1,-1,-1,-1,-1,-1,-1,0.267
d7f564d712b19c442a04ba7adf90f43f3d312d98,38,1,5,0,0,0,24,0.278
3344bedf430e09a4a077b0a804510a54e26868f5,251,225,308,115,0,0,2022,0.281
a1d45f03604661bc7b53b7a2389504517173b78c,-1,-1,-1,-1,-1,-1,-1,0.282
831ed2033347294eaad2ff0e2fb918fbb9897b52,259,655,86,627,5,44,438,0.282
847280fff4fe7f00f63aa09feeee7f820277fc5b,112,20,26,21,2,0,37,0.284
f0c577b06f0db0330cd661b4d06fc685f0a83af6,111,48,78,47,2,124,106,0.290
07d7bacf1d6e4fd11edc4e4105bc3da04846cc63,370,324,112,313,3,81,1974,0.294
2c3a61621390bc8de29d815692c79ebf6c5ac719,-1,-1,-1,-1,-1,-1,-1,0.299
de49d7e1bdd32018e78f52f817c0dfaf97a9217f,273,187,11,138,2,26,426,0.308
5fb2384a4342c79fc99586baeadadeaf433bd854,360,102,42,157,2,25,482,0.312
0b059a140a7c558eb2200174f274e1ce3933b267,-1,-1,-1,-1,-1,-1,-1,0.317
3fef4f66350bacd0c6c3b09789e224c1c03d81ee,488,67,142,66,2,24,1398,0.324
44f3e67a5f2dacc8d3976ee30eba50139b54e0c4,0,0,522,0,0,0,0,0.330
3400522911854e0adb26489bf2338020c3ac6df2,229,448,70,450,1,0,201,0.330
5a34a914f0af86ce10612b5e0c99f32fac202cea,-1,-1,-1,-1,-1,-1,-1,0.341
32471580fbbf740f31e14e54bbfe730f3073b7df,158,67,138,62,0,0,1,0.355
6c8e0d6fb22d38e20232f13e244b536e1c00c5dd,-1,-1,-1,-1,-1,-1,-1,0.356
1582d49bef35d8cbcf67d9cb3dbe7ab595d7a17d,363,50,141,52,0,0,14,0.361
b07c71777e9ef63ca082e9128c9204d3848e218f,83,270,221,234,1,8,307,0.362
ae418f242cb5e3f8294d9904794328675717fb3f,137,185,165,72,9,0,10,0.372
092201ec97d405766cbf2168a09358ead42375bb,-1,-1,-1,-1,-1,-1,-1,0.374
f5d76720e56dc5b2f75f920fbefbc2d0b19a040b,230,194,586,183,2,2,868,0.375
299ecf8f56e6bee7e0f30d1e81c6a69efa7c44c8,102,12,17,2,1,178,37,0.379
bb38379448e1ba2a57a90fca9a2d43a81289087e,-1,-1,-1,-1,-1,-1,-1,0.379
a023296b8afd1ed33055377f15e05e3f3c34bde7,96,14,50,10,0,0,0,0.380
7ef050906fa67d1d8e1fbebe978ab91a0eae5b4e,-1,-1,-1,-1,-1,-1,-1,0.381
a6cb157cddcbb5a30655f829f177919b2b54115e,46,10,13,9,1,20,10,0.391
fab7f4b6b13ed6d1181eb3d82c7a74d4fe9629cd,-1,-1,-1,-1,-1,-1,-1,0.393
c8058dd8ab474ab9cc73956a04c71a2e28c50639,380,16,4,52,1,2,131,0.404
e0fbd9f7cf8afc7033040224d6f3f056ec9bec96,504,7,145,16,0,0,207,0.423
eb46001d190fd82c83f36aad62ac1844103bfb28,546,29,162,177,0,0,53,0.430
bb54e223187ea8435ca0dff17d139507205ab5e5,203,82,142,71,18,22,788,0.475
