id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f8e6bd460becbefe723295142be38a4c7fb2f5db,1329,4,1526,4,1,26,910,0.002
893dfa30344c815f0988e05d9fabfa8e3168fc7f,161,3,54,11,0,0,3,0.002
3eada4e012fdafe1e6592d92513b6730ae3410c9,258,2,10,6,4,109,790,0.003
5b54df686dac506db7a3307e2dead2fab81d27fe,88,166,21,22,8,136,1707,0.004
8413f01d969f44aaf2cc078ed06e0a1811982ce8,-1,-1,-1,-1,-1,-1,-1,0.005
944eaa792115e086c208a5ad723c7fb68b40826f,131,40,395,89,0,0,78,0.005
cdbd5dfc7bf852413a4c17dd93b91a833c7fa968,-1,-1,-1,-1,-1,-1,-1,0.006
8c15ddb426fad49732d77e11ee2ac47bbe706198,29,0,2,4,1,7,1,0.006
d5dd133ea3883938c784e5e105c4e26054efc111,-1,-1,-1,-1,-1,-1,-1,0.007
ace098909aad595f5a08fd963a7d79641e52cb8e,-1,-1,-1,-1,-1,-1,-1,0.007
66941c7c16563b964dc8d04ecdaf9fa1bf448b75,307,44,207,44,0,0,895,0.009
f69d19f0c3df7f8b8747c4fc0cf8c212048980a9,382,15,131,17,5,359,101,0.009
7b7511a3c9489d3c0c19035f27db0ae4897f6b90,-1,-1,-1,-1,-1,-1,-1,0.013
ecfcd9c076be5e1cd97cc7ac95af4bbafc11b47a,-1,-1,-1,-1,-1,-1,-1,0.015
fb37a7926109a755cb5e0c7e33987a2d943da184,-1,-1,-1,-1,-1,-1,-1,0.015
0f7214921217814766413f9e8f1374c35700e738,787,121,195,125,8,53,581,0.015
bfa5e572a9cba60482d2894e6be16df63b1ab397,45,7,28,9,0,0,74,0.016
e642c78ca26d82cb61f425f5a127be3f238516f9,292,1,49,1,0,0,30,0.017
490fc78a5dfe059ae64ce51734a26a79bc0b477f,-1,-1,-1,-1,-1,-1,-1,0.019
6819a255ddb54bea7a39f32acc6ee1da010cb784,136,79,701,74,1,37,8342,0.019
0f70d07c30340b89e4e0b84c75769f18bece7cec,-1,-1,-1,-1,-1,-1,-1,0.022
1381a58b428229157026d670ff42929f409d5a90,706,53,394,60,0,0,62,0.022
60c1c375dad951c9aa3dd0a0273e362dd4651ab3,-1,-1,-1,-1,-1,-1,-1,0.023
5961496a6ca7bf355d7d92c86661ca9864c78f5d,166,137,891,132,0,0,2218,0.025
ef6a9e182a88e78806e767b6b926661ab4d68d56,-1,-1,-1,-1,-1,-1,-1,0.026
c70428277137ecde1461988877f04eb0eabce0a6,-1,-1,-1,-1,-1,-1,-1,0.028
c1879fc0c1549323c8c74ab6d6a0eac25956afcc,5213,11,606,57,1,20,1769,0.030
af441c1376cbcf9be9c9a88950796157866af0e9,-1,-1,-1,-1,-1,-1,-1,0.031
74cf29353e396ba94e706ee9fd5ffa37b503788e,5711,22,708,445,2,1,238,0.033
08b6b934d3c3c77a0c978bdaf308b1c37b819db7,-1,-1,-1,-1,-1,-1,-1,0.034
94f9d557e19d876c5fd3fbcaf40d6d3436e93449,-1,-1,-1,-1,-1,-1,-1,0.038
b3159194ca3f9915c38582fc002a4a34f8a66520,-1,-1,-1,-1,-1,-1,-1,0.039
88347227ad46930c226e9cd343308861da65f4d9,-1,-1,-1,-1,-1,-1,-1,0.039
b749a4b854b57e7c638aa7a89a46ade3222e401b,190,10,168,55,0,0,3,0.042
0fb7df081ba82e0cfe3fa921cbad4571c82e2ab9,3508,310,26,614,1,9,165,0.044
73860ba14b385a21dfc7bd7c6932cbef37b7a42f,288,221,65,55,1,6,490,0.047
b8b7469c8cefa1064d4de88c2818d582ca6f56e9,68,3,33,8,4,260,13,0.048
bbdfab1ca266f13633cab4b584e00e4254518c9a,128,8,100,9,1,1,1819,0.051
1119fdf06573622888c1bbf112d204945c2c28c8,-1,-1,-1,-1,-1,-1,-1,0.052
7fb90af70736fe9eb3f5df9c8b255fe4cd819b94,-1,-1,-1,-1,-1,-1,-1,0.054
648b387a02a1fe8eb45655a6e7496811ec4e008b,229,0,69,20,0,0,65,0.054
fc4d11c6053d172af87f267cca67c04ed0127add,-1,-1,-1,-1,-1,-1,-1,0.055
8633337a2b3a825785b1b875d5f51869a4229c38,-1,-1,-1,-1,-1,-1,-1,0.056
9453873476625497083fee52769c1c7f8fc671da,-1,-1,-1,-1,-1,-1,-1,0.056
fecd877f9b0bef976b621f4f509a815a99bb83f6,4618,85,679,258,2,96,364,0.057
50daa66e1bf45412f0210794f8d5f940bdfa79a7,251,7,153,7,0,0,0,0.062
241acc6622cb1bfb91e6583ba70fd879842863d9,386,242,346,67,1,145,575,0.063
a8b08dd3ae3ff1c875bf54cd9b3f84d342d592bf,1347,33,110,40,1,0,35,0.063
e0b0f8647948079da030615e927971616ecc1512,-1,-1,-1,-1,-1,-1,-1,0.067
d811b9b32ea5e79c9e6a4d1179fdd0d60401ae9c,-1,-1,-1,-1,-1,-1,-1,0.068
7dcb2086aa24e193409b2a3f5a9373fcbcebe3d1,-1,-1,-1,-1,-1,-1,-1,0.079
2a91ac9bd429be2152a1dac8c11c1c344105bdc0,206,6,106,6,0,0,2,0.084
4a515d70e23464ca3bb247d148c3d6871aac1b91,621,95,104,121,1,12,187,0.087
aa0913ae06e2c9017f4c93646f6451a0097a5645,355,181,145,116,4,116,158,0.087
8a73a326119b2b140696f4455129e06b227b8d78,-1,-1,-1,-1,-1,-1,-1,0.092
62da883864af738a3d25531dcfba7b59e27d3449,586,36,133,39,7,68,365,0.098
fa66568996ffb682bff090e58740b636f2273770,1053,168,394,176,6,89,2204,0.103
724a79931217fb9b596990cdac9ba566af6b059b,123,3,5,49,0,0,1,0.107
