id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ff078c4531c924a3ccab802501bc5267f125895f,4314,48,250,730,0,0,5,0.005
26e8fe16ecb8872200baf8cfc3bfefdfa7367ba0,-1,-1,-1,-1,-1,-1,-1,0.005
c5fc7addc90a7a77320f95e7f3279771a4021605,156,0,33,5,1,0,4,0.005
4d196fc28c51f89eaababcea7375120a370c6bfe,762,15,116,21,7,13,5,0.014
36427af2ff3c260cd88a27178a1933211ca2184f,-1,23,65,27,4,35,251,0.017
3d35fe6e52021d3843f9fbf171e13c6c5f8bc816,304,44,261,43,0,0,165,0.018
5491315d6b5492e735a65b1c087f7ac2a0c98466,264,16,170,16,3,23,38,0.021
59a5131eef600a285e459d5225646d98e6150307,569,231,198,216,0,0,992,0.022
52102a96a59ff3a5f4d07de274da05d8d01ab628,100,7,85,79,6,190,450,0.029
e98d4a46a54455656eede4353b6244532448b276,528,218,565,219,1,12,1060,0.029
c1197409281260b6839291375f3564271e89a7ef,-1,-1,-1,-1,-1,-1,-1,0.030
3aed5ec32671a7951e1f0daf11e6f2c5a22bbb09,-1,-1,-1,-1,-1,-1,-1,0.053
624f2ea2f04248d5bafdf88ea4b9bf865f916d94,286,9,37,17,3,75,45,0.063
62da883864af738a3d25531dcfba7b59e27d3449,588,36,133,39,7,68,365,0.098
ed6ed73b0b8bd543042b66aded56205bfb0bd0c6,486,83,109,81,0,0,145,0.098
598861a918dc8f0329b98b073c2f3616d872a1fc,189,168,281,200,3,66,1722,0.191
00b5a093a8db231615222758c01a9e5cab096827,42,42,17,2,5,22,76,0.215
8c8951f608f53c2c8aac451933a60d2d51a582bb,-1,-1,-1,-1,-1,-1,-1,0.216
e6e7423b256e29214654d64863da1ed6f922af99,277,151,251,144,2,0,5906,0.226
d9b47213347002198634f414fd288fd6821d2c20,65,83,62,56,0,0,14,0.226
4cb7596d0a49f221d86d9c7a91d952846cd17b38,293,18,47,19,9,149,194,0.227
2edd93f0e71136ce1e4752f9b29f7229d65dc7e4,118,44,20,12,0,0,240,0.245
fe608e8b765e63ff5f298d92f5fc0e4403b88d7a,-1,-1,-1,-1,-1,-1,-1,0.253
413c094492f485aec5a11e65e37d2da7af4ecce7,-1,-1,-1,-1,-1,-1,-1,0.256
5edc013e0b31877a8332e4de77e3818fe1245016,85,91,6,53,0,0,112,0.256
e48cfc4296a11f5de7bcee4dfea9d9ae0b2ccf21,300,164,202,166,1,0,499,0.258
d8b32c8140adf725d6e974144c31087b03ed377c,83,22,2,6,0,0,28,0.266
f68560ccbf02699e37b531722eb85002c3d90e66,53,18,592,373,3,28,13,0.268
88cee21fcb016b6624d1089c40f5fb3d685d5f8d,-1,-1,-1,-1,-1,-1,-1,0.289
7e0b08ccbf3efec71591b5cbe58c4e744dec77b0,731,11,434,57,0,0,8,0.294
cb9b8deb4bd3430c7b2fc5907c32a97cae5685b3,-1,-1,-1,-1,-1,-1,-1,0.295
2734868ede7a5941de7bfd83af9544d8db848e42,-1,-1,-1,-1,-1,-1,-1,0.304
4c3db4c2d679f6b356d2f0db706b2bf22c71ba41,216,58,48,22,10,17,35,0.319
3ee87752b303ed9f855b4320a411fec4910fe25c,-1,-1,-1,-1,-1,-1,-1,0.324
418e1bfba4e3e8781baac8a842eeaf8198344f4e,112,34,1,224,0,0,86,0.325
80b182bd856c574c4cfef514917f711115c599d0,2084,58,133,1227,0,0,945,0.330
36c5f03627001fefce6b66e574a3690e49a3fc42,-1,-1,-1,-1,-1,-1,-1,0.336
94631b6b6f223dece7928827ea797c260f55c76a,617,398,117,138,0,0,2,0.337
e6a83089bc9e62a34d5ea5155e1ecc36cd8bc8f1,49,11,6,1,2,7,73,0.368
989e415aa9b1ec63d4d06c119e4128493ef2e92d,44,17,3,13,0,0,0,0.390
7ec071c77a6ba229545f851a29c41c05805a9649,10,0,9,0,5,2,32,0.406
7ba8bf281c20733ee7aa999c6b05e1f8344e6b06,-1,-1,-1,-1,-1,-1,-1,0.412
c50a01e528f3a80057d1172348960357a4b0859b,261,111,149,107,0,0,256,0.423
d385864d0c00378b3dd9a61bb5c03268a9ff72f4,-1,-1,-1,-1,-1,-1,-1,0.431
fb2a13b13d39bbe4fd75da02495eada6b57d052d,87,39,13,48,2,34,5,0.432
455965d50f60a73cd7946a888021cca818758420,483,0,17,118,0,0,251,0.439
abb6f8812fe907c1c8011ffd3369ac4ee29b0bf9,-1,-1,-1,-1,-1,-1,-1,0.469
884b4e5c4827ba8550082346d66579ca26767843,8,5,2,5,0,0,4,0.470
438bf3cfaf8907f695636a32f19495c506b5cadf,542,50,24,125,0,0,24,0.504
0debac901892aa66dccb2d374a1b8b82efaac22a,185,21,3,28,7,151,0,0.513
535d0d6ab3450c9f45abb23139a8a13e0bdf5f3f,9936,155,1110,145,6,262,2052,0.521
60b05aaffebe8f10b34911ff3d1a0c004e506251,-1,-1,-1,-1,-1,-1,-1,0.540
15b32ada7b52289f21ba9788a330e3debe79c6de,2244,23,311,415,0,0,19,0.550
9e4321fa45c3bc46b2fc78e478665e0254bdfc7f,-1,-1,-1,-1,-1,-1,-1,0.555
93829f2cc28c7739b1498fc5a3bd56eca9d219e5,235,299,182,195,69,0,44,0.562
b7bd08c6355a169811ba7a3ddc58dc6de70ec1fb,-1,-1,-1,-1,-1,-1,-1,0.567
9b143a681369cab663f20ffc5121e855eddede73,-1,-1,-1,-1,-1,-1,-1,0.589
6da839617249ba9bde409c8aa0af4c757a595b38,-1,-1,-1,-1,-1,-1,-1,0.589
01a3eac79f949aadcadafcb22d1ee4143f56346a,2,3,8,2,0,0,0,0.601
434ed1b209b4c8bc8a8f02f05d31185e5ffedd4e,3436,42,1,299,18,296,555,0.610
a1b43c0bdc46c715d7d7d0ff518e10f6b8a426fd,1309,287,63,838,0,0,564,0.612
bbf7939aa66e4836bb0d6ee80860dc8224ef06ef,139,79,310,68,0,0,81,0.631
6c641dc0fb1c7eec5462430eb14f3887dab89b58,358,106,39,67,0,0,413,0.637
38d7892e3607f0f69e5f39309e4cc6c7f11ef6dd,132,1,36,33,0,0,1,0.646
476f8cab5d10d9a61c9f6186687f627ab834fbda,4413,134,185,683,1,74,5635,0.658
27b94720d694fe9befc79975c7e51108637a758b,-1,-1,-1,-1,-1,-1,-1,0.665
7299d365eada158982a5b18309950daed8e5e388,5676,59,985,100,0,0,70,0.685
7db385f0643f090b215e15292554be68665e0773,-1,-1,-1,-1,-1,-1,-1,0.691
d5bf09523de53b0334dbfdb23778bb7b22425b69,117,0,182,32,1,0,14,0.700
fde90ad81d211aba1c497d2c180d5ab900212853,3471,28,906,80,1,0,16,0.703
6b03245bf558d766c27c12c296197e5182368689,113,0,1,62,0,0,5,0.714
fb9804247227a9b8b9ac48a3ce8d0a95aab51ed8,6,0,3,0,1,1,1,0.721
9605f82da1776fc757cac5674609c69f58193ed0,561,18,1,126,0,0,9,0.732
0ec2da22cca0c9f4563f622eba44be787666e1b9,-1,-1,-1,-1,-1,-1,-1,0.732
7e22dd79e5fecefb5e478751ab7caf196c395a91,-1,-1,-1,-1,-1,-1,-1,0.740
d3ca61ad6834a73da3e9216272cb29bc822dc9c2,242,23,30,62,1,37,4,0.756
ffef7927aabf0d960b850bd9bfd5bce8e341c5e4,9908,17,10312,15,0,0,152,0.766
fa7d7bae7aa8ddceb7d5dc336c495fbfa9061172,4328,39,0,37,0,0,2812,0.767
7028eb3f1e8995b689e94f224c3871520c67a820,-1,-1,-1,-1,-1,-1,-1,0.772
149617a775ad9deeed268addb148728cf6b44258,4,0,2,0,0,0,1,0.792
9ef9d68e67d0edf23e5fb8b4f0026e94f3c0c21c,1159,32,16,31,0,0,1244,0.795
6881bb47277b9fcfda8ce1e3579359be35edea62,-1,-1,-1,-1,-1,-1,-1,0.797
7d8ffdadaf0bda80b2d04e1758a96601323f2302,442,24,8,23,0,0,31,0.812
83994228b5c8f5a7d0d3af22d95d9977a2b24f0d,184,10,33,15,1,15,60,0.814
7ae0c522accee5ef74fbbd5e89d80fe789833ef0,856,4,18,73,8,101,616,0.818
7ba4842a94805cb821135bac8c9eeccf6c6e2da5,-1,72,184,76,0,0,2620,0.821
7a465c0c9e52b8bac16532bd56ab88c03d86e0a9,-1,-1,-1,-1,-1,-1,-1,0.824
2bba2a02e5b3431bceadd9fda058bb817fb3d36a,-1,-1,-1,-1,-1,-1,-1,0.824
4bf03da087e764f0af25dce5424969461b43a722,2815,64,324,68,0,0,2834,0.824
8569c10a852e7c18f792f90cac3b8018d82f2999,512,315,27,146,1,0,22,0.825
59503e9853ced39d56d35d06d1edd7393beb3a68,1261,5,59,97,0,0,42,0.833
f5e648ca6badb8763826ec020957cccafc2e449f,-1,-1,-1,-1,-1,-1,-1,0.838
6975ae3bce5ff10ae9df627501c0784cba3bc5fb,-1,1,570,270,0,0,6,0.841
fbadb194b5d88f0b3093080b6bf3df97c67880b8,34,19,2,23,0,0,46,0.844
39d3c52349128681f68ed779ec720065803d55c5,39,4473,80,4398,0,0,0,0.847
277a5bedbbf56fb64da5aefeff0d6371b3b12c1f,2205,54,319,45,0,0,2582,0.861
b9b6470a46d97d5456c4d42663d1f06fbccff403,2054,50,317,55,0,0,2649,0.861
816417ec9347509610cd0ae7e107dbab32d27205,3916,332,30,510,0,0,45,0.864
1ed315c2115738063ea71adc4d7e71389bb3a6b5,116,2,4,19,1,11,6,0.864
449cf4d5c53993a8d146f14150fdabd0f3654ec3,4725,166,2,91,0,0,90,0.867
184fea84999f70b1b810cff5c98642aaf5c96641,155,6,15,54,0,0,24,0.871
7573d6e4da733bce7db5222b7047d22e6352755b,-1,-1,-1,-1,-1,-1,-1,0.871
a3f26201b339f919d67cd2c948b22eed64623ebd,1380,18,1017,18,0,0,23,0.873
7039aa37261251b811996b74ed1a5b9468210b71,-1,-1,-1,-1,-1,-1,-1,0.875
7817a65f20863f5f7d55af784ab55194a305e2d8,1223,1,29,62,0,0,13,0.876
a6170c9434fa210e640a3484c2f728f4f2e4ce44,-1,-1,-1,-1,-1,-1,-1,0.880
287f69346c1b3c6e2a13c65cb737b70d51190381,1224,129,8,80,1,2,56,0.883
19b8029dd098390a25dde3c55c3efa757c266876,359,5,41,8,0,0,3,0.888
795d9fd852fd069ab90999b45da9023b078da409,-1,-1,-1,-1,-1,-1,-1,0.889
fd3d2eaf9a49fcc5397aaee37dd46580b7bb2700,704,15,8,9,0,0,17,0.898
ec77afc78e784b4ede86d8e02bd07f32542c9da8,183,46,19,43,0,0,23,0.901
67c0183287e34e7e7aee6eaed9c4f17daf494d08,2,12,3,15,0,0,4,0.907
0054d391ffa7ef47b32ecc6e838f119d5a8b992f,-1,-1,-1,-1,-1,-1,-1,0.911
6747a53a33d9fa9b275e3f14e9632bc65011dbb2,175,227,30,221,0,0,21,0.916
ec33d649a42de68164880fe26bb3265e56c3b48f,215,21,19,77,1,13,11,0.918
77924be342be696d91958074ba0fcca9d3835f46,223,21,27,27,0,0,18,0.923
573bf5ead631f251508d5f50e76d6f08c3a99b91,203,10,61,111,1,0,13,0.924
0b60b3ce063af92d573fa0b35dafee8a2db9b254,348,23,19,20,0,0,15,0.931
30df9fee284f457222547d5dc7863868dbee0e46,916,188,6,124,13,87,8,0.933
97b412f217807c8f9d95eea842707144323d7c68,294,13,23,18,0,0,126,0.943
7e3cff04650547c67136af67fcdc5e579331d4c9,-1,-1,-1,-1,-1,-1,-1,0.943
a15ce19de42717575902bbb1b94444ecfd02c2cd,600,20,25,15,1,30,21,0.946
