id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2488afd602cc0710e584e4a5d795bba947402254,-1,-1,-1,-1,-1,-1,-1,0.001
465aaaa99d01a7d84e98d841e823e468164c4122,367,8,4,16,5,72,305,0.002
da5cf2abcc7246a506380eaea1f5065e68674075,2797,330,337,925,13,1055,471,0.010
0d70c7b1adbd1a7193bba8c29343c9d19670c4da,3436,103,319,245,0,0,1618,0.010
9bab6064fefc6bfc0d43eda951282087cd044581,1701,66,998,69,0,0,491,0.010
f858c8e78193962284ed3ed4bd94f67a7a11cb28,530,260,363,123,2,120,296,0.011
a3100889397bbeecd519812a12f5167b31efc336,709,78,505,79,7,625,334,0.012
0f259b9b12017bbbbc6cdb68f7995943de9f8d91,2165,278,154,327,8,37,266,0.012
142c14bdd8a34c4ed8a9dc50198dadf0206627fb,1638,152,134,165,0,0,91,0.012
e0992956b14cff28ef735f1de4fc704033ac2553,541,242,895,226,1,14,133,0.013
66a33670aa61c4c816dc4652e00b38d43b5887b0,3689,12,4711,12,4,893,68,0.015
96dc25b7110be96b212f2ca46f60559a7a8c6761,757,243,295,224,5,41,13652,0.019
9e790a2ab8af21a2e568c23e95e4455ff2bf4d95,1972,610,1718,532,0,0,1004,0.028
9ca44de7c60af1741308c2bc52ff83230f909abb,538,207,240,306,3,11,748,0.029
de5ff3205b74d4afe65972e1bc8480b6ccaba1f4,502,45,46,234,9,4,157,0.030
4093574c3d729d681fa48a113b5a198fe455ae42,102,84,413,79,1,22,153,0.037
eb3901ea4132f0329755b4f2ff8f64b61c006397,192,318,487,310,6,31,2221,0.042
2b7dbc06b94b8811f3b1d87b0211741d9d12983f,241,18,249,19,1,18,1452,0.046
5cb7d4ed2eee48390e63926276760b4bdcf8a1fd,953,114,310,129,6,338,959,0.047
085216017f77b4fd44e461fe84208bf2f4265e46,462,1000,802,969,5,94,6731,0.048
4334991658e45941698c03ad3702a0d49b7f71d8,1470,1000,1400,1615,19,758,1812,0.054
a031f3fb4dc53b9b908d4a885c66cb9dd096f374,-1,-1,-1,-1,-1,-1,-1,0.055
3f95bf585198dad1a2fdf6139ac1f4dd1fa347a8,1973,43,195,119,1,541,608,0.057
d0bb44181d3c310caeceb3f6a30b152db21f6313,-1,-1,-1,-1,-1,-1,-1,0.061
60b16319b1967ab27050246f4c23a11d4886e701,230,103,347,91,0,0,41,0.062
9587dbfb43983e246f1c716edd6d074eeb33a16b,921,51,877,131,5,59,1354,0.063
4206617fc3ddb031df755860f9ded75db348d696,6478,2,3,2,20,776,1962,0.065
4c0e82b29e01c3d232269afaed3e002cde90479a,299,287,174,293,24,283,807,0.076
14dd53c1923035d1d56f6790d7e18ac9d4c82fbe,745,160,1167,150,3,489,52,0.076
7460835544d9c7c11586f6309001ad3f59149328,65,96,924,89,1,0,9,0.081
09fb9174c81e17ffce13d0e4299e82625013028a,1341,97,241,94,32,1986,1190,0.100
874754634ca4985fe50a18f0a62f884aefda4acb,366,168,12,252,0,0,100,0.100
336e87e671eef0061d5f874ef662627598c02aba,3320,1013,2481,1440,15,323,878,0.102
f6f9eb3f21d2e2c20052180d5ed24f138790dafa,613,449,110,157,1,18,511,0.111
62e81816dcfd7da3d423c0415acd5c1a131e91ec,-1,-1,-1,-1,-1,-1,-1,0.116
2234aefbacb03943590eb59cf37636bc3789eceb,289,215,293,107,2,8,355,0.117
80cef51205aa97dd5e16be3f4ef1fc3a41d845a8,92,45,34,38,1,0,23,0.122
f868edce3a221096a846d489b49e780467a1e4ca,-1,-1,-1,-1,-1,-1,-1,0.130
38128d014b0676d1577ffbfd0062d449773591fc,651,83,36,120,0,0,104,0.137
373b57283d28b3e1afe8460d1a4ce39def6be452,-1,-1,-1,-1,-1,-1,-1,0.153
e4978e2c2d3088eccce52378d96289afa7e066d6,1361,666,215,218,0,0,13089,0.156
1ff1af2be7e5e79cfedd13eeb0ea7d9fcab59a67,235,7,21,7,2,143,60,0.163
be1f216fc7f1993439189aff88c6db73259743e8,862,1000,716,471,0,0,75,0.167
519501fc171b78e9c566bfd1910d7ba1587d2536,2339,91,182,563,0,0,890,0.171
8eaae6190229abdfc44959e115f2ea8b71b5137e,946,48,148,39,0,0,349,0.179
fc0d3e695be34b3b4e4fe832c5450fceda851091,-1,-1,-1,-1,-1,-1,-1,0.195
cd309fe0f79179c88d7c016cbeaa29caec12fb86,4939,22,30,279,2,17,2125,0.205
fcb995655740ce5859ef3c720c21d776b310133b,1817,1000,5161,968,38,856,347,0.210
6e0ef6f728603f3d92ada51edf1b7740aad48ff5,962,190,1037,179,0,0,966,0.218
9bb448e5ca569ee07c25269eff7242a6b8362531,70,11,9,15,0,0,11,0.220
ff9517cda4b322163e0f9edbb6da88a68725e9b8,994,291,375,786,30,20,2406,0.221
407cc9a96cdcd708bbf4d8323a0934681fd6e4ef,59,20,21,169,0,0,33,0.223
485ff71a5aa1b349a4cd07859bc17c3118e43fd7,3092,163,459,171,3,1054,622,0.224
978618fe73ff17b5ba29b627dd1f5dbdde05007a,311,51,85,86,3,947,2696,0.227
85e1f5601e55ea1e6d5089613a68bb169a176c4d,116,65,103,55,2,19,54,0.231
5c35256f2aa7589ebfc9eaa7d127a36c82a669ad,1807,374,34,255,5,318,3530,0.236
d7325b27f185a76bbd763799bda79cdff5c75ec1,58,153,37,119,0,0,47,0.239
94301a3079145024ebfae4ae224a829726e1a869,6689,194,1069,199,1,7,7681,0.241
8d02c7f424d82c2f5a9342bc93155d1a267a1b02,4455,199,6,286,7,225,1364,0.246
cafb273ee1552530ae4ad52d7562396ad39c9ca9,-1,-1,-1,-1,-1,-1,-1,0.247
1d2106631d869e806e95d1e8e97e1820dc24de1b,-1,-1,-1,-1,-1,-1,-1,0.250
a06f7598a2c7eb541313edffcce7fa909197d630,3954,130,574,697,0,0,6,0.251
78610c79a89fbb7fccb985ad81d30540167a2cbf,-1,69,307,130,20,5860,13389,0.260
73befb7709c20989346be646977da268892683e2,355,184,15,445,1,7,106,0.269
13397706879e77023dee04c1ae305bca257f7163,202,84,30,134,0,0,483,0.270
f23a70b0969ae1d04164304e2072d6541793b853,2484,1000,1708,543,1,17,423,0.275
f464ec5e23c116c63e7283406e0bc9c9ab8bd30e,122,36,1422,34,0,0,20,0.276
e17be742acf2671a38978d6c6f725c3cb0c49b1c,42,44,6,10,2,0,7,0.277
6da283ef47d0e960ad01e05e81a3a0aaae439dff,67,123,58,48,0,0,217,0.278
