id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
587932999dc5818025d4341d1a1f9f3a7da37d1a,158,203,18,88,1,2,720,0.031
1a784031762f948640f0966facd426cffc9cde7a,851,0,61,0,1,6,18,0.031
0869e42a4e30e60d3cbb34028d2963371a9fd012,230,21,50,67,17,368,1014,0.046
8a5e8ae3c1800829865551a5fa98b8e6eea05ec6,1627,812,13,891,9,1,23,0.092
18e5e3788ab4e8e3aa9ed6260e6ea137dbc52906,112,20,31,18,4,68,110,0.094
b6d99e531a23a75639452a00f7ce535b6bc1072f,-1,-1,-1,-1,-1,-1,-1,0.150
221cae352561bc9cff901e55eafb07bce5830339,208,136,114,98,31,1910,1755,0.221
09d65fb220fe2f4da6896901f6eb493785a3afd4,142,88,18,71,0,0,47,0.227
4727670875130cfcbe029fbbae7dcd1f2821d7ab,-1,-1,-1,-1,-1,-1,-1,0.240
f17b7e7702fe8ae892b81ca5d16213df20682ec6,-1,-1,-1,-1,-1,-1,-1,0.267
ef143abb2a0f0ec6fe219657a45dd10271852c88,112,82,29,83,13,1,10,0.289
93e10d583a344341663a68ccd3926efceefc2b9d,4421,24,1730,273,16,190,3939,0.297
7d0ad4c0231debdc9bc2a4c11ca7045859500927,11,12,59,13,1,0,1,0.321
3601392c57b70f3bb1dfa1a3ecf691eadaca41a5,-1,-1,-1,-1,-1,-1,-1,0.354
ac9ca14aed35e61af2586823b64692686c826005,-1,-1,-1,-1,-1,-1,-1,0.356
0ccf6ad3ae58fdb540322f0801edffcbf7dfd64f,-1,-1,-1,-1,-1,-1,-1,0.385
8be7a198858a2195b4a855402a0407a140956243,159,4,24,4,3,95,286,0.415
7badba21a61a462cd5321b547f9706134b666d38,233,301,189,295,0,0,35,0.424
529c489b6e235220a1b85cca4b7b79f3ea2d8b6a,182,7,201,8,1,0,5,0.436
6c95130260ae5bc10cc3191e61b3a6355e1d550d,-1,-1,-1,-1,-1,-1,-1,0.460
96e4e383e6fd303304c2b4f69e9489e561b88a9d,-1,-1,-1,-1,-1,-1,-1,0.483
ef214ced083bd92bfc3bedf0916a30ed7f1f688d,519,172,229,161,6,111,14,0.484
3d0f6de5afedd81d28b63cf6d258303bec8d3d62,87,15,15,21,1,10,263,0.490
3ee3ee3c68e687634d55388d36471a5cc55d1e48,233,6,28,114,1,9,410,0.499
09c899fd828419ecc10e23bf6ab5edbd3861d2aa,572,31,100,138,0,0,16,0.500
da457085d76018f942938b7ff043e0c5c6a3cb5f,-1,-1,-1,-1,-1,-1,-1,0.501
4b3b7c2589b57df43046195438590491018c7a19,-1,-1,-1,-1,-1,-1,-1,0.511
6dd883ac8393c763688ef6e30552685e369ed6b6,-1,-1,-1,-1,-1,-1,-1,0.537
a9d1c216bbac95314f544e20247708822d5d7f04,226,355,173,353,2,0,4,0.538
5687c8f6a0f356b85aed848f419a567bd6c5b063,-1,-1,-1,-1,-1,-1,-1,0.550
5054a0fd43c03ccd4ceb72e1b76c9d3d5bc07531,1616,237,53,143,1,0,6248,0.556
b1b6a8a924ecd8ae85cc9b4e2f6ff63764a4dd7a,-1,-1,-1,-1,-1,-1,-1,0.564
e2f913373cf02a8548455bffb9d29212fb34a31f,172,203,88,196,3,0,568,0.568
4ca2cfeb17289205c2d4a123c852667a26fbdafc,-1,-1,-1,-1,-1,-1,-1,0.596
233073599fc4aa336b34f53c5072ec2d0f23114c,630,10,95,97,1,9,85,0.657
a078a1e6c56fac8798e951174a2d295f5618a44f,221,10,49,136,2,19,347,0.693
d80db569ac151286a675c3e10d77a8b2fd11bf5d,-1,-1,-1,-1,-1,-1,-1,0.715
eaada72189aa05d941f2b46c34cf7c1e9af40536,-1,-1,-1,-1,-1,-1,-1,0.733
c96a58995c60c24347914aee38ff21dc575f1e3b,64,24,42,9,0,0,928,0.751
9d19251fd6ebb96f4210ee45fdab9c9fddeefca2,-1,-1,-1,-1,-1,-1,-1,0.754
87e9898b2253d85dd71fe961224394d6cddbf311,-1,-1,-1,-1,-1,-1,-1,0.780
c61db929f3b866d105f860da07b3fa8bc020b694,-1,-1,-1,-1,-1,-1,-1,0.781
468769309e822305609afbda20ccdd977a7d2de2,14,37,1,28,0,0,4,0.810
e2371874d8014e2b8c5a69c06bcfe5eb7b9a8991,5796,32,589,736,0,0,744,0.810
5ad16d1ca3840fc6694a3a82b9ff49f52a8da273,-1,-1,-1,-1,-1,-1,-1,0.816
b2cf66bcf8a29fc9a057f97e77238be8cdccf580,-1,-1,-1,-1,-1,-1,-1,0.822
56f3aa315f3d4e42a04e65d27125c4867aa7dfe3,7133,139,8717,256,0,0,40,0.836
1cc720fe25d523c60c60199696b444c59139b99b,-1,-1,-1,-1,-1,-1,-1,0.845
8430d1e7463de1e5b679c89242372d960e85d849,501,14,12,222,0,0,30,0.846
88159cc09a42b028da157ddfe94fd97aee510289,155,9,23,57,1,9,55,0.851
02c2d469ee76c05ad61011d5f073c3c5b54b50a5,49,1,3,8,0,0,1,0.853
66f8ac4eaee53c194b3ddb9778a0f771c972896b,-1,-1,-1,-1,-1,-1,-1,0.861
ab47f234b35d22c3c7f670994458edeee36ab44f,43,116,69,66,0,0,75,0.875
00ada3fc5688a0d6f0edee9ab88a812546075fa7,49,1,30,1,1,7,1,0.877
98a959432578962f1aa885623067d51ed8a79b51,-1,-1,-1,-1,-1,-1,-1,0.895
0a6f3cd11eebb3462ee5b951fcdb4d9175ac5c16,472,21,67,47,0,0,12,0.898
7768f323822abd131819bb159eb356a8dc915d62,-1,-1,-1,-1,-1,-1,-1,0.898
432a35a1189b0e253df150ef540eaa77ca4d3ebb,-1,-1,-1,-1,-1,-1,-1,0.902
55a0a6d1e0a69b1d52ce339ca7df222a689aa7ec,-1,-1,-1,-1,-1,-1,-1,0.902
7fd89542e4fbee02937521f36a98a2d8376153c6,-1,-1,-1,-1,-1,-1,-1,0.903
fdc82ab5c0e86b2de56d1b97fdf48bcad7ba6cce,72,14,8,22,0,0,9,0.903
2aded9ba0022c3f85ca827eaa5d6bfce50b31cab,-1,-1,-1,-1,-1,-1,-1,0.906
b1a67c6b423be584516a79a910532694c2726a33,170,0,6,36,0,0,1,0.907
b1c6b673fa72b2d8e5e1228aa29fb30c852a367a,-1,-1,-1,-1,-1,-1,-1,0.907
6847a99028f3933455bf5eed1fa5a10426a17d99,-1,-1,-1,-1,-1,-1,-1,0.909
6b74fdea896f6ecce3e1d114a2da243c57717fff,429,60,69,50,0,0,741,0.911
f711ddf7f0b6807573f60e638a47eb0f874e960f,-1,-1,-1,-1,-1,-1,-1,0.913
ee001949205bd16eb7e9383aef618ad27f54df15,570,1000,27,732,2,10,502,0.914
1c60fb476bc63476185abfce79b171b012752231,-1,-1,-1,-1,-1,-1,-1,0.936
