id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
88ae99da6820dc278f092b5c491bd28d211cfd45,-1,-1,-1,-1,-1,-1,-1,0.001
8be337271ff0b30201d8287e3baf83dcc78f69a2,539,455,767,384,5,421,6274,0.025
e1ff75a8bf965eccf873c4cf6056d369de3a2598,-1,-1,-1,-1,-1,-1,-1,0.057
ef612ff5a9008f9d3d71153e579c00568cacb8e2,424,367,211,351,2,47,306,0.065
9c626cfccdf8bc30b01ad76958b161c129a9ac97,-1,-1,-1,-1,-1,-1,-1,0.066
e19aecfc78b4289c0e86ad97f2e2b6daec7f2565,4854,70,501,62,0,0,4240,0.093
f5dadcc78c1680e59715c64d7cabf9b4f420e531,1952,54,415,56,8,110,2515,0.103
5d2d29be685198429afcb0161cb20cd0c093b617,583,13,489,12,5,0,4507,0.104
90a01c3cf22422c005cf1f0cebc1967b8d58400b,-1,-1,-1,-1,-1,-1,-1,0.146
f48fbf24917724344aeb177174a26495cf48e784,525,250,1381,238,0,0,2430,0.149
4ab83cc9995b06d34a4802c0719da73aa6238bcb,177,11,12,13,0,0,73,0.198
468d7a0985c7e0ede8de4a6d7b1870b17a691440,166,105,395,104,2,1,2,0.203
95188eeedf16b0d35a20f4f5fed73001db48da00,6249,918,1401,600,0,0,225,0.223
04c07e981a8e84f3e99c8e5e6de02c000330f225,672,148,273,181,21,687,5494,0.235
02b81e2448b0b01570c79fedcf28fe04c7c7f117,4214,4,170,1646,2,5,244,0.275
909e91875e3c4c66e046267db0f2a9c3448d1af5,243,69,828,68,0,0,0,0.279
d53a186db9fc1491d5edf4a44b9ac334ca610f78,1201,54,149,298,27,1334,213,0.284
f1070c02d8b234b7ebb235a04cb27cbf66fb4dad,-1,-1,-1,-1,-1,-1,-1,0.291
e6aa452c5bacdca43e398b7433e933dfb39bb42a,3917,85,0,266,0,0,8,0.299
c4c86145c69a87e43a2d1f46cdb66d6d44111a79,49,5,0,9,2,0,3,0.318
ec10d69937a5be31a497dd7839d751da8e929df3,-1,-1,-1,-1,-1,-1,-1,0.345
74c07d487f58598f88d6d269a1db3794a5956a72,1285,375,4137,153,3,36,31,0.357
bffcfd76f8d3f87229eb7ade0a4946a95de1293a,733,12,7,24,12,4,48,0.367
9e9e820c32ee7b897b5c2c0f3cb940cab042dc58,8781,56,2071,54,9,583,3681,0.388
7e5eab68c59c7e4613542a90ce08c2eb47b102b3,272,11,887,12,1,0,11,0.397
11d6ebba117c8011aa8159998182ade915bd801a,1566,22,19268,21,0,0,130,0.419
352b2721351d0d2d012a8093c1fe701f74588bcb,595,-2,60,729,11,0,4,0.441
37dd413c8eec0fc4222c1e91627619984eb9f6f9,9747,162,10003,333,1,0,34,0.458
771883350b5178775627daed7962e091274bf47f,7667,5,5,3,3,411,259,0.462
839d73624c47e972ff413e0a143aa7d05061d012,123,21,47,99,1,0,0,0.463
abbfa4c7815ddb92f3d051972cb89e982f1e5b9d,-1,-1,-1,-1,-1,-1,-1,0.504
735c74ad94465c8c00592e85d73de359c318588f,3400,16,1,11,7,898,50,0.516
b97db2b5f0533c1595ba4a5e44f335e4480a757a,393,53,31,307,3,88,3053,0.528
ce377f12b047ecb9e8cab5f2b42e9b01d5647d47,44,57,5,64,0,0,32,0.547
ad9ddecbf960538c489fada2218002711cb2dab9,515,66,361,36,3,59,4049,0.554
27b49acc706de7d4952d1f75512e09ad0574ac93,3232,57,5,1491,1,0,195,0.563
f97d016a95464516aeb6996581adabb489c65c93,2242,115,3,122,0,0,66,0.681
b688441cc1fc8fca6e8399ed1a329273c4d4030b,-1,-1,-1,-1,-1,-1,-1,0.687
5ba0be086219a394a8e4ecc616038e11be6059a1,1007,114,51,151,2,471,1026,0.699
deb51cb903a5c3ca112ca83138523b2072c72b24,17,19,3,19,0,0,4,0.707
75154208354bfff19f5e1ebf5dfd05e80a172b01,2929,29,1920,30,1,7,284,0.741
d74cb62725eabea89b5f59235964936b097ac9ba,-1,-1,-1,-1,-1,-1,-1,0.749
fb54084a11b13430e30fdaed9565241947d17000,1586,255,49,185,0,0,1910,0.764
5b5b21ee63b1cd19ef867dae0e8b861e09cf6c4a,5493,23,505,614,0,0,14,0.779
6435abcea8d00812127d9cfa011e48d57be63669,784,788,23,654,0,0,1492,0.784
baf19e42dc84b31246eec693e6cf07b16afb6191,1288,198,0,189,0,0,10,0.794
fb0e5f068ac06433c4edd9b8d709ae2df32cead9,-1,-1,-1,-1,-1,-1,-1,0.797
27ce469a9ca39d484b4173024c532d303b684fb8,3347,148,664,262,0,0,959,0.803
6633cb19bab81c1a26f1741712dc0ecd4508313f,87,99,1,100,1,0,8,0.803
00c249b72da9c240d63518ac7d82e34ba4d38020,821,2,104,6,1,16,42,0.804
a64fe289310e21cdafe622854b3191d16c3f5190,3534,86,32,2998,0,0,9,0.828
78b152e7768a7b96396c771765aedf9484dc79bc,-1,-1,-1,-1,-1,-1,-1,0.835
be4a7f7a1edefe71d5f2a0c7c10eb2245c4c6ec0,1119,17,740,80,0,0,34,0.840
cb8ff7ff073c929d9172ecf375f064b20abbffc9,6346,32,70,291,10,11,81,0.841
0f1ab343a342655a051654039c2be4d9673f92a5,245,66,16,74,7,0,3,0.858
16e14c684f6d3736eac12b745b913636be3da434,105,302,67,267,0,0,5,0.866
b611d2c6db7ea18d0e5851acf2c4a4bf2f2045b8,10000,44,23657,8,0,0,4,0.868
7c65b977bd9d196713b2b55d0737a00eac1099b9,-1,-1,-1,-1,-1,-1,-1,0.881
66c1fe89b7bc43c1c33d9d20617a53f390c8e83f,-1,-1,-1,-1,-1,-1,-1,0.882
e049e2a197c3a6d4627e6b5ba6650c11a02c0df6,-1,-1,-1,-1,-1,-1,-1,0.888
a97229cc4ece40ad57f63b1e30f11f19e1f3677b,-1,-1,-1,-1,-1,-1,-1,0.891
861e41b0aef0927af1728c8f4fb02f5d9b700d84,293,22,11,28,0,0,6,0.892
e251ba71982e51956a14b2eaaf2a7ca9ba820070,-1,-1,-1,-1,-1,-1,-1,0.892
2f560bee2ade4bd620ba45676d957fdd38aab81a,326,8,24,136,0,0,114,0.892
f490d8823e7545834cb208aac4413785a6231a64,1,0,0,0,0,0,2,0.892
b95790374ad925e2cbd7634f83e1fe21ccdcaf73,-1,-1,-1,-1,-1,-1,-1,0.892
16aa47e49d44cd0a189efeb7c3fc5636497c6cab,20,0,0,2,0,0,6,0.892
8a9e65c5bd3667b5bfb5d3b65f5bd7aadc1fdfa8,33,1,8,0,0,0,3,0.892
17d0c4034f8fde73f5953f41d98b3a048fa4fe19,17,8,2,11,1,3,34,0.892
ed4ec4520e2358e1f46f7cf6f91e1687fb56e3e9,-1,-1,-1,-1,-1,-1,-1,0.892
161eba5e49d9acc2c06fe438cf35f244fe7b1104,-1,-1,-1,-1,-1,-1,-1,0.892
29e349227f76defbb08ecf3eb094e06bc96aae83,-1,-1,-1,-1,-1,-1,-1,0.892
a9c494168ba9d81c9d5b673cac992740a26698fe,749,18,157,556,0,0,19,0.892
d4db2d918a7d94a837b28e516528c81f7f10da42,-1,-1,-1,-1,-1,-1,-1,0.904
c89a8d2afdb1c0c7600a58fe5c9f3dcfc8849caf,-1,-1,-1,-1,-1,-1,-1,0.905
2400a65d052742d7fe0d0c597ccb3a6088dd66be,2359,10,0,6,0,0,22,0.906
499e5fbf8102d3b22eb4e81e463147e093d38a7b,-1,-1,-1,-1,-1,-1,-1,0.908
fb1cc85a2e407d0249568781e31faacf2d4bc1a8,302,1,18,111,0,0,1,0.912
49251a57bcb86f39ef54e7dc081a478ef478999b,1426,257,114,220,0,0,963,0.915
198a856e9cbb036819d76a3eee225e75716d80af,918,24,37,5,0,0,40,0.916
67a076388fcd62638a4e1c5101335bf2ad718043,100,20,0,19,2,2,33,0.923
7c67b2c1ea2f09cd54df49cb27c4cb4171ec4a7a,9533,0,1910,0,7,0,499,0.924
b15cc6e9dd040f1fe0c3b5858f03e2bf88746c29,-1,-1,-1,-1,-1,-1,-1,0.925
843da7b22954218c484e2e1b99f768f8a10fd023,952,755,23,529,0,0,21,0.930
9173f1d7a81dedece9296f554190da14db4d3ecb,1833,20,986,123,14,1215,1131,0.932
966495d5b25268c94470f648b13b2943643b4662,9780,0,2782,0,0,0,3,0.946
080b7d469aa6574744639ac6501e910fce25f549,-1,-1,-1,-1,-1,-1,-1,0.949
4806bb5a3e4690bae44a768fc6aa03cd43ec10d0,-1,-1,-1,-1,-1,-1,-1,0.949
f5d33073d2f8a58b32347283d905fa020a259730,954,1000,22,691,0,0,4,0.954
f5c0e349f5557ec0035b008f1f3de88a37830a20,3273,33,2,326,0,0,3,0.954
29f20d465dad8e151393ddf34ffe253a6378e987,57,7,0,13,0,0,10,0.954
790724672e525824641fa4dd36390114fa9308de,2165,80,75,213,0,0,181,0.955
e4d56b4c60101ec3de1b1a7b428532a3adf37cd5,243,51,11,39,0,0,54,0.955
cdf1097da2e64f6dbd9acaa2425d2e499954a989,41,3,0,4,0,0,24,0.956
8ed8986b4b4f53579ef506ff05fb90976b0ebc16,300,4,44,4,0,0,55,0.956
a996d59e3714f7150cdab76bbb418bb200cc1abb,-1,-1,-1,-1,-1,-1,-1,0.956
9374524269ac1caadce576c858552b7fbba70728,-1,-1,-1,-1,-1,-1,-1,0.956
aad2286f335eafb6eba449fb1bb1b4bcaabceb50,25,439,0,269,0,0,62,0.957
c63af908d1693712978a0a5e1fc791ff7474ee10,-1,-1,-1,-1,-1,-1,-1,0.957
b9c16959d1a3085e0bf99312050d4d4a9d8c7769,1044,594,2,355,1,2,465,0.959
f3718afcf86ab972eb4843dc3d7ac821b47b01c6,499,19,650,23,1,6,26,0.959
aed27c5b62c4cfb1e0dae4a640b95118c612799e,-1,-1,-1,-1,-1,-1,-1,0.959
688a865c82093f64af26ca430fecfcbb4d4de9e1,181,139,60,140,0,0,9,0.960
d0f7560b8e48da447a8e153a36a58c7621fd020e,91,178,33,98,0,0,13,0.968
27ef4d0baecae445079919b82c0a4eb0d71a6a2c,44,81,3,51,0,0,2,0.970
