id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
399245964fbed89783a0817ad9d783e229529a0e,186,163,77,74,0,0,312,0.151
c5778863165540bce96c31e81e91163a2593dbd1,624,8,42,257,2,6,375,0.305
d081c57473171a5e8b1caaa14a70f9a230091a51,4832,1000,165,604,0,0,277,0.358
a0819aff774a0488cef8bfee94dc5f7b65250cab,-1,-1,-1,-1,-1,-1,-1,0.411
a5747545832f440bdcc000a15821a6ec69b5aa0e,-1,-1,-1,-1,-1,-1,-1,0.412
734bb5e983b68f73cdb4eb104ba7292cf9b2f37a,-1,-1,-1,-1,-1,-1,-1,0.429
fdea9d47e8545e0f469b00a1dc6283ee380a8721,28,210,6,149,0,0,16,0.438
78a4751f333c2d4f06d9cf427a5422f01615230a,138,5,2,5,0,0,6,0.506
b81e2ff2e2275833cedbc37a5783cb70d4534af2,-1,-1,-1,-1,-1,-1,-1,0.544
a9de3e3c69c8d1baff31b3192d91554a193dc6c7,881,4,21,4,0,0,14,0.609
de3a2c8dbb4dda6d6c02726142a620228f1472c6,9790,907,18,303,6,10,89,0.682
7cf010e7da4992e1b9da663c56b66c5586bb2d05,990,43,160,40,0,0,17,0.685
ed891fafe2709ace0bdadd710fdc578ff1072fd4,-1,-1,-1,-1,-1,-1,-1,0.689
e69dadd1feb7fc275fa090ef61fca3f50ebfd1eb,5669,96,86,98,3,0,34,0.727
6e2262bccba1a069c012e7801a862abb57afe1f9,-1,-1,-1,-1,-1,-1,-1,0.843
c948f9faa9e3eeb7fd0a7a048b665d561e33631b,-1,-1,-1,-1,-1,-1,-1,0.939
ef1ffd19c00fc82af251ec46f3c36079e62b3a77,-1,-1,-1,-1,-1,-1,-1,0.945
90f4c0a5365689ad12a62739e47832ab73305ef6,-1,-1,-1,-1,-1,-1,-1,0.946
07ccba4a48ef530b687689102733aea8a5f99e94,-1,-1,-1,-1,-1,-1,-1,0.949
f9728f9d5faa97cc6f7bfde2da98ff1970597fa5,460,641,12,613,0,0,60,0.950
7acd3eaed60cb4409be3a76074089094e03e1ed4,-1,-1,-1,-1,-1,-1,-1,0.952
b80c9ad6cf76bd660f624a83c74808605c3fb49f,-1,-1,-1,-1,-1,-1,-1,0.953
ea6df45438856b265baa1cb641d9457bf555e9ec,-1,-1,-1,-1,-1,-1,-1,0.953
81d3110d0fd294df917f6cde04cbcd0ba3b51bc1,980,1,25,2,0,0,23,0.955
ac8c861cb1937e96e124b0b0d3cb56ff7aabd504,-1,-1,-1,-1,-1,-1,-1,0.957
9a2020acf05c02e04f04ebecd8172ab93fc329fd,1250,3,99,8,0,0,90,0.957
669a4e2eab9a642e9a5211ddb4f2737574beaa56,43,28,26,28,0,0,0,0.961
c56be516e69457933305dbbebe4ef651f9698ab3,-1,-1,-1,-1,-1,-1,-1,0.962
2a41087f7bdfdbf0fa3c7647cf5652a8d18e3b54,-1,-1,-1,-1,-1,-1,-1,0.964
