id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b4f2cbaa60086c8e91a1f47e16390fb7a9e4bd80,536,45,85,82,1,0,1211,0.057
f75e09f95e387334413f7da1037b0a3cc0ecdd8f,115,8,47,4,1,31,12,0.075
b0d927f77d108d35ab0c450c5b5ed36e89f8afdb,425,445,51,311,3,25,1103,0.094
b5254ed961f0b15399aa81e82776d4e2cc36e650,156,29,36,30,2,6,148,0.104
381cad3d8d85cb2fede19df1a4d05d8187a457db,398,43,288,43,0,0,10,0.111
2d34b577b17dfb9285fa2532c2b503246ed5ce56,385,92,75,96,0,0,395,0.144
4c33f92c18a55c3a2e870ba8594959aaa5993e46,52,15,40,14,1,0,15,0.166
e104ccfe7923b193e1384b6c8ef716515b9cf240,247,137,153,116,0,0,1711,0.197
b655cea552f7c0c0f732008df60afb40151afd9a,-1,-1,-1,-1,-1,-1,-1,0.241
591437cd0c41caaa43e071d5142fa91a134f2f9b,141,267,312,155,0,0,117,0.255
ad336b76afd060c0d318a672995dc1a651fd710e,41,125,96,125,0,0,23,0.256
f73af98dc8fc1f4ce81202ec937d3f7a790ce52e,192,71,281,67,0,0,160,0.260
5c12e4d5a6f52575489c330319d0311f8122481a,507,226,465,214,25,0,10,0.261
0fd4e7765397aefedaa835e377864bdc15f7a0bb,-1,-1,-1,-1,-1,-1,-1,0.265
0114e3c73a7cf254cbe2f1ca365663ccc377c51e,563,181,474,197,1,338,1796,0.275
b400b17ebec9235210f1647e464a023509fbd8d6,158,122,155,117,0,0,549,0.277
b1ecb2359cccb640139b3f3cc5b4808af0abcaaa,521,345,181,162,1,0,393,0.282
39d84612bae427dfbd2845942ffbddc84ff43570,115,482,48,440,0,0,177,0.300
6e5df3ec8de070260863b6776e7786c5b7555580,94,76,68,42,2,2,103,0.300
ddf0aae6ce57d7dca359a49e1e1dac9a8f0da2cd,111,54,208,40,3,1,498,0.301
39279b48d06895ecd95fec6f606e79273acef041,169,54,183,26,0,0,13,0.301
6f661ddb665c613496d594f4cb9395951bf89321,106,105,233,102,0,0,331,0.304
f65a245baeb4dd9768884d260112a6c303024e5a,83,157,87,106,0,0,537,0.311
cc2ed092b682bb618a0448986cbddd9fa19a35f1,135,67,153,63,0,0,0,0.328
57e36e152508fb8c4058837d7c4f58811fd27078,150,34,202,27,0,0,18,0.342
c76c8cf93a1e94f6eb3ede5247b625db0dc8a4f1,270,223,216,148,0,0,527,0.348
6bc79a0a7d55f30c4e2c01755ba1c128fba06797,241,125,327,118,0,0,8,0.356
4ab1cbd5ce476cc27fa33fc2e78f5d70f2e3019e,169,32,70,43,0,0,87,0.374
4dfa419dfd77698f6772bac79e7f0e205e0a39e9,99,156,211,151,2,0,8,0.383
3a3df3c5399c97b7e16aa1c2a2fa2294594e759b,218,157,32,124,1,0,28,0.384
c01b274b15d31216d8748778ede1bb2aec9fa284,261,183,289,183,0,0,541,0.390
8735c219dc46abe2d09c02b8c45e359706c3d544,75,63,37,61,0,0,173,0.397
75dbe9be34e1110997c4bc06be3ded9b5277df5e,81,347,60,334,0,0,8,0.420
54529b7a531f0c579a0ac0beae341e6d50cae764,-1,-1,-1,-1,-1,-1,-1,0.448
1b3e7bbf80d1326d19066863e954b1e77a123fd5,135,182,93,166,22,0,4,0.450
cde92076e007839583a1157b87ed36591f280a91,140,51,134,51,0,0,1,0.451
32e4568ff73f9beb973a40972b05b0e627777031,153,12,139,10,0,0,5,0.458
a6999891c5f67c0cd4a7c016c062dc3b8a17bdbd,56,1,9,1,0,0,26,0.472
7b34e3518498def0730a1e816a93ef13c7891373,172,224,205,216,4,0,25,0.483
8abf5a37e46b682f108ca0b723a30f463324be9c,122,144,21,127,1,10,446,0.486
eebc9070bd444c7441115f208bf9bfc4701c9fb3,115,45,38,44,0,0,133,0.494
3dbdd89e07c49d8662895e7c5f5d85e1af911874,182,41,29,38,0,0,242,0.512
4ba61a6b41f5a8093d66ce8a9d9931e673286bf1,214,105,34,77,13,9,113,0.514
07b981c4ac795212689c1be064a513468d6d0d4c,184,28,1,25,0,0,2,0.536
7388f67e44bc4fb24fe23fec8b5d56c418398bcc,4,1,1,2,0,0,19,0.538
e8b0a7422956f55252fd2f02b83dcec042a22e34,159,223,157,209,2,0,22,0.539
ef75bd68cc9a2fd390c0eadbb5149b28e3f74f3c,243,78,63,75,1,0,391,0.542
b1341a45e17dab6242064a239f3731106365af4d,100,57,43,55,0,0,12,0.546
e5a6807868e34ab1169440084394e47247f80c06,211,31,18,21,2,20,33,0.557
618e792fe3644a8d22b2e7038db3c735d8adf4d5,-1,-1,-1,-1,-1,-1,-1,0.562
474dc1cbcc9201010cbca33ed97029acb2a24bd1,190,133,26,81,0,0,183,0.570
5a30d79b51416ea2090cfcaef112e2aecb5b1656,215,206,180,194,2,0,0,0.601
c314f968b5f3825baae6f5a541a6f8c9b33f1aa3,26,65,266,60,0,0,0,0.607
4b01766662529435490a7637198900af2152c8e4,-1,-1,-1,-1,-1,-1,-1,0.612
5eff45fe414c51c9344c60cf75b3db5a9ba98c5e,272,73,33,70,1,0,147,0.623
25231cff496f61ae4dec95406a22692ba269c88c,85,12,29,10,0,0,472,0.630
4dc04236148a68a79c7c46534ed1a3071afc0de4,115,37,18,28,0,0,40,0.669
fd5295103f63207a9db3d84f44ce42a0d20b8a95,-1,-1,-1,-1,-1,-1,-1,0.669
cc8f14081696a793b61a83db8fccfb5ad26da510,140,83,44,73,1,0,48,0.688
6cdae0eab89c8a85f99cc0a3f294bc5b29383615,-1,-1,-1,-1,-1,-1,-1,0.716
631cf40392b730ea2b37a3cec7274b555130c424,4525,2,13,306,0,0,1746,0.742
88def3918d620800d117ce167dd46ef35cb1385e,-1,-1,-1,-1,-1,-1,-1,0.751
74939ec372136f59226850ed175f54ed41fe3dfd,-1,-1,-1,-1,-1,-1,-1,0.760
84c95fcd8cbfd5c1aa695b462ae6d766758cfbf0,9,4,14,5,0,0,7,0.769
ccdd7d6c61fd29fc1601e6d285da3d4bd638c64f,94,147,9,138,2,0,20,0.789
61d3557322687879aaec35ff54e3837a10626929,126,124,35,65,0,0,22,0.805
23ca05e72e78ff0a3b90f458be862078294a50f6,169,10,58,7,0,0,17,0.827
00dbcf524358627f1ec71e1a19018c0af655a683,-1,-1,-1,-1,-1,-1,-1,0.840
c14be167e873a493be6df7be2bacdbb52bb14749,150,82,27,81,2,0,4,0.879
b5f4279b03e4b4575ee2177f1a709cbf316dc8b0,35,486,12,331,1,12,10,0.927
5051db48f7fcda853d597c8b71328089a7cbbe0b,-1,-1,-1,-1,-1,-1,-1,0.930
6e7a622061d8e243b700c7e2ce659801c042c9dd,585,22,6,52,1,4,8,0.962
