id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f1bcfdf0dd6530ff7cb25a62676f4e4b1b11ff30,2330,70,115,1559,1,1,428,0.082
c4e8d5e5ea6627619e7b9db97a81267c7d25e185,-1,-1,-1,-1,-1,-1,-1,0.143
db0a39bf151db7b658a266c7be845ff4f884ab9f,2375,329,166,361,1,4,2970,0.274
f7db84c40b1651db993a2dc01bbf9490803cf4e8,-1,-1,-1,-1,-1,-1,-1,0.438
652d58c2b47576025008126a10cc42b84fc8e685,425,121,459,380,0,0,88,0.490
6f42ce50b333b1f1c1fe6b87ad7417fc88912971,997,421,28,289,1,53,3112,0.540
638f60d701c26b661cc2669422ea96ffdf674528,4475,395,295,694,0,0,697,0.616
c1d03cac91dbd563df122ec7b078f3d5765248cd,5333,1000,19149,1959,0,0,3,0.727
30e7eded483e9df2c0b7a16be10caf966a761198,662,340,3465,202,0,0,88,0.749
0c1ba5b5c7d81ebc74d9a91037f1a5bd93077823,2992,354,842,444,0,0,255,0.751
f5a524a7fcc3553f8aa83e7002787685bbb401e1,4072,1000,21,3262,1,2,1452,0.757
7f09efc592fb26cdecc4619dc795b087ff0b15e9,1178,0,38,220,1,107,18,0.760
b33cc6e9a49e5b82d942c0bfbbb090af10528069,-1,-1,-1,-1,-1,-1,-1,0.768
7a145f0de3e0c38b5cfd1a6fafa62a6b5729e9a8,-1,-1,-1,-1,-1,-1,-1,0.784
e7e4a638d3efb26c03b718206f1633cd3449b609,-1,-1,-1,-1,-1,-1,-1,0.800
9809e6ed5c4e208a864654999c0987f0f47ed0ab,276,35,117,38,0,0,5,0.822
56f3aa315f3d4e42a04e65d27125c4867aa7dfe3,7133,139,8717,256,0,0,40,0.836
8067bdb59744df6ca1bb40981f8f4a9faecac9c7,9995,45,4697,43,0,0,69,0.838
d1a83fb795bb78e5234fa6f5beae92d3e69db5fa,8489,0,5890,263,0,0,62,0.875
d58a89c983bfa65128e7d2b8ac54f950d1d22302,12,2,3,10,1,19,1,0.876
cab4371b65c923448b30f604ff5f221df8f49776,-1,-1,-1,-1,-1,-1,-1,0.889
17ba4412182ac9bc380002f0c1c1976c86b714b4,-1,-1,-1,-1,-1,-1,-1,0.890
1e9e86018a29bccf3ac35c96c37715990450970f,-1,-1,-1,-1,-1,-1,-1,0.900
512160a5cce395db8b02d6bbf1309b808ee55ea8,203,0,60,0,0,0,2,0.925
6bcb3a4347402b19faed7eb721db110035ce24dd,-1,-1,-1,-1,-1,-1,-1,0.933
e0df258b349a03173e6c604055fe1844ee9f15a8,27,5,12,9,0,0,26,0.936
966495d5b25268c94470f648b13b2943643b4662,9780,0,2782,0,0,0,3,0.946
149ef8fd605a3bd905d7ce42e99258b4d146fd27,5876,148,63,83,1,5,92,0.950
bd58213bbf25ab3b39307471705ccf42c83a86b9,13,0,1,0,0,0,2,0.951
a6e35e942c9e63bde4afd6b31a0eebcf10a2c929,2467,226,144,823,1,0,8,0.951
c9188d607bc49c30679fe134010257a660c224df,-1,-1,-1,-1,-1,-1,-1,0.951
4a533c98b993bee56700865a5c81a720dcadbe55,324,4,1,111,0,0,40,0.952
b9df776797db78a343ce776f884f43dfa6ab17fc,-1,-1,-1,-1,-1,-1,-1,0.952
f8e02e43f8b19c908446953c0dc97960f261f435,860,13,51,88,0,0,11,0.953
cccc02fc1ccd8cc31aa9ba2cebed915eaf86f57a,-1,-1,-1,-1,-1,-1,-1,0.962
9146415c5dd8a041d6aa78dba81a288e7212ec3c,1334,3,0,3,0,0,200,0.965
196372c9384a49c6988ca1931ccbb92171ae8450,188,53,61,48,1,5,9,0.967
