id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
329ca34500f3b70e1100107662da0cd3da5033be,314,17,48,19,1,27,888,0.001
22cab8a2b8a240b4d5d6d0ee90655b6a7a275eb9,155,50,106,48,1,79,729,0.045
929ee45d39114d95040a4af44f49ce0923baedf3,9071,23,808,73,1,720,4967,0.093
1c2a7adf86a8f0af7e7f8be724e068b4efc45705,290,66,95,70,1,13,520,0.146
4c27835f87dbccbf23df022f834097e47ab04a32,125,41,418,31,2,65,4,0.182
9c9a6b10295355fab1f4b5b2efa02dcfe8bee92b,397,52,2017,53,5,52,408,0.229
fbc2933fee14b4ed2f4b50873027b8024a7fffdf,-1,-1,-1,-1,-1,-1,-1,0.299
786ddb1e6d9514e569cf721605c6761c6eff689c,-1,-1,-1,-1,-1,-1,-1,0.339
489579441d398d9eb78e59988ef860fb628456ac,29,44,13,71,2,19,68,0.380
01f9b1d424d5c2a12b9ec28a65a5e3cab7441c4e,-1,-1,-1,-1,-1,-1,-1,0.488
f959a94e8f93b7998eb41c92336777e8e5aacfb4,1177,284,529,175,0,0,1301,0.691
047c73a78dbe8ff3054e98ae44f6ff5c3f3e644b,21,8,14,1,2,14,9,0.711
34284e0a9bbf35880f62dda2d9ae3ba2ad8b7a62,-1,-1,-1,-1,-1,-1,-1,0.713
b8e301812ba0668b5a76f39fc9d76da30b378964,-1,-1,-1,-1,-1,-1,-1,0.761
3da7b02642bb3c4cc30d71a2caa8eccbc0b16bd9,-1,-1,-1,-1,-1,-1,-1,0.822
6ffadb3d3406521fc7a67db2a730545f193e1e90,146,75,10,96,3,1,6,0.830
909595fb47ba848683c4a15ac23e7ae312d9b156,-1,-1,-1,-1,-1,-1,-1,0.840
453bd992c29cd73eeb95837a599c658644b3fdf5,-1,-1,-1,-1,-1,-1,-1,0.871
d0b4bee5dff78e7ec2989ab2693bad5e3c08b0eb,25,10,36,3,0,0,1,0.890
20647c68bd2e676c6208df07b446f34ee338a1cd,-1,-1,-1,-1,-1,-1,-1,0.913
ca1764cb11ed18b72312bc45d7fe230137456692,-1,-1,-1,-1,-1,-1,-1,0.915
01585ad7ca8e224e2ce34bd29c28eac33c37e078,6,13,1,7,2,2,29,0.926
2efa6263e1034f12741f345eb4b24788d8998e51,-1,-1,-1,-1,-1,-1,-1,0.926
59747110bf5db41c72291254727e717c53c3940b,-1,-1,-1,-1,-1,-1,-1,0.937
51ca93a69b8929ad3564b2919b9767a79c6e3646,-1,-1,-1,-1,-1,-1,-1,0.940
0ea738342091df553730432c32c5cb30134eaf9b,-1,-1,-1,-1,-1,-1,-1,0.948
445016654a918f05e6625339830fd7033dd44100,-1,-1,-1,-1,-1,-1,-1,0.953
c897f485945fa94801966b2fdc8d5c59e43df7ba,509,101,42,75,0,0,410,0.961
