id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
493ad3baa3beed36b056004cf4c5796431e2fceb,162,86,12,42,3,100,186,0.118
4200357687501bf4a5963f51a55f006829e3a4f9,2701,815,31,973,0,0,8135,0.245
ad02eef76e4c105b9a406fe3b85afa15720e8b83,-1,-1,-1,-1,-1,-1,-1,0.322
d081c57473171a5e8b1caaa14a70f9a230091a51,4832,1000,165,604,0,0,277,0.358
c0e61a431c4598b07783db0328de655acde8862e,322,304,88,278,0,0,11,0.365
e5ad087ac064a1a6592829a6114a4730e6af7db7,268,46,215,42,1,5,7,0.394
c9adb96ed58669df55c982c550fc4f9e90114c0c,-1,-1,-1,-1,-1,-1,-1,0.431
610442b48186a97b334c6c706ef6e9f9371e65e0,629,205,92,161,10,0,7,0.496
d0ec2a5e0eaaaecc576df0399ba42958284dc1ab,998,47,3,50,1,0,1,0.870
b1569e9945543f84fdb1060526381f3a714939c8,39,38,2,16,0,0,40,0.906
1427012dde6de1f01b5055a09366da591356396f,608,7,2,73,0,0,99,0.931
9ebebc528281b3feec13372a8df64a062b6d3b8f,79,313,0,164,0,0,11,0.942
90f4c0a5365689ad12a62739e47832ab73305ef6,-1,-1,-1,-1,-1,-1,-1,0.946
94c81062ff5a2c2b02e63ed449db4cc6cc16b444,-1,-1,-1,-1,-1,-1,-1,0.949
4ed4e5334101267ac4209efa4cd1e7fcab322fb8,-1,-1,-1,-1,-1,-1,-1,0.952
7acd3eaed60cb4409be3a76074089094e03e1ed4,-1,-1,-1,-1,-1,-1,-1,0.952
9b1cd324dce7cfe06ce2201fae84e52433f92a0e,21,143,1,161,0,0,33,0.953
58156ba1775df22c210f966ebf0a0bc724ca3b2f,-1,-1,-1,-1,-1,-1,-1,0.953
