id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
503e02f8d53458ca9e6f01fb939b888f6b2d2878,-1,-1,-1,-1,-1,-1,-1,0.009
843f4bfe9221ab0beecf2f028f75fce229915205,227,7,123,14,2,87,678,0.010
bb891d2afd96ed53b38e1429d1f69358c7c8ce24,-1,-1,-1,-1,-1,-1,-1,0.018
0ac3c5062e064136acb69c139a96221688d20ed9,-1,-1,-1,-1,-1,-1,-1,0.041
ff86eaacd8701e84eb7f1cc18179c0b9a97e7e19,111,146,311,142,2,33,946,0.052
ed5601036f301da288ccaed127f71b843be1626a,129,92,244,87,2,7,2313,0.055
648f2ff0f58cc4423d98306c3648640ab1a472da,-1,-1,-1,-1,-1,-1,-1,0.062
88395d85ce20d9dc9f5b89c393ab27fb88f9a3f0,59,348,28,248,0,0,48,0.099
2c6a6aecb0fd428722f5a0713462dea5fd3917d1,133,70,164,71,6,292,1334,0.129
ce974db0b9ca10525642b6b4ee3963ac94db2e32,-1,-1,-1,-1,-1,-1,-1,0.178
34b38c9c26b541b2c6c0af417114d4f75ce6f31d,-1,-1,-1,-1,-1,-1,-1,0.192
b5fa8d2137fd57f089b111e306548b8b95c77a17,159,115,132,196,7,5014,3,0.218
70aff321a83d475007d0bb410cba6745da01b36b,86,41,16,41,0,0,62,0.228
fb7a154535be4b662212e3bf8fe81a8ee9ae947c,33,0,8,0,0,0,0,0.228
db34684f2576a56ffc0832a5eeb73c015f76355a,101,5,8,2,2,78,17,0.247
1fb4a48c916c1c475f2fb92f5dbccc915764f569,64,93,54,83,0,0,61,0.293
7fec1ab36c84dbdeb907f8fa4f020a8d42a0d8ed,9,2,4,29,0,0,2,0.298
37c0fd6e780cc7624eb4783c5b6c9b174b58938f,209,222,386,162,2,36,1334,0.307
685f190934b0b456b6884776d54c663c68e97357,-1,-1,-1,-1,-1,-1,-1,0.326
a9e392a8836f580657a1ecdee06a11849481ee5b,-1,-1,-1,-1,-1,-1,-1,0.352
b395c5ff79d2d413ee6bbfe4bf1f2521125fa99c,22,9,27,7,0,0,14,0.352
c8244a9075dbd6ba502458544035ed139f8a8d7b,-1,-1,-1,-1,-1,-1,-1,0.399
c4ad43b5144a7b048845e553c33899540b9a7b65,618,95,26,877,1,9,668,0.418
3aac084e54e824cb20695e75d8c244b38cb8e416,43,77,39,50,1,11,234,0.436
a9475971f5bf088ac32265eb02354d8bb6f2192b,49,11,4,10,0,0,38,0.442
c668e674acfa28ab0fbbb16bb3cead9795b8d324,228,11,18,18,0,0,54,0.471
f99f060d12ef54fd6bf14cf7cefbeb0e6ac214f8,-1,-1,-1,-1,-1,-1,-1,0.473
cd5f359deeb3b57b37e915818d6ff2aecb7f5771,-1,-1,-1,-1,-1,-1,-1,0.474
874d6e9ff78c87edf80d56e22b756abbb2a89dfc,-1,-1,-1,-1,-1,-1,-1,0.474
abf37eda2a09bd918347c7333f882a9bc0db5c9e,-1,-1,-1,-1,-1,-1,-1,0.514
06ae7f012d2f0ae94d886d2f4b0dfd5baab09943,-1,-1,-1,-1,-1,-1,-1,0.527
88d54a642c9bba8115e6f555cfc4f098f5d4f516,45,45,38,46,1,33,586,0.527
45a019730579fe19db7ed1500308c3af8a75becd,-1,-1,-1,-1,-1,-1,-1,0.537
0e814f5f2bfabec855e9a24519e669f58970e38b,-1,-1,-1,-1,-1,-1,-1,0.539
52f5e975eef727bd29efeb612728dc7bb8404f1e,1099,93,21,267,1,20,142,0.547
1f8ddcb447efcfd0ef35f65ef231e9344650d161,29,153,2,118,0,0,325,0.554
f8819aa8493741ddf3c5987336f3f8270b3983fc,1759,7,150,9,0,0,159,0.566
72a3197246a7c5a6cd37179ee43cd01d868c27a5,28,8,30,4,1,33,380,0.592
85b7a8ea0bb3c194472ac5a1b2ff651f4c46d79a,1181,0,39,35,0,0,39,0.595
863de4a31c744af57f6814a950ed2a7412781d18,57,2,11,2,1,21,41,0.618
674bf339572614dac74905bc4d378444c87da4d9,-1,-1,-1,-1,-1,-1,-1,0.626
625712620fea7534827cf600e585dc33d85b0b99,92,244,29,232,0,0,619,0.646
4e1b7ae2ec1ace249551a0c7b8a1913bb49fb59d,15,21,4,11,0,0,309,0.654
190dabf2081f012d63792043d748d476e19f0c04,37,45,123,44,0,0,96,0.657
3a103bfa5e449b1cfceef1b5700f7376b7a47f5c,-1,-1,-1,-1,-1,-1,-1,0.660
7f8cffccf74eb679e30889a6276f8f168bcd7cea,23,36,2,21,1,29,555,0.670
3bfeaa7007f629c0c01a99ff7c01c8710252a4f3,48,24,15,25,1,1,96,0.674
f8235193a31b27b006eac70a8e87d8cb48d6f766,100,72,25,20,1,0,49,0.676
1f427452775d21b594e597b6482ebe517ce143bd,124,41,20,28,0,0,61,0.733
f065ad5437ce4f85eccb6ef6c9dc8e6547dad11e,49,5,11,3,0,0,13,0.737
3a8ebd8b46adb4e69a23a8d7591c7a0b7822d1ae,-1,-1,-1,-1,-1,-1,-1,0.789
1e00a9b43c4249df727f51e1a64f5df865b90afb,48,4,3,1,0,0,9,0.808
b4dcfde14328eb11476de7c744389114fbe3c359,9,17,14,10,0,0,8,0.823
df91e3522d5385ebcb0c23f9328a78f090716735,97,3,29,0,0,0,83,0.855
2a1e3b71938f9fa23d37581a7302e5f4bb944d4e,-1,-1,-1,-1,-1,-1,-1,0.857
8d27d780405650c04b211530e872c6090cd8f105,-1,-1,-1,-1,-1,-1,-1,0.943
7e5de489f8fe829c56d086ae53e6cd9198c7b365,3960,43,293,2024,1,0,107,0.947
ba507531e2d55f0279a4ed9ee956aa465a7b341e,-1,-1,-1,-1,-1,-1,-1,0.949
456a5d231e118ffdf7150da46846c99b9bb1bb9b,-1,-1,-1,-1,-1,-1,-1,0.952
a3408620ec705abb5df1392385f8e908ecba5ad4,180,568,10,423,0,0,108,0.955
9f606f7d451df2a3729c5ab6d8ee0c5abfea6e7e,-1,-1,-1,-1,-1,-1,-1,0.957
a80f32eb62a56a785cfb9a32029cf388d5959fc9,19,1,3,0,0,0,2,0.958
8fbbad26bda244551c821c4f1bae7c3c83bfba28,1344,3,211,5,0,0,86,0.958
59be8a855e3fa04cba717a3d5e1134dda2338457,-1,-1,-1,-1,-1,-1,-1,0.959
