id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4962b30c92e948e7155850461d5e059ca030f254,100,337,58,324,11,1,2,0.353
29a1b569730b2701438bcefa99f331ea239fd072,92,333,144,306,0,0,1,0.370
c7b8decb282f5fb08e6ea9be5e64dbe8ae8fd716,-1,-1,-1,-1,-1,-1,-1,0.400
7a33baf97405f5908372f33ece2b676a54ea902f,64,222,67,220,0,0,2,0.464
3600ac6440608bd65aeb12f52fb8c69e8e342de3,-1,-1,-1,-1,-1,-1,-1,0.472
f5735d3a6b53c55b85f558906b9cd4763c00b34a,50,23,168,23,0,0,0,0.529
5bb3540cc3dfbcab816aa972444940bdde06212d,100,286,387,259,8,0,400,0.542
529ac1c3b05ae6239ced2f58fff1b33009824c0a,290,294,217,301,1,0,165,0.543
447041d631f0a55e36a9458201a116454c3b3855,124,383,274,367,3,0,26,0.576
743979715760663d48c106a7a8de227b895ce17c,-1,-1,-1,-1,-1,-1,-1,0.691
4ac0acf912f777af4eef5980f28b21d4db2dc357,206,492,29,480,5,4,603,0.706
d5f65c4b1e7b626bacc04091cc55b3d6ee7fc448,53,436,161,394,3,1,2,0.726
e4092645f4cc8f9deb7f49d6591d67570c75398d,17,91,0,90,1,0,1,0.734
35c400b7ae00832e0db2e90bda1c0a86a9403fc6,232,23,88,21,1,0,2,0.824
62beefb38ec64c128b5e93de61c2b17fcaf6b618,59,188,12,181,0,0,83,0.828
3a4e15b7371a124b5ab93b667e4f749977a6deff,-1,-1,-1,-1,-1,-1,-1,0.852
2f497015ba74db6f3b327f79aceaf20f6d361ee4,43,453,643,403,0,0,4,0.862
825d0dcfa1d61e9ad416f1f558e1ec7b8dac9902,454,273,186,256,1,0,3,0.864
472e818a3264b91f03a8155647d8c0eea9c9414b,-1,-1,-1,-1,-1,-1,-1,0.865
c6f20513e9011b2df6f9d6a571f12a3bbb1b68a0,68,101,8,95,1,3,31,0.874
3e4bde514807df1fddace67798e65987a6335820,21,4,14,4,0,0,3,0.890
e723f8f5bff44d59557bd178b6915f546658b850,-1,-1,-1,-1,-1,-1,-1,0.907
72d63f2db6faa9cbfcdf74743fc648a7aec45805,38,10,4,9,0,0,1,0.943
cc8d6e2d2aa0b248267d59232d54b0de4ee9aa36,-1,-1,-1,-1,-1,-1,-1,0.944
2d27a3fd4a6e8521730ff74f390b06d615a1d240,26,83,47,72,0,0,4,0.950
726998a5f2090b8bebd1aef3c0fd8f62bff72665,53,0,1,8,1,14,1,0.962
