id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2ce00c071086d669467fed4b8448083c46386b6f,453,10,206,58,0,0,241,0.004
71a5a7eb32fcf93d37592a1f81c8a4b7d0f6448d,3188,721,126,367,1,3,4954,0.004
5745b58a7e27324d42b57d73097c28b66720484a,2646,153,255,3610,0,0,898,0.004
95bef5f205a4f7b2d9e68cbd736ab8eff501a4fa,319,64,197,65,13,416,738,0.007
f546cd4ebc0cccef2e4a23c00ed5d7d71d8e5128,2438,352,147,364,2,60,479,0.008
ad289cd5bdd4b82ea3e99603f0f273c0acc38830,-1,-1,-1,-1,-1,-1,-1,0.009
096e26f8ac2f9de8dbfebae5dab530a6ef31006e,3271,187,152,75,20,1267,1023,0.014
032dacc3f7db59ef1ea26891f9818f7d05030b66,164,64,278,63,1,49,470,0.017
95d0730f22b61b7607429a1d84dca72b6f9c54a5,768,254,274,236,6,253,2767,0.018
328dbc079f5754fe037c5febb807847e4f538de3,-1,-1,-1,-1,-1,-1,-1,0.018
03cca9b11c050e7af8fa448f0fd94c5f701ccac8,321,28,10,215,3,116,22,0.022
7aeea4fe1db417755aa07adb4260b87953453b25,746,80,347,74,5,120,792,0.023
5b534774493eb8eff80579c82494705e2c0f2a72,390,34,29,9,0,0,236,0.032
53b6b0129ca13e3e9f3439b1213ea57b04807079,122,51,63,53,0,0,1,0.038
e526e18865659670e9c0e89931b7dfd24cd4e6de,487,69,66,83,11,512,1681,0.039
6bf080fb46fffd38fd7a625cdef7be1fd65d31f4,661,44,653,37,1,0,21,0.041
0cbfa05f62c56f0e46a0344413029c5aad371532,635,92,34,17,1,0,138,0.041
788c685ca57a04e2f3b4aa79db82c82a5936dd35,485,42,132,44,4,93,1124,0.045
55bbc68ca9ccf98ff2efff07f9ececf7bc4ca34e,841,6,428,143,25,6742,196,0.047
4ad3abb897908c5ab09e07320784b334dabc14ad,407,45,152,45,1,28,269,0.060
fff380a2240ee20720c47ca9f17f87026164cb01,1224,56,156,187,1,0,48,0.062
