id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
dc4c6950b6e33fc18012142d28be555441c26f83,1226,1000,27,751,1,10,1140,0.014
3010e4e718d76e6de692ebc62e24c0920d4a54a9,-1,-1,-1,-1,-1,-1,-1,0.215
2a97b8b72a77ca673ab934e0da74a1d1f0a5f072,-1,-1,-1,-1,-1,-1,-1,0.282
3659f34d4fe313c7b69680f1273669f09811d3f7,5953,87,1105,84,1,0,1141,0.420
62f3e27acd18b7e81d249ffac0da08d18f51abdd,1985,180,158,243,1,23,285,0.439
ac97ae4085dfdabc2702a35a03e5f8f945ac552c,2123,1000,52,671,0,0,8022,0.454
eefb284de2af56a5fc7f9f522f5fe146212f794f,78,0,24,0,1,4,5,0.466
ab4906854698815ac3e44ef7c22bd80458f50905,3,3,6,2,1,1,8,0.467
112b051f9e29a10221e736dec77ba268c19fdbd3,289,1000,8,1351,0,0,709,0.477
baba44854217fa4efbf6522b1720e0e7f1c5e15f,118,616,88,500,0,0,3206,0.510
a77c63b41f8c4489f9ccaa4d2eae9ee9a9916571,7644,226,1728,224,3,0,239,0.519
92e003272314cac96a7d8a1acca96976d6b8be2a,-1,-1,-1,-1,-1,-1,-1,0.540
cf2760470de07810301eef3f54f7f7c74829fb1e,-1,-1,-1,-1,-1,-1,-1,0.614
bc867f67148270eda7b67c785a2c37a0b6abf429,853,1000,15,1095,1,0,2597,0.635
3a56a98d5d9d779271086873188956e115d0a65b,96,1000,19,1269,0,0,307,0.643
a0ba12618b523feaf40d0472c5b35861f4f48ffb,-1,-1,-1,-1,-1,-1,-1,0.657
b8c77a59124974f6938182be81b4af97ea0b59b1,3097,9,1,177,1,2,6,0.695
dfa26a4b06faccb5c736f88eed604a43b0ffc0d2,6847,1000,69,2153,1,7,2105,0.703
fbbb66225c420f4cd05bc9ddac3778e709b5cb6e,2479,28,13,31,2,2,18,0.742
d081b1b10f5ba16758154650e57ec46cc9bab6f1,1337,206,53,188,0,0,2,0.769
8420290d181c9846d0ae882a05d93cf146db1a29,791,738,12,401,5,31,509,0.791
93f2798479bf9830f2c5cf6bfa51e7d9fac6ff17,-1,-1,-1,-1,-1,-1,-1,0.801
61f7e1c27aa3d0733ebbe06d0ef8d50b0dfe4e2a,749,856,12,504,1,4,260,0.834
c8039e1f846f9b8797ba4eb7f82b1c0f773534b8,-1,-1,-1,-1,-1,-1,-1,0.844
48e894235b5476c7b767013c0423b0af147c5d78,-1,-1,-1,-1,-1,-1,-1,0.844
5717c4dd4ec2ec3cc98eb236d3a752a747e9d65e,-1,-1,-1,-1,-1,-1,-1,0.846
bfdeae71092caf6a91ea1d459d6ae2e5b8dd6db5,-1,-1,-1,-1,-1,-1,-1,0.848
49362b058ec10dd0c358db594c4af8830210b312,832,83,224,42,0,0,20,0.856
bacdc3c761362d41b393a1d4f6dc61a978b25041,-1,-1,-1,-1,-1,-1,-1,0.860
87fa4a845c62c616f5cef638bbdbb3c847b73631,-1,-1,-1,-1,-1,-1,-1,0.866
901f559b947428b819bd24904a8b882ab401d198,1015,17,29,128,0,0,7,0.866
b4582c6502d853b912219fbdaf747bd03451545c,-1,-1,-1,-1,-1,-1,-1,0.870
6e348456eda6534847fcffd79329c9251508b16a,-1,-1,-1,-1,-1,-1,-1,0.878
519412b7fe7cf951f5a10be8cc6767de710d65d3,4455,491,1103,198,0,0,64,0.884
dc9c662ce0ea89ae54c2bff97b71a44b1001e448,1047,1000,11,738,0,0,194,0.885
7e5db3d2e21869d134dad6a729c49dea7a9333af,674,57,84,182,0,0,63,0.898
868cc0a5c26386f9363c85741d8bd129634dc598,468,1000,24,1273,1,3,2,0.902
57b4ce69cd53fca49d17ad14b8d888d3c12e4d74,197,7,197,4,1,2,8,0.908
c159a5a62989652e69e20d2258194cd83951e243,29,17,0,18,0,0,17,0.916
8363de7f0270482e5de999804243cc6de7bba645,614,8,24,107,0,0,6,0.928
2f10316f63a3a0de11e7be7e612beb7c6fd4e9b4,46,80,2,74,2,6,6,0.930
2e315fe4352d55a0d13c01b6575d3c66535d4ac8,470,5,115,17,0,0,11,0.933
540c2ad152fcf75d0ea3a970ecbd55b04a56d502,-1,-1,-1,-1,-1,-1,-1,0.935
d6a7e81da9441d0d72dc44e98ee806093613ded0,77,17,9,24,0,0,31,0.943
198794e3842a0a0c0ffc2c19eac19354d8e50897,12,19,1,10,0,0,20,0.946
688dddf6c76b600655060d43061de52a6e8fbd60,1469,113,197,68,2,1,16,0.946
a2ef2460e5a1c1e9d3970120b935cc96e8b887a1,419,1000,31,1734,0,0,1642,0.947
ef1e5f7f2fb35e754124ad26271d5aa84a71392d,410,2,58,162,0,0,88,0.948
2fb7c2a70bb070c84b5ad3bc6d36df53b67d565e,-1,-1,-1,-1,-1,-1,-1,0.951
5e35c230fbafe2df42f681025dd3ab86c7a32096,857,25,84,35,0,0,15,0.951
4526a82eb98b255846e83feee7219e3ec63def1f,-1,-1,-1,-1,-1,-1,-1,0.952
eccbc50ef0b1f57c2f10edb52613c0dcc92f4ac2,-1,-1,-1,-1,-1,-1,-1,0.952
ba21c43244900c6a781a02bbcd4355fdf429fe32,-1,-1,-1,-1,-1,-1,-1,0.953
