id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
87e3d911664bf0c5994d9cddf93e9a2197d2e921,439,7,243,7,0,0,8332,0.002
3cc95d574970129e881e2e30c4d2c54e405f22ec,5990,154,11029,152,0,0,26,0.207
cb1b9227ef8ab10a69b94c62d0674480659f859d,-1,-1,-1,-1,-1,-1,-1,0.228
3207acdc8768aa18ad3915bcdf494963b16b5f58,-1,-1,-1,-1,-1,-1,-1,0.368
da5bc0d937f395a881a235b10f1d6c9bd32ed7cd,-1,-1,-1,-1,-1,-1,-1,0.464
886a6ca40cd762b409859923e5f91b115264ac75,-1,-1,-1,-1,-1,-1,-1,0.508
c1a9355af1bbc8d885778e747893805a16fffa66,-1,-1,-1,-1,-1,-1,-1,0.509
665568ca3dcd7da795e7fd5af17c6c41b50c705e,-1,-1,-1,-1,-1,-1,-1,0.525
98a576abe4546157b8273717e9e0ab1ec0b06a89,2200,396,494,604,4,11,173,0.543
07d04093a118d78a57f5c5ed4d29f6563ebd7066,54,72,13,59,0,0,414,0.558
1c8e908e36df33e076c014e338c55e6be9da1b17,264,283,95,266,6,62,1068,0.561
832e33f84d0defbb1b8dce0d72d07be79b28f864,-1,-1,-1,-1,-1,-1,-1,0.561
5ba0e59d370a4cc5826af6d5276b74a86f577c8c,252,593,134,566,1,0,18,0.567
d2edaac2de200de0c2b812d2388c1de1ce735bf3,2829,1139,230,1023,6,0,876,0.577
3dc0fc595b5dd81f61f6bbd75d881f83e78efa66,-1,-1,-1,-1,-1,-1,-1,0.584
99b991aaacfd06b0e06fea30a64914c105865f64,-1,-1,-1,-1,-1,-1,-1,0.602
693b5df51debed6be32ff506df5cc4e440ee498c,1624,18,165,405,0,0,108,0.615
fac4268b4af69f6342b5dfd576fb9dca8f5b3d8c,174,41,31,53,18,9,1345,0.623
0e30572c2681f4736679a2dda483dc54dfe032ff,2986,0,519,6,0,0,2,0.625
847e12e1ac165d2c7c7191cf4e3eb2da9d47cd80,133,9,43,17,6,0,50,0.629
fa7576040eede97645ddf9ba321bb7e0427ccdff,254,81,95,106,3,34,289,0.724
8d0011cea26e57a80936ef4dde92570ffc188935,-1,-1,-1,-1,-1,-1,-1,0.727
9970f3e9639323268dcc529d113cde4397d5e0df,92,439,174,402,227,0,6,0.752
9f7b948b8acf78cc65b1e67696c980faef0651d5,2051,211,123,453,6,150,597,0.768
4190225d04234ee3b520fb794769e84135c5c341,385,441,54,359,2,0,4,0.779
ec6fa2f1825a0da2f7144f996a6f3382d5e46795,-1,-1,-1,-1,-1,-1,-1,0.784
3e45c3de91b1ad29957fd955a1ca5ba7951bcbbe,269,153,59,143,3,0,44,0.787
e6a10c58aec2344988ed9a3c464c784bb99725a8,-1,-1,-1,-1,-1,-1,-1,0.806
d78fbc482bb7d7ae720c7e4dfbf4bac5fa40c34e,86,74,11,189,10,135,175,0.808
b42e36b95f181ed13726c18f35968d1f924ecd07,72,332,112,312,2,0,44,0.809
9e99a04443921d1021b634ec8298d6ad40c2517f,-1,-1,-1,-1,-1,-1,-1,0.816
ad9955eb8f65aefa983f0cd2d97add96757db680,800,311,281,295,5,0,31,0.823
74090bbb4c792261c78151f191b9586393d9df08,-1,-1,-1,-1,-1,-1,-1,0.833
c4a9a3c663f25ff60bb4683bc43e9f74dd7720b4,1005,24,227,106,5,20,238,0.834
3fab330821d25e999ccadeddb43c12c41142d761,90,12,12,7,1,0,6,0.851
ea29c551ceb73e27b3a128d1dfe13e0bb57eac30,-1,-1,-1,-1,-1,-1,-1,0.852
5e463e5253f00024c8cb383a7767535fc9740779,34,143,21,136,0,0,19,0.861
512c25416fcc2c90f626c133ab02a75875080aa4,146,158,67,162,1,1,99,0.873
a4789b3fc0b27151459366c30ee5fa95b9dab01e,-1,-1,-1,-1,-1,-1,-1,0.873
0c6a8ec447e423eb8dbddfb3765e60ae322722ff,51,70,0,59,0,0,34,0.876
db3f77509345434956293721badafb446957549d,8,18,1,17,0,0,0,0.879
9ecd9014f3974d68e684072409003a8896281464,-1,-1,-1,-1,-1,-1,-1,0.882
58d68a5525418028ef501ea36c76bd81faa389d8,-1,-1,-1,-1,-1,-1,-1,0.888
7f6c07fbe823e801361851063af84c2ae569e4b3,478,152,125,105,6,239,198,0.897
ae4ef705e9860365659ebdef640cfd74c452b5f9,2,839,63,385,0,0,4,0.897
a24330db7f130ff30f060f3986a617a017c83c9f,-1,-1,-1,-1,-1,-1,-1,0.898
b2a75bec87c457d36151a6a8d42bdc94e1d0eed0,8,199,799,186,0,0,10,0.900
7a60f4b5871d9c335384c85c0d34e9d311cdd54d,-1,-1,-1,-1,-1,-1,-1,0.901
5b265c3f62ed3f0e6697068a35915c3aa418869d,3,4,0,4,0,0,2,0.932
3b2e24286ada6221653946ad5714198da6d5cb9b,-1,-1,-1,-1,-1,-1,-1,0.934
81512c556c9c55d36a2042fabbb3032eb0be847d,171,10,3,40,0,0,4,0.944
000064f48159bd85cf64c3a63a1ab334db391f02,121,14,9,14,0,0,16,0.950
1fb2b85f10ee0841ab3c452d63450dd647437f2f,71,385,9,378,1,1,38,0.968
