id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3b421806942d62a5e5e76c944c91045a82444661,-1,-1,-1,-1,-1,-1,-1,0.002
092aa83338a2296d3a4896e007675b32bb1dd29c,-1,-1,-1,-1,-1,-1,-1,0.007
e5cbba41b0745bff394982e5e22e777aa62deb8d,702,48,33,53,7,76,105,0.010
ee8a2c40c41bf4f80bba45586ebae78bf1ba1417,215,6,137,6,0,0,3,0.010
82e65f884f09f59f58134cd019e98fc9bc79203e,504,55,289,53,0,0,1213,0.011
fc44209c1c41e4743ae775512bd4ee37f3c1363a,-1,-1,-1,-1,-1,-1,-1,0.013
e7fff15cf8a2428e6189d6fea21eb9054eb8d2b0,314,81,198,86,3,84,2028,0.013
f3d4d9c72c72d6afb7692d9d2330f790ce499f3c,243,46,65,46,0,0,108,0.013
ea9e1a0625acdf29cd142d670fd6ea4ca4c2f318,469,79,88,87,1,3,1113,0.015
86ff148e34b2b30bbd356245047a5ded5f9466c4,395,67,319,66,0,0,589,0.015
de81a872896fd7ff30cb3aef9b4f9acba8620172,-1,-1,-1,-1,-1,-1,-1,0.017
c7af6a2b33f23efba0e1f58370edad3f57ffec88,186,61,149,97,0,0,75,0.017
22de79bb167f10f77ccca0ad70973587770a6897,287,78,99,46,0,0,324,0.018
7f724dad8b13b0dbb693294c6b5ef4b6da1b218d,-1,-1,-1,-1,-1,-1,-1,0.018
f85786961d61cd916514acd417d99911d3d9df91,158,0,90,1,2,56,530,0.018
eedda11a41aff58e5fab36c550fb07d9f766ffbd,344,338,191,340,1,2,1818,0.018
6877e64efadf822f1f25b3fdbbfe47adc3d48547,349,14,339,17,0,0,317,0.018
c0a8de7fb161c03df62ed8b569a4d05c17d92d88,414,26,219,31,3,60,71,0.019
e1b7b5c71e0dce4ef39c4b57ffe7cb274a150645,426,5,92,6,0,0,23,0.020
795b3831fce7c96a0c8f6d382a25d689f4ee7911,388,45,116,58,10,45,94,0.022
46e6b8061e406dfb1c7a6387546f97fb47b54736,319,20,138,18,2,5,4,0.022
edf43a730d8cc85fcf93208292641499a5d233f4,365,20,56,21,0,0,11,0.023
3256e221870f9951e828ede26b15c65439119b78,457,79,874,81,4,273,961,0.023
d1f17ecbc6cd8a06522faadb6955c5468cd31a16,2208,74,158,357,36,995,1483,0.023
516ef39a20c737cf3c48949757ee11c07c0411ce,1330,135,0,131,2,405,1813,0.023
06311367454352e9d05929d4b9b06e3ff80104a5,-1,-1,-1,-1,-1,-1,-1,0.025
36c26baf5857cf4e1217b89ce969e57a4362f1aa,296,185,24,173,5,2,337,0.026
aeabf2c46746697b59e1be630764739d06b102e1,270,55,46,60,2,27,194,0.027
317802dd754caa2faf1bb4f31d4fd4c41c11a91d,-1,-1,-1,-1,-1,-1,-1,0.028
0202e4b58f99511891fea3e77bc847d1b49029bd,260,0,71,0,7,248,430,0.029
6eb309f528e6045711e51fc5b742480b8cdb69f7,228,48,97,49,0,0,15,0.029
cf30587540a9f5ee85cb8d022decf66566c22caa,-1,-1,-1,-1,-1,-1,-1,0.030
98c88cbde6d418f12aa5976ce4aa2c58489c3f1c,458,361,34,209,12,44,72,0.031
a292204e089aae31f7a631819b7ea6493339329d,-1,-1,-1,-1,-1,-1,-1,0.032
0a9f7ef9b42d501ed8a8e44f44be8d64e376dcaa,289,130,204,51,1,5,584,0.034
0b45ea54d7912b993dd1d0a39e41a45ab1abba28,386,229,396,205,8,322,3293,0.034
c441e8174b8e5be0b8c8aaf7fa6939df14565015,205,32,55,35,7,131,128,0.035
db4433e08f5e4921cf633acb8ceffa5770d71653,-1,-1,-1,-1,-1,-1,-1,0.035
3fe50a5fa10293f47cc29cc78da8e2776ae75a76,163,6,71,5,0,0,15,0.036
7593ec9e2fbaf49a4dbf7d8c42b42692ade0a4e8,-1,-1,-1,-1,-1,-1,-1,0.036
28c31ed8f61babb5c1b4beb51d6769e2b7a65ce1,-1,-1,-1,-1,-1,-1,-1,0.036
eac209df0e9dea2c9ea9731d7db8da20a8b1d96e,-1,-1,-1,-1,-1,-1,-1,0.043
4017e8e65bb14997265072283508edf86d5ecf6c,165,4,30,0,1,12,71,0.044
cfee43d2fc9d35762b68a6abc1699228951c3200,-1,-1,-1,-1,-1,-1,-1,0.044
3475a84e18697b988ab7cfb4752a1ee07fc48b33,-1,-1,-1,-1,-1,-1,-1,0.047
dca7b52a7ea1425d449823050c286a65b7d597e3,143,10,24,12,2,51,29,0.051
9bab7ae8bfc0c370a3a36ef561c7d7101a958a0f,275,10,54,8,1,9,3,0.051
f7911355a983821ec561a580bc7223bc76a9ed3a,12,2,4,0,2,43,20,0.051
30680b56abab91ed9b86ddcd95f0dffebf530389,318,3,217,3,1,0,117,0.054
094f12aa4060de529df0768dcee45a445cd03d72,5911,27,2986,376,2,9,2195,0.054
dfd1d17f74b029a4214f246f27bbe30b36394c02,272,37,145,44,11,14,438,0.055
18287e9ae9c27da24f5e7a69d7a34f032119b980,232,1,39,1,0,0,5,0.055
2f77618bc1665fb9642b443138ca0ed7d375036e,570,-2,108,23,7,378,2652,0.056
16468fe6bfa41ab8a69479c12af53007c21cc4fb,171,102,61,97,0,0,349,0.058
87d3b0a1c5a02289d9ac94591dbe7e1da31491a6,107,43,51,26,6,46,350,0.059
057ed5dc62e2f098ff117e3c2b732a1fdbc2fa62,123,11,28,10,2,0,7,0.061
4f45ccd2b34fd4f1298f6e1744b9b0bb9bffd913,-1,-1,-1,-1,-1,-1,-1,0.062
d8fcf3a2705b30723a1404b69d8d66b3f4df49c3,431,152,215,147,1,0,262,0.063
1a2ab5643eb46acf79c3956d51b9b7c683f7d97d,-1,-1,-1,-1,-1,-1,-1,0.064
89cbe3a2b50155e8ab830328fce56494d157c544,-1,-1,-1,-1,-1,-1,-1,0.065
f1bc64240096ca949b09218c2509538f66a369a9,-1,-1,-1,-1,-1,-1,-1,0.066
9b75337ad19278e0f03cc8b7eae446f64401e46e,5427,30,71,837,2,4,59,0.071
84712e7a02378019f9ee9389adad7cc87046d034,117,67,80,67,0,0,568,0.072
369486d0e1eaca57af7833d4aac5544d5e82cb35,321,66,115,65,1,18,852,0.073
10fc7d40353b41b803e9065c28fda512ae623d35,-1,-1,-1,-1,-1,-1,-1,0.074
