id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c1f85569c3faad8877b540e7ff186faa14151fc0,2683,35,1901,34,3,15,6805,0.000
c5d80c34ad37a4bba39662538949da4ace875ad1,2451,532,1414,526,1,34,452,0.000
293611ab9d5ec2bfd635d51ed57151e81351dd6c,1117,110,1139,109,21,1175,3438,0.000
3ecef2d0e27acf47898385ca6333ad52e7297ea5,1233,198,366,216,2,44,1228,0.000
9ccc92e57ee08ef2b76f1b5b2393fd0806f7398d,7565,143,758,1239,1,3,81,0.001
82b984ecfaaaa0e3673ac6e3a520bf9780a9852c,4327,56,2449,331,1,0,310,0.001
788019c2127d77f48d7270475097613359fd5943,532,71,414,59,8,171,205,0.001
1b2502976cbfc598d65efa05bd2a5358accaf4e7,741,85,369,82,15,1559,754,0.001
c529b4bce3637d55a681a953e72f968494a37975,753,130,276,131,17,758,294,0.001
ddebfcf06eea3b63d4f7e30cbe4d7ca6dc110295,1290,404,1197,371,1,13,2769,0.001
225255c4f32289941ac272963da2750462885a5a,994,3,330,4,0,0,269,0.001
4c7c876899053f6f0635f32b5a5878f6d1e9a6e0,604,174,588,170,1,683,9464,0.001
d97b0a56b70edb51d9d421f8660a29b493d4390b,373,30,128,33,1,5,218,0.002
78e1d4d82ccecca190b87a460a88a2cf1be43379,267,105,1447,102,12,268,1260,0.002
9a8ad1336e88dbc371c01f7433d19e5a995180d4,4262,15,174,18,17,524,3431,0.002
e59f0de753e9863d3c5c4badd9f67c50cd853ca4,2664,6,304,7,9,440,768,0.002
ae22adca6a191a6e60a8bd37949e0d5d4315b4b6,3463,33,994,135,3,13,584,0.002
f995c0d87e876af639607c6956e09dd6fe886bc6,1047,557,974,179,17,2597,8373,0.003
ba433a637e08a1fe9505d4c3f7e3431c7fe8784e,1149,847,186,164,0,0,1565,0.003
1b68b9e8e876c0d8ceacd2e57d3a9b52e744de5d,1016,127,363,158,0,0,265,0.003
9bfe42f0392353660df0aca953f1a3a3614fdcdc,5787,60,1840,358,3,17,237,0.003
b8fa4276cc8a12bb0976d725a18e6222eabcd972,-1,-1,-1,-1,-1,-1,-1,0.003
1e7e295a3be342e69e430ca9d32c1bf3e5e4ddad,701,272,329,135,3,87,3014,0.003
1d5cc237e3ed70d8d3ca5d3d0362e71e90463f46,5103,41,1839,41,1,37,301,0.003
ac55ab8a1c00b45bdac4a81febe8aec109074254,735,471,432,185,8,257,2826,0.003
d61f67af9b14d91e67d73fed89ebed1adfa9662e,198,134,1113,129,0,0,684,0.003
2cfa481017bc1b460f63e4dab2511e57a52b1f45,1709,264,870,317,18,911,2115,0.004
9c95ccb253ba1c1eee3aed177c29ffe18865808a,519,65,280,65,0,0,269,0.004
59a585564f7b165d796d0e00ccf7c2c7a84099cc,223,76,163,71,0,0,16,0.004
1f4585a114e88ab57bd46d58bf145f912e741a30,2098,23,153,191,4,63,180,0.005
