id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9ba1b4a63e7aaff5c36f945627983ed73cf34b3c,289,27,220,27,3,38,439,0.016
6d5911997c3a258ea6bdceb9e00a8dfd6e03fc64,510,13,41,20,6,182,574,0.031
ad5f4ff1e94a5aede620875ac41763d22dbb4d5f,320,118,584,123,2,5,394,0.035
53baa624f1da8cef0ecac81c05ec92f48a8c8c35,-1,-1,-1,-1,-1,-1,-1,0.083
3a92407c951cbea9ed11b7591e4a090ed2d8729c,765,557,137,644,2,2,2822,0.109
d848363a7b7f6556e1c6382469ff5ce7cf5a4a4f,140,66,93,61,1,30,1729,0.140
e6216fd8042aeb5aad406727541f06ebb659683e,67,56,182,55,0,0,0,0.181
dedf61247e27d7c6566ce4a7a48cd353567af90b,230,125,539,122,2,8,1208,0.217
2495292414fd9064cee5847c4778ec8e5b110428,93,214,199,201,1,0,685,0.219
a53d570ba75e7b7ab4f9daa0e250e267a735dc6b,104,30,74,28,1,4,884,0.219
108ac878decda9380a89885e520b085f00635cf0,-1,-1,-1,-1,-1,-1,-1,0.228
80e441337139a72e84b197530b2c03d16cb99a60,-1,-1,-1,-1,-1,-1,-1,0.235
ac1540604f297c8a860f7aebd92f7b95d1e51bd3,152,93,4,88,1,0,205,0.248
35797a254e814117a162a2ee537c07c5e7af9592,72,157,302,148,0,0,0,0.257
371a119bd0847981351d5d80a5ad4920c50a6065,102,50,77,49,1,33,70,0.262
ce783f3d8d82419b0a08629bfb4965f60fe13754,253,50,39,238,5,0,669,0.263
645610462fe123493400e942b46b4834cba8fe09,60,43,162,40,0,0,0,0.271
6b61167e550faa06b757724aae0a03e0f70150bb,34,21,35,10,1,1,16,0.274
5d3fdb8155df9f516428cf532d0abb199891f775,70,64,385,59,0,0,49,0.277
174ae140e27fed47e3c566a14b258a6424008a91,59,27,102,27,0,0,0,0.285
d96f910a8d2a677b3de019ef3a510bdf4d19dc2d,70,24,63,28,0,0,0,0.288
b63e17e52e8d1dc37a8951565192df2e1289619e,37,207,486,197,0,0,7,0.288
e15046733116743f11fce6d3daa2e9bb561cbf1a,105,94,186,89,7,0,2,0.307
1f05f50b723745f1e77831d00c3754d86cd2925a,-1,-1,-1,-1,-1,-1,-1,0.321
bf3c5ed6815a18a73cc2fbd1d2e52155ef4934f8,286,712,284,532,3,8,7,0.330
a723718bd1f6e73a0e3ec8c4bf0deb6ee6fe0f19,115,66,41,44,1,0,92,0.351
78dd17e485bdf64169c55d4f6eb6627de022dcfb,-1,-1,-1,-1,-1,-1,-1,0.363
569e963bafb9dff9f576a728e2e7d7c435acd356,-1,-1,-1,-1,-1,-1,-1,0.366
ad920df3b95aa0b308272c2dd12fab6ce0d62ade,-1,-1,-1,-1,-1,-1,-1,0.369
fd78a414e077d6f6c33f607f2fdbf53fd45cc9db,171,30,111,34,2,0,490,0.379
a32f204c7870e0a02cc16e78661b7938f36b2d74,60,310,83,305,0,0,116,0.412
d4c272a31986e28fbad28ba30947e5352aa114d1,-1,-1,-1,-1,-1,-1,-1,0.482
5c4f70539c190954a2b674e69ff4d9b0d13ff51c,61,20,31,18,0,0,0,0.495
e7ad8a3bd7b27e20b2ebbf09c8089ab83fdebf53,354,241,272,223,0,0,24,0.517
a776d457cf83be5a10736df08d6af055d4a3ba82,87,100,142,92,0,0,1,0.550
4e7f701507c2dfa1ef846ca3c80040c0ea7d9796,75,5,23,5,1,7,127,0.563
922ed222d033fa8139514de6b384b0f5b24c6b66,-1,-1,-1,-1,-1,-1,-1,0.658
b8992446c2ea02d404c9b6737e74f53f2f249f86,-1,-1,-1,-1,-1,-1,-1,0.698
3becf072f539604cc955e87e0344e0cbad62bc24,-1,-1,-1,-1,-1,-1,-1,0.709
457d9bf99a2312e0cfc2040c4a7a7ed9d43852dd,66,16,53,19,2,0,0,0.735
5438592c60474bbddc9c80dd6461444532023316,36,11,14,9,1,11,63,0.747
f966fc6856079269bee1883f6ff558fc2da9cf60,-1,-1,-1,-1,-1,-1,-1,0.797
23712a8a036900a86d4659c0e5184da781560f38,22,1,1,1,0,0,10,0.807
5cdacd9a54c3f296c49a874fe20c2ad9061f1e05,4,3,2,1,0,0,2,0.964
