id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8f162047a2ebff2d706300999d43529ebfb2b3ae,894,47,310,46,1,41,1537,0.001
37034e8b966289aa8b761cdfc8d4ebb949e3cad7,1125,4,776,16,0,0,0,0.001
ede6aeb3441e6e31d85705e13e74a6c03c2a10ad,4457,11,577,145,15,294,2166,0.002
78f757dd9793c59f8494cf6801d8d21ea4c70d22,-1,-1,-1,-1,-1,-1,-1,0.002
c6e9d3233a09a7e676b617a7ed94ac0e1de42da5,1089,155,1447,170,0,0,1519,0.002
9c67e87b7a1fb0eb158725771d20b362b5247c07,923,150,651,221,2,65,2136,0.002
836dc3ea8f8219a9d52d711687bc54454eb59c35,1270,409,769,81,7,312,2845,0.003
f43a81ed7c711914ae161acea7a09c2895de6fc6,229,77,314,74,0,0,0,0.003
ee1567176210524f4eaaba705330bc01a1060840,3995,261,569,279,37,1746,264,0.003
862e9fea6d31d4705ee3690dd0298dc0b5b7f79a,3663,15,663,1160,3,25,88,0.004
69a1337607f7c7b356d454575b4d6ad03c006471,305,8,84,8,0,0,164,0.004
ae6c65621b59922410b699c65dfec83404ca2830,133,23,47,23,0,0,158,0.005
50c21134fc2cf6dd0d28b37423730a4dd2e618df,201,209,169,59,4,73,257,0.005
cc85b91c357e6c4fefc410d94178de43318d2dda,464,33,3717,33,20,838,1579,0.005
ceb00234aaff884f1014feff616730014dfb8489,7006,93,876,1079,24,1034,2178,0.006
c91ecbd86d7f4a670975003a2b1b723eff9302cd,70,47,61,18,2,22,97,0.007
9f03db69d3aa95760df917a95ce8b875ecc2f1b7,751,117,182,122,0,0,503,0.007
7eb1e97aa3fa8249384b28375084216a8ea2ea1e,-1,-1,-1,-1,-1,-1,-1,0.008
fc1851a67e1ac8175452f45da9dd2d27c6f886f2,5275,40,2016,143,1,3,524,0.008
868238bdac71ea1fe249bbfd7929630f01c33ef1,4292,4,1106,13,0,0,3364,0.008
a80bf4bd50b1f8c1e6b1b468949b2c012b3b4b89,2574,1000,734,355,13,362,2142,0.009
af1a284a325d6a26fcc2b3211c6c197ec848c4f1,137,112,297,95,0,0,1,0.009
5bb778c15e244810c41cd23bf936d1c6fccf458b,356,20,344,20,0,0,0,0.009
588936b11fa188630cb35f0632363e359e62e75e,661,8,993,8,0,0,0,0.010
59988dfea63773856db8a7bdc6adfc9a9d2b7f71,-1,-1,-1,-1,-1,-1,-1,0.010
64cb6a5bfecb4c439f58fb9d9cfa05f0b141a0a6,2541,206,991,396,4,2,611,0.010
f68a0de7d81c61594c075b8fe30b5d02e7a6bf4b,911,620,646,258,8,72,1936,0.010
efa2f6750c52c5bc49b9f9679e0006e1abed4849,205,13,186,12,2,6,29,0.010
c85cb4275ab2072a6475aca65ed231958be31646,887,26,109,31,6,195,1048,0.010
7fd68b987562d9c5ba88c42e6199b91223183ffe,1595,21,1321,20,0,0,2,0.011
7a2732236c4d2b91419ca723575babe5aef30b62,782,257,174,290,3,14,624,0.011
b3d3bf1adc868f739fd4279f2c7f946c8095863d,5206,79,599,256,4,96,2146,0.011
876c88a5c81a3f9fb74fb7f8679f788bf3f8a526,856,173,50,219,1,7,676,0.012
f1afe49145ff2cadc157a06d57798df2235bccdd,-1,-1,-1,-1,-1,-1,-1,0.012
91ce04b46ab09c7f48fb2665f177e586392e0521,284,27,178,33,1,9,0,0.012
fa8fc8a4d011631abd3d727cac111b1c27b7399e,134,144,543,129,0,0,54,0.012
83847700cf96aa5801f58f9abe4e7d9140d03d7e,1803,107,217,135,0,0,2369,0.012
f3c20bc963e6aec1ab5d3535fc64a2ecdc29b1c2,164,31,123,31,15,311,6375,0.012
594032ecb238da59fb06f3ee98df7bbd28202672,2253,259,4948,737,8,141,949,0.012
e15e5775f26ab06738cc00e9eac7de7f91938261,378,122,201,118,1,3,470,0.013
1c9b0dbfb272befa95bceb72cfa178a4761becfb,8155,213,385,280,0,0,98,0.013
9727e89f9ea42973e0306ca1c62315cd031cbdf1,-1,-1,-1,-1,-1,-1,-1,0.013
8fb5b42b099f791a5a487e6c4f61b47b350b9758,2130,252,1039,370,0,0,4439,0.014
04ef9cf04fe421f83189e061000eac7f9f50bb06,3785,343,1423,403,8,582,454,0.015
d6b41d7fe4c3e7d4ccbe3b11fb0a2613c79000d0,-1,-1,-1,-1,-1,-1,-1,0.015
6ff3fd912011c9015397d0336fa372099823ac74,188,8,205,7,0,0,1288,0.015
8c26a50df8a74047c2cdde885131be1e60d8f309,179,33,183,34,0,0,62,0.015
36dee7c5e8f551316cd0f6484f1de9116ea16c78,271,159,105,53,4,96,339,0.015
afe5dce5ace8c8a984b233e307fc2bab7f198e82,1352,148,313,170,6,254,1803,0.016
94e1b3a03695b5aa4b692b236461b1bdb9dd6059,394,136,641,122,9,96,179,0.017
c1eb9b64c77722658b14f7e27c2c210316dd1862,316,134,694,98,4,3,881,0.017
d3560fa756f889e56283ece063b1d609c575f06e,-1,-1,-1,-1,-1,-1,-1,0.017
cf03b0061f7bf754e9a38aeed1b35f44d5b18042,4675,159,866,372,1,678,6759,0.017
794e932d166c89f709d99836f755764e977a540d,5664,24,162,48,0,0,1,0.018
cd8e9fb90acf088c4d7c5afa1706b565f538162c,624,67,304,64,0,0,1642,0.018
d42d7a2695d7713d435b6eb32fc1c77590a2aba3,-1,-1,-1,-1,-1,-1,-1,0.018
b01141bfb57d7a083a6e547b2b82a4cc74841d9e,2697,1,511,0,4,139,191,0.018
1a3a10a19de6eae4668a160a5eaf3630d68a9bc6,485,50,1638,52,0,0,33,0.018
f672ddc874dcc9fd6a74c5e3c3e8fca89745bbf7,852,20,1175,44,0,0,602,0.018
61e75c6bd2142a5a14112ff0dc1a622478b4a660,946,141,362,115,1,0,755,0.019
3c622c199999f381bea0c92d82db28dbefe3d9a6,806,51,269,48,1,1,273,0.019
8210fb984361289b842eb41adc2e5f80bf63be52,-1,-1,-1,-1,-1,-1,-1,0.019
bc70b635cb958f94482ffc1fe09bec3a7486b261,1868,35,505,636,11,104,1696,0.019
4701e5a73b5238c7ab0f55670da1977abc05264d,-1,-1,-1,-1,-1,-1,-1,0.020
4620cddb6b5312b3ef992e3e191c0388515b2516,446,145,223,135,5,18,1378,0.020
0bbca0e41398fe68bc26d328ae4c525612fb56c6,1551,28,670,28,1,7,24,0.021
d90f305a2124913eaf0bfcbaa1acf95f3a544c09,1422,20,513,35,0,0,25,0.021
8b82901e1449f39999060c69cb6958a903476d3a,482,16,212,15,0,0,66,0.021
a9cab03815edf28d918c3ae7b4d31150ac5cba1a,548,102,256,96,0,0,1116,0.021
9ba9efe785114bc7d1b1b264f800908ddb53cb01,412,45,112,52,2,0,126,0.021
a78fda622ad04e8a27549391f3f581d91e8940e0,1166,89,296,167,2,3,3,0.022
f9f2f54eef57d2b9c0e9a556d9449f121061a836,243,47,535,49,2,38,17,0.022
da9a10d0490c08f0bdcb93ae3505c38e3637b5e5,509,47,226,44,0,0,56,0.022
ef6b8913a9b31a53ecad29ac619d572397d19bc2,667,30,184,31,0,0,2178,0.022
de259536aa97d60f46fbb61e2ee3cb8da66c1a4d,376,24,166,28,0,0,4,0.023
63ff9eb0f9f69f58ce939b445fe56d6581326913,4052,24,1145,117,0,0,3349,0.023
