id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
1c78a2e59c6e7a733c4931bd70c86f80b5cece86,41,9,9,1,2,2,8,0.005
afee4cb588adedd42c714d899efa5df45e243de4,-1,-1,-1,-1,-1,-1,-1,0.010
7002fad6c15c403c04e6c060ff2ecfd5eb02224d,-1,-1,-1,-1,-1,-1,-1,0.010
667262c8b2ca7c2e4aa47e876f04455f2769ee88,-1,-1,-1,-1,-1,-1,-1,0.036
ac58685a7954b4798751f6bd91455c4ab04960ce,272,8,16,9,2,11,65,0.051
5642e7a2888d8069422960617927816b7d5dc2f8,-1,-1,-1,-1,-1,-1,-1,0.055
d16ab0a7cde5e0a2bebc9bf6b4bb26059344f515,60,276,96,163,3,64,1536,0.058
8387996c5d5ebbf14e3ef285624eea71fa007cb7,-1,-1,-1,-1,-1,-1,-1,0.074
cf8cbd89774fae7419140bb5125398e7a9e4f95e,250,55,23,54,3,43,653,0.075
6bbbff415d136080c2c1d5c857d7842490af64d9,3083,19,30,154,5,224,407,0.101
3c5bd69516f4892937a41e25f98c57eb0fef1696,326,538,478,523,1,0,2391,0.109
a7b2d5de59ca3805ea169178a1c7d97283514cdf,128,7,33,13,1,16,10,0.111
d6465d477ee651bab0dd683be20da8a80dab92aa,216,866,879,749,0,0,2209,0.127
c4892240b925f62e05cc5378d7f7410329cccc29,-1,-1,-1,-1,-1,-1,-1,0.156
32ad1a53a0ba1832affe5e5ae6768506062f8751,79,242,782,255,1,17,637,0.161
e10f811bb9ba62f1a61360c344e617acb4265872,-1,-1,-1,-1,-1,-1,-1,0.166
ba0d99cebb3f6622cfe2b4b7bc4b7ce0de60e82c,212,18,126,17,7,103,91,0.167
daa8e70d2ff2ddf42a5cfe08c50085070cdc2e6a,4221,183,196,433,5,106,14548,0.202
69c40914910ae4100227faf748821cb7740ea7db,-1,-1,-1,-1,-1,-1,-1,0.218
81bfbfd0f5f0efdf524f6a516a2184ce25d06cfd,-1,-1,-1,-1,-1,-1,-1,0.228
92d028e0fc3e31cc6020e5de9e129fa88d7c2344,14,0,2,2,1,62,0,0.232
82d7294baa8da0eb42b12b5f7612d485e8c467dd,71,13,4,8,1,8,56,0.235
a41eb1da43eaa54a526ee334d4cb75d58d4fb657,-1,-1,-1,-1,-1,-1,-1,0.240
5d30f1f41b789a50bce66380e55f548c3621bd84,-1,-1,-1,-1,-1,-1,-1,0.240
ca1097fc009020c69ef1e1c295396ddf1abfdf13,3683,37,1306,12,0,0,467,0.245
7ec85eb5aebb8d49f7a5d61ed576519edffd7a2e,-1,-1,-1,-1,-1,-1,-1,0.248
4d9328cc885154d8989e25c00fe2ccfb03c41562,-1,-1,-1,-1,-1,-1,-1,0.254
690b15126d32009583dc64c685b63c4a3a7fc597,175,75,240,71,1,0,9,0.269
df53e8782ac56aefa544b5465bdad6777ee2f91c,109,13,26,7,0,0,13,0.280
f436f73ee324ffb75802f791e940d1a84076bcce,366,10,495,15,0,0,214,0.282
9f95738281f4f3d9ec57b04c096b41bbff3930cf,-1,-1,-1,-1,-1,-1,-1,0.284
1353fb893b581b893e086e50bd51f59387cd9059,178,-2,278,100,26,1557,367,0.295
5c86526899b7e4364fea0ef0f984994f18a0cdbb,-1,-1,-1,-1,-1,-1,-1,0.301
22297e5946c705843498fb82b6fb49eb233270c6,67,0,9,3,0,0,1,0.315
ec4e4b9aeedf40aeaacb141ac513f2187660818a,85,47,33,46,1,3,160,0.315
df53de8c94d1aa04b8d8cedef2c62f48795dab97,66,109,133,110,0,0,850,0.334
662c42633744b8ee65384c385f5ca5e6f7aa869e,76,7,44,35,1,2,6,0.349
b4543f1b7ae978ec01306202b036979b87416aae,-1,-1,-1,-1,-1,-1,-1,0.351
94236177711c824984cbf422155755e31438c57d,133,45,267,54,1,17,161,0.370
899d86acd961ad64a54bdd5814cdb40b01582c86,-1,-1,-1,-1,-1,-1,-1,0.401
0646f8708851a3acdfd53252226877d4b66276ca,-1,524,391,507,1,0,1636,0.441
6d6b60bc8fb049234a91fd614d80c9705c9a1422,-1,-1,-1,-1,-1,-1,-1,0.451
82bfdc33265e22dfa166515359605b477a2f719c,227,627,279,598,15,0,9,0.451
b0ab5924665075fc4ee7d2abf39e152ba947832b,-1,-1,-1,-1,-1,-1,-1,0.467
3ee26ca43616a16c4d6db6f86ecc693d177e5d25,-1,-1,-1,-1,-1,-1,-1,0.475
0f272acfbcadb48e8d15f66013c09e989a8b3d70,-1,-1,-1,-1,-1,-1,-1,0.488
012ac0933f073042fdfe658c7cbb08f8da11463f,651,59,5,45,1,3,4593,0.510
702709d60a998bd70b478a32b698f94ed81ac424,168,94,76,112,7,887,145,0.517
18049f745e71c901957a43117a0d45d26492cdce,50,22,23,31,0,0,8,0.523
4a513159cbf5396b03cc656bbbf7f9d5a2579c29,31,21,27,22,0,0,21,0.526
8555fdec9c88cd4244960049e85c6a688f36c963,-1,-1,-1,-1,-1,-1,-1,0.540
3052f2431462f87a316390cd94d8d1e454f59e69,290,17,100,13,0,0,191,0.546
663d1524472579b6e3f487ad7427ac6a4f86935c,5,1,0,1,0,0,4,0.555
3ce7e14f9ac8bc2801773f900fd052a9d8d8a2f6,-1,-1,-1,-1,-1,-1,-1,0.561
bada4f7e88886e1355f0788fec3836fe8e5d3005,12,3,2,3,0,0,10,0.563
cc380acb627114c6b15744095438fa89b0da97f3,148,176,156,173,1,0,9,0.564
c9703f98785e38ced86ad0e6301ecf179c9eec33,-1,-1,-1,-1,-1,-1,-1,0.577
7c3decae6d32c823cf4ebadab2b5738273d0a743,144,165,20,142,26,524,223,0.588
19d62e54457f9d6e5fc53b57e3ff5524931b3640,-1,-1,-1,-1,-1,-1,-1,0.610
7cdeceb0ce4c283a0ccd3d35522a62bed7871927,69,8,55,3,3,50,4,0.623
227280abe17d75d6412979cadba1157d85102e97,21,7,20,7,0,0,23,0.626
ab100cf8659247579cf7900e4825054f53b73b8f,94,27,20,22,0,0,187,0.639
e0aa9978544d5424d2e25e995caac20497126241,93,8,11,3,3,20,30,0.642
32335332cf3059e36cdb7d1e7b39d6e126e74006,-1,-1,-1,-1,-1,-1,-1,0.647
87a8d8a3320be1106edd243cd95c4320c4b34bef,-1,-1,-1,-1,-1,-1,-1,0.660
caf1184df7a90fe74b9601a6f76d61dfca3fa700,92,105,104,105,0,0,10,0.661
e323a6e6e1ecb0a600f96bdcf384a28304fcc7d2,81,216,247,222,0,0,3,0.666
dbd401559795499125fade380a59382e43e4890b,-1,-1,-1,-1,-1,-1,-1,0.667
5c835a31b833ffdf19485df183a2ed6d51dd42cd,2262,3,291,87,0,0,47,0.681
a8b33eba8e390f1933a3090951a7f738147f938a,-1,-1,-1,-1,-1,-1,-1,0.711
2f48c2164f08d1926dfa60e996eaedcb50256179,-1,-1,-1,-1,-1,-1,-1,0.711
72f6867530b87bd441b6fbc0fefabca2a1ed8fec,-1,-1,-1,-1,-1,-1,-1,0.716
69ab132603bbf5f0ea575a9b6453438bdba785ee,-1,-1,-1,-1,-1,-1,-1,0.730
13e401edeb333738663202bb674ad022ebdfb560,4219,279,329,184,0,0,157,0.734
3ab9040a8db7b3befa1e3b3eeb08ad42c1b369a3,-1,-1,-1,-1,-1,-1,-1,0.745
c7bad55cc256fed81f8e3024167b5ed89e109808,77,14,25,5,0,0,53,0.750
19b919d1b617748ee95d8727975ca4bcb168df6f,29,7,3,3,0,0,1,0.750
4a99c780064c5ee41d1c848c7ed17d7caa8ff0e7,127,125,82,115,0,0,20,0.755
f2fca6dc973a20e241ea74c29d2055a45b7ddda3,2198,1,193,297,0,0,137,0.764
683e8ab8bb56a46e71849b3de27c756b003974e2,-1,-1,-1,-1,-1,-1,-1,0.766
458e2fd608f14a9a3c6c201aa1fb2b807973dde6,-1,-1,-1,-1,-1,-1,-1,0.771
b0e6e2cf96a6be30fd84b1b2e836654c60c91037,-1,-1,-1,-1,-1,-1,-1,0.771
82de928ac42a7b0c3ec6bd8c88852088d9cc7583,-1,-1,-1,-1,-1,-1,-1,0.775
7225e06e11910b9e35e8dd8c3aaa4fe3d37e95dc,31,19,7,19,0,0,11,0.786
b398e1b434e5690d1024deeb642c0ffd156cc0f8,36,15,4,13,0,0,14,0.799
20fe6428865b705e565b8752c23c81d07932a3f4,-1,-1,-1,-1,-1,-1,-1,0.803
541416d262230c8f5b4ec237bd8290a294073690,-1,-1,-1,-1,-1,-1,-1,0.804
cda1c9fc03933c2d04e5547178e5a45261c1a552,-1,-1,-1,-1,-1,-1,-1,0.810
bcef2f43b0e174824ba0619e769ec42e785950e6,-1,-1,-1,-1,-1,-1,-1,0.817
7edff1bdb89688795c8ff790629ffcc3f9e377ba,68,4,3,4,1,3,61,0.828
677091caee04c35dd324135ce8bafbb85d51fbe4,17,1,8,3,0,0,1,0.837
c7eba86da433077881de921d5c3d861b83094ea3,-1,6,19,15,0,0,16,0.843
c2aed260fc4c55f3f348e8600c58dccaf16566f4,74,20,0,17,0,0,10,0.844
330aab0f3d420eee12476f1af2a7cb33a23992ac,-1,-1,-1,-1,-1,-1,-1,0.849
8fa4ee9e54fcc3cad3259e81bef54bf2bc2071d7,48,0,6,0,0,0,2,0.855
63da416368234b3e664533fcd64f64c516db2471,144,39,98,42,6,0,85,0.855
4d5b4c898b5d07b82b95c986a6dedf5c37e16d76,-1,-1,-1,-1,-1,-1,-1,0.859
89f03575cc1595bf71d8a3ac11b811f460bc4853,287,21,23,26,0,0,89,0.859
3d1b45dd86cd5e9e75339b1630b0dd08c41022f3,16,9,1,9,0,0,4,0.871
8998e6254f1d4613489ba8f9718dbeebf4a4738f,2015,0,40,9,3,431,660,0.871
8d01c2c6443ccc78d75bf107fc0ac84c8f28e028,4040,146,7,222,1,0,122,0.875
f8367e7fc6870789b1a43a36e43f651cf9655707,-1,-1,-1,-1,-1,-1,-1,0.879
e9453b16bccb870d8c9636b99ee29206e5f17750,-1,-1,-1,-1,-1,-1,-1,0.884
7e5a57c79ad14c5bad7f62662e9713a966fcd517,-1,-1,-1,-1,-1,-1,-1,0.895
be674b3f01b0ebc81c7aad8cdbe0686d8a6084f6,-1,-1,-1,-1,-1,-1,-1,0.903
9448d1bf184a954c415ee087bc90549c040a453f,2744,55,189,562,1,7,129,0.906
7bf7f7a4fbcdbb8969128e12db244ca20739d5bc,22,12,3,11,0,0,1,0.914
13a343af9488bcf77bb2c2bd3230381d61da9470,-1,-1,-1,-1,-1,-1,-1,0.929
e55e8e658afbb6e01899d3bd5f2c405dc1023785,21,10,4,7,0,0,2,0.937
