id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e9adf6c5de5bc09c698bfcae6046dfae62419ea7,315,219,195,207,0,0,2837,0.017
e23ec98c7af54eb61ac68ab3e861facb842eba28,65,4,16,4,5,253,338,0.026
d9e4da0ebe7a8079592c850de6e5de84b89d749c,-1,-1,-1,-1,-1,-1,-1,0.044
cbd7b3c87031f9cc5bc129f6aea62158484a2f7c,710,29,0,14,7,1114,130,0.045
f23ace407ca2bd11d832d2f5b6e96daf26dd2595,806,348,208,175,8,148,2176,0.097
27e9ee9e9e19c1a2ac35c0118afa203363b045cd,199,166,264,163,0,0,102,0.121
cef0fd4b13881bb8232898bf1777fb80e75cc763,-1,-1,-1,-1,-1,-1,-1,0.125
f9d7d7441d9600b5cf2b0c561dc78a82d9ad5267,183,106,79,104,3,1,88,0.140
6c38bcf1e034da4eb4858688d6773c6deed05d0d,272,26,55,25,3,100,195,0.149
5e8d689f80ca43fafbf238c0f7fa75e8cc857000,-1,-1,-1,-1,-1,-1,-1,0.154
a9472a9ab15871e1dc367ebcd9df1b770d86027c,1553,15,382,36,3,101,1167,0.161
c5706fec182d3c861eed57192bff29d7daceecb1,135,12,60,3,3,28,186,0.177
1f40bd9d901c1f4108508876f999cdf3d12d3c7a,-1,-1,-1,-1,-1,-1,-1,0.225
1a3535a4747b55049fc1b69989b3628d85d4df6b,537,528,182,343,16,57,2058,0.226
90f6567af5c4f6cbaf40a0d74647d9227f51dbb4,-1,-1,-1,-1,-1,-1,-1,0.226
3eab093b60be0f6d78568153a8e7fcb18d554735,111,149,614,140,0,0,95,0.227
3bc7e757849f4ebb8dc00df9fd42a83883639d1b,447,368,51,249,1,4,5519,0.236
6bfea73249b0b4909eebbf10124e824cebe8741e,801,151,399,142,1,2,115,0.240
a0fb0a1c475287581ca0ce6f756eb15a8f3d924d,169,44,14,47,1,1,4,0.251
1cd12e6d5d97cf3ee908660ce2f1075f7e8111d0,122,15,179,14,0,0,3,0.252
ae144975394643764dbe0f91286fd38ea5e1757c,-1,-1,-1,-1,-1,-1,-1,0.257
81ede408e997d567f6942b7b8792452d98f29b97,146,77,47,75,5,63,14,0.259
252d573a60475aa7981eff8b55ddb93ef28c054d,199,198,246,184,0,0,128,0.260
ea8a14ba556ea869291b96f12f0e5fb6f4f369d5,143,261,146,248,0,0,937,0.261
4c7511bcf6f5b1fe93f43640a3c351f4577daf7e,-1,-1,-1,-1,-1,-1,-1,0.262
c1120041726a2ac4b1dd988190374f01ee8be250,159,80,180,72,1,0,4,0.281
f8989e310bf82d927ce6e3cc8162b31ff4adde97,111,116,176,74,20,28,10,0.284
beb5eb6c734312aa0c827dc0b8ff44cf0e354484,-1,-1,-1,-1,-1,-1,-1,0.287
706988638f4c40a4135e2ae6324dccbb3356fed0,1171,35,38,288,1,2,29,0.291
3be3638a4d92b90e72808529235ba0fc992b122c,526,225,105,218,1,1,112,0.296
77f3af0a11dac14ced6b4c1a32c85a3a4258a862,195,31,240,31,5,0,5,0.296
3d052066135576cbde29dce91481477d309e3c46,-1,-1,-1,-1,-1,-1,-1,0.299
62cc2c713b66294456e1579ced5196f8477dd15f,-1,-1,-1,-1,-1,-1,-1,0.300
422bcb4a8deb617eb003295cbfbc5622886008bc,158,547,209,491,4,0,13,0.301
d3f1ab6a92c973a11bf3cfe4c5edbd9c056f0385,95,75,59,72,1,0,25,0.304
4627977b143d535d6a09b6e85067948f7f8154e3,219,27,42,25,1,3,229,0.304
418f7294b261e8a507e5dbd042a55088680dd90c,100,59,52,45,2,0,52,0.308
83721b706d395b4b7500ab7dc397b0051e628379,387,82,128,80,2,15,4,0.309
af807c21b2cccd949e9012b6a1953f2a2110ad2e,-1,-1,-1,-1,-1,-1,-1,0.311
736a5785faa6f969e941b1f27f47a12dd9b052ba,8,0,12,0,1,47,90,0.312
670ce3a0709ed0b0b56ae9f22f9eb21e2029f7c8,-1,-1,-1,-1,-1,-1,-1,0.313
111df5de6943f752fb39bc727c3d11fc82c6546e,34,14,296,13,1,0,1,0.329
e27b87f9a8a2cafedf1126d71eecc6bc775b5304,131,285,218,232,3,46,5,0.330
539692159f7dbfc80712c3f14349db22f637e654,503,681,400,627,2,12,3,0.331
078e1deff72c31d3ea7f61e9373c4ca1bc04705b,108,52,121,52,0,0,0,0.341
d4bafc6009072eb7d9b4aba36478f7a6386abd5b,1383,538,841,468,1,176,63,0.353
897fb30dd7bd9f899e0e6b041bc2641d221cd5f5,64,56,60,108,0,0,6,0.355
19bfbabfd1c4e337990da00c2d53ccfd1fb628ec,218,238,29,117,29,3,1108,0.355
99d2cea6d3bdd57e1c066014c08671edb4a2dc33,234,50,176,43,0,0,3000,0.359
eca0cca389748540f21844e67914938ed53a0c48,325,75,88,50,2,0,161,0.373
ed1c13efd7d3f05bd96abbd6816d34dd961f0057,161,108,84,103,2,0,119,0.386
9fe5b6f6f38226e652c6d774880804fec5f58e56,60,98,208,89,1,0,0,0.393
67009503cdebc8cb7abd28b1450800bcc0bf7692,31,2,3,2,0,0,12,0.403
4d50848a6026e79b915a1a2770c97760d19692e6,289,200,68,195,1,0,87,0.405
537615b8ec8132a8840a48e834454d5ec79c2b61,123,150,224,147,2,0,1,0.411
e28bb4a00c1f68191996af6c0591d2bdf152ab73,-1,-1,-1,-1,-1,-1,-1,0.415
aa909897e3a7b459f1ef9d27425de13960c86d92,260,213,208,201,1,0,2,0.421
0f20c222a584e595c307ace5e5ea2465c8f95197,420,216,427,290,1,18,2538,0.425
21e79f8278ade0afe1fb9523a7f68ad119c5b086,135,258,24,248,4,0,118,0.427
cb73c53fd44b9688a7f83a3041a5a77a87dd14e4,392,66,459,69,1,0,990,0.433
ac3587d7754a98ca252add4c367e53b5cb145387,-1,-1,-1,-1,-1,-1,-1,0.438
ecdabf1de6326bd64d6ce13d3b183290b1fd013a,1392,734,54,578,1,0,244,0.460
867e56ed1b8e3eda84de694f8213d734be7ad453,91,109,106,93,3,0,1,0.461
3fd49d7013f460ee3f91465fc48283525c210cb9,-1,-1,-1,-1,-1,-1,-1,0.466
a9e92df33d17a919ad40af60fd25cb7f163cbe55,60,989,404,936,0,0,2,0.473
80561d785f9614c5444f4d1494174f75069fc7d7,147,48,103,63,0,0,8,0.474
d776fbd85a2c76a460c9d5f7dade38aa45d0a211,97,587,110,505,0,0,4,0.488
72334160589c101911d98cc2702bdfb26597c270,-1,-1,-1,-1,-1,-1,-1,0.495
5b02a58ea0d0e0dfffc822bb9e7bd3cb6b417a3d,-1,-1,-1,-1,-1,-1,-1,0.508
adb0c63a916971ec4a307585270c3db96665f8a6,77,41,59,39,0,0,0,0.520
0f3cf36761d09c9e2a1a9703c1a25b348c8f29b7,82,171,191,158,0,0,1,0.523
f6148fe79eb4bca7675982ad75471d2f92610636,-1,-1,-1,-1,-1,-1,-1,0.530
d3c5aa4e79b0d7acd735cbf91ce9b82dc7c2529e,383,509,274,464,5,6,2354,0.530
a85721f9f3bdc4a16e8b46723a787564ead2ecb9,58,209,911,154,0,0,1,0.545
b546afe273ec31a63d0a159baf21e0ebf436f1d0,82,155,43,153,0,0,129,0.554
8fb7153668b26054ff796eedd9409d4684326f98,-1,-1,-1,-1,-1,-1,-1,0.556
54f55008124c5316fef51143680937d4676d4245,297,398,264,381,2,0,15,0.561
fb37750643893c233ad4599aa47e5ba2d33230a2,-1,-1,-1,-1,-1,-1,-1,0.561
500a55fb8f301749c14eb43c6cd3ae56f3ca9c74,139,854,295,765,0,0,9,0.566
4c8b54aaa1044a9abc227805810b1b8bb43f39f0,159,229,137,220,3,213,300,0.573
233f1c32f2f16888bbc5b80f2eb94077fe741cc4,243,29,376,25,1,0,1,0.577
67bf99ecb99de6feb6da3805943108c6a8080f0a,43,634,1,584,4,0,1,0.585
9b5d3c6e9137e443c903cc43d120239662f55d91,-1,-1,-1,-1,-1,-1,-1,0.592
ab148fe9ca5fcb68eb7e52134362151fd0bc5f64,-1,-1,-1,-1,-1,-1,-1,0.609
8a96a33a881d83e56f4c875e83dbb0d6723f5a93,313,256,327,229,0,0,594,0.614
5160b05ffb34feead195a69c5dc8590577cd2498,208,25,20,35,2,0,9,0.617
4a280ec876c38380b5aa2e21e31e011bf08898d5,140,15,65,16,0,0,103,0.617
62d9ae54ccea09843164a1981d8d6cc22e5a41ff,1356,94,10,208,5,3,116,0.618
88002f042bd346e7f2550f1c6b357397ba2f07e9,336,188,227,126,19,0,5,0.619
2964ca9571e2ce1311a6cca4f7d8d67e513f2ec5,-1,-1,-1,-1,-1,-1,-1,0.635
48f5bcd4d9efde2fdf2b331bf02b1e51d1a33b00,343,189,266,170,7,0,1,0.637
8999dc2aa376a591b9408644fdbbf8f6da249e1f,-1,-1,-1,-1,-1,-1,-1,0.641
979d900396746559f441f3652c7e71c03c1ed4b4,1448,14,21,30,26,1816,2345,0.657
4a9e27a6c5a8bfe90f5b55d1fa2339b05acb4254,168,9,10,24,6,0,1,0.662
d2f663563359a2c9b1cd0a46a09e806397a8cc60,299,189,30,195,3,0,15,0.665
9d5400d30e6a4bb9360e4204ab159076d6ecafc0,127,145,88,140,3,1,19,0.666
c391696aed6def066ca245ffde5889e19ac1c75a,-1,-1,-1,-1,-1,-1,-1,0.674
ee7b46805b8cf91569b57c18ca08fc06bb449657,97,387,276,367,1,0,1,0.680
3d753bed1b7f5c1c56baff8ddf2306e2c0b4af19,-1,-1,-1,-1,-1,-1,-1,0.690
7c1dde6edef2ba92291b37899090af0009437618,259,53,20,47,0,0,17,0.690
5e1ddc9860dd744df5704a5ec1923e8206cb6a6a,361,80,26,91,24,46,179,0.694
81748bc032a48721a9c71964983f1dc9fbc4588b,476,179,329,155,3,0,1,0.695
de509a77f5bea90a355bf867e208da8c20976048,36,91,3,87,7,194,4,0.696
fe4cba7a45cfa204d40b2adbad6ad6d3a72fad4d,503,160,40,156,3,19,1074,0.700
2ec35382499bc193763c5d249b89c8185ebddf38,218,43,157,53,7,0,16,0.704
b19d9e176f5e2d31a58002bb49b3482e8dc3f625,115,27,9,24,1,1,37,0.716
1926a187f5e8ea1406b7e765fed8044a80b6e0a7,197,20,35,22,1,0,160,0.724
9556aa18f025f6c66c37c349a3a4351b27bca655,133,12,38,9,0,0,30,0.742
da581cd36c14569eb36a2236219d68519b57d3e2,326,110,131,85,1,0,77,0.756
3985f69d49c041e71caed853cb375a63ff43ae9b,124,53,43,53,1,1,280,0.763
0b413392549f60e8ab953283e252ff243d521cf3,70,320,90,311,0,0,3,0.766
617f8bb3b113af030760645815061c5e71ff9b4a,1947,31,48,40,1,89,31,0.769
54fcf85593dd87c84026ffd160cc3921486a95ff,24,4,5,4,0,0,22,0.770
a33a996665b334496fb7890a8fcb83f9c4255dd5,135,220,230,197,0,0,4,0.772
10289dee449b85b879893abb8adfde321a1ce4f6,942,192,0,51,1,1,89,0.785
10ab29ea2febd56a74fab257244773a706ad1399,8449,10,737,3,0,0,151,0.789
0f95a9292a3b3059f7354d626b95dbd2b147ea9d,94,363,89,331,0,0,15,0.795
b624a86403d6e96996cdaefde22021262497cd56,53,68,8,67,0,0,4,0.795
999532d5cee8bfcf05cd20fe6edc59c41883aae3,385,204,169,190,2,0,3,0.803
db4b8beef1958dd9d3586f025dc394915e075d30,15,67,53,66,0,0,1,0.816
36b53567f1b260a71073394f5492866c7511cae6,76,284,13,232,0,0,68,0.819
c516a17520e38bb552937f7d3531b7444e53ba95,77,30,1,20,1,0,27,0.828
b9f276e90145ece2dfb559db6ab06a0f3e859cf6,150,23,12,68,0,0,168,0.838
3edfaa420319cbe55f8e606eafe52b532c7834fa,58,26,7,25,1,0,1,0.841
a94c8d1a6f7011592dccdac5a09f2786c622e26a,99,133,271,125,0,0,2,0.841
b9fe57747324082db3052018efa344f81b28ab59,-1,-1,-1,-1,-1,-1,-1,0.844
df3fa858553747926033c0d17ea9c59f3bfb134d,2713,332,322,129,0,0,326,0.845
d279080da3fbdad73401d45c1c00f122adee2739,-1,-1,-1,-1,-1,-1,-1,0.848
1a7bc067de056ab8afd230e2a385a6a5437484f2,94,82,26,77,1,0,3,0.855
98ee3d8e54417f566f11c552479490d82b1a011a,673,311,106,317,1,0,163,0.858
79a335222c4e7d43dfef2c5efafd89b21727df4e,114,22,6,16,0,0,15,0.862
766d348494a93489a556b21a7624e4cc7ecd22fc,-1,-1,-1,-1,-1,-1,-1,0.865
377766072e8b4382c0ca1e54b2290ef5e9947e71,407,412,59,341,0,0,1163,0.869
2ed6549c1e1c6487361f78949a05d17dff727703,-1,-1,-1,-1,-1,-1,-1,0.870
5f8be1437c2e2ecde90280458b2620c1f50a106f,192,8,36,5,0,0,101,0.871
d589cbf556e9a8a591b7fa399f89879094a038e3,-1,-1,-1,-1,-1,-1,-1,0.878
84ea1a34647ad260b730bd31657fe122db1108d2,-1,-1,-1,-1,-1,-1,-1,0.885
9463f26e455a376ea24e2f3df422dd9c4ee2316b,-1,-1,-1,-1,-1,-1,-1,0.902
