id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0a292a9bffad6423c78e808e702f21bca97812ce,488,16,256,19,6,598,384,0.002
e796b223cef0e342e553de359c68442de9416a32,8555,19,442,46,6,170,2197,0.002
932798d7c94b2048ea8d93408f6e0426896431dd,2718,249,2468,375,1,62,1904,0.002
282fc086c46ea4d6fffcd2eed4605716ce0f1a72,4473,18,1629,90,1,5,3760,0.003
7f81f25535cea17e0f11c550407b226016b086a0,5678,92,821,448,4,84,6884,0.004
ed17454e48040e5d8c4dabce2a4bd7a246a9b8a3,2682,295,1000,407,0,0,765,0.004
711d61630eee5710c191432a3028f0cf2dd77b1a,-1,-1,-1,-1,-1,-1,-1,0.004
ce6de5a2f9620171fa024a374cf010fd9df69070,97,30,56,29,1,2,458,0.005
d921a09b5d67fb58e5b5c88d23408dace11d6b44,446,78,181,15,10,511,242,0.006
88f6770a1c92b678e02fbf3de5f8f0975ea5ac42,3258,51,623,151,0,0,1864,0.006
382f5f312cc2684280eac3f7d81dcfaa03f308b0,150,215,172,103,0,0,390,0.006
e5e3c7b224e584e5b197e21949c62efc80288b15,7069,183,9008,453,0,0,1,0.007
3f4c613a326f67d38e663d905c47116dd59d3801,248,37,99,40,2,225,412,0.007
9b6ad651ebe4b9dfa51d58036eabaf21235ff93a,1260,163,624,159,19,1383,541,0.007
8d08f6597f1d0a902c871bae6a1014b06d3bf51d,-1,-1,-1,-1,-1,-1,-1,0.008
90c2d4374a290797ba6dd2fa434697ca4268e1c4,186,51,60,15,4,280,192,0.010
e4245e1bf42f131bdc235aebca20956bd64485b4,73,1,23,3,0,0,0,0.011
3cb720307586e478b1514f2f2416f6ccc0d03e15,1793,500,2275,549,12,320,3956,0.012
ddbf6fb364adb90132935feebb8ad0cea80f19c9,208,30,325,30,0,0,1417,0.012
85673e824776f7c642441bca0e1aa34f52466fcb,-1,-1,-1,-1,-1,-1,-1,0.014
f19bae0d6f9cd91c98b77aa2087eb11303bedd09,7119,53,663,1085,8,108,3250,0.018
49305c2a470abe229b6cd7b9125746c00c0d5771,2295,11,153,95,0,0,42,0.022
e61b09fc98303b7c553c36354245a5297a44ea71,975,88,473,96,13,431,6792,0.024
42bc7a4df3f1a3667e861ec478f3b218f197640f,48,4,11,1,1,105,17,0.025
d44d194b1b35803c93541677ddd8599f009adbb5,59,117,84,115,7,190,1302,0.026
bf6f1fdbd09384efd228f0f973d67a76e9c04a91,184,45,550,30,0,0,1357,0.027
edfa9c2823923fae89330cb2ffeb44d27fefc6d9,119,48,51,28,2,7,47,0.030
a46227636996f5f3d421e26a3a0309251323345c,770,69,138,68,0,0,820,0.033
24535d80b2b045628fe995a64415f83d33d8a2ff,632,224,297,239,10,355,668,0.034
9f81ab0ced4c8f273cb74c6bcb6c0d95a711359d,211,55,220,57,2,6,629,0.036
f36cba6e12261d36a8b39f1021e4b3442bdb7cb7,-1,-1,-1,-1,-1,-1,-1,0.041
fe16b9a7a1944815ab65bb7e327b9b4f23885de3,133,33,62,33,5,1462,5,0.044
37ffcf7c84f1c49f55b9ccb4a6145a5eb1880d66,593,263,875,255,0,0,118,0.047
34e9ccd6ee71b58f4b3133f267fdc6426cd61a0b,231,125,343,121,3,43,107,0.047
f0c2b7503cd53c1a6571582312be6291a24a8329,-1,-1,-1,-1,-1,-1,-1,0.069
9ceea102d0a5cbf508bdc1d39f64e7f4355325be,144,20,43,7,2,0,501,0.078
6e03e766497a54d4d6173a64ba1021823f9d8bd5,517,818,119,832,0,0,2503,0.083
618c0db8f91f6405741ec62981af02e27e5e4029,140,71,269,71,1,25,74,0.085
0fcef5101f96be992599a574fe3586f3dee1e85a,5200,176,125,165,7,233,4060,0.085
fe0858bcd0d2df519e118b821c87785b21028c4e,276,89,87,86,9,405,64,0.096
3091ba6442f6cf5514a4374e7b239c9e27a5c4e4,467,308,0,299,0,0,534,0.104
e0e1a42e435b8faea8d6bd45edf8f8fef8bef364,724,70,929,74,4,90,1748,0.112
a622a389caff270523b0e765b0208475ec32850b,28,87,11,85,3,54,97,0.113
290f28236f1b866b82707f309e3d35a43356dea8,1314,140,93,185,2,33,3484,0.114
ce3f92b9d5ec1d4b4bb54c31ae0c5f96cde7bcfd,52,29,37,29,4,89,68,0.136
d0531e63ff65722f03dfe2e4f22dd0cf58bea04b,338,17,331,17,1,46,1845,0.159
1bd25e60869639f46c34765ae8faf0a545045950,147,65,55,7,0,0,814,0.237
f8624080083b5c84bc9546e427467d72dc32e902,227,34,40,31,0,0,2162,0.279
2fb014fa56316b5feafa2794fa8609f80eb3dd04,10,12,28,13,3,28,42,0.309
0c7f1d1259d604c9115935fc81c35fd40c91356f,2051,67,98,25,4,34,587,0.310
1303c9e05b435ebe7470b21d517765e913e88e90,184,151,75,153,0,0,54,0.311
e75d803a06cd6d6d0e8c296c32cb3cdf0309a36d,-1,-1,-1,-1,-1,-1,-1,0.315
14f68d76629eb89b39623aec2a86cca12014ecea,191,49,39,46,0,0,4,0.316
35366046abbf568303ec9381f1ce6d3ab32167a3,-1,-1,-1,-1,-1,-1,-1,0.348
e8bc160b35a059b90cf4d00c677cc7be52ca6d7b,1176,195,0,192,18,658,2396,0.351
9b477eec2b81121710b4bd659810101d5caa2fd2,350,61,27,70,0,0,8,0.403
d47deae1eba317160b801bd9fb7b1c6c03df8c7a,3,0,2,0,0,0,1,0.409
d77b0965a5cdf585e7946df9976e981e28633504,2455,3,133,885,1,13,245,0.427
c65c7e9df4fb365371338fb6ab5e40495184315e,-1,-1,-1,-1,-1,-1,-1,0.446
1c75b735bbb24ef0797fec929c6d7f1d7c9dcbb4,-1,-1,-1,-1,-1,-1,-1,0.451
6f41fd07ac4f6cb5cbd32da65ea92a6a32543a50,-1,-1,-1,-1,-1,-1,-1,0.454
1c36c312b7975a19cfc48cf9d080ac512c642101,-1,-1,-1,-1,-1,-1,-1,0.459
fea0e403cb9769178faa466f8d458c8e6827d677,588,3,21,2105,0,0,317,0.470
385c521360c6ae9741449698293640672c5c3b01,-1,-1,-1,-1,-1,-1,-1,0.479
d2f7126ac1a0443453497374ba7466d1751e9ecf,-1,-1,-1,-1,-1,-1,-1,0.584
f72d71332d9c9a8e64e90d59641a3949ba54ad19,-1,-1,-1,-1,-1,-1,-1,0.617
ffd4c9d0af71418358316a5d2c0f5878948ce455,-1,-1,-1,-1,-1,-1,-1,0.619
416068d5a0c3af0897bbfa31f8d86ee505b73fe2,96,158,73,83,13,564,760,0.625
c533c51de0d4e436fc5e9b9ed74acfe7d08acc2b,196,175,98,164,0,0,21,0.627
ae78e9247ed55952602a17c45899c78069fc4edc,-1,-1,-1,-1,-1,-1,-1,0.629
995e2a6c764d9727695a5cea42899e12d2af3c43,1005,9,41,183,0,0,118,0.646
758f7b86856516b7fc666e6990c0206e9c7dec1f,-1,-1,-1,-1,-1,-1,-1,0.658
07eac668a73d1070f1255bf766ba59edaf54ddd3,328,106,50,82,0,0,449,0.689
524632069180db2dbaca5fa7a6bc35a2c45161c0,3523,25,595,0,1,0,127,0.813
