id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4eef81612c6ab62d9d72f0636842a8e2643de5c5,2475,75,334,122,2,365,4285,0.003
c64495764277c55f12f37ca9d969e63b7fc21ed5,459,57,200,105,1,2,365,0.004
24c4c7200737159687ab16b29d7cf20e6ed45118,5,0,70,0,0,0,4,0.010
9119714807677b24b430bd490655435f7774b5bf,5298,10,407,125,17,1854,2522,0.012
a01d0813d6187f95fd75b85a3135dc570a62d3c6,136,165,95,92,3,66,38,0.012
91498a53d9c46bf1150518ed45e487b39d2a3770,668,46,154,49,7,344,288,0.014
79ea938eac7e20c1f047f25d53efea5ad9518a3f,-1,-1,-1,-1,-1,-1,-1,0.018
e4287cd825685593b7aa1be1508d0ff59a210343,1913,26,0,25,5,134,155,0.030
47c07bae746e84ac29943e1a8949538c72621a1b,286,120,149,37,4,115,270,0.035
6b17617fec168e8f91031e8a549fc64e03682569,1257,20,336,34,5,120,670,0.041
17889eebf73071020f90e76f5a0509b4d0c24d4f,236,9,68,15,9,254,192,0.072
5b343b2688621befc58da7af5e67e0e010e39770,241,17,124,3,1,0,528,0.085
1318e34fdcb4300629be88ba05cd28eabbd18072,-1,-1,-1,-1,-1,-1,-1,0.101
293ae87f0889853ddf1d6dbb9e6a073e5023b497,413,28,80,40,3,18,325,0.106
0aaf7ce2f347b9e36cc54fb02147ac8691a4eff4,73,47,17,13,7,83,261,0.112
c043110c0241f2fb1e1db2773973658a1ea4631f,9939,0,1679,31,0,0,2108,0.113
8f9d4d4413f961006f9b50d6e12bbf53b2255d96,-1,-1,-1,-1,-1,-1,-1,0.124
e45cdd3189472e91d174e28cd940577bcea0ed5f,3930,270,86,1237,1,7,164,0.131
4709a2611b003bfbde9875fb80941a957b588d01,352,27,195,27,3,6,1579,0.140
3dbb3d06f2bc8bbd7bf6a4feba4e26c80421cfcd,6246,64,165,838,0,0,128,0.148
ad287b44b89904ebb21e99ca61c8ddb2d64f0069,9166,820,1480,764,85,12119,5974,0.166
ac541276afc723fad918f7bd663d4d20dac9e827,9249,51,830,94,42,2053,7146,0.170
fac6d2e7c146d3056c0449c651c9dc4141a7607f,-1,-1,-1,-1,-1,-1,-1,0.198
afde6850e1005d609a5f775321ce175a008747a3,991,66,325,27,0,0,2321,0.205
afc58fa66e4a66a215848f669361d520043ede6c,-1,-1,-1,-1,-1,-1,-1,0.220
fc302c5908622e50c2aaca373595bfbd42fdc993,46,77,37,44,1,11,482,0.252
e3ea0073cfab27cba2cf24d891785d4819118afe,8038,164,522,626,2,1104,3778,0.258
6a8d6223b4f837e4828023f0eba74df567c5ba8d,9566,48,4325,52,5,378,491,0.271
f4ad8c834409a3a3efda948a09afeb62ef6a38d9,2249,24,402,1394,1,107,71,0.279
4d925a521860a7b9de919f2d35bd9263e81d6c7f,-1,-1,-1,-1,-1,-1,-1,0.282
c3c7143f20ab5131a344b323723b10aacf2f0eb3,9487,20,1623,92,9,427,6558,0.283
caf85f904ba0d9eddd9be76e497d90a909d274c4,1309,13,47,54,0,0,7,0.291
e9023689cf8d1c06fac383efdb8e1f64619a11a5,9142,55,3090,107,24,7399,2079,0.297
a4e2ebb5ceec200b09246c6c00e6c4ff87f67569,6130,13,1187,527,1,3,331,0.299
32d324085758bef39b2cba347b5c6dccb9dbee12,-1,-1,-1,-1,-1,-1,-1,0.305
870141c491b43ae04573bd8f5528fcca01aabee9,207,9,13,17,0,0,259,0.318
f63af4ae0e76a99c0eb0c273e1d542bcc350fc58,1797,83,388,77,15,1001,614,0.321
d98d7c26cc4750e642e107bc4b0738d5fdb9d609,697,17,10,94,1,24,1228,0.340
760dac8bd58293b61deaf2a04198e0c161fa7c8e,1877,94,502,2080,2,82,492,0.349
1b8f5b456a135f3f9e0ec72e93aa62df1a6182d2,1347,113,189,463,0,0,365,0.350
d6c20c907d4c31a79744eea3dbb2184a95c53a0e,1129,7,48,304,0,0,95,0.357
4a50ff702b37773a5cdb0f1f535098bfe9f86c76,1245,554,46,424,1,4,150,0.359
0431c7c6d4d3c4c5cf9c2936f150344a4a08064b,321,232,154,86,11,529,5099,0.364
50d4eda9c3ee32b6d25c767d4d6981fa45a1426e,1697,12,84,302,0,0,3936,0.367
68524052026ccd380ac69df125e55d1569d94d9d,302,10,22,52,2,39,881,0.372
8ee994ce683cec83dd9b89f38a188556236334b7,-1,-1,-1,-1,-1,-1,-1,0.372
6d6a5922e9bea2685cb0cec1b14a37dcc36b953e,-1,-1,-1,-1,-1,-1,-1,0.373
b6ba355587ba3f19ee38836cad24f1c48651dc2c,3160,103,0,799,10,405,8015,0.380
ff268ba6f5f034cc7b84920fe33e12fd1fa0bd75,9504,1000,30,287,3,83,423,0.391
aa9235e93f4b449ce62bff01ac1d2f26bc71b972,37,13,6,99,3,47,60,0.393
535546aa8013219cf3ab8c99845b58dd06ceb7b9,5804,573,32,716,6,379,1639,0.396
400fec98d685a16f9ffa70ac9869dc183976b95e,1897,14,45,2596,0,0,107,0.433
3dbe1c82afa04d5f151f48fe16aab5f431ad498c,-1,-1,-1,-1,-1,-1,-1,0.441
2d5c5367fcd915e2e5e5cd6b585d2405dceef804,1629,207,79,142,2,126,912,0.450
94b85f99b48cf814ba4f65d52defb2fcf98ac367,1,8,3,5,0,0,5,0.567
f791db3faf3af19a9bc28767f26f103b4c05c852,-1,-1,-1,-1,-1,-1,-1,0.589
de7c51edbf708dd512768c6bb34e7ffd11cb776b,9,2,0,2,0,0,1,0.627
fc5b5b1b073442f50c7dc7f36edcf64673141f8d,2437,2,22,6,8,214,208,0.634
9380a0522919536ea9987ba6ca2227762bc87bc6,615,2,64,223,0,0,838,0.675
1cede6d1f4813b181e4e2d0b5ab3f48f62c8d2f5,266,7,99,2,0,0,18,0.695
483269d9ac0dcc42c5838077a7fa9ab44990c017,123,2,18,16,0,0,51,0.726
69cb5908f68b51ccfc4f4222fac35bbec112f32f,-1,-1,-1,-1,-1,-1,-1,0.781
e7a0fc87e4afd48c54cb5453abb874978ba11f74,-1,-1,-1,-1,-1,-1,-1,0.839
87be85f2ba04fea18f52ad51fcd569d3b396c246,-1,-1,-1,-1,-1,-1,-1,0.840
