id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a79a6915752c48034833856fb7f518588e3035ca,358,84,202,76,25,882,486,0.001
31d6aa9aabc9176643df037cf313434898704385,358,0,201,0,0,0,15,0.010
84b3ce570a0a8bd4531c0af5161545147b96f845,402,30,243,34,7,331,468,0.022
383f7c93500b373518e933b5f3f1c597d90af705,465,160,351,166,2,41,1924,0.023
6c7fbd483b2b4bdd54019214c92ca84a883e0d6a,-1,-1,-1,-1,-1,-1,-1,0.027
96606c17952268558f0c6830d747a94446ad08e5,-1,-1,-1,-1,-1,-1,-1,0.029
c3154add9fef70c0b9cf62cb4604c0af1f24f459,348,94,149,88,0,0,20,0.030
5f1ee208a7dd528f7dbc8d3667ee23b5a2cf1e27,-1,-1,-1,-1,-1,-1,-1,0.036
0c03cc344edec3004f0fd66652b612d94e0baff8,-1,-1,-1,-1,-1,-1,-1,0.037
8241e194ac507718303e588e9a2c357d1cd83c72,293,75,433,71,2,0,216,0.044
280208d1e86b33f13a742b8207b8ec669d3e51d3,101,91,254,84,0,0,13,0.045
01312d59ece3193bcf6d297489c7a8064f1f6476,174,90,51,47,6,103,657,0.052
0fa7360b8ab94681aff87098e8c3379bbed3ca43,63,20,13,6,3,53,29,0.055
841ad930ab621fce6bd4be2b706364c822462e9c,400,150,575,142,0,0,311,0.059
b66fe055466e9c455d91bd52a391a0c2c0373f52,231,40,353,58,0,0,206,0.075
e2629eaa54669e0863f55967b7275bf052a09c4f,327,282,39,379,0,0,126,0.075
9f883c51f0c4e5f92ec4438ef32296a7ab1e6715,286,149,147,141,7,197,722,0.076
8890b29c3ad08211fac0cd62bb7b5ad01c45e1ce,197,134,124,136,9,57,624,0.091
d38566be19291d16d597fb42f4e67567f01c61b1,151,46,165,46,12,147,864,0.097
ae457f42122026b12cbc0a25deeb9806bade2d70,889,55,73,91,12,647,724,0.099
0cc853334e5dca50eeee5c4d57c9b1e8dff1d853,449,96,63,40,3,19,589,0.114
d9f97e4e21652182192f043d8de85209ecc03001,97,15,125,15,0,0,3,0.115
97eb810415dee3604cbad0fb7e646843edd6431c,476,102,776,44,0,0,220,0.136
0f25d0581c1ac732d88410f3b78304f9f3e5c112,686,175,102,49,14,219,1288,0.167
f2119e4ffcc1df2de39f9b35880ab71121977df8,111,58,38,43,2,22,145,0.194
6ec5114cfc79a4437281b7b0648bbbad243d5521,-1,-1,-1,-1,-1,-1,-1,0.217
18257b32da3e6f82eac2c3b344e24af4a31f9d90,256,50,68,116,1,5,1521,0.224
356334f38878a3e8b940874fce117f542aa0428e,744,375,152,201,2,11,307,0.224
dbc1338440e65cd15889f05f7d4ffaf7f8676049,158,662,240,386,0,0,29,0.227
37b84484242c39dc1a211cda95553e66414bfe39,9999,323,722,191,14,1390,1024,0.228
5af7bbefebfdf716496eaf6184cfe60e4d7b1843,456,131,130,115,3,35,7,0.235
fdc335371da73b67ea1c4d8a38576b2f5de826b5,-1,-1,-1,-1,-1,-1,-1,0.237
80d454eceacfe1ece4416a58c751f9059e6989f9,105,78,67,87,2,22,1031,0.240
3a43cf0f98a00c8cc08d3bde0cd648a2f69d0da9,108,23,154,21,1,5,12,0.246
c5991319f379cc7c6d9a5dcd6373af0459fc1483,576,252,521,255,1,7,1117,0.247
50ab8c93494071a8fda28611dfa43411125bd7da,272,103,82,72,3,42,330,0.250
2da3498c33366f179cd9e9397f44b5affebe75fb,286,125,231,115,2,0,33,0.252
05ae27e766200af931f88391926b3d10dfba4ff7,130,184,43,189,0,0,10,0.255
7604060c6670e0fc146d0b3dfcf2d22cb534a953,121,640,53,309,3,27,3788,0.258
5e1f73c398ee2893916d462b72983671e4bab2fe,528,845,776,416,1,0,102,0.259
daf812d0adc188e0b601211923cd872c9ca87f10,232,53,13,35,3,86,613,0.287
faa7c51a127b269c892b4f75442437ffc5b2d09d,-1,-1,-1,-1,-1,-1,-1,0.302
c55585dfc7df5e2eb9db5fd8defc742356c2853c,-1,-1,-1,-1,-1,-1,-1,0.332
ead8bdb5ec3b4206e34673136bbcf9a5c49c262c,523,252,57,245,1,6,9,0.362
d65c2f98f2bda337d334a3a4b55ba26bb0d96771,-1,-1,-1,-1,-1,-1,-1,0.363
95bafbc613a3e37d13443f762f50668f4476eac0,31,4,1,4,0,0,229,0.381
8941e67259b4af3006c2b6d0fd128649fa9853ba,3620,322,89,304,10,446,469,0.424
c558bf6bb252131ea01dcf9d16162e6a25a95e09,123,348,10,71,1,207,226,0.432
60c4b1045c7c2fa5bbd99acb32f000bea6f5a068,-1,-1,-1,-1,-1,-1,-1,0.437
f797e521763353389bf197505f35882692b08aee,783,870,28,511,3,1,1629,0.442
02e855e4fab76c28efd097742741ba3404f7841f,213,607,494,559,2,0,6,0.455
a99c51241fe9649fd8d0138c173b2dbab086ddbb,96,70,57,66,0,0,5,0.513
829d6a83dbc449e3df2adae32a1d823802aad4a8,-1,-1,-1,-1,-1,-1,-1,0.539
b2698630ea70824db6d4c28d39e97cd0fe4f9534,-1,-1,-1,-1,-1,-1,-1,0.547
195d31ef1ba80ddb6d193b1a361952fc9c9ff292,277,52,36,64,0,0,511,0.576
e82f2c7ae972ed6f16fc2e4e86a663e449e8b91f,500,0,38,18,2,6,16,0.881
