id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
1b2bb2e5f0332d8ab96865920ceea5d983312a9f,-1,-1,-1,-1,-1,-1,-1,0.007
a11f76663380d99e587de25c95b3d03a7a114c98,519,13,145,13,0,0,4,0.008
259a281cda0caf86a24d409ef56402bcd21d61ea,447,53,136,62,2,13,259,0.017
464c70debb7c007c9d91f99c2056104ec7db21b7,81,5,33,6,3,53,19,0.024
d07b5ebc90be89a3929b08a0847b4361aa2bda19,242,24,290,23,1,31,30,0.034
c97f96ca6dade176800c739ab87fa592975e379d,309,22,183,22,3,61,113,0.044
4b351677c5ad963c30e25628614e6b95a6ba609a,-1,-1,-1,-1,-1,-1,-1,0.045
15b2be9f8f642b229f46f5c5de205a9421b5d4ea,319,19,95,18,5,58,99,0.049
e8177bce782c145bb43507d29d8631664fbd6322,-1,-1,-1,-1,-1,-1,-1,0.050
0a51bffcaf0c8c7a37dba7079114d22a7c0a0bdf,292,4,27,5,0,0,0,0.051
7b05bd9315a24adec91134ca8e00a334bfbf1c87,-1,-1,-1,-1,-1,-1,-1,0.054
a4c2052b8cd4075f936ee42ef41c93453609caff,781,44,464,41,0,0,1492,0.056
ff399ed28b48ae00a90faef236b0b8db1fd71056,117,24,18,7,0,0,108,0.056
a97232e6d4a10843e2857c249a8db0dd22c57f86,-1,-1,-1,-1,-1,-1,-1,0.062
575972e3f43aee6dc6a59907c35774f23ff4550b,186,35,87,34,2,0,598,0.067
c0c864a19d7ce51e6d133cafb9040d82190c5891,-1,-1,-1,-1,-1,-1,-1,0.069
133ea1fdba6a4797fbcb0ebdac1d2fafb35fb106,160,13,49,1,0,0,3,0.071
181e36d11b6d37e89005e4ff3a992fbef4b71430,151,14,45,14,6,67,38,0.076
808901d7e8d1c89dec02cdb7857b41582de0d44c,-1,-1,-1,-1,-1,-1,-1,0.084
0862fed1781f39e231743706de940999cf8fa3bb,-1,-1,-1,-1,-1,-1,-1,0.087
9fff812574fe7847ac08a124895809309449be58,191,8,55,9,1,3,36,0.088
e3ef718622ad9dd1a714c34dab237c1242a6b511,-1,-1,-1,-1,-1,-1,-1,0.091
d9bec55ad9ad213d01151c06c42fd9a792c47e44,550,51,233,49,17,13,0,0.092
eddbfb4e62bd383d6ec4a6b1b322a0010d74b9c6,159,35,65,35,1,28,10,0.096
e374e468eca51da7ab93f097565e069cc09ebff6,268,173,282,99,1,0,25,0.100
71cbf3abbcf0119d50c9bf67bbb7b12414166ade,-1,-1,-1,-1,-1,-1,-1,0.104
bf00f53741ade663cd882d2a0c540ca15ae70d39,255,46,55,22,1,1,393,0.108
1112ebb745cb6343892732ad8584d2831ee0f0ea,-1,-1,-1,-1,-1,-1,-1,0.109
d35cb8bc8e621f4584bf94020044104ab8d0342c,9803,1407,2222,1331,4,87,9456,0.118
7a5dba1628ba12dbdb726530f3c798049377d773,497,500,228,463,4,80,1834,0.132
23248c0ae058c4d586ef2ec43aa062d9f2c7663b,219,17,53,19,0,0,25,0.136
33c231e8fdae8ff8960735780530acdb344ca8ca,230,238,270,228,1,0,19,0.137
90760daa3fe41792e69dede0f2589e756261feac,274,284,0,137,5,0,20,0.142
bf1f5a1902a03dc5ee96e1f8547b12b5ef49215c,304,100,159,94,1,21,701,0.143
bff1d51a07b8b8fd9ba38c1b9c890a0d9b57e849,-1,-1,-1,-1,-1,-1,-1,0.144
434565524b2c24dfcdb49c891eaca0e139ef6445,318,2,27,2,1,3,10,0.145
abeee1c071f524a68d76668120cd26e46373dec4,-1,-1,-1,-1,-1,-1,-1,0.147
83343b5d5d2fc82406b369ae0d08c9a0468bf990,-1,-1,-1,-1,-1,-1,-1,0.149
3d634be1c2a4903303c08d09f1a39bf037749a02,-1,-1,-1,-1,-1,-1,-1,0.152
50382f4580ab735e00514099a1b39d52e21f72f5,102,2,29,3,1,3,30,0.160
e0c766101f34970d4c4e3a57baf5ab4f7d7013d1,-1,-1,-1,-1,-1,-1,-1,0.160
c91e9974cc48abb69db74fea748932c7a86d4fd4,-1,-1,-1,-1,-1,-1,-1,0.162
f9f15778d366c61c8518de1f7cec87deee0399eb,-1,-1,-1,-1,-1,-1,-1,0.163
956396a74af8f1ac645c4a9e7abead8cd4656da7,262,23,75,22,150,0,59,0.164
e8d08f5f0323efab7d9205c3d70c9175ffbe989f,-1,-1,-1,-1,-1,-1,-1,0.167
589f405465133b89045db64f31ae2fbbe6f90c92,336,48,127,21,11,314,0,0.169
228842d6ec606ca92c09fffa90fdf764497251d5,325,182,184,160,3,3,369,0.174
b5eda1bcbcb83b895800e1acfc51af90d3113246,266,136,184,131,6,318,4263,0.187
14ae071d196b52df45cd5e424845ea469890e17f,157,7,20,20,1,3,10,0.201
43ba8443047a2b1392123737d46b856e83737416,268,28,147,18,4,99,957,0.205
fcb0c9e765d417760141811fdbe3b55cb2624c4a,-1,-1,-1,-1,-1,-1,-1,0.213
6c0624b746cdc7c26b4353f9c54c444af41ee98a,-1,-1,-1,-1,-1,-1,-1,0.216
0b65ec527600f8bb0e88443769ea0b1c5cbb5cf2,226,201,176,40,1,3,1002,0.222
93df0a2ab072eb0c3df16a7c2a973a8d566f49b0,196,85,75,36,1,0,4,0.226
231b5f04febf6774b0682cde10e8387d12ea465a,250,88,223,90,3,12,2046,0.227
40e9d14fb5111e13aa32b77f392bcbecc3a05867,549,91,199,89,0,0,348,0.228
1d4379d5eff7ba13ca39906ff0aa42cd0893fc5c,-1,-1,-1,-1,-1,-1,-1,0.228
e0a6f5cc5f35ae6e1bbdfddba8f362b1d4b592ff,-1,-1,-1,-1,-1,-1,-1,0.229
a0d7f920ceb063bf2213c4f30c93e0f106a8c9c5,96,938,357,847,0,0,414,0.231
0e25cfbadc170b967e6df87f0bb92c654cb28996,95,10,14,10,0,0,0,0.231
e9bf6b35d0737c8f1e61a291c273bc8809f7baf1,70,48,27,27,0,0,13,0.233
6ba3ac9b9a8ae1a4a8716565d3c7fcf99ec43209,483,64,283,62,1,1,120,0.234
ef796ba23624710a38b42f61e5620ca1007688f1,-1,-1,-1,-1,-1,-1,-1,0.240
4179ba2ef08ba541b093fe5b127fcf13a82202c6,422,113,20,72,3,63,92,0.248
4db95c34a52b18ae668f160ef9e6369465c4241c,176,43,38,44,6,0,11,0.250
7b0ac2316372a37b53da399113b934005f6fb1ea,-1,-1,-1,-1,-1,-1,-1,0.250
619509a775a8196c35d98c67d0fa538275a04b0f,119,34,71,11,1,22,452,0.251
61c0b8631628d31cae95adcc8ae04ff1a0abead3,-1,-1,-1,-1,-1,-1,-1,0.252
e601cd8833d20b4d4df70bd2578f700b4a9743cb,-1,-1,-1,-1,-1,-1,-1,0.259
6fcd650cd034623979d547e24541de84584d5972,-1,-1,-1,-1,-1,-1,-1,0.262
ed6c17aa7eb57c2c5258303a4ca57c2afea51c22,78,25,12,23,0,0,322,0.262
e88177626c529124b87a6b6ff899567d529e2336,121,0,34,0,1,9,3,0.266
54e1b2f1fd6830e9a9fa001a87d91296444beac0,168,5,4,10,2,1,92,0.271
5ed22665ac20d2e01e97082e9704b0d6c1c99da1,-1,-1,-1,-1,-1,-1,-1,0.285
fc2f23dcd547ec65ad0b1ae5324f3c48023f76b8,-1,-1,-1,-1,-1,-1,-1,0.285
f94ffdde40ee7eda3f44ae79d87795b696255192,-1,-1,-1,-1,-1,-1,-1,0.285
8ad3a57a1fa46d164fec28f615a40d786df14557,112,27,70,9,0,0,34,0.294
265c5ac023c7a286f90a76f0971f3e378d47c975,250,18,40,24,0,0,43,0.302
f4794b2b28d2d20146b9a043a65bb45e74604e22,288,83,35,40,2,6,16,0.307
cdb3e345cd7de1cd75a8e52aea69003f063d3700,252,432,479,301,3,119,745,0.317
e0e2e5bff4938f9a5d75f5d2828242143517d46d,258,305,274,302,3,3,76,0.326
c639a853fe23e1cfe90b95c75dffee6a47ad2bd1,72,105,12,74,2,12,64,0.340
295e057bbaecf3f5dd65f2c22761061e849ffe7e,-1,-1,-1,-1,-1,-1,-1,0.342
b1c8ce3204419a794cfb894047834dd40be50345,63,75,95,75,2,0,2,0.345
52e67a1dd77267b3dd8e4076fae60e20f203a0ff,403,199,227,113,3,76,351,0.351
f54c34356508650e050b31ed489570d073b3e5b5,-1,-1,-1,-1,-1,-1,-1,0.354
7dc70024816293090cd6ee701b523b8be3a62163,-1,-1,-1,-1,-1,-1,-1,0.392
6ab19da3d20f3f7a0aed54530c3ae54b0b0ec9fe,193,113,87,106,1,14,1694,0.395
d6957f2b4b115d62423d9f667b15f941102519ca,158,69,102,53,9,0,200,0.400
f159fa0d9a3cfc132c1b96de4dcf2bb43e949c48,-1,-1,-1,-1,-1,-1,-1,0.404
84db5c40383eebfba76a57e38f29a779d87b4955,-1,-1,-1,-1,-1,-1,-1,0.405
639474dd88c6578d9fb231f07e895b38b420e3a2,-1,-1,-1,-1,-1,-1,-1,0.413
06b0b0dc7666454c62a671618aaf06be32316b81,222,58,89,55,0,0,59,0.423
beb06ec7a0c65c451f4ff3a7effef5a47c3ddf9d,-1,-1,-1,-1,-1,-1,-1,0.427
34023a670bf21e804d46f8c598dd77853379a761,908,6,45,36,8,521,1313,0.427
55c135a949038696c55182caa33cf93b6a8d158d,73,181,63,130,0,0,50,0.434
f8258b58d4ba0eba68a267171016fd114f2de9f3,380,95,49,101,2,292,1469,0.437
