id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e08e044c3ba4c7aaa93460192d0c6dacf7a948e2,4285,24,1049,53,0,0,4545,0.003
6682151f7bc0391f607be6ede31afe795b1eab53,-1,-1,-1,-1,-1,-1,-1,0.005
82d7d4c635b1f18548c347f141cd33cb1c65c557,95,43,166,61,1,4,17,0.006
9a01a4b5a84abe119acaee7629bdfc89fc671f36,221,72,52,35,10,134,172,0.006
b4e87707982544ddf57f1a90ca949dce1c1067d8,2279,62,520,70,3,263,1262,0.006
4a62567b6614d91114d317c582cfdbb4feae30fd,367,15,82,22,3,21,12,0.008
5554c2f4ec0cb1e22ec619080cebd7310022862f,2120,18,287,17,99,6130,3404,0.009
5d666b463a1e604056a23ebb289d4cc6a7d1ec46,254,20,89,21,5,63,190,0.011
9f5c5eba97f27eebadc71ce45c4a92ae2ab96cf1,1374,200,319,300,7,115,1555,0.012
6724b523068e2454ead4d478abd3b7f9a936e30f,366,115,155,95,16,249,745,0.012
623c774341f2be9e09c63625c2eaca92bfd253a3,-1,-1,-1,-1,-1,-1,-1,0.013
c9b9917b8e372c6f8caa36285710d0f6afe7a738,809,103,114,53,7,104,535,0.015
482515f070cc5957b9b3eb8c991838ebd8498da9,204,193,203,64,7,317,441,0.018
8e891c9e8482ab8bd9b1d10aaecffb86c11ab090,104,27,27,24,0,0,1,0.023
e44b8d7593b99a57c6e5980d4889fe3f2fc9020e,274,156,75,55,2,144,67,0.023
8298ecd4f7c07155d23deef4c226cfc7b9843714,1366,35,170,35,7,62,1152,0.027
32e2ecb1ee955a300cec62c40fbc4d6d41b5d6d5,38,11,6,8,1,9,6,0.029
96fa11627b36ee6867c5280e7ea6e0435533255f,-1,-1,-1,-1,-1,-1,-1,0.036
b30e3469751b968f76b83c878fbf49f1948fe75e,-1,-1,-1,-1,-1,-1,-1,0.037
a11bcfd994d0a86f5159e88ca56e1a03fb89d25c,389,4,63,21,3,7,119,0.043
ff99958050e43ebb451bee6243f55c399d4bacb4,364,20,0,3,5,3,3,0.044
b9d539e952337e02ab30f30edf2d7a0244a1faa2,-1,-1,-1,-1,-1,-1,-1,0.045
e60bb3295c0aaf50b0865bc8abd65647393f2c54,6672,175,493,489,3,16,1465,0.046
3501e91bffad511681e2069851baca44ae6afbd0,113,9,21,9,0,0,501,0.047
90c14e23b9b748fee8c6ad3c2fc00bcd872c7f19,-1,-1,-1,-1,-1,-1,-1,0.050
fae49dd44e857f33ee4c34d461928f6f28114c30,1076,172,227,228,22,845,3964,0.055
93f268566bf658265cd00073a35e4e5aeb7d34dd,25,3,9,0,0,0,37,0.070
17d16d2880261f19df83e32b3b07092950909b39,567,58,79,98,6,378,420,0.075
fffe15e2bc10174a1c0bbae121b98130fce866f9,27,74,11,66,2,236,103,0.086
907801f63dba8992327f421c58b5138daba72911,108,53,26,13,2,35,73,0.097
e0c5598f5a5589c87b21d8daf7778f15ba195506,110,35,27,8,1,14,86,0.099
86ff9d5c78e4b2cddfa9db5644d68dcdb13f9b92,36,88,5,46,2,28,197,0.102
3ec27b90bf5a4e4178f82c73be284836493e68ad,200,87,302,86,11,313,149,0.110
792d294278349e66dfc2fade703033fd598af2bd,62,30,12,7,2,11,170,0.115
a5095db714f437a6543f8421c10f9cd0a39960b1,1386,205,65,68,22,322,6129,0.172
b47bb4a50bb9ddf6a6ea7a9d1a29b3c86fb2edd3,898,113,237,110,0,0,69,0.188
d4d29c0ce113b458037f3f0d041f77fb42c0087b,288,88,1511,87,6,1197,76,0.216
623d05fc8753c45c940841586f04d800805a8c0a,242,60,8,72,5,8,455,0.221
67a72e3156f047c6cbbc15063abe74c2d8c4cae8,82,17,2,8,1,0,2,0.224
c7b281d623029711bcb2be8fe3160a9a296a33d9,5183,51,1404,51,3,262,103,0.225
04e7f4297c7ecf1a5400108ca2f3aa55ff39d687,-1,-1,-1,-1,-1,-1,-1,0.240
cbb47e5eff56e6d9e82b2b6878f929f4f8586d98,2850,215,1457,388,12,1251,625,0.250
fdb0b1b2a5823ae08851514dadbff12c610526b8,104,24,81,26,3,93,74,0.263
e7f527b30eb391550ed57d8a6247269a9b6957bd,304,73,29,104,1,0,69,0.267
fc5d2c20a4f4c652eeb761b902418a3d7aa4a16f,16,2,39,0,0,0,65,0.269
9c9cb24aa4a28e3eaa4c784996e7b65e2fa8a46c,480,126,266,127,4,403,2017,0.271
0571b0881be27cc8175c80751a15f30a8ce968bb,505,69,9,67,15,66,17,0.274
8b905a8d33cc99f91230642ef11685184ed8fca4,305,71,123,68,37,225,24,0.278
b98d7d3aea82318a4cd4ca7dc0f17efee0d3facd,-1,-1,-1,-1,-1,-1,-1,0.297
9f26c22b9bb3faba273a26092d2e2b65498614c1,940,450,925,351,4,2,2867,0.307
5687374e2961bf5f763c8044c15ea0c3af710c70,-1,-1,-1,-1,-1,-1,-1,0.314
34c61ffd3cc6ee6edfeb8c281f1e81dadcf52fec,176,84,149,84,0,0,35,0.327
da430f95f8ef6f70755eedae00d0bcd07f4006e7,-1,-1,-1,-1,-1,-1,-1,0.335
09f24adaf416feef6fe2e79a3fb0963f790e5bc5,431,108,292,79,3,0,81,0.335
cc27f240bd67a04fae43beaf2f3df57856e1d429,734,192,6,166,14,174,1924,0.341
5de271dde180e465d706baafd20f4e5a3ae6f288,8771,8,810,356,0,0,21,0.344
ca62dc1ede0f9715a4cc59d7828ee67151b3cdca,237,166,264,160,1,4,899,0.345
ee517d2705fee2b2c66a698a721770134d0883c2,-1,-1,-1,-1,-1,-1,-1,0.345
45b4f299a1408c8363b6b5472e329da2aefe2524,41,26,27,17,22,31,141,0.351
9d54345013ceb2d3706cebab0b28a1622d3c56f7,-1,-1,-1,-1,-1,-1,-1,0.358
575b2081486da7c0d2f82b5b56aaf16d58a58d07,364,4,4,29,0,0,97,0.380
df2254bc6eae577a0bf0f42793def680eec36cd1,1317,67,79,308,0,0,206,0.420
20bfbe51a1bda00e0ebc1c816afeea656bb7abdf,1496,543,186,548,0,0,4,0.446
321a2ca10ee01dd9442a7a506784e10d2bfcc132,-1,-1,-1,-1,-1,-1,-1,0.448
05b2f97ed10b36b4890acedaa5eca2ef8de5ca1a,423,123,28,120,1,1,9,0.450
967b6de11796aad07be4211cbe07c547ddb9bb91,-1,-1,-1,-1,-1,-1,-1,0.451
7a574497e4d8b965484856b28734767253779ab4,991,23,0,83,2,3,1735,0.458
1c2b909267942e81fb426dc34f89dfd45422a8f2,1016,5,245,58,2,4,48,0.461
d6607a6550a380fa0295323b5f730ccc2d1eaa00,1067,124,0,104,1,2,76,0.479
00e3a42182a158303fff82558c70820a48f83aa9,547,26,1,27,0,0,55,0.486
590de740be2b0985501cb5b18bca53dfc12ac0d4,5889,103,1558,95,3,4056,4065,0.496
0520ac4ca95f6a97adfbdc46911d3d7100ef92c5,68,6,91,5,8,0,72,0.497
919efa53296495683b97444b4f8b0b41935b653d,4944,121,66,298,1,35,292,0.511
798ec4a631384ed68e9f3090fb7758d610250fa8,195,5,1,7,1,0,5,0.526
a27972de466c07e02ad95d3fc33a5de943acb197,4504,91,318,268,4,538,437,0.533
785961f26c2de749ece5f1c72694bb0640adc51f,-1,-1,-1,-1,-1,-1,-1,0.535
aa1fee95c23649f9be34f808926acc0f20f59fae,793,69,182,64,2,19,20,0.549
b683bf34cf63b79f7a4a69c8a2282acd5fad7030,-1,-1,-1,-1,-1,-1,-1,0.564
cdbccb8ca56d94966d5d4c98558776859f3f0a12,59,214,4,166,0,0,283,0.613
fa1eb7f58597feeb4f73051525edf1fbe2f5d5e3,623,197,2,105,16,1125,184,0.617
98ffcba264665bb882455588f2af262c883d978c,86,13,2,24,4,3,26,0.618
442098b847965b7d843429e333563e3a6b77e83e,-1,-1,-1,-1,-1,-1,-1,0.634
0a8d388b19b1f574c9a04e66e83e381bd9c65957,441,9,3,39,2,14,246,0.645
4e2adb39fcdc96762b760bc7c1de2e3d76774462,689,11,4,91,1,1,50,0.674
1d63741eb51befab12c76191963f22856772d107,756,14,53,94,0,0,1657,0.676
5ec62fc5150cd038b483cf6d2e56e94ebdc72824,277,14,5,17,1,1,683,0.683
5f5e62d5fd48c490f60c63ce8361051e04e1c247,1677,1,17,255,0,0,9,0.684
0a0393124dbae4b6f7077fc0707473ee9575f8f5,662,14,30,18,2,0,25,0.688
c05c469f6c0daa534166f89d77451ab6fe9150df,1073,22,106,183,1,32,180,0.701
25d4fec16813cf4f7d115895f2d7533944437dab,2619,105,30,362,1,15,56,0.702
364542d09d515a7db2b8cb36f2c6d424085611c8,102,6,5,6,1,1,330,0.704
8e6055655745b79510f184a15442b1a521dc45b7,97,6,5,5,0,0,213,0.709
0876deb764f8a6a4e8adcf4a7c99961dbdea6258,-1,-1,-1,-1,-1,-1,-1,0.764
e5d6e256d27436278c296a338e7fcda6484d5550,1092,3,50,145,2,0,4,0.782
cc3c9dedf1a1655e0f43b0ae7cc0611c0846ebfd,21,7,35,6,0,0,15,0.820
