id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2fc0397f2b38f8075ab35e1c1b1d1ffa4b182397,2809,71,434,225,0,0,88,0.019
15fb176a3d6f12f532dc375d33ec6ac51de7ff3d,52,104,119,98,0,0,55,0.023
ce4e4368f2097117a5e3e1a597c36b9364c66863,6235,742,585,730,1,11,4518,0.027
cf907827b654b989f58e19d7ff217c82e4888a1b,3045,264,192,247,11,4650,13323,0.046
3c8941f300608e4162af80fdad57295a6f0edbf9,306,31,152,30,4,172,186,0.056
b6bb40014b0476c071058ceec01a061c39fcf74d,1089,225,1008,210,0,0,33,0.061
3516050ed77b0372237077fc008c58a2a1eaf1d5,520,51,153,50,0,0,97,0.062
74047fac177279e51e2d8c05ed220e3fbc29bb8c,1567,76,629,73,1,18,7,0.074
021f7abdcff8da756a46d54f2a24d3cec1cd82c0,113,99,301,98,1,35,1638,0.078
1ed705c87443805767003da4a89418e5aeb0d488,558,47,342,45,0,0,11,0.081
af98c3ca95012fb8b09c03ba25c3a29f73e3c6eb,523,10,364,10,0,0,168,0.082
35764cd1d0e4e46a997071b0265aa5197fec90ac,346,64,86,68,0,0,53,0.083
310f7a62227f9418057546387f9c85c8e2101d5e,210,141,103,143,2,3,486,0.094
cb85d3694e0814b0df7fa39a109816374fc8634e,819,205,237,201,0,0,740,0.097
21ac0fa6ab5735506991a9c14a34c1043abc8b73,372,96,247,90,3,310,600,0.103
f8eab89a7b29c02ee62d6b1e2630b0e87ee5845d,297,48,305,48,0,0,0,0.110
8a25a5d6b0a676280e32c3ae0007db99dd4b0075,421,48,1020,48,1,0,1,0.120
d496375b55e8ac787a4b44c0616b2d564cc560ec,180,44,74,41,0,0,6,0.127
82996e4327358c15fbdbfbd491bf9df46d3306e6,729,369,144,339,6,165,445,0.128
60e90b84278a14ec5592d8b865f8a81a85221575,147,126,219,116,0,0,0,0.136
30bced7d9a79ba4317fc093ea196814098a16383,144,19,134,21,0,0,69,0.144
8bd08914504324d13e264fa18684622ecd760c71,-1,-1,-1,-1,-1,-1,-1,0.149
097265e537e821674ff279ebc372cd7b9f576a21,-1,-1,-1,-1,-1,-1,-1,0.150
500b8679696e9b5fbb0e09d58557f9a5e7a806fb,209,85,232,82,0,0,164,0.151
774b65512bc9fecb6b5de3aaa14f41761e6a3328,2587,172,215,233,1,1,13,0.152
b84b733a737ea9e2a817ac09d40c1e516bf90523,9,5,489,5,0,0,6,0.159
c35ceb5ff7723718183a98838da4e262a833e68c,404,37,264,37,1,0,259,0.160
5e9ee576d5697f49c9728a13a7119709c45329f8,112,27,4,31,0,0,1,0.161
a40a7aed284439a3bdd614f2b6e5092f6a0e956d,392,45,113,41,0,0,2,0.164
78b78f69c1e41fbf1f3226a4854699b185a11062,227,507,355,463,0,0,8,0.167
2e706ef89a9c48b44090e5cae43a4166b8e495e3,316,37,0,34,0,0,1,0.172
99e48ae92abe4910c8aeab56afa4265797401454,-1,-1,-1,-1,-1,-1,-1,0.175
d1e5d0b16f321b17cbb5f1da1ba78cf8235eba22,792,25,306,25,0,0,350,0.185
5d23ff993e8c4f1d589baa35f319a1b61f7ece3a,-1,-1,-1,-1,-1,-1,-1,0.185
