id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
5889ac138cdd31325f9224bd2e3d51e0103435b4,-1,-1,-1,-1,-1,-1,-1,0.001
23d1fb42b070d1226f582438e441efc4ab6faa26,441,11,151,11,19,935,46,0.001
3ff154f094e2524448a01592af4afedeb3333091,195,10,75,10,1,1,1,0.001
104672d650f4cb7c869e86f2bf36cfb7de7769b7,661,28,945,25,0,0,301,0.001
d6a1b9b08798ae93a194a7f3f43cde1dbb7000f1,-1,-1,-1,-1,-1,-1,-1,0.002
effacfb2409b3d01d84f2ae739de8934ecdba7aa,396,121,160,120,2,75,673,0.002
f724bbe56eb174952b5d52351c54aa4461b913d0,-1,-1,-1,-1,-1,-1,-1,0.003
e3cdf6cd4ef66d7836cdd835ae001e4e0950c933,223,46,25,46,0,0,5,0.003
53751dfb93181e9394777421691c497f5dc04992,-1,-1,-1,-1,-1,-1,-1,0.004
a717c0411e8aa0983caed8bab13770edb1ad35c5,389,76,111,82,3,29,92,0.004
12cb434975818c775ee090763c4740bc7df6b1a2,136,99,79,96,0,0,373,0.004
cc4b7a4095e3456672193d43e36b561995521fb4,189,26,62,26,2,32,104,0.004
fd8ee6cfa4c5c3d5c72e2409eb83c299bf2f55ce,-1,-1,-1,-1,-1,-1,-1,0.005
a30b9e9cd73e13a2a9336bce65243155a260aa83,-1,-1,-1,-1,-1,-1,-1,0.005
506d0b58a96e1b14b390551c060da547c54cb406,-1,-1,-1,-1,-1,-1,-1,0.006
3c331cdedb37f6a3b7ea3d8226864370aa99d9d7,-1,-1,-1,-1,-1,-1,-1,0.006
eb5eb7a3a69cffff1b734e2d577dc97b3e67a789,-1,-1,-1,-1,-1,-1,-1,0.008
02ac6a0cf8899f7019361bc13ffb8e60c4d2b5c4,61,165,178,162,4,934,7834,0.008
bb1ec8ad21740f3716cd8a215d9ffb526dd8b695,1239,148,743,182,27,1069,615,0.008
1c58a94fa9abb77d27b8a3c21528e1ba27ade246,125,39,393,35,17,1136,1068,0.008
0dadf3b75e73be4cfa3a621dbd04edf94c4ca309,1351,561,803,542,2,3,13479,0.011
52ad4868ec43c68287152e4e16182db860b07dd0,151,59,346,54,0,0,1688,0.011
daf003c34ecaf7ebfaceb75932884f111e75c44d,512,101,325,93,10,351,758,0.011
045b12299280a8139a325d78a9a74398b83d3f12,-1,-1,-1,-1,-1,-1,-1,0.012
c7f25a82e352fdcfe00a0858693ca348f4e31210,290,70,1983,68,0,0,2505,0.012
33ba712d6df6d9ba46a40990c2840263e7895646,-1,-1,-1,-1,-1,-1,-1,0.012
055c47b0104931e1b4c15d25d5c2838982da2de8,1699,190,1077,178,5,287,1851,0.013
14fd7c22c1d1e63c290dab2aa5fbaea307bd001d,422,185,660,179,0,0,134,0.013
7029178d8c80eb1f2946fdff582bcf2362238c1b,-1,-1,-1,-1,-1,-1,-1,0.013
90857ff151821f978e0194e3015015490ded2123,245,78,248,78,9,314,2501,0.015
3f73c59c24f984fe43fce1d83aa9019b2ee4a1a7,52,35,23,34,1,35,373,0.015
017c92a7f6fab154d72a13d1feb28b728ba97b09,-1,-1,-1,-1,-1,-1,-1,0.015
386a215fb33d787852d9a9849e36470aead04af5,-1,-1,-1,-1,-1,-1,-1,0.015
743166cc68ca8d2bb67472f85959117b9b262030,428,537,582,516,0,0,3163,0.016
57bdc316f9ab2c3551c765fbd71e0c46e0d730c9,248,103,49,100,1,9,11,0.016
b9a79f931879f8e61b965de0367b893df95484d5,770,165,539,156,8,190,2058,0.017
