id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8e159d652e3803d9fb2f0351ac171992cd5535fe,1581,95,1037,134,1,0,2885,0.006
3867a57ad3bd522651b5c7fa9a43fbb32cc7351a,-1,-1,-1,-1,-1,-1,-1,0.007
68f654af219a9d3f90c6f649f6e9fb559527fc23,555,146,170,140,0,0,30,0.008
33a55323d2e3bea924a40ed3e253506c68497c63,232,31,78,32,0,0,3666,0.013
1a879779800a39a73b9c447fec2809b8f798d38a,250,121,173,119,1,1,1721,0.014
d1777cf4b6066f7c3a9a8d9bfdc3d6b01964372f,667,486,307,458,5,141,3803,0.016
02e24cb7b6fc96eaeb4588bfaa165b3f2fcc2bca,-1,-1,-1,-1,-1,-1,-1,0.017
8106c058c98ecc1c9b8a8abcfc09703011c916d3,-1,-1,-1,-1,-1,-1,-1,0.021
347fce8dc1444dc0c38d639d2d4e4ff1874430a5,1062,204,459,106,19,156,1503,0.024
0e7fd7cbf6223689cd7cc40bcecd4c3905bcae5e,-1,-1,-1,-1,-1,-1,-1,0.024
9c3e5dc79a3322e8837ac1e6095bc941aa25ff43,176,88,177,88,0,0,182,0.026
de4d6d883cc1e90dedefb4ab3daf934f5ba70fd2,380,18,111,18,3,0,321,0.028
e2f4963fb6a3bbed28c11760852ceefe9746f1b6,304,19,31,16,3,117,57,0.031
3fdc1d66c16d16b3080d11786c90a48ee9600751,225,105,158,48,0,0,669,0.033
942d741c2be6e45a05638c9e9b3d4ecc032ff648,-1,-1,-1,-1,-1,-1,-1,0.036
dadbcab8a14ddb0ba211caae6311fdcdbd802326,135,38,63,39,7,83,310,0.036
99387bca21646c8218c8af9468bdb12521f5c5c1,-1,-1,-1,-1,-1,-1,-1,0.037
f54325bff3d54a5a3f87aa9af5c366d6892d2a09,935,72,702,71,1,29,2695,0.038
8834ef923c211ab834c6b530033c8f1f53758903,-1,-1,-1,-1,-1,-1,-1,0.044
705517bf8db17ea0bd91b244f2f4f4561f54cc0f,-1,-1,-1,-1,-1,-1,-1,0.052
9fbcebcd6ecc427ffdb84c173fc517f53521f9d0,493,50,168,59,0,0,203,0.052
