id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
34a705bc816e3f99b88863857d898ddf6bcf58de,462,28,391,34,0,0,6,0.001
5ba5848d4a340f8de23511db16d113d50f487cbc,154,142,280,58,10,525,2345,0.001
a2caf13a4cb7a225a3f6b8378e01a7981eb1d858,140,54,107,53,5,76,359,0.003
e7f1fddc70b3680aaaa214ccfd8e5b240012d4e3,83,9,26,12,1,1,65,0.004
98fe6f8611892b061062d5fcd10c31c8a90757c8,-1,-1,-1,-1,-1,-1,-1,0.004
4570ac830f2e930c889e1344804864c46d15a879,-1,-1,-1,-1,-1,-1,-1,0.005
5fd4daf752d8fae0119171a42cea9515be1015a0,69,3,5,3,0,0,58,0.006
39a41852c55de607638896cbb6c2ca00227f5110,543,77,141,77,13,787,1002,0.012
bec0ed0af3e108aebeadb5782b05114e4cac9dc9,320,26,126,18,3,130,486,0.014
feb146797338ee6adfdaad2298b9ee4935ca4cac,5415,167,953,344,26,591,2494,0.014
066989a0c9164561df5594a7a2a267141f0186c2,563,63,222,82,15,935,2039,0.015
46201d64e3d0a7b3b9e00ebc77ccb2dbfedd5f50,-1,-1,-1,-1,-1,-1,-1,0.020
33ef275eb8fd00d620c1488015fe89930fa8bc2d,13,170,17,40,0,0,13,0.023
4707a73cb253d63ffdfb58fc50d492ab88f1f5f1,48,139,27,63,0,0,75,0.024
ec2326edd29b9b5a3eab2d4724d0f10f08631198,3834,92,91,266,4,30,1938,0.024
307b3aa68148755c33e3253da6d2111b67b00a23,7120,130,363,140,6,137,1166,0.032
b8d1ebc31c01e8242953845dc724c1ffcdebc355,5508,82,221,349,28,1177,2875,0.034
4c8746c70d31c3c7f70ae25df5d95037e505d08e,3,4,1,0,0,0,7,0.037
eb19ec3e36c9aee21f985fc708f657f6afa31064,59,27,7278,24,0,0,191,0.038
dd62ee62e1011e474ad04f16d76fb9823ea3a03e,328,88,387,87,1,26,974,0.043
ff746622677fda79dbfdb179d09ee153232884cf,2,0,0,0,0,0,0,0.057
0ebf0ab9d9c689aac236d7e1904e59b41e507949,176,209,85,54,4,31,555,0.060
8f2e4ac6851fdaba24ddce9a0ee2086e089dd40c,82,1,1,1,0,0,10,0.060
589df8a53187907c4fb883093d84d9290d78ba6f,85,2,15,2,0,0,6,0.061
700b3354860c363fed7a4df8251a8f98ec05ccff,48,30,6,0,0,0,58,0.062
fd861e90befbb93aa240d3149cfd9b6f16785c34,351,43,82,40,9,207,182,0.065
eefd95baac969b636afa5f2d7bbd797da60ff370,1135,10,71,41,4,87,263,0.068
65bb98f6677f1c1d7e1cc0c63d918bb4fb5652bf,75,13,481,106,2,447,242,0.069
1968eb38847d06c8f3a94775e802863ef6987beb,66,3,42,4,0,0,33,0.081
69a856fb89fc2527a7dd485936964e2811d3b72b,38,88,460,82,0,0,2850,0.084
4fd89a8704068572473d50841cfb917f338235cf,-1,-1,-1,-1,-1,-1,-1,0.099
a95c8d59809b34a33d6d4f0201e57a21493b6caa,98,1000,1631,570,28,1066,27254,0.108
dcb537f7f968504482da02e8b0f47cb9112f423d,4491,471,537,486,20,776,862,0.141
7cd17a30a4ed1c25b437711603262427d4c142be,427,93,226,93,0,0,940,0.204
1fb89a24e9b9e97d3cd1af056a48aa15ce8e0afb,83,270,22,78,1,1,609,0.215
415e1ebf795ade16392e47c280b546126f506c73,340,103,206,100,12,92,382,0.237
f052b0d1623d5cdb1b235f28bcbdf052f6e6d5ec,2,9,2,8,0,0,2,0.268
0d5ef2c0c423c552b44bafe9d7e0568e43ccd89b,90,34,40,15,6,356,469,0.285
36e4c1c0e97d7cb50f69d9bf757933daae2f3cb0,15,7,52,10,4,21,13,0.298
8a7346531bf2662f4825f9396d8d873364bad2af,-1,-1,-1,-1,-1,-1,-1,0.303
a4c23c5d45da2aa32bacc019995876bf6a368935,74,4,15,4,1,0,0,0.323
f7729b8969a08a6d80fcb2c529e6cccbc0370fb2,5637,14,267,16,8,295,1479,0.326
1c8a0c2830c79b4d9248f2c10c43d1fc245ca1aa,-1,-1,-1,-1,-1,-1,-1,0.340
2eadf2b294ee8d19b6a126909189bae2d262095b,63,16,8,15,0,0,581,0.357
681bcc78036b6c3d6a97ee776fa219cb10bf5a55,90,374,236,362,1,1,35,0.360
10f44630a00a71b140a252808258557ead7f9933,4,0,0,1,0,0,2,0.373
bf1f6a2188490e1ce66c2a37bbe3e291e9fc2bf0,-1,-1,-1,-1,-1,-1,-1,0.373
a9256571cee6f0641b620749c9be8aa9e56536d7,20,2,1,2,0,0,8,0.409
c3b68c41858c7adb0ce22cfeceea98862ec553de,17,13,11,7,2,0,25,0.413
25187572c20f2b5f61f266261fc60d90dcd415c5,-1,-1,-1,-1,-1,-1,-1,0.422
ca82d499691474b605b047e25f79272c85ee5ecc,61,98,13,88,1,3,718,0.432
7532fc8a542a7f7b79afbe3322f7fff63f63773e,78,16,13,6,0,0,11,0.440
0e2fba9a2abcc4dc54269375b7e60e5b7b62aa6c,1157,49,15,280,4,71,604,0.446
65e0bf1217dd4edd26e6aa1122bcf876ac1fcea2,-1,-1,-1,-1,-1,-1,-1,0.458
b41b4af6066c84b9f8443107443308feef5de149,45,49,37,47,1,0,410,0.475
b3eba7a4ac20365633bb5d9033fbafee02ff2fc0,118,38,68,32,1,69,43,0.478
10888e38c0df5367aa74ecaaa2c101ce69cd8043,33,68,42,44,1,7,693,0.480
12f404960dce5b9a84c37daa863d5602cefa56aa,8,4,0,3,0,0,17,0.488
ddbe120f6301867347229b497acea20237791ae3,151,190,43,179,0,0,91,0.509
32d6b069847d79238397c569d3b792aecb4b06d8,-1,-1,-1,-1,-1,-1,-1,0.518
278fb3868ccde248b74b29153fa8afe1455c1c07,54,0,10,0,0,0,7,0.535
64379ee798d9aa7c0ac949f1f5fdbccce376336a,6,7,1,4,0,0,2,0.550
bcf2fe9b5d72c827c793412d5d7f73bf584c44a2,604,140,25,324,0,0,2819,0.553
95c615a638f6b7fc3a487ea0937c7b14cbfb484e,22,9,4,4,1,0,6,0.562
5eeb4f43a89f0f457f55161da9029ce65631462a,1013,349,172,202,0,0,425,0.594
c5d8518b14e4fce1ce96d1f81826b827e3ceaab8,1,0,2,0,0,0,2,0.599
01a54d6bb7a186c3c246ab5ade82e73dae122f7b,102,14,3,11,0,0,5,0.651
dcf3c5e6d47db49c60aa43974b47369b98bea42c,44,61,74,68,1,0,32,0.716
22a34882454374995c4060c9acb10dd5fad3c41a,28,6,0,4,0,0,2,0.751
8e1ab155a18cc201f48924c1d5902c527b22d397,15,58,0,42,0,0,32,0.760
536e6a5058bb20f1d5188c98d4174b14839d1cfe,-1,-1,-1,-1,-1,-1,-1,0.773
11c020aa8a2fda026b6208b3de282fba847958fd,181,193,167,149,0,0,67,0.787
ad46b0b75d9838a199e78127cb83514fc34460b4,37,3,7,0,0,0,11,0.792
def54ee662396a50c2c9d744266608f6f22d32a4,1,0,0,0,0,0,0,0.805
a193373d2978b975b3abc13ce55d9492cce15835,14,14,0,14,0,0,59,0.851
9ce5371662f94c2daf7eb86153b4bd2a359df950,-1,-1,-1,-1,-1,-1,-1,0.898
6fe71780ac7b5af278fdb46a41d513919d3ca8ee,10,8,3,3,0,0,5,0.906
66cc7b8ace578058e3049f0cfe68fe6b5c10a8c1,74,5,25,6,0,0,3,0.927
6fef9b7562315c06bbdd8b72bba23cf11f3a33b3,79,12,2,12,1,7,10,0.937
d16b7d9d2a1dc5b49ffa3e85897aff00609c57c1,-1,-1,-1,-1,-1,-1,-1,0.938
