id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
763b94ee492b3f6376b82152c1889d94f457ce6b,865,79,22,105,12,512,52,0.091
42eff9e59367c966c09b423501dcc2f4b31605ec,3333,81,630,1341,0,0,6,0.228
8700dac8aa0a42d84c0cb4a86ade0ee6577e5e0a,175,6,292,5,0,0,0,0.230
809bcbf345adafd9be14cac6134f2e1048e49a77,-1,-1,-1,-1,-1,-1,-1,0.241
2371cb2fb87cc4517ebccd69e60780c1fea4d1e6,272,27,266,27,3,58,245,0.249
6b9408f5db1aed205b6bcd244bcd1ea9236e5fb9,186,103,242,100,0,0,13,0.256
95073cc87ad5a846c66ae8d31a4c4df90c15edcb,89,75,54,60,0,0,24,0.282
db10f75c57e406e7d691daa5ed36e83e15e295ff,-1,-1,-1,-1,-1,-1,-1,0.298
cec4a7fe215b6bef2517cb0abdfdc56c45b375d4,106,86,269,70,0,0,4,0.305
2db757f110d904f565291275818812b4b6af6324,109,85,239,86,0,0,14,0.308
42da44c1478a0d9755da9352ec1da19cb40c2af3,87,59,194,54,10,0,17,0.336
4fea29fa1d4d7e3ad7a14f5d07890fbebdfbcd66,85,12,69,13,6,0,24,0.337
a8d6d7b7d27ef83896eb4a48919bf87adf15449d,55,245,144,239,0,0,0,0.353
2150091e8c69334f61f81217903df930c4d8af74,56,76,44,75,7,31,78,0.359
e32f967350eec0c1beb19278d2c0f0233c131ab8,121,213,191,221,3,0,14,0.405
8374ab7b8e7e21fe38f73aad7201234b76ef24ea,-1,-1,-1,-1,-1,-1,-1,0.413
4497b874e7a41f25f64dc507e7455c1baa208ba2,205,136,134,130,1,0,26,0.420
99a6cc324c9e450d019f2bc2ad246944d2639f73,184,61,89,57,0,0,2,0.422
78c27fa069e82bad16d6ca204fbfa3b947cf5126,54,66,111,47,1,2,2,0.432
22499eb9274761eda8d9975053eeba91cc7cd1a0,94,34,44,30,1,0,6,0.452
ef6a459a31985bc44277c4083d293dac8d05c503,133,153,115,119,0,0,2,0.464
8e72273f13a6c2f7b9ac61a693e97f1d0b499253,335,23,136,14,1,0,11,0.471
f794ebc06a77095eb91645b8c05a97488361bef4,-1,-1,-1,-1,-1,-1,-1,0.482
8c204cb0fc77998b0dbffb6eb56516fbac2c2863,178,221,93,122,9,0,5,0.504
e0ca72b036fcc5af23c17291253ed8dac9c1b7cd,38,43,67,43,1,0,191,0.504
14d571ef8bae08c3a24fb333820352fa85d3261d,37,105,65,102,0,0,17,0.510
685f23e4a07bddc95a72031a368f0589fa1b86ba,65,687,121,635,0,0,1188,0.522
7637660d5d3cb57131faad38314a344ac7c1b53e,101,122,33,126,6,58,9,0.535
2667715e03d1993678e95d1a317251918674613a,170,56,4,30,2,33,50,0.539
13524e677cb97e61a74f7920f4c08bcc4c6a1739,106,85,26,16,1,0,4,0.542
48f8acf50a1d25070e60429b4f09f9b7964d355f,-1,-1,-1,-1,-1,-1,-1,0.550
471cab300665f26749870ad006469f6930b4506a,24,308,54,293,1,0,44,0.556
9f798353dbb0a0cde3fb959cb9749ccb07f5868b,189,242,34,126,4,0,2,0.588
39875baeb0d4cd7314f7757f82ca45c25e8b2852,55,133,1,90,1,42,15,0.589
f537622ad6e56fb2e21c770ff42c34302e023597,98,59,72,68,0,0,16,0.613
9452139da045c4ade81ed481017eaff045aac3e5,159,80,277,79,0,0,5,0.618
9b9703efbb7a8ea0412b2a1cf1bef83d61cb91be,109,45,13,40,0,0,60,0.618
dde7b9e0e01babd846033c5febde5db2a5af7416,-1,-1,-1,-1,-1,-1,-1,0.622
f2f8e98f88b1a828c9ce7c408e05a9bf57f55820,72,219,79,198,1,0,5,0.691
1ae5d9932bba966511ae46387eda449ebe73c7e2,28,15,95,15,6,0,7,0.699
4adf169b4257b823352bef42e580b20883008f80,192,136,175,127,0,0,127,0.705
6e2ecbda367707617f7cc3a033783f0aceb89548,-1,-1,-1,-1,-1,-1,-1,0.719
0467ff7b85bf5dfa544bbe5acdea36f82a50f66a,290,301,188,289,0,0,643,0.720
590edeb546b5751c27b669cbb0fc026e7e462652,127,309,20,307,2,1,350,0.725
9d7f2fa26d1c60d20f0fc8760e1f6ed44823eeba,197,151,30,131,0,0,95,0.744
92f1d1c17dadb05e7bb9bb6938b45a5005bcb659,-1,-1,-1,-1,-1,-1,-1,0.769
9e83306fba2c34ca76929400999d025177dc1191,77,329,56,257,1,0,13,0.772
e8f33189472e4abffe5e9cc0c4d5e88ff54a3dfd,64,220,79,213,1,0,3,0.775
9e83dba2c87d27da934b10003f1bb03e833ce7cc,5,3,0,2,0,0,21,0.776
7a7cd8ecd86646e1939943110f17f0bdb653e435,31,419,40,403,0,0,213,0.796
977140eb973ce55911506345c68122e0bb91cf6c,112,42,27,40,1,2,24,0.796
7726ea8169d5c774a4a52bf9314a9ca5ad64fcee,25,119,38,114,0,0,54,0.807
8a2d1686ce65ac61d271d85f34dc9f74d4d9e059,55,19,21,20,1,1,20,0.813
3ea2bc8a2f67d67481eee1edd6880ec71e966ab7,-1,-1,-1,-1,-1,-1,-1,0.829
88bdaa21248ea30c7a2e7100ea5c1959dda67ca0,242,116,124,94,2,0,39,0.864
3df5920eaba79bdc121ede4920651e635cb18a99,82,428,17,347,0,0,41,0.867
837cbe6144aee278eec25c6c11c0f5b2066b1fb8,57,50,24,35,0,0,7,0.907
6f7a6f7488c0218ea0ef81e48081e595d98d398f,32,7,0,9,0,0,0,0.928
