id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e10aff6f7c9f22edab6a6f427a51aa7d27af938e,-1,-1,-1,-1,-1,-1,-1,0.004
04fc98b8800e35f0e73cf37d3471f4634e8d1de6,113,18,1,11,2,11,114,0.013
f28461c36eaaf7be25fe626fb054f40885d4304d,7288,152,7661,2169,3,518,659,0.024
116e8cfde2681f778d6cfc3aa85f52fb8df5ec8f,195,92,100,86,8,66,626,0.163
43437a8651597cd89a778fc0bbb56aa2fbe74941,460,90,78,24,14,246,2395,0.258
7189f0802c95372cab185a2c3cf2db85646e4dd2,-1,-1,-1,-1,-1,-1,-1,0.281
a8cec56bc0f1be789b242f330317f298fab64d5a,618,205,606,127,5,5,1437,0.302
7e9bc8b40a2474d9b2aa5ac652624cab3dba0267,-1,-1,-1,-1,-1,-1,-1,0.308
a8ab7507a03b1e72615b2eb42b3ea64ef6ea0cdf,313,263,57,298,0,0,1094,0.332
4c09a33ffb367bcf8ee9bda13f16360eaa47602a,28,115,87,79,0,0,13,0.338
4c62f61ddf61579718528b59e0c1702c578763f5,436,13,81,37,1,0,1,0.368
48ccbd35c285740ec3fb334899db54ca97940a2e,-1,-1,-1,-1,-1,-1,-1,0.373
f97998c2355ada84a9911d3a79e2bde64a77cfbd,183,394,31,173,19,247,3837,0.379
38c715066b245b24e835a7fc23010d081a55e0f2,100,13,0,18,0,0,3,0.482
c490d97da2868fc4c2ed9132f91e9c4c16b431bc,302,828,104,887,4,12,1075,0.494
9cca5b07df7f1ff0b7a449c47c73a948bccb23c3,-1,-1,-1,-1,-1,-1,-1,0.538
30bd6cd57e08a1713531fe0e76ca7f519bb04835,1194,181,19,278,2,9,243,0.751
39d59290c9968358f392850b33198229ae1803d6,8,9,5,4,5,27,29,0.762
6ff2c0bfc79ee20c8db24e042d3f0f6f15d6dfb0,-1,-1,-1,-1,-1,-1,-1,0.821
