id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7d3e8f8d6d913e4ded294ea068eb8ca9ab508cfc,140,25,282,24,1,122,270,0.091
6c84e0dac3ed17d5e158748da017753efe609afd,-1,-1,-1,-1,-1,-1,-1,0.323
ecec97da0c62ed2d5168b513a1165ad6d4e2c7ef,222,251,248,167,1,0,427,0.346
c4863c44e389ea5475cd2039a391a161db719d19,-1,-1,-1,-1,-1,-1,-1,0.356
110375a26b3018df00785d83fe1a0233555430c8,725,135,225,125,2,246,309,0.365
7f6734570ea87b56c2c821749518eb9740f985e6,-1,-1,-1,-1,-1,-1,-1,0.368
1c2f661b201650cbb409f927769ad3c7fbed6bdc,-1,-1,-1,-1,-1,-1,-1,0.454
d60918b436a46830d2b6a76b9cfecff771589a55,36,6,17,6,0,0,0,0.516
0f6dbe4398f761924c39480843915179e7cc0d93,-1,-1,-1,-1,-1,-1,-1,0.533
9ecbe1bf8dd238e10285acc01fffafba279d4ecc,5654,35,20,97,16,338,427,0.567
31328a2cb5e5534a181d87c13136da75df73c68b,-1,-1,-1,-1,-1,-1,-1,0.580
8ef8fa8bc645e82c21121f5c9e29a779fae0e3a5,-1,-1,-1,-1,-1,-1,-1,0.607
c8ce62a4a65923c31865cb9871c0b48cfe520841,74,125,216,106,1,0,5,0.615
84ebb6984c2683e8d480aa5412799cd09275034d,-1,-1,-1,-1,-1,-1,-1,0.654
935a6bbc3c3a341320e7ce47e266a892ecd2902f,16,5,2,7,1,0,0,0.696
fe1ed0eb1a677f62864e72f7f2e0b8a918d6a4e2,-1,-1,-1,-1,-1,-1,-1,0.746
d5a865df0cd0af887ba51279711dadcf34386f5a,51,23,26,22,1,1,3,0.812
231199162e1f3f0c1f3d7268095304246c4e4e81,-1,-1,-1,-1,-1,-1,-1,0.922
