id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d241e7322e9a6af345061bfd2699d287b87b2ef1,306,160,143,160,12,133,460,0.003
d6e202c29f1d666e04164a5d34c4654cef5c56b9,808,97,209,88,3,46,152,0.006
44fa4e7b41ecbd52cad4b19648bb85d3ab221a2d,126,80,45,14,2,15,21,0.006
cdaecd6cd2b57388e81456cbd4d3101b2e2ce0e1,218,72,335,42,1,0,5458,0.007
a2a4a032173c7d91cd862a6923cb6318b5762307,-1,-1,-1,-1,-1,-1,-1,0.007
9207c5e08f471b15c2c20254a4aae6a0ec723cb2,80,36,97,31,0,0,219,0.009
8b853020b070bbb0343a0da70445e64e76daa8ed,169,211,50,55,9,330,233,0.010
6d2b303b0e1de7e17b9bbc596f0750b225c86ea0,4360,100,0,92,2,50,1571,0.013
6e5af6e06b9ba7f089d38a728d0a58e84de6a3f4,1885,286,23,107,5,88,935,0.013
c3c0f0cfd40202b1c989c17e7d44da0aa490e16e,267,375,155,257,0,0,3,0.015
e5f98204b4a1dc9c10a688379e6b7fcf2b11fb08,1566,490,241,478,11,642,1282,0.017
45929d82805db3a9eea1d8177fde486bee015f7a,1076,224,398,234,7,4,728,0.021
6eef46b29056ae98d09fbc8c265b8a1f10831347,318,124,466,118,6,287,122,0.021
0c11209a5d48493a44c596252e5e082d954b2622,-1,-1,-1,-1,-1,-1,-1,0.022
0eed66d660e2756999a559da8c6cfca7fd3e9cc9,153,44,70,28,5,146,300,0.022
4ac3c7a16f129106d1c827eea2a99d5e2989b33f,-1,-1,-1,-1,-1,-1,-1,0.022
1c21ace9dd42d29d9c60b365f8d64fafcb890e93,431,142,368,145,0,0,2063,0.022
b710237f04589f11c24d8690d2100c77ad0a7e26,-1,-1,-1,-1,-1,-1,-1,0.031
ba98c2ca4358713159e7ef4db8cd9c96d5d7c935,-1,-1,-1,-1,-1,-1,-1,0.032
e90c31517cf195452bff6311691cefa3f3fd56e4,172,25,118,25,4,69,10,0.033
26da849601769308316dae8c4b77a93ff789bc99,320,117,68,39,11,600,513,0.034
6270d8c9a57f44e783db97ea960fdcd4ebb4b449,278,14,72,14,0,0,78,0.036
4b78923d2231eae9504176537d5ebd5a62c4fead,416,356,327,344,3,100,2804,0.039
f09640c1add599cbff5c40923c5be03c706eb9d4,2744,85,177,306,2,0,117,0.039
5ee3d966bf11fee045ba7757cba8863fb1c6484e,1409,71,48,145,2,42,90,0.040
93c38464bce58131cd3cad91b03e83d9597d8168,-1,-1,-1,-1,-1,-1,-1,0.040
cb48514d21e270c9ded9d2fd36b6e9a818ec7ce8,380,139,664,172,1,0,3588,0.043
abdf69fc9b9b92bc21775d5362d62724e2bfb026,7643,246,3265,227,39,37735,26190,0.043
fc3207c65658798077e5e6358ef04e42707fa029,166,45,251,45,2,16,629,0.050
cb59e330f7d541757547a16ebc518b78fc85d719,-1,-1,-1,-1,-1,-1,-1,0.051
feaea97f060b345ce535e9508acafd9b684501ce,138,127,39,123,3,51,133,0.052
85f8e6ccbb8a73d588267af87bc5987bf57c7521,-1,-1,-1,-1,-1,-1,-1,0.054
6c7c7f737346969993e5011d182fa0474c8ca488,-1,-1,-1,-1,-1,-1,-1,0.055
6cfe23bd4d0825810831eb4d09934f5392ec4b13,-1,-1,-1,-1,-1,-1,-1,0.055
dd9f80aaf69ddbe5b1c2e86b060e7a20eec63abe,456,13,53,9,1,48,250,0.057
5327cd11fca8b8770c71610fb96b8401c2c0cfea,193,31,19,27,0,0,42,0.060
f2dc2d5353dc8d6e9b8a448dee21a504a9c0dece,46,11,32,4,1,1,6,0.064
3814310c60b0b2210aca1fe472b94786bb21b199,221,42,292,38,3,19,1518,0.065
5cd6ac699fc8bb07a408104e375e55f40e91088c,98,20,34,7,2,0,34,0.066
