id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
37e46ab15a086ac176653ae84101b1740ea5647c,-1,-1,-1,-1,-1,-1,-1,0.041
cf606112fe4867f9fa65c6780039f8f507e556e6,-1,-1,-1,-1,-1,-1,-1,0.245
3f1b4b2361649d6c0a20ebe1be4f8b4c5d13a3df,-1,-1,-1,-1,-1,-1,-1,0.261
7cd26b9aaf77f31bf6f78783b6f843c2a0839ed9,-1,-1,-1,-1,-1,-1,-1,0.266
d37367b64ac1638446ddacc893195edbfe640a94,171,13,41,81,0,0,16,0.276
7aa67667f16c9e2240e68f50fdbb30f09e8fc577,753,112,26,536,1,2,290,0.295
c835b5a74d13054f022d5109d102268203f39375,-1,-1,-1,-1,-1,-1,-1,0.388
e931d94706aae5c7aca247ade83b1f078bf95947,-1,-1,-1,-1,-1,-1,-1,0.464
d6be01b831b3eb73b2e9e3ea9a804ffe873b63af,-1,-1,-1,-1,-1,-1,-1,0.465
7e575058979fcda7345dd456369ab6c2e1f97f54,5,8,55,96,0,0,71,0.477
24b7444fcac9c3aeb7c419fe022eb4d98af8e6b2,-1,-1,-1,-1,-1,-1,-1,0.521
72cf5bc25949b2484719c00207069744c8d3cce0,2434,6,210,91,0,0,52,0.541
4a8961ac189ecdd456874fef0c0178e4004f6ff7,-1,-1,-1,-1,-1,-1,-1,0.600
f1817dcdda3caed2a49e7948d981ad73e9495499,-1,-1,-1,-1,-1,-1,-1,0.618
2e876ce7efadf9e894b9687558ae956c10cb5bed,-1,-1,-1,-1,-1,-1,-1,0.623
4e211a99013022f57e7aa2dee438dbfe920a870c,-1,-1,-1,-1,-1,-1,-1,0.655
8dabcf27ad021dda48e423b4b2b412a063e5a6d3,-1,-1,-1,-1,-1,-1,-1,0.664
58ff4b6c4fb3a6496c2bd5c1f5b4c849afb02512,-1,-1,-1,-1,-1,-1,-1,0.671
a6a65aff1cb2ae8269cf0f8ea44ed00702d6e65b,-1,-1,-1,-1,-1,-1,-1,0.672
dcaf3cf887ad53c8feeb6139d4b7b332b281d4fd,-1,-1,-1,-1,-1,-1,-1,0.680
73748fdbeb42b767af46266098ee311c93cbaf9d,-1,-1,-1,-1,-1,-1,-1,0.682
ee5ddb6d34a13de31a99ef9efb5faad7bef15280,-1,-1,-1,-1,-1,-1,-1,0.684
80f12a7365d5fc6cc2817f0df33a22f89e5596df,-1,-1,-1,-1,-1,-1,-1,0.690
b2fb07e5d678db22467d334e80989f52d55c2092,-1,-1,-1,-1,-1,-1,-1,0.694
46e5ebada5b5afb7af6074cf587842f835267c75,-1,-1,-1,-1,-1,-1,-1,0.695
02c373ac13fe103042552b2cb51ec31260ecf41d,-1,-1,-1,-1,-1,-1,-1,0.710
fe934fdcb3704c1f7955035a7361d964ec91d27a,-1,-1,-1,-1,-1,-1,-1,0.715
17f4004404889d5059c32f3e2caa0f0b31de475f,-1,-1,-1,-1,-1,-1,-1,0.716
324649c936703f1239e3fa8e0e4f3d7ae1ff6e71,-1,-1,-1,-1,-1,-1,-1,0.724
0375f4494da2b4d2404414cc570456e43b0ea422,-1,-1,-1,-1,-1,-1,-1,0.726
7862cd29bb3662858e277571d140840ee16470df,-1,-1,-1,-1,-1,-1,-1,0.737
fa289f6221bd3247b8ad5846c6e921c207d864d0,-1,-1,-1,-1,-1,-1,-1,0.764
9ce1e9fb1c7098264e97e937985e80c971ea0036,-1,-1,-1,-1,-1,-1,-1,0.772
916268097e05a7a97fb6ced0fe1dba2c6f35972e,5,1,20,15,0,0,3,0.823
d0edf8c617f8d556e0c2ed2b71d143adedc262dc,-1,-1,-1,-1,-1,-1,-1,0.830
6a82cf6520ab7e69830037a7f5e8604ea441223c,-1,-1,-1,-1,-1,-1,-1,0.831
277ba17eb89eec61aa15638d3ffe37c0c3e7a0aa,-1,-1,-1,-1,-1,-1,-1,0.841
ad197fcc1cb8abad233091dedc331327b7391614,-1,-1,-1,-1,-1,-1,-1,0.842
