id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
061730a3890ebe4a63f49c20b1cc8743dc666bcc,2536,4,282,4,1,4,5,0.001
7067195f785f721cde35e4dd315f9505639de8ea,-1,-1,-1,-1,-1,-1,-1,0.002
e3e321ad7137a1813a5a48c93e779f182d879bcc,9184,2181,6620,2136,52,3395,23147,0.003
35c3a2fa39ac1e851ce383592e373204c3b8efb7,2336,56,369,116,2,72,1526,0.003
c03587e27c5fc1f0abf2aa88ba843d8ffe684d8d,4119,116,702,221,6,167,1400,0.004
2d51e51f5d6a64fc3f046773342b9aa3d2a939f6,8835,9,977,42,1,11,130,0.004
dbeeb434f08e4bdfc1e9e283667ad5dc35068ae7,4319,357,1435,228,11,207,3091,0.005
faa6bddf78335f01543a82cb54f57a25f2cdc24d,9689,82,6694,38,4,83,6714,0.006
7ad57fc02cc3aa985dd5607b3eee2134b8a23d8f,3550,32,216,30,0,0,168,0.006
00af49578428e3ceb03548b33cf7bda088fce7a7,3645,128,683,251,7,472,4687,0.006
3122a140f2f9de089b49981818a47df10c160d6e,3962,49,348,166,1,35,1227,0.008
ea2bd2d0d2d7463afef6c19f050354cc1a0ce5c1,9975,20,2407,21,0,0,332,0.008
c755f0759e1625e8748e090d7c7a0fb6a441c6b2,-1,-1,-1,-1,-1,-1,-1,0.009
6e982a5fdc771291510a3421735cb15d9e3c2395,3067,703,137,357,1,587,1879,0.010
6a1a85afa76d35685232d70d04b5b682354299f8,6728,32,615,91,0,0,62,0.010
6221df82b2eff4ade7487908a2b2afc3c4197895,8820,356,747,610,6,389,5421,0.010
54c56a9093c98cbdfc24051e899b1d04fab9f516,6383,16,2459,70,10,506,2359,0.010
75ab9694b33f6ecfa48e97fa7354680b2fdb3775,-1,-1,-1,-1,-1,-1,-1,0.011
3c3f631cdfccd50a3c91479e4c519b351d74160d,6972,12,579,11,3,16,2,0.011
b22808b9fb08a2f4fffc0ad73903f753dc842b1a,5149,96,197,723,1,37,971,0.011
b7d1f4ec9d6e1e31c180945c3769ba1488440480,4613,627,168,333,1,0,93,0.011
f17b21f7128c801176fa0b28e8edbacefd00b56d,3992,358,1742,642,1,0,760,0.012
6728927945a514c306f996964a103dea2d1b4ac2,5306,95,271,344,9,159,273,0.013
f6a0b6abd5a044a6b008ea4fd8aaf8e249971a5a,4332,256,408,615,4,790,1285,0.013
895038d3438971767d3bb247735a5f22b1614476,3525,63,21,111,0,0,6220,0.016
381ed297ff47ccfc71fd3d3b3b0e6fa85580f616,3230,43,342,1118,5,520,1756,0.017
ff916e77644883077c874280ef91e5a5c1174c24,6063,64,227,1136,11,22,538,0.018
5566f6ad94143f1cafcb0fc79733ed5b1d49436d,4021,591,711,845,14,420,2799,0.019
29068df9d3c9d5de6314fdaa3e797f96f9ed8f97,5108,205,700,500,11,703,2647,0.020
f1376779cdd2dd6c0440f4f27c6351a2b84acd2c,7202,33,169,161,0,0,104,0.021
2603917d0ac88454e11357d09d3ce6709d686ff3,3704,115,6547,107,0,0,3,0.022
ac92b3c6bcf107bf26fd1562cf4af320796c4737,4112,58,1106,715,3,46,6797,0.022
5d2a569f2269b7c3f6c063db61e39b2f13589b63,6754,23,492,25,1,38,3163,0.022
c94452ad264eeab7634696916fbe259ef34d9458,3473,136,100,322,4,158,432,0.024
