id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
82a4589d64a613e07970ba9ca33f2ae01993f080,7577,104,333,933,4,1788,1262,0.000
41052fda3b983422375972f0bc7d7c1769fe11e6,-1,-1,-1,-1,-1,-1,-1,0.000
c58dfeaf807b6db78f1d1dedccf104f523f2fa06,74,19,43,38,1,0,21,0.002
501c29f4baa510127bbe9bcac7d358053681a161,-1,-1,-1,-1,-1,-1,-1,0.008
e1920aa048eaf770735642032a44cf243aa497c0,-1,-1,-1,-1,-1,-1,-1,0.018
2fb16df8f13ddf6aac1bef3796e5eea19e941134,994,189,63,313,1,0,0,0.022
cdf630fc2f3853a78178b88d402dc4bb6d123b66,9947,22,5582,15,1,16,1036,0.022
59b7ae573fd90b056e2dfeadcbfd4aad8108c2c6,-1,-1,-1,-1,-1,-1,-1,0.027
923d5ccb8d8f2e81bf55288f1a973487cc4c91f7,8231,58,340,179,0,0,144,0.034
877d36d152a2cdc85f0c9c0ac4c8d4f4cb68d7be,-1,-1,-1,-1,-1,-1,-1,0.036
b0d72804b2b3462c2f3ec0cab8876a1e612f3dcd,971,60,12,495,0,0,96,0.038
b21dd6a90b8ffca71e9141331ecfce031728ab60,5128,5,5248,6,0,0,2160,0.039
c0cbe639bc76a5ee53ea768c7a685175a3254590,640,37,348,40,0,0,16,0.040
0047eeba02c7e86ad0330d3447cdf9d7ae790009,3544,161,1543,276,1,2,1713,0.041
727348a416ecf1349324a349b2ab95d4ac1f91d9,1288,6,9045,76,8,26,136,0.046
20fd0414f40ec6d0b5b9cdc86f03d2d48ad788a3,-1,275,369,461,16,1601,2399,0.054
749eb266601c94c7d6f2908600786207e32a8327,-1,-1,-1,-1,-1,-1,-1,0.057
c25efca9af807e35bf5836282dede8d99c42b513,8453,576,22389,457,0,0,4,0.069
ea662580a5814adb0752926d539ed8de907368ba,5215,25,1723,864,8,88,15,0.089
baf108551684e88c0465535b5564d27bb0cc4779,3175,43,6828,650,0,0,543,0.091
c250436dc7a83db2c593732d1166965b9b6a2836,-1,-1,-1,-1,-1,-1,-1,0.094
d8da9944fc8af0f4e96da824be8533e24afdbac9,782,119,125,1131,15,532,35,0.099
02e379083b703ad54b1200046f53782c57fde3b5,2673,113,27,348,0,0,25,0.107
c51be0eb65e6743ea17a83daf2edd355200642b7,3793,103,2987,260,2,1225,2086,0.108
abb3c83d110b0c174b83390a8cb17c6caa5757c4,2361,328,610,889,3,0,541,0.111
6e13e78732e29ff7516af81ecd7b8dc6db16c8e0,373,159,95,170,0,0,10,0.114
ee2c6f08e77d7aa450a8c44a50bbff5eef8745e8,2342,698,477,751,4,25,1421,0.116
dd1f5ca8d17dc4cbc692101e96e601e24bfb9894,3372,436,202,813,12,455,3175,0.118
f4f09280d0054e98704019a947ed4a63d7680219,2217,230,15943,227,994,199622,103128,0.120
c2a7a2ffdaa523cf3f726e59fe4844541fac15f5,-1,-1,-1,-1,-1,-1,-1,0.126
bdf68527599499583f158ec4a7d3ba0ee2094a7e,6844,14,1070,962,0,0,338,0.134
da943c858483d4752e01f238bdf5116d0415f365,529,43,559,332,9,6,0,0.137
a3a5fc5821b2a772c01441bfe642ec6708f21a0d,653,60,783,88,2,2,531,0.139
9155e1a1a7b0a9f6124db87cc7ce4041cf72846e,3517,4,55,7,0,0,655,0.149
9d31aca2660f7c9eda826b8bc9507f8c76eda60e,3234,231,36264,260,1,0,1293,0.150
bede8b944bc4f8ea13edebfc1e8be8a377aeb7a5,-1,-1,-1,-1,-1,-1,-1,0.150
c90dd94b6a2e99756ccea91bf85e905154da6655,-1,-1,-1,-1,-1,-1,-1,0.154
3400b61a595dcb761fa8ba1f26af3f0e8996c923,1768,518,701,685,10,329,4440,0.154
6242be15fd6ca66d8bcf3b37534b5f2b35a365de,283,11,561,35,0,0,377,0.154
7a88737950c59e548a492be35312b7aca7ef331c,276,10,324,28,0,0,268,0.155
629bef80448444d9fb356f79c538a8ee33c03192,1209,126,154,207,5,124,330,0.157
a2d2bedeb8b13518d483b1032e7cc83dfddc4509,2667,42,529,42,0,0,2,0.164
8cf9dccd6ba58ec5e33ff19eda8685a449a861b0,1581,12,65,143,0,0,90,0.169
ae7fbc6fcc6fe4531039e78210ef008aeb3cfb6b,279,24,411,21,0,0,401,0.177
13f2027ca678e61d761fa4380641c1450517301b,1400,6,11257,6,0,0,48,0.177
2c37ff53a0c4cadda68fe3b28d8ad666b668680f,3069,47,6516,44,0,0,672,0.182
d39344e29fc73ea38e405555761890db3b2ea79f,1694,682,264,680,0,0,102,0.185
f8cd0dca5a520aeee2da657065807ebca50340b4,2261,288,120,666,0,0,16,0.185
f33f6f3c9b8f0e7e24397ebfdbc3cc50b475043d,-1,-1,-1,-1,-1,-1,-1,0.195
455b8090c52ad4dfc485699e83d970cd7b74aa29,258,12,673,27,0,0,375,0.202
661410a0b32cf9a9d6330524dc8a95ac8167b064,286,4,389,34,0,0,216,0.209
87d1dc37a3419b11027a26bae09a0b20c1b5b2ef,-1,-1,-1,-1,-1,-1,-1,0.219
6f7ca7f35e5b9e1170c717d4b08ff4f9a517ed40,-1,-1,-1,-1,-1,-1,-1,0.223
62383a78065c19637ce486d1487061c8eba5a72b,-1,-1,-1,-1,-1,-1,-1,0.224
75cda2879fb65056102df5f4157ec706dcf06cb2,1467,1116,36828,962,0,0,19,0.226
2d2d19e05b751356519ea9d08fb6386bf7d88464,8040,469,345,865,5,16,225,0.226
9cb79abb546937ee2992dd3f37084f9c10a2fbb9,1671,6,4314,25,0,0,2,0.227
53a262be3c4c00ed5c4845a5e09adbca1179096f,-1,-1,-1,-1,-1,-1,-1,0.238
58bc3d423b4bae2fdf9ec29f9ed654147e1f7a15,-1,-1,-1,-1,-1,-1,-1,0.241
96909dc965361f6435e623e10f2663a523cca8f5,738,231,69,342,1,0,1620,0.241
4870d1e0843d15b6078e19152999ac36be960a82,348,3,115,31,16,10,13,0.250
2d5891eba1349c480e10ba930f06edad1d29c784,5372,382,2344,360,1,70,1383,0.255
f3d455d12cc8494f92c6fd851353915e6af3064f,1294,369,6,459,20,2084,672,0.255
188c7f5b7c27026fd5240471b18b95e3cebaf8a7,1717,721,10,650,0,0,59,0.257
