id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
5c6b89d040fb8215dad13fbc18ac2b86ce31c879,-1,-1,-1,-1,-1,-1,-1,0.001
3b3509ac2379104ceacfcd9b889f30449a562b41,-1,-1,-1,-1,-1,-1,-1,0.002
66d10e21230cb4e8c5f3488cbb4f05297de98efa,3675,416,867,61,1,5,1561,0.003
ad6ee13b9fc81213a7c3a677ec53fed462e426ac,2408,38,773,54,12,922,1371,0.008
5b154e2459c1fe9fb8d632af673d81aefedc61ae,-1,-1,-1,-1,-1,-1,-1,0.014
2603917d0ac88454e11357d09d3ce6709d686ff3,3704,115,6547,107,0,0,3,0.022
cab0ffe50fa1aeba17c75134429a394c656d5781,688,192,628,78,9,629,678,0.023
329fc533001d23163e14d5af79047c6abca30d73,1221,35,545,44,0,0,19,0.035
a8343ab61de3a4a8ee35085f6db9ed6c167cc4c2,8292,79,2354,101,4,774,3648,0.037
15dfe06f8c62f9cf3f8b8dd350c06831403f3549,302,18,63,9,0,0,116,0.040
0e34b65edc78bdd2177f96b09a0dd3d00bf29ebd,1946,108,188,157,0,0,933,0.045
c40edef89f3e2eee9ec9f9d2e0fef1faface2a91,-1,-1,-1,-1,-1,-1,-1,0.078
1a97248368a22d5284e284212f693ecbdf688e09,49,13,7331,104,0,0,11,0.081
bd97f71be61767c61ab40c543aababfa787bfec1,729,70,757,64,0,0,26,0.086
8a5af8cf2d3d7741e5b7fdf6bfa0edd59686f632,3810,45,22803,40,0,0,1523,0.097
bf4f753948285ee43669646a2e612aad00a5254f,2536,266,707,1877,0,0,167,0.117
bce1cd4d8228eaf2298a3368d601fc877ffb9c63,198,18,52,52,0,0,4,0.128
19cffc0ff0aa5525bf1f5a0d31d8f6036e03383b,9117,649,1864,573,8,1199,1125,0.136
096efd200827fd1557b0cab6bb6fc9c5f98608c2,-1,-1,-1,-1,-1,-1,-1,0.159
6585f7a4a089a60acb890566c7e3708416fe60d3,914,77,1248,77,2,31,192,0.179
8843ce087704bcf6d6671b822d051ee05da342d9,8415,415,10206,449,2,22,4761,0.195
ecdae5ed167f842adb8e7b0e5f57f56641e1a4ed,9951,473,1681,122,6,1144,1350,0.222
91cc34355c75b8dd385abb781e34950d7ab7ae5a,-1,-1,-1,-1,-1,-1,-1,0.231
5ec2096b9837935a6a7731fb0f97239eaf693b2c,4021,169,1050,439,0,0,470,0.240
3ad93d0b1cdcd2e399ef8a69879a0d8c1b47c88b,-1,-1,-1,-1,-1,-1,-1,0.241
88823b043fc3417874c5e5fd415641ed256be971,-1,-1,-1,-1,-1,-1,-1,0.246
f05311408b73fa32e9d6b648e117e4270adf8289,1550,84,435,95,0,0,199,0.251
9ed80d830a7d86f362f2ff774c72e717fa74fcdc,677,8,1097,8,0,0,14,0.256
c8f3c7ef9b8bca257e31be12c4d53b21f989f905,4860,124,512,720,3,41,262,0.267
d5d59b125a73366f482d80c5897f26d120324ab2,1473,2,25,142,0,0,2,0.269
a6f92a714cbb137d8edb134253b8facf96a76244,4801,384,69,1044,4,30,1599,0.304
f249818d62e146cf13ef1b296ca3b50fdd3df036,6286,76,1929,77,0,0,12394,0.306
56e4add7c44e8e9f1e44ba7120e188c637f68c33,-1,-1,-1,-1,-1,-1,-1,0.319
24a8350b17fb312a1f7e254b47ad7bfee90aaefe,5435,746,77,1788,1,0,294,0.331
0668d0457fe99d2735d11053bae0650361b1b6d5,2950,106,154,1022,1,15,180,0.345
41b72329bca577a0acf4b917d75ce8e00a854e4b,5001,24,1735,1480,4,0,53,0.358
c62de0c5fdd89c9fda020d9ff9b89a82593fe563,3566,408,192,104,0,0,522,0.366
970aa760d98d09f10123bfd7924e1644843020ac,519,104,111,108,0,0,483,0.375
9e1058b143da3bb1a3477fbe651c3e4d29f187cb,-1,-1,-1,-1,-1,-1,-1,0.377
75c92446343098c10ab7a86f1aaaad3bbf5420c7,-1,-1,-1,-1,-1,-1,-1,0.379
bf04c863031007cf5225de68e63aed7788d0dcc7,-1,-1,-1,-1,-1,-1,-1,0.384
31bd0661600e1f1e7c0159192f0fc6a8adcef6be,1165,151,1692,119,0,0,82,0.386
1931816126ce764a3d22120b34d889e295e5f437,2049,62,671,59,1,1,651,0.390
67e7a52e7de02f92132cbb5c82c07c185c1e46e3,-1,-1,-1,-1,-1,-1,-1,0.402
5bfc872cf03ee591bbd4faba236c35bd6919d930,955,4,724,4,0,0,363,0.420
3f5877e168485aa920896d4c269e5ca1fed21c71,2766,9,646,6,0,0,7,0.427
17a4440095fe24dbafed0f962eb61fa663bfd482,3876,50,2967,937,3,4,821,0.434
