id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
723d4aeedb370af1024500c4b6e6c736b413c1dc,4620,370,5278,320,23,600,337,0.005
bf5a674db34a0fa5db63860e35b61579c21350dd,1061,89,270,91,1,27,80,0.019
2603917d0ac88454e11357d09d3ce6709d686ff3,3704,115,6547,107,0,0,3,0.022
a8343ab61de3a4a8ee35085f6db9ed6c167cc4c2,8292,79,2354,101,4,774,3648,0.037
ba9ce54d42b0286e82ea2a349e01873ddce86c3a,624,47,183,83,0,0,40,0.071
1a97248368a22d5284e284212f693ecbdf688e09,49,13,7331,104,0,0,11,0.081
8a5af8cf2d3d7741e5b7fdf6bfa0edd59686f632,3766,45,22803,40,0,0,1523,0.097
bf4f753948285ee43669646a2e612aad00a5254f,2549,266,707,1877,0,0,167,0.117
bce1cd4d8228eaf2298a3368d601fc877ffb9c63,198,18,52,52,0,0,4,0.128
19cffc0ff0aa5525bf1f5a0d31d8f6036e03383b,9145,648,1864,573,8,1199,1125,0.136
b0a2acc57ef9980d1ea7ac16f16da753c11a6bf9,1189,151,87,167,0,0,908,0.168
8843ce087704bcf6d6671b822d051ee05da342d9,8415,415,10206,449,2,22,4761,0.195
ecdae5ed167f842adb8e7b0e5f57f56641e1a4ed,9951,473,1681,122,6,1144,1350,0.222
903ef764b5914366a14a79e08f5e2dacd1cbda81,3185,142,262,607,15,276,1018,0.237
3ad93d0b1cdcd2e399ef8a69879a0d8c1b47c88b,-1,-1,-1,-1,-1,-1,-1,0.241
88823b043fc3417874c5e5fd415641ed256be971,-1,-1,-1,-1,-1,-1,-1,0.246
9ed80d830a7d86f362f2ff774c72e717fa74fcdc,676,8,1097,8,0,0,14,0.256
98841dacada6da8b1cb76dd2165f7adc55d6d079,-1,-1,-1,-1,-1,-1,-1,0.265
c8f3c7ef9b8bca257e31be12c4d53b21f989f905,4860,124,512,720,3,41,262,0.267
23d241554e9fb358f4663758d46b80671ddc34dd,-1,-1,-1,-1,-1,-1,-1,0.275
a6f92a714cbb137d8edb134253b8facf96a76244,4797,384,69,1044,4,30,1599,0.304
f249818d62e146cf13ef1b296ca3b50fdd3df036,6286,76,1929,77,0,0,12394,0.306
174da77a98aeaa6ca74c33b3df5ac39b8d4f19c3,-1,-1,-1,-1,-1,-1,-1,0.334
5f7ff0470457e07de973ee99803de45481f5695e,-1,-1,-1,-1,-1,-1,-1,0.337
