id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a905310a927248b8a5bad9948b948c45e5b91708,-1,-1,-1,-1,-1,-1,-1,0.000
76109e77cf80153fc52c7ae71ba8630d99c28cfe,1471,72,0,70,8,113,332,0.002
149ea6abe42a8454c7dd1a6b82473e0b282e3d92,3816,863,978,326,3,52,521,0.002
3b3509ac2379104ceacfcd9b889f30449a562b41,-1,-1,-1,-1,-1,-1,-1,0.002
66d10e21230cb4e8c5f3488cbb4f05297de98efa,3676,416,867,61,1,5,1561,0.003
0e50586bccbd72a02e42bb25c5f8e4f19d83e12a,7194,728,1774,1309,0,0,1220,0.004
3806d359aa1467c76bc599968db924cbbc03f571,2956,12,7561,41,1,0,4,0.004
d0cfae25fa41004db94ced1e52ceeb51b44f5d3d,5032,41,708,153,1,0,923,0.005
5907c2a0e59e41b7ae31b222a2d0b8ce9fe89258,-1,-1,-1,-1,-1,-1,-1,0.006
5869af8b36e22e30a019dee35451170f8285dec7,1149,64,842,74,0,0,183,0.006
a1b9c5fa18d1e957dc8f6fd2bd5320179b5aed67,-1,-1,-1,-1,-1,-1,-1,0.007
ad6ee13b9fc81213a7c3a677ec53fed462e426ac,2413,38,773,54,12,922,1371,0.008
828ed5c18bcaa2ab3f69ccb5cfc8038423387384,-1,-1,-1,-1,-1,-1,-1,0.008
99824aa87195b2d3a6515ede77906a640ce14a64,6150,771,2065,1930,4,219,615,0.008
5e1f2291fc572fde0905eb45b461d9bc5b7b3ce5,2088,21,586,21,0,0,278,0.008
16a8467e900caa9b9adae2f984055d471235dcc2,4800,82,98,712,128,5159,1341,0.008
c3afb5caaf68f8f9c4eda83b79b630b9a645522b,6483,19,255,259,1,6,5794,0.011
3c3f631cdfccd50a3c91479e4c519b351d74160d,6972,12,579,11,3,16,2,0.011
2a94352b5beccd2024e6f48ca159738a0027bea0,454,23,45,53,1,4,168,0.013
7ad1ced90df8f4feb6c7cb749ae5c5a54ac03327,-1,-1,-1,-1,-1,-1,-1,0.018
0413f9c59cacbf86270cd069eb6c27b7c288592d,1054,50,287,49,1,0,310,0.019
65d3f6aea1fb2c30285e67aba08ee32312b05a3d,-1,-1,-1,-1,-1,-1,-1,0.022
2603917d0ac88454e11357d09d3ce6709d686ff3,3704,115,6547,107,0,0,3,0.022
37afc7d858f8f290729f2e1a7274c1d2b9c8b80b,-1,-1,-1,-1,-1,-1,-1,0.026
0332eb843a92f4cf27f793ec2d4b478aa09eb4cb,-1,-1,-1,-1,-1,-1,-1,0.028
ca4b4f51c6f10b402194e0b4f2550786495e144a,363,162,231,153,10,491,3337,0.029
655b60773c655ba4f16f8fe1292ab30db2cc3ca1,269,1000,1,689,0,0,405,0.029
5ce3e40ba411ff26d26a2873fea5e1959a7b41e8,1905,149,306,149,3,167,827,0.030
4e11b4388eb90453835ee555ff57f03e66c1757f,-1,-1,-1,-1,-1,-1,-1,0.031
