id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6c549494467e93ef2b2a8d8d4b46155572118e5e,-1,-1,-1,-1,-1,-1,-1,0.003
4756b66c4a7b97448a9f361ad74fcef8b324d271,2260,201,93,235,2,25,1360,0.006
c3afb5caaf68f8f9c4eda83b79b630b9a645522b,6483,19,255,259,1,6,5794,0.011
3c3f631cdfccd50a3c91479e4c519b351d74160d,6972,12,579,11,3,16,2,0.011
4278968abbe4404bcfd492b2d4b8df20bd4e06aa,1103,26,426,540,4,62,709,0.014
2603917d0ac88454e11357d09d3ce6709d686ff3,3704,115,6547,107,0,0,3,0.022
e21d4172d14104a7b96bee45d98e956625fba74f,-1,-1,-1,-1,-1,-1,-1,0.024
36d17a6da2a4865a9904952021643430edecb155,-1,-1,-1,-1,-1,-1,-1,0.025
fa5dc6e4c8a427557c4322a9552badcf1fc05716,2976,132,263,250,9,218,670,0.025
b552c2a37d3db4483a0cbd4fb39f70b3eabd1240,7942,78,1261,154,2,23,347,0.026
b69012983d85259760894d64d513acd397e4ccfc,2202,623,11,992,3,608,967,0.033
efdb6ec004bc6faf7184c9256ef1662c67080d8b,-1,-1,-1,-1,-1,-1,-1,0.037
8c3550ecc68d2b1df8bff91dc84ab7f40d1a1132,2287,149,1567,87,1,21,1083,0.038
22b2f0eb058ea4be260215f6d76a1880df7da69e,-1,-1,-1,-1,-1,-1,-1,0.040
4323545d107366d4126f0f949db43c6919c21923,-1,-1,-1,-1,-1,-1,-1,0.047
b57ce71cf628fc3050b6f7c8a61b26ff26a6c27e,-1,-1,-1,-1,-1,-1,-1,0.048
613a5d6d2922b17fb4f699931917450fbfbb53d6,4448,261,223,598,1,8,2414,0.052
df3d5a7411b6a6f90f4d7dbb62acb0974601ce0b,-1,-1,-1,-1,-1,-1,-1,0.054
e7231145865648d6679da62070455ba7fc8c7423,2276,168,162,510,0,0,331,0.061
f2a22471b71c70db05b2d7ab0c662f9cc25343ef,-1,-1,-1,-1,-1,-1,-1,0.077
1a97248368a22d5284e284212f693ecbdf688e09,49,13,7331,104,0,0,11,0.081
58d0edc9c95c5cbe65398bed2dc9bc69e3a49d6b,929,88,234,80,39,69,307,0.092
0c3a686387fa8f7951d5d6ef5948c5391c149362,-1,-1,-1,-1,-1,-1,-1,0.096
dd4df75a3b8f4033cb39853c160d920008684575,-1,-1,-1,-1,-1,-1,-1,0.106
ebd34fddf7b24d367e860e51446cf7b94a30beb7,376,1000,38,1271,1,3,1,0.107
45d3c0133517a63dc3cc6dfe9bdd25609c7c9e7b,866,732,27,1485,0,0,215,0.109
15dbde56cfe4783c0cd8ab47d9d9f76556f4d477,760,1000,16,1543,1,2,1917,0.110
574cf057bcbf38bf0927c7503834564c44d7cf19,1057,0,86,335,1,1,86,0.111
59fdd201e2deb29d47e5fb775246e8db675c760e,2564,9,395,421,1,25,134,0.130
bdc38a4a6517ce37cdc3612bb8546d92548bd00f,24,1,21,1,0,0,18,0.135
515474c6f779b9aaf2956549388bb8ea963b8134,-1,-1,-1,-1,-1,-1,-1,0.144
6fc25ac9ae8f2a4b927f66ab6565adbd186c30dc,11,2,8,1,2,10,9,0.151
3ad482b899ecbe0f75e2ed270666593e828f3f50,27,3,16,2,1,1,19,0.152
b0a2acc57ef9980d1ea7ac16f16da753c11a6bf9,1189,151,87,167,0,0,908,0.168
643f6c3412eaa33b15330865c61a479a0ce8e786,-1,-1,-1,-1,-1,-1,-1,0.173
2660cd292521eb18599cd7135bb9e9e8cc65bdb6,3965,848,597,1248,84,2450,821,0.190
8843ce087704bcf6d6671b822d051ee05da342d9,8415,415,10206,449,2,22,4761,0.195
eefaa48f582458aee9c3a2d6e4bcfd080f4facf0,-1,-1,-1,-1,-1,-1,-1,0.199
8410d773d07cfb5f72ff4e85e64816f84e4d4bc3,648,35,1054,231,0,0,8,0.212
4043325aa61912d83fcba0033c19f4302f205636,1221,73,488,72,0,0,150,0.215
2dbc1adef7e12db563313317226b13720314a502,1792,55,1492,51,8,643,656,0.215
ecdae5ed167f842adb8e7b0e5f57f56641e1a4ed,9951,473,1681,122,6,1144,1350,0.222
91cc34355c75b8dd385abb781e34950d7ab7ae5a,-1,-1,-1,-1,-1,-1,-1,0.231
24c843b313c4d464ab6a27e376c46244635b8dfb,9445,20,3970,32,1,8,15,0.234
3b4c2f057f5b4c46ace3e661db2aeda163f4aeda,403,75,174,75,4,0,1696,0.235
903ef764b5914366a14a79e08f5e2dacd1cbda81,3185,142,262,607,15,276,1018,0.237
a439b0acfe03d67e3874abb71e0f96a0b332751a,66,78,38,66,0,0,171,0.245
e7c559341dd31e91a8a7805a887baea25759247e,-1,-1,-1,-1,-1,-1,-1,0.249
19651314214f5fc9e6026fc07ca6f71cc552d63e,4147,124,3844,554,1,0,710,0.249
f05311408b73fa32e9d6b648e117e4270adf8289,1550,84,435,95,0,0,199,0.251
99272f0d9f79c1cbcacbed0b147fa42c5fb0db43,-1,-1,-1,-1,-1,-1,-1,0.264
053e2457803c1a0e8a96dd830226e64985f2f0a6,-1,-1,-1,-1,-1,-1,-1,0.270
183cccdda47cce830451e34aee3414879aa11c55,565,18,36,105,0,0,22,0.272
3d4c5a87ad2bf810dc95da928ee119d4a2940e19,1907,135,108,124,6,1,30,0.299
adf23381db8d2a7461d7588c576f7f4bac11f520,8777,47,0,74,5,519,1804,0.303
d9ea168b59c96c9dcf05af43f6943d495cb0196e,1360,60,625,103,1,0,23,0.306
c0d99e01d7948b49c2ad4bed4ddd5229e2694bc6,5925,55,8033,54,34,333332,1,0.306
814f170ffdc99ffb8f4d58119dc0a829bdf64821,891,17,162,262,1,0,1,0.316
0fd45cfef206a048a1597aae6fdc7fa7c624eefa,1135,1000,15,1457,4,150,378,0.316
de2396e4e406d18d276258b1d47e8c43f9dbb3c2,492,222,3461,215,0,0,7,0.320
8966b376dcbcddef5cab72889a601a81aaf81408,333,704,19,1107,0,0,37,0.323
30c0f7a1b2a5001284bf5470157e8b456dcb1839,170,41,6,47,1,5,6,0.337
7c0f20f369b969bcb5e2746d64ca7891b92d044c,8100,51,10105,47,7,0,3,0.338
d680a5ec821936d4abd48015feaac826d973f7e5,4043,40,117,642,35,58183,534,0.339
b734541147efd8f5298145e399659299b31b51b6,0,5,13533,4,0,0,28,0.348
22aa9b5e8078ee202d0908873376b6289b952716,258,1000,105,1090,2,38,1637,0.352
09dcb1423bfc4a1afe27a69e6b6434ba79efb3f3,1159,4,6318,8,4,324,2605,0.358
