id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4756b66c4a7b97448a9f361ad74fcef8b324d271,2260,201,93,235,2,25,1360,0.006
844dfd31445993c1601cfdf5ac2502632e872ba2,9998,272,2915,238,3,30,766,0.007
3c3f631cdfccd50a3c91479e4c519b351d74160d,6972,12,579,11,3,16,2,0.011
a8f4759872dabaca0452735b7903f56ed60f7785,-1,-1,-1,-1,-1,-1,-1,0.014
b552c2a37d3db4483a0cbd4fb39f70b3eabd1240,7942,78,1261,154,2,23,347,0.026
2aba3adbd708bd5ca3ce8d02c4829dae8923b341,-1,-1,-1,-1,-1,-1,-1,0.027
ba808d1bcfefe9a31e295e1f907c102630a7e7bc,661,185,134,189,0,0,6,0.029
b69012983d85259760894d64d513acd397e4ccfc,2202,623,11,992,3,608,967,0.033
329fc533001d23163e14d5af79047c6abca30d73,974,35,545,43,0,0,19,0.035
55c530716458764754169fedacc86812b9181ac2,3933,0,1618,0,0,0,0,0.049
f44c01705465c93f42ee54780390eae06ac2232f,2062,84,284,120,0,0,2,0.050
b30ae3920ab74b42a07cc5f9c79e4f9b2d4a402c,1170,51,43,88,6,65,979,0.050
910c4f5f7e34a94f56db759a660d9715c244709f,66,122,21,309,0,0,0,0.051
4da4cdd7a009083ef6ed3cf7c60794aea908b999,8661,65,369,803,1,34,193,0.056
e8734dfd703f02ec77fce4325606ca7b4070e42e,-1,-1,-1,-1,-1,-1,-1,0.058
b101453dd2f2ec2537d23f9a6ab57a9df41a1f22,6661,220,2899,441,0,0,3543,0.060
3daa99c8d2b19adb40d0c9916cd380420dd4804b,372,364,33,1162,0,0,6,0.064
a4649b6c4e6988a24cb234a5c50f26b86538d4d5,7332,1,2365,24,1,7,283,0.073
b9bbac8905a5bb91106647c1cb5f42fc31300530,152,188,100,87,12,161,44,0.075
1a97248368a22d5284e284212f693ecbdf688e09,49,13,7331,104,0,0,11,0.081
af45cee44a0acae02dfee445bd91db3007522270,9736,31,7267,32,0,0,4,0.083
6426d61fc83bddf72283b561d958590c987bd50a,-1,-1,-1,-1,-1,-1,-1,0.091
a3d08dbe2dce01a6b4028e2e4307f3008d36bd82,445,449,37,1250,0,0,7,0.095
dd4df75a3b8f4033cb39853c160d920008684575,-1,-1,-1,-1,-1,-1,-1,0.106
43657ff281689a1b17330e7db521ed1968b577a5,2754,5,528,7,9,292,6,0.111
b9e2245ea4bdff32d9f77c705bcaa09b95ed90fc,-1,-1,-1,-1,-1,-1,-1,0.117
ebf2346e21100822d5be234eb9b26870dca699ee,618,1500,478,1393,5,45,1516,0.138
b33edea12391ba619dfe18e69db2e3309de6347a,883,45,148,213,0,0,3,0.160
68bd8bdce20ba0c1fd62b025f5136ea113e9a7f6,178,0,42,55,0,0,9,0.161
aa9086a06922e1f0f1c823166671d8f26abe635e,241,95,57,141,5,10,572,0.163
e3f7d2c3646c6df5222a6217c5d11d0d78a60df5,243,131,36,134,10,29,200,0.166
b0a2acc57ef9980d1ea7ac16f16da753c11a6bf9,1189,151,87,167,0,0,908,0.168
643f6c3412eaa33b15330865c61a479a0ce8e786,-1,-1,-1,-1,-1,-1,-1,0.173
7b449f2368e38dd5b052e461e82e3ea0d58081cd,2557,749,266,1314,1,68,121,0.178
e5219c5108151a68df399eac5939ca1b05a72533,8324,0,82,1016,0,0,1,0.181
0f72dd21287f60b05a48729f931015b32ddd30e4,-1,-1,-1,-1,-1,-1,-1,0.189
2660cd292521eb18599cd7135bb9e9e8cc65bdb6,3965,848,597,1248,84,2450,821,0.190
5c7f7e96d886048c6ec2306bcc06970e8c3f5a42,354,696,19,1080,1,1,39,0.195
8843ce087704bcf6d6671b822d051ee05da342d9,8415,415,10206,449,2,22,4761,0.195
8d3b5d941a036f145ab0a5c4aaadbf692cecac09,-1,-1,-1,-1,-1,-1,-1,0.206
1924808aa40c26669747eeaac1a36d1f5a596be6,-1,-1,-1,-1,-1,-1,-1,0.212
4043325aa61912d83fcba0033c19f4302f205636,1221,73,488,72,0,0,150,0.215
33cb59a874573573c3b692497d0b1ea846c7e106,7601,156,834,219,0,0,31,0.217
27c2650ada83f9bf9754cc85028c55c52248cd51,7929,921,1424,1929,9,59991,2506,0.218
0584ccd31e5e641aaa26ad81220a5b09fe08e10b,5613,227,3684,150,1,0,488,0.218
1994152b9579af4c6931ad6232a4b78270421a96,-1,-1,-1,-1,-1,-1,-1,0.218
96263c0c6b5826423b63142d7be1d931f24be9ab,200,85,62,116,2,0,362,0.219
d2f040b789bbee222d81702bd7292fa6369aa303,-1,-1,-1,-1,-1,-1,-1,0.220
ecdae5ed167f842adb8e7b0e5f57f56641e1a4ed,9951,473,1681,122,6,1144,1350,0.222
9572f32aad4374e8562ee276528fb6ccfd990173,1480,134,573,135,0,0,51,0.223
0f86c3b95ba084d3e9575f28e00b61632b0b804f,10000,59,2504,55,4,44,15,0.224
135c4191cc06f7017e055aa2c932581cefe7f913,-1,-1,-1,-1,-1,-1,-1,0.224
4360a626bea0c1852a30c7ee75648aa0db23d4cc,327,26,21,24,1,0,9,0.231
91cc34355c75b8dd385abb781e34950d7ab7ae5a,-1,-1,-1,-1,-1,-1,-1,0.231
903ef764b5914366a14a79e08f5e2dacd1cbda81,3185,142,262,607,15,276,1018,0.237
f05311408b73fa32e9d6b648e117e4270adf8289,1550,84,435,95,0,0,199,0.251
ff399ea1ca93980b842d87c047546474d068b7f4,-1,-1,-1,-1,-1,-1,-1,0.255
93a59b38e36c93412cc7303db4e0921514f5fff7,9989,99,1300,86,7,114,1950,0.257
b693e2b23d8ce32454efc83868e642ae1d01b434,711,300,61,414,13,217,378,0.258
c1779c0fb614dbf9777f45556b12e08f43f41486,3246,137,1,250,4,311,1324,0.260
2befafb42e819d33488d6b64fe955d42e8bc0d2a,8862,148,44393,544,4,4,166,0.265
e231107c5316f3eb2df959cd2a0c094b327cfeec,8399,239,0,1204,5,521,347,0.271
645d0f6e8e3cb68bdf3b51dfbf7900adffdb4182,80,75,84,75,0,0,252,0.273
f61a7c51597e71c88df00b8fbd091ebcbdd538db,-1,-1,-1,-1,-1,-1,-1,0.278
8b6f87f40a75102e5dd2eb6480e9dd9dcfca2c69,-1,-1,-1,-1,-1,-1,-1,0.281
972752d91c4ef6618dec14e08c5c7e41db2c9a02,66,68,98,63,1,1,1368,0.286
9700172f90086f9a15e2507b13f1d0470c579934,1814,851,467,491,2,1,502,0.286
f3c4b41e92ecaffd3419c385a0431a4276019103,1540,137,69,1321,14,642,391,0.287
2ecb4ff8e59250809067ec2f222a16ca62cab2dd,33,125,124,196,2,0,9,0.288
e34b84e94bff4ba478f35dc8ed77dda5252b45d7,1857,248,284,115,0,0,51,0.288
6a59f0bd9b77ea0ff4ea0fd9e5757f635c4cedbc,139,207,3,55,1,1,27,0.289
de333e4e0cae31467e0c47ef1879cc8a1a57d0f5,3051,120,33,1095,0,0,745,0.291
623791adadeadc695b5a680a746765b8874565a4,437,531,14,642,2,8,31,0.292
9032e2dc1ea0afadbf58100fc06039c1ae95ab12,-1,-1,-1,-1,-1,-1,-1,0.292
3d4c5a87ad2bf810dc95da928ee119d4a2940e19,1907,135,108,124,6,1,30,0.299
ac551fe0963c862a36519f5649606b1b95154d9b,-1,-1,-1,-1,-1,-1,-1,0.302
f991b70f541ac484e8c3316d68cdcd148d8006a9,3457,56,8017,67,4,0,3402,0.306
3bb97f2a82365960603f0ac064dae0dc02c12733,-1,-1,-1,-1,-1,-1,-1,0.310
fd6c6cb80f5a4e27484ac7509fef3d452f800ef8,-1,-1,-1,-1,-1,-1,-1,0.312
e5b10a544de04e155448468731cd4416f5358859,507,0,217,153,0,0,601,0.312
0fd45cfef206a048a1597aae6fdc7fa7c624eefa,1135,1000,15,1457,4,150,378,0.316
6ec49296fc8fe481e6ec5dd09350c16f637f6de8,5815,140,5047,473,5,0,135,0.319
5cdfdcc426e4e4564236679711d0bebd4799d1ef,497,0,25,178,1,3,5,0.320
69f282e8bc14c9a5953c279a4c533343f519ac15,2735,22,742,35,1,0,34,0.332
28cab8a8d2018eec719037f33729ca0b51c91d70,1331,52,188,111,1,9,792,0.336
1e8ab04b226dc63dc262c946a323d1d8a215e6e6,438,202,43,228,8,55,718,0.337
a946305352ac753bd3a9fd85a3d4a574ec0eb607,373,5,40,4,1,0,324,0.338
44d646b65493ef7fd35c4db98c14074c61caa5db,127,0,19,60,0,0,13,0.339
7a16d38d4fa63895a92defbc7be5748eed828513,5302,96,338,3112,13,66,459,0.339
d680a5ec821936d4abd48015feaac826d973f7e5,4043,40,117,642,35,58183,534,0.339
d3f71eed83ecc2c693c88d9ab8d808807b5d467e,5726,609,1753,1553,3,25,1549,0.339
0aa5ed328dbf7587802b49503f7013e47447b951,1589,58,29,1037,6,172,568,0.342
b734541147efd8f5298145e399659299b31b51b6,0,5,13533,4,0,0,28,0.348
009806dc84dd3a409348441f08e57e75c34a5934,-1,-1,-1,-1,-1,-1,-1,0.352
71d69bf8d8390857ecc37428ac56f88b2b58faf7,-1,-1,-1,-1,-1,-1,-1,0.352
b81761d61f9604c24d4d91551c72ec53d983eb47,25,8,3,7,6,24,70,0.358
09dcb1423bfc4a1afe27a69e6b6434ba79efb3f3,1159,4,6318,8,4,324,2605,0.358
36895458f15441493b688693f65a64f701e04268,-1,-1,-1,-1,-1,-1,-1,0.358
d742eb153331fd5120f24a1109c5bb5342227b93,-1,-1,-1,-1,-1,-1,-1,0.359
81832b55f43274491ccf1cd06f4a777b25b7f64c,-1,-1,-1,-1,-1,-1,-1,0.359
b88b039d125bd31dd3679eede4a1111f122f9944,480,1000,211,615,2,17,333,0.364
c62de0c5fdd89c9fda020d9ff9b89a82593fe563,3566,408,192,104,0,0,522,0.366
c92f81befa960a212064bfbabdd5359f6ad7dd35,7061,121,1578,249,1,0,888,0.367
9dd9d9ded1d9d607be6d644824f5c7c106b60323,1579,236,322,281,0,0,19,0.368
cdfbf9b9803091984967224efcbdf0ebd58d88c7,11,9,1,0,1,1,414,0.369
070d3c350544b58d127c7eddd6224cc703b006e4,2454,58,373,650,1,1,12,0.371
b5b96d226810360744b7ef6c4d2ffc516c71f570,1359,35,50,35,2,1,4,0.373
134422ccc0050bea703d6e21464aeb27a2300a61,4957,493,0,30,16,182,434,0.377
033934674dc9535969983dfe4bf7888df0c4b8df,1330,148,107,119,0,0,58,0.380
74d304647b8add2a410295f229700773feabb45f,515,54,29339,51,0,0,2,0.380
35a004bb7846fb7439a99e553ad5b17da19a5226,8504,13,806,430,1,9,263,0.382
21bfd8d119827f7d28a669a6d25aff69e863694e,9367,0,12927,1,0,0,1,0.383
64839fc1d46ed6d7e8165bde0b8249e6f2e7ac16,459,45,65,58,0,0,893,0.385
487f1c8ab728a278d4825187d4b5f97a5238e0f0,-1,-1,-1,-1,-1,-1,-1,0.386
67f9f132a769a90c66919908eab16496d789dd57,980,153,46,39,1,31,43,0.386
0b0db3abb2c4282a7dbe8ffa81be20a1fef7e620,99,310,4,147,1,2,40,0.392
6efbd2feeb0bd5f3914a097c24f2a2bc3796dab2,17,24,13,8,3,1,62,0.392
43c397c8d41c9ace3ea4478fddf37a9442073c7b,-1,-1,-1,-1,-1,-1,-1,0.395
b48ce6b1a1e427d9cb3fd60633a144b27ca64260,-1,-1,-1,-1,-1,-1,-1,0.395
4e534abcbce8dabe8ac5ea0c5c6c918df82154af,8727,0,2219,30,0,0,13,0.396
c18ccf1cae33aac8bdcbd1f269e53c23a6079143,359,431,52,430,5,8,102,0.397
2117a18569828a193c1f7898974bdcdc28d4e81b,-1,-1,-1,-1,-1,-1,-1,0.402
ff60b3455542101d76cb6583f20b13af33a84ee1,2440,26,136,13,0,0,58,0.404
