id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
294f8cc30b8557b7b1a383e1b981890975e1eccd,309,109,66,105,0,0,188,0.004
a208b743082d187f713656e417e07d016af620aa,1823,194,145,355,3,92,823,0.020
2603917d0ac88454e11357d09d3ce6709d686ff3,3704,115,6547,107,0,0,3,0.022
7edb83488d0bb5e05f09ad70a2873d21303319a6,-1,-1,-1,-1,-1,-1,-1,0.033
329fc533001d23163e14d5af79047c6abca30d73,1224,35,545,44,0,0,19,0.035
a8343ab61de3a4a8ee35085f6db9ed6c167cc4c2,8292,79,2354,101,4,774,3648,0.037
8842c3746d877c7127739a92b68ef0cc4e7fcff3,-1,-1,-1,-1,-1,-1,-1,0.039
6622ac1d62040902b77153247fb59ca4a332b8f0,4875,42,260,43,132,1912,503,0.050
c367d98243c92d4e026a652f074fc334888eb941,7272,25,18,53,1,393,18676,0.059
1a97248368a22d5284e284212f693ecbdf688e09,49,13,7331,104,0,0,11,0.081
bd97f71be61767c61ab40c543aababfa787bfec1,723,70,757,64,0,0,26,0.086
20d68b74cb3c0cf8dd273e3a1e8837fcd38e52d6,332,85,2,16,0,0,1247,0.092
23269415b621f487b45ec9867e210c32b776cda6,550,48,23,592,1,0,25,0.092
43aaa71070af8f90dbf3aaf09119282d87d9559c,1542,132,298,270,3,2,950,0.100
bb33f69a1822d3e87443c68e740065c1cc7b1d05,599,196,509,110,6,5,468,0.104
99d6977029bed8f8ff6f7e30612711f0c6ec4c51,-1,-1,-1,-1,-1,-1,-1,0.108
43657ff281689a1b17330e7db521ed1968b577a5,2754,5,528,7,9,292,6,0.111
d03e5e37e20207020cb4559e323e85a727ec0318,9997,26,1687,27,1,28,111,0.115
e8759e9b9150923d58f4dc4ebb2f80cd6dd81d15,5267,26,2,25,4,97,16,0.136
19cffc0ff0aa5525bf1f5a0d31d8f6036e03383b,9149,649,1864,574,8,1199,1125,0.136
31ef2bfce14e6d5beed3a7b03adb42aa1fa4c3f8,5412,62,8268,63,2,16,700,0.154
ff1586a8b3afb0c2aea7820e1aa073842e8bae21,7330,401,93,588,1,5,110,0.198
f66123ee27cad63c13fb14a3f57bc727da260a78,2555,287,421,733,3,101,389,0.217
ecdae5ed167f842adb8e7b0e5f57f56641e1a4ed,9951,473,1681,122,6,1144,1350,0.222
0bdd4b0935adcafe785716723f249bc22a5e909b,1883,48,521,469,1,58,616,0.230
903ef764b5914366a14a79e08f5e2dacd1cbda81,3185,142,262,607,15,276,1018,0.237
5ec2096b9837935a6a7731fb0f97239eaf693b2c,4021,169,1050,439,0,0,470,0.240
3ad93d0b1cdcd2e399ef8a69879a0d8c1b47c88b,-1,-1,-1,-1,-1,-1,-1,0.241
f05311408b73fa32e9d6b648e117e4270adf8289,1550,84,435,95,0,0,199,0.251
c03a5e178605b0d56987e5aa65f3fe8545e1a9b6,-1,-1,-1,-1,-1,-1,-1,0.259
c8f3c7ef9b8bca257e31be12c4d53b21f989f905,4860,124,512,720,3,41,262,0.267
a7690396fb6e5d889084658162d763eeed7687fc,1172,1187,254,971,0,0,18,0.276
12e90ceff87d6dc2537e47995461c2939dc60c0b,-1,-1,-1,-1,-1,-1,-1,0.281
be4fe92279087d1679b770999a09c8e7d4ebccbc,-1,-1,-1,-1,-1,-1,-1,0.282
6f57e920876cf3077201196a9c00b4545eed5928,5515,48,1078,809,1,93,2274,0.291
5f716b630189738b3d6c61485e3b473a003244f4,-1,-1,-1,-1,-1,-1,-1,0.297
3d4c5a87ad2bf810dc95da928ee119d4a2940e19,1907,135,108,124,6,1,30,0.299
813846c753324e32623d7087f7373cfc0b28966a,-1,-1,-1,-1,-1,-1,-1,0.304
a6f92a714cbb137d8edb134253b8facf96a76244,4785,384,69,1042,4,30,1599,0.304
0cb2d898aeab886b9fc4d2fa2757f63107daef75,-1,-1,-1,-1,-1,-1,-1,0.317
f35e17046d35ca9149ce36fbd5db2ed7ff6fb1c5,1606,164,51,267,1,7,66,0.319
ca0df7f35cbcbd13af23aeb499a9cef438f09c6f,214,26,31,40,0,0,10,0.320
2ca217ea0d8165201297566e6fae60efc036cbec,-1,-1,-1,-1,-1,-1,-1,0.328
28cb04dbeeaf5e2af29a305dbed2383e7f13c42c,1308,104,2619,93,3,95,628,0.330
df370c93977b8075e504d11d59a69c33699e4f14,3898,199,464,1648,1,152,1729,0.334
41c931da4f3dec51b226336d7e1393d67128d9e1,9980,170,4559,55,3,50,196,0.336
89b017407a75e6fafa66b413339bbe412cb90ea4,275,0,20,102,0,0,17,0.347
b734541147efd8f5298145e399659299b31b51b6,0,5,13533,4,0,0,28,0.348
2f55473575bde294829a919489251fdf3fe89eec,-1,-1,-1,-1,-1,-1,-1,0.362
b34c17bcfe8aabc5a9f3bcb69e2645e329d00739,7055,193,16514,320,1,1,153,0.367
448286e8c27c0532ba9578f93a1df4276b5f75c4,198,15,40,60,0,0,19,0.377
033934674dc9535969983dfe4bf7888df0c4b8df,1330,148,107,119,0,0,58,0.380
0a364703c6dad8f0328c3493297c56acfb118f83,-1,-1,-1,-1,-1,-1,-1,0.383
de9202d75c97325c6f4e604c93117090ccb1edef,223,0,114,74,0,0,17,0.396
435abf015f0f3490b6757cfdd0eb59e75673555a,-1,-1,-1,-1,-1,-1,-1,0.400
5dc1ef0233413014378e122bc26c9118f8f57a04,294,86,389,96,1,0,1480,0.412
35135d58dd9da9b5f3ee3475318c4e47d2df0b1e,-1,-1,-1,-1,-1,-1,-1,0.412
2c8ee42fcc0c627a2bf0f228cd3f6a3884e366ab,1019,8,158,33,0,0,4,0.421
74e9f1820afd199e7a02b0c59fad31f7e38070a0,4010,89,176,99,0,0,442,0.428
a8a210d90669f48f93901f7e8bd0c16808c46f2d,9998,1000,4769,468,0,0,86,0.429
a7d3aac9c326f2d7e2fc9a17430588c943f03cf2,1157,4,128,509,0,0,14,0.453
7b264e38cbd5b89ac56bd3dca5208368079aebe5,-1,-1,-1,-1,-1,-1,-1,0.453
9bfcc1e092bb723184abb34749f9e6a0cb8ebf06,-1,-1,-1,-1,-1,-1,-1,0.459
13fe235f306c55a8333502401090238c0b97d54a,-1,-1,-1,-1,-1,-1,-1,0.464
67e2cc2972cf5be9d45867aeba7504edb4d04a12,-1,-1,-1,-1,-1,-1,-1,0.469
79821b0be3a3663b6278220cf8408663221ff8bf,4413,27,14863,9,3,44,773,0.475
41940b6731fd6dbce37e0410293a2e8580fe2a90,1009,17,62,22,1,0,8,0.478
2dc24c4bce0fb0359ecf12acf5e842654f0b7953,6070,37,7559,122,4,2,1112,0.494
c998601d382c2107fe0ccd9643de9a74ae43003d,2362,32,0,44,0,0,24,0.496
d43a8df3bc09736c75ea8b59c3669ebad076c05c,-1,-1,-1,-1,-1,-1,-1,0.500
63725d7a53204de1876752476bfe29c87a61db5e,-1,-1,-1,-1,-1,-1,-1,0.505
b66ddd657562f83318d4e4f076be744fecc5e77b,-1,-1,-1,-1,-1,-1,-1,0.520
9fbbb593d7bd2ef9de31c656a64b10e189fa0573,3780,5,0,5,0,0,674,0.521
a1999f8c21504b7761466438ce852b352acc76e4,-1,-1,-1,-1,-1,-1,-1,0.525
1bad7f02adccc33e0b171df00b8f9d5c18e77a68,1044,57,33,400,18,410,317,0.526
125a6f93f4348ba35aa40b1e24afe19355783f46,-1,-1,-1,-1,-1,-1,-1,0.526
af2024868b60f450fdfd92ebdf499f3f0cd39374,-1,-1,-1,-1,-1,-1,-1,0.531
d0e347a541a07bbbc853b6a1c37ea649278a3a8f,-1,-1,-1,-1,-1,-1,-1,0.533
05bd92267d2bb0aea12326d44f91018526fdcac9,-1,-1,-1,-1,-1,-1,-1,0.540
8ea14074c6eff48307cfb10d76850f588ed2eb1c,5687,0,0,19,0,0,1,0.546
b0082f93935c9cd9f8c826b2cec309e9b1c7dc91,698,37,427,44,0,0,9,0.548
e5986c972c9f8e59495338e90e9a0bfe9e7cb064,1086,178,98,130,0,0,43,0.559
b2af2739cc7e279b38ef2eef0b65ec95d37ba916,344,0,21,70,0,0,550,0.562
