id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
908eb4be7a3ec057646881ce2f2465988035e7f2,8376,1952,1004,1863,1,1,76,0.000
a70de07d14ec9884101395e4895dbff3accd7263,77,67,91,58,1,6,15,0.001
3b3509ac2379104ceacfcd9b889f30449a562b41,-1,-1,-1,-1,-1,-1,-1,0.002
c74fe0c6c282a7646258bf6191aea222c6d99556,-1,-1,-1,-1,-1,-1,-1,0.008
c1211683c17b78077db4d96df60451c5e95d89ec,-1,-1,-1,-1,-1,-1,-1,0.008
95c4d23ffd399c792700c2b1688c911cff4a5355,218,0,146,2,0,0,6,0.010
5f7c5b042c73087357cedeab7ddb9df48b05b0dc,918,701,600,746,0,0,6630,0.015
5200fcbd4728a8270a61bc702b21d34a7efa03fe,2793,14,0,29,0,0,240,0.016
b33908df3333309c26ef2af32cd5f03c3c829018,755,89,991,116,0,0,524,0.016
e730c279bf364975b39bf218929390dbbca841c8,994,182,57,136,1,10,321,0.020
dd9230fbaa11fc2c838e6295c6ab55596319bcc0,4956,24,2178,24,1,43,7,0.021
69be65362ff8f1cb6e42a608beb935eb256e12c5,139,0,2,2,0,0,12,0.022
bf82d465a138d9e4770d447b784817f85665f352,3460,947,521,675,8,2,174,0.025
b590bade7dd94be1c226b574e40910c2eb6daa4b,1325,192,319,225,1,2,640,0.025
a8c655fdf70ecb4112c3c1f38d8fc2f675088ef4,-1,-1,-1,-1,-1,-1,-1,0.026
45cd44b727a455596716083eff210807740ebbe2,1748,128,34,163,1,9,156,0.031
36e10ca44c754a0b9f24e4bd01d1c04d32805b09,4220,165,5098,33,7,47,1454,0.048
50cd2890a23d4945ce743532f7135a3df9e172f3,5081,46,291,158,0,0,2281,0.051
4c4379af650f59c65e5a2545b752259108002e34,-1,-1,-1,-1,-1,-1,-1,0.058
3addb033160ffecb695d08e87ad45065c0ce9fe8,1392,125,362,73,8,28,1,0.058
0edd8f0f771d4013dba551ccdd2427c327532ff0,8988,1000,789,1853,3,18,2297,0.059
4d238d28c54e20c4fadf0076c207e40c19dccb9e,2409,75,307,72,10,511,1523,0.062
5f6559f85274db609ac3a44aa75bcc8f865c3ae1,1415,335,67,327,1,0,99,0.065
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4502,19,5,21,2,0,36,0.066
31d8d456f34864728e0fab6093e65b2ad2b836db,-1,-1,-1,-1,-1,-1,-1,0.068
88bf4eae7b909104743a2d5a1308554e96b1f54a,985,225,81,146,1,10,331,0.071
8f1bc4ab589181e27a1826088e075a5dcb7914f5,986,80,68,145,1,11,251,0.071
a497cb238f223b1b3f2f5a47b941f5512a53981b,6035,46,671,157,37,955,4225,0.077
a14e628963ab62888e4d30308005dc3a2efb53f5,9590,26,3015,25,6,60,1072,0.078
d2d443bbf166c31e111da53398497c7c0402fe2c,4574,1000,282,936,6,73,1653,0.082
04e3195d8fcdf868244eb588bd8d36a186354b24,1140,3,26307,3,0,0,2,0.084
f0037822b982c7c7791bd9a9e8183be346bc2fce,10000,112,1443,96,0,0,16,0.089
3ef138a2e00ad7470490dcbb29afcbbdff8b6ffc,-1,-1,-1,-1,-1,-1,-1,0.094
ff1bd9dd8c5cf5277bc2c52b6b63b9bc8acc3fa1,2865,112,517,168,0,0,11,0.094
563de7ea01e2283d5985a029eca9f2478d1b9d98,4602,1000,2,1333,3,4,107,0.098
c35036573b9c542178b47b98a7242df8dbc22321,5823,1000,4,1577,1,10,85,0.098
443e8c6e66d0dd45befe048fbcb1d9490db81d4c,-1,-1,-1,-1,-1,-1,-1,0.099
5e583c70ec42d9f259c63c96fef4c6e357f5a16c,8999,1,1737,574,0,0,25,0.110
7637ed08cf000fefdc084b1dc809531231818520,4394,1000,211,981,5,81,1022,0.110
009f5b2412891ed1969ec3c4ed280ddf65c72d94,625,1000,0,1130,0,0,331,0.112
574b7f05a90d00e137215dc04b19184cea234ec6,1501,73,132,89,1,1,348,0.114
689e0ff29c80c110e52083840b584f83e5e23e2f,-1,-1,-1,-1,-1,-1,-1,0.118
ae8e08444c0f93483cc16e4da9c04d1d7559269a,-1,-1,-1,-1,-1,-1,-1,0.120
edb00c4bf1a8fc94eb538905298493ebcd44373d,9820,70,1361,81,1,31,136,0.121
f77582fcddf9f3e353366aaef60c6f14c8601505,2971,1000,1,397,1,6,469,0.127
fc7d7cd62ee05b00565a1e0464c43dd44b678f5b,249,0,360,0,0,0,135,0.127
5210bd0060f792abc1c76be271157bcfef82363a,2164,11,289,166,10,100,34,0.127
de24a6e285c347f34e964c136cafa395a1671fd1,126,2,3,19,0,0,598,0.128
b5c277fa953948fca624ad050f04440143fca342,540,1000,489,750,1,15,650,0.131
b6eeeb1f99b0f032498e837744fbe804d8039655,2031,76,1565,209,0,0,66,0.131
34dd053d9a064c7f4a6b11d2b91b9ffebe50eab4,1432,50,643,46,2,16,7340,0.132
f5792198bd5a9b750cdaa1d1e3cc9a5c8e1fda40,245,2,305,1,0,0,149,0.138
21aee9f5a58831225fd3d697fc8ab1b715fa3acf,280,16,0,16,0,0,13,0.139
05afee6f155e2d864bdd24e0a6832c13ef4bcaa4,668,341,78,332,1,0,924,0.147
cb8628db5ba4a4fbe08a67145e9e826d1a963448,1403,3,3488,3,0,0,3,0.152
02783ffa8cb1cbbcc18c3ab84f41fa9ec4fdf7fb,340,0,289,14,0,0,46,0.153
dcc6542bc8b4d0a9af89e1fa6dc41fc3796e5381,316,0,238,1,3,64,62,0.158
d552ac7480848dbfcc98973d83bfd08259facad1,2767,106,269,247,0,0,5711,0.166
0699f50bd579f71c8656dd4772c70953c85a576c,781,624,19,454,6,7,1125,0.166
39f6de6a08b4f6a1033af0a8b9271337b5cfcf3a,-1,-1,-1,-1,-1,-1,-1,0.168
45613e24eca3574c43127a756ce01413955192b9,2548,105,133,316,1,0,1284,0.171
4ae71fe4891aa8e5c7a846787bde95a50f3a7164,1212,132,817,150,0,0,439,0.175
b3925fc7542203ff92ef41749ffa62bad6e84869,-1,-1,-1,-1,-1,-1,-1,0.177
e759af713bfe959f1ebaf6ea3f4908069829eada,9693,40,3195,13,5,4037,2095,0.180
f3a5d6b3c6f7421711d9c2e453ed11e9780835d2,1387,579,7460,571,0,0,235,0.188
48939aabdd98075d9bb28bf24eca5e06b1a32eb8,-1,-1,-1,-1,-1,-1,-1,0.202
59d4ac770d33a6b60478d17864e153bf1986055d,-1,-1,-1,-1,-1,-1,-1,0.203
5f8546bd5ae62d8ff69facbd1130d463f441e3e9,256,2,134,1,1,5,150,0.209
74f263b0ec69b6d212a1d70c963fd4fd2beeff84,118,7,6,17,0,0,563,0.209
079e1ab1fb1ea802d08b8a13e61e4a5b851c2ed9,-1,-1,-1,-1,-1,-1,-1,0.209
5d011efdc89dd47a3037b7505b059eefa8b18654,-1,-1,-1,-1,-1,-1,-1,0.210
