id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
710b522ae1cfe44ec14ebcccd3d50c759a314c9f,9349,-2,92,24,2,12,81,0.000
d64b4ddbd4d4af3740644e0d21c560053233829b,8046,148,788,1523,1,8,5615,0.002
eaddf7d8a95e0ba6880c0954359976eb098bb81a,-1,-1,-1,-1,-1,-1,-1,0.017
46858c9ac3eb0d9253f93f8115f32d165123dc93,6122,33,2250,2306,1,4,35,0.022
ff1f426bb18c91c37e7846de57212c9bf5fcc37b,7034,9,422,8,1,0,768,0.022
e0a5cd3b33dc12f78d24524f03dfa982e89cd783,-1,-1,-1,-1,-1,-1,-1,0.032
24205d08851f26a4d0b5e9ca1ab8e6881a40006d,9424,622,953,581,1,0,10269,0.035
4d025c73c7b5a943dde946767b7865e44fe9cac2,7612,680,467,400,8,2312,17095,0.051
b68bf82bdad92fbc87ae8589c1d6e737721e96fa,-1,-1,-1,-1,-1,-1,-1,0.052
e4c088e309b862ef6073782dc7950f469d6e0d74,-1,-1,-1,-1,-1,-1,-1,0.057
d3534fad3938b87cdcfabc920f5aac13ab6ea6a9,1717,573,137,1370,1,15,113,0.057
de11242c9e7e133c1fcd62ac1aaf325c98895fae,3474,19,94,1823,1,39,6,0.065
cadb5ce39d56c92667586b8126a29692eaed7f0c,6982,84,290,95,0,0,1866,0.068
54eac86e59e976219be38775ef83769a61464e2b,2756,1213,934,1117,1,0,988,0.079
ead1d45b4be9b36cdc655707f1a82cf87bacab92,6855,94,48,1477,3,16,383,0.088
347d95510d2f8d0942ece79aa3f214f1b3dcc3ba,-1,-1,-1,-1,-1,-1,-1,0.089
8c5e84fe92db2f16f4f9975990a91bcc1ea34f78,6839,17,0,1611,0,0,1,0.109
0dd56adeafbf9b8a4dbddd772712599585264292,3906,39,1395,181,0,0,1,0.117
5084a549779c48d5d9d54982261d81bc0a3aa72b,9757,1007,2026,882,13,93,637,0.122
b2530c285129e429f7f57f7d8354b686a361f797,7852,6,0,8,0,0,29,0.147
070fd579b18e3f019467b5da34de4e3d720dfeac,-1,-1,-1,-1,-1,-1,-1,0.184
