id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a01c2a1a2c319cabcf7fa10a0cfe8986e78a7905,-1,-1,-1,-1,-1,-1,-1,0.013
4818672cecaf59182af507b431098b474195c839,-1,-1,-1,-1,-1,-1,-1,0.017
0e4adac3b8906c9f7d36e6ca2d4a2b6894e54c94,2993,41,5,41,0,0,0,0.035
474b9d817da40b81d69119581662d9c752c0371b,8487,-2,18772,230,1,48,11647,0.050
50cd2890a23d4945ce743532f7135a3df9e172f3,5081,46,291,158,0,0,2281,0.051
dc9a301ca760fbf0752afabd254e15c0be1f102f,209,1,0,0,0,0,21,0.055
b593dc3e736df43b1947fe0b42dbaf7a621e2a4b,5970,156,2,1374,2,10,2495,0.066
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5839,11,5846,113,2,0,551,0.081
9df4f3b49b04ba09b55a50b70d58741cfa4e8e00,387,1000,92,481,3,7,153,0.098
c977cd37ab67b57f10b6d12bc7a5011c3506e6f3,6414,266,966,391,2,87,1787,0.116
1d14749006b7f5a014a8ca0aa327f0a4ea875778,320,829,50,493,9,86,308,0.142
26c542b40e3d675f75d5985ec3684d181705353e,262,31,125,41,0,0,21,0.184
ab24ae9e50dfc17783f818040ca397eb2e2f0849,191,1000,95,666,0,0,28,0.198
4b4138b825c057e1951e4b367f4d31b0e0b2e4b6,1570,65,243,75,0,0,28,0.216
89abc71c834a56dd19b4a59f38e138f830e5a7de,-1,-1,-1,-1,-1,-1,-1,0.217
3ad92ae1461c7480236968c33a5bebe16d2441de,1577,71,155,132,1,9,3530,0.218
1edc362ef946a270e8532acfc6889b0fdfcb6729,-1,-1,-1,-1,-1,-1,-1,0.226
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4974,0,3745,2,2,5,234,0.230
6b2955f5daca87e3cae6ed0ffc547a6ad348c987,-1,-1,-1,-1,-1,-1,-1,0.240
8f4ee18c372f6554bdfe32aade9f74abd5ec88b5,-1,-1,-1,-1,-1,-1,-1,0.244
a01614c9bdd9055d38ba3c2e516c8abcccd8e358,-1,-1,-1,-1,-1,-1,-1,0.245
7a18c95a12381731a0ad29497bf3be93837f72c7,1765,102,1687,98,0,0,2,0.245
6bbc21666c565d6936c67644e84837856b5d6298,212,1,3,1,0,0,16,0.256
bd069595ddbc47272e75034391554e31500ddc98,549,778,803,734,8,197,1946,0.267
02dfbd9de3c2360db46ee684d7c4656ec74bd747,204,43,154,88,1,15,49,0.269
