id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0fc3a8341406dbd9852d1bb6b922182f7b6c6f66,815,25,301,77,23,531,2849,0.012
1ac973d7c41f2988374d601ad878f5e029096aa1,521,785,187,906,6,29,182,0.015
bf82d465a138d9e4770d447b784817f85665f352,3460,947,521,675,8,2,174,0.025
75f2b415947ad6a12b5c642414ac2a09cea699e6,4929,89,8,274,11,560,992,0.038
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,9094,5,23728,4,0,0,92,0.041
dd2b2ef5c6e74f85537280d7f7911c0a9c0ffba8,5223,185,7048,192,1,10,637,0.052
114bfd704f6413738aa9245c5590a8256db35bcc,27,0,33,0,1,2,5,0.082
c106e9bc12fce0492cf151dc82db0a0af6200c04,9030,122,1199,89,1,0,35,0.152
e7dd280efd5d441da353c4fe3a93ab70828a6aaf,8319,25,4226,160,3,23,243,0.233
6b2955f5daca87e3cae6ed0ffc547a6ad348c987,-1,-1,-1,-1,-1,-1,-1,0.240
7a18c95a12381731a0ad29497bf3be93837f72c7,1765,102,1687,98,0,0,2,0.245
53cbe97b0668072ad6a4bcaff59b27f24871c04c,6361,89,9885,77,0,0,8,0.253
3d44a80c8a51852d4ce9c4917bb5f666ffea9548,3049,1000,728,2119,3,1,2462,0.255
24ede98c71a91a0176c02d4e4af89f0de53ffcc2,-1,-1,-1,-1,-1,-1,-1,0.289
aeb1df642588c0d992c7917e1c65986c1faa65a4,2281,231,2061,561,2,13,154,0.295
6767d3fa7e44792923d0e099dd84070844c904aa,-1,-1,-1,-1,-1,-1,-1,0.306
ae64301cd087bd6fe2d45515fd162b7b6c5d21c7,7799,129,15586,79,0,0,13,0.320
d98b00109e4eec01278ae85e217b1f1d7db8f702,-1,-1,-1,-1,-1,-1,-1,0.320
98ce4b4c6ce1adbcad71a457db6039f3c0c72c90,8075,0,6526,0,1,5,44,0.341
1237b6792fdc29eb66ae603e987ce7c2584d09e5,-1,-1,-1,-1,-1,-1,-1,0.366
d01e498a0ec5ee54af264db865d345ab05bc26f9,-1,-1,-1,-1,-1,-1,-1,0.374
0c275752937b21ed67d87c018b573cc2000dba92,5925,311,1543,308,6,51,2757,0.374
6b592de37c096eca72740e0f976d0aab992c0953,-1,-1,-1,-1,-1,-1,-1,0.400
4b74541e45133d9fc0877b623e37fb517610d853,500,7,122,14,1,0,37,0.421
a12e0278bc078b5c1a5ad28e90542178073ce840,7975,5,967,0,0,0,34,0.445
e4c0b531acd69298c73a4a41116b83902203ca2d,7688,192,28732,198,0,0,22,0.458
272a0d744b533a059aba33f399dd9b34c70d17d4,2359,1000,150,1127,5,308,325,0.458
5c35080a8e60da3ba06ca5d16723778daa7b14cb,-1,-1,-1,-1,-1,-1,-1,0.467
5324767b462b435d0be44628f21c92f4e5f5bb0d,-1,-1,-1,-1,-1,-1,-1,0.472
a9827a99da055eaf446741fcfcf1c15b6ad6b00b,2961,61,8138,56,1,5,40,0.477
664562ea4d84f657645b6605b1647a05faaccf76,-1,-1,-1,-1,-1,-1,-1,0.510
d5baf3a841ab2d3fe216edf64cbe56e2e8b06b2c,4398,31,146,150,17,849,75,0.541
1fbc99c2ca2b908485420d5fff4a1d527838a6b2,-1,-1,-1,-1,-1,-1,-1,0.547
03f7577f5bbbdbcbf1cf4654b5f9b1895593c706,-1,-1,-1,-1,-1,-1,-1,0.559
1c5b9a6bc500006c02b1da780bd78a0ca39eb54e,2090,1,0,1,0,0,0,0.575
e4cbf1814f5675d113755d3dc404071af35dba45,222,53,164,59,0,0,26,0.582
ada5a379c45c727315268e74a6ac73621796b8a5,200,865,456,833,3,0,179,0.610
60b6aade9a2c09331e2feea7afb19165b8a885af,-1,-1,-1,-1,-1,-1,-1,0.617
e6146172888a711109d8b9e77df0fbdcc59cc9e0,286,72,20,110,5,6,3,0.622
85d63ca4be6b7f2bd8128f515f651b4937b54c78,2565,6,1487,61,4,2,36,0.629
53fe5d71dc18a122a7c0c56050ba5aa919eb7d25,9101,3,2205,487,0,0,8,0.634
c21a8218c2cf0231680f99fba2bd87eae621cb27,643,1000,0,747,0,0,318,0.657
3d3c5701b10eae70e681c3a6468ffd3a14a29303,786,16,101,64,0,0,8,0.663
bf3bf7d90040beb9fc713d197a231bdf9749a7ec,6631,20,247,13,7,3,190,0.664
3346983a2473bb450902320d0e22b46974463607,1241,115,12,103,0,0,129,0.667
7f075aad7ecb6fa45b9db162b0dab82e2ee4f784,1305,2,1305,2,0,0,5,0.676
c58f3815962e1af024c7ce338d842911ea21cce2,5000,325,1647,430,3,6943,32,0.682
3f6aa0d8c3ea0fb8f21e4d1b5fc5314e50b96664,2542,1,1777,499,0,0,54,0.685
b0026be229f833e700c16e76094818a588e01199,1872,187,6348,195,0,0,1,0.689
09ac427c15ffb580704a6cc6a6dab45443c21396,520,36,132,20,0,0,414,0.690
89b9ac00dc9a6f7052caaa53c59873a7a33faad5,5776,140,1158,515,1,133,750,0.702
fe234df79f09407b42395c2fa2342969a787a712,-1,-1,-1,-1,-1,-1,-1,0.703
bdc889194951cad19681b49a2c89e088fce3eadf,-1,-1,-1,-1,-1,-1,-1,0.706
7ce5ef0fa4eac804f1898fb5f433eedf94c0b3c2,472,114,197,113,0,0,246,0.708
3195e5422c736fd94760c812a0561aa416172082,1882,402,47171,345,10,99891,0,0.723
bf029c37a5aa78ee1a02ce2ef10658aecc991300,80,231,26,239,0,0,68,0.735
69e3bec2f5d1014e0880cdbb86062492a2fa17d7,9979,35,6983,32,0,0,2,0.739
de1aa777d07aa1e80a443557593ca22986dca6e5,2875,3,400,31,0,0,1,0.740
b28bffc056825645ef5a750fa79059984e5568b9,281,115,32,103,3,3,139,0.751
7277204a5cc00527411302149450edfc25715478,103,84,1622,125,1,0,7,0.766
15bbff55829c38f1d8983e1ae3e204e58895dd78,75,0,39,6,0,0,5,0.773
5c5c2a522ddcf474fce364f9abf82882039f7a25,927,4,12,88,2,0,207,0.777
ffa2cc157b72f0d1e6e22ff6ebed6ae6fbcdf6c0,390,17,94,22,0,0,37,0.787
490d864d670a44989b4d97acc2416d6efaaa379d,-1,-1,-1,-1,-1,-1,-1,0.791
9f993523e619ffda492bab522adbbb045c0351af,115,27,38,53,3,54,59,0.797
467d9ed48ab012a463bbd08b16c394227833c3b1,1219,15,3,22,3,1,6,0.800
3f99ce2a0cf52e1b7c452b0651a1b260ddcd6de4,3126,339,6031,756,0,0,248,0.803
6c2d53fb57bb9bdad81f50ff46b0344562a939e8,4367,29,2302,54,0,0,541,0.829
b021de9ded9b853370a52376b7b64bf9b5902b83,3580,24,1007,27,0,0,0,0.829
b0c00da35a1e0c0ec8b641f237ef4f00dcbf6e00,-1,-1,-1,-1,-1,-1,-1,0.836
3adeef61cf118a42c6b36b4274cb821d53bed65d,7832,447,9984,431,0,0,2,0.845
b59a625af9b05c1c1f9fc0caa31d85a2cc3cf283,3767,25,327,102,0,0,15,0.849
9598be04bb0aa55451050b8ca25630ee0b137414,72,3,2683,2,1,0,2,0.861
52535ee1c3cc755d0e2e4111ca5bef59faf8872f,2594,58,1041,57,5,0,122,0.862
d5bedd868aaadf9d0d9c9c6c38839842f7c6eaf9,183,31,0,2,0,0,2,0.865
a0b0cf6e213bd1bacaf1fc6ff10d77265afcb7e6,1943,82,333,486,1,0,1104,0.865
9d29f3f47ccf74acb56766242e109dd4764eeeef,-1,-1,-1,-1,-1,-1,-1,0.866
dc5c2e873d8de658c0c89133913dee3465aa4eae,-1,-1,-1,-1,-1,-1,-1,0.868
e5db1f723a78872dd0182d66001196e3bee02044,6885,8,8814,8,0,0,67,0.869
affb50b398a9df53276911b09b3f3052b718d877,49,242,1135,225,0,0,14,0.870
6db569b9016298f78e5fb71253f210ecf6ec3364,67,654,51,426,0,0,79,0.871
975c72c6e01e28c523ced92798819566032ee07c,497,13,67,70,0,0,28,0.874
6b9d8f6b986522578c36721feb17418289fde6ab,-1,-1,-1,-1,-1,-1,-1,0.874
a0b148d66e333b1f76166eed74ef2d736a2c6c8b,498,14,45,79,0,0,47,0.875
c060353b2fbe3b460a20adcc7caa7e06fd6d0946,14,85,13,80,0,0,1,0.879
48b1e7191711438c5bed6c66ca6c0f9cbefe5c76,-1,-1,-1,-1,-1,-1,-1,0.880
f61ebac6ae3d34899fe05a4783e21a230c546e6c,3193,6,71,44,1,23,37,0.881
d6daebe1e8afc7af0d57db186663d73b48a73a7d,1469,1000,72,1513,0,0,266,0.885
57735066a620ba72bfe6ae8c69e6de11ab848218,-1,-1,-1,-1,-1,-1,-1,0.886
