id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3b3509ac2379104ceacfcd9b889f30449a562b41,-1,-1,-1,-1,-1,-1,-1,0.002
0fc3a8341406dbd9852d1bb6b922182f7b6c6f66,815,25,301,77,23,531,2849,0.012
a8343ab61de3a4a8ee35085f6db9ed6c167cc4c2,8292,79,2354,101,4,774,3647,0.037
8bf93ca75d6682ba3afa24de5176624233b95c98,2904,11,51,178,1,3,15,0.044
6cf64d88efba213a381c7102ebffe775dbe7e745,2299,265,474,453,3,9,518,0.053
5f0dcbff30d506ade35eb6d7e4584c3c52e78a26,178,39,18,82,5,40,39,0.079
83228dca88f34c0271c8906101c767e116f9aa14,2927,55,1084,615,8,26,1039,0.081
ec5561a898824a70f0ae95638847615516dc421f,6568,44,522,1313,1,1,148,0.087
51900c447c842f35331df5e46d5e76dc2c783439,7664,47,8,46,0,0,14,0.108
f686276f10a0458a283abe016442d5d1762e41e3,2531,130,147,388,0,0,373,0.153
c955c599542ed0f2078fc66c4fa55d047b20f3ec,9995,294,350,267,2,5,45,0.204
662b0a9bc43175c9683bc7c2ff32f68adde423ef,3816,71,81,168,4,112,706,0.223
7497345953ca3bbcb647f8cc847bb146b47b6f67,6632,323,1373,484,1,7295,26,0.252
711f30bcc1d8b8240bf77308145a305953bad0d2,6189,68,104,331,0,0,77,0.301
f249818d62e146cf13ef1b296ca3b50fdd3df036,6286,76,1929,77,0,0,12394,0.306
04785c78e54eefe081f1100cfccd07c4a244bf18,547,62,405,103,1,1,18,0.318
9f7cf22a7151b15746e8d0ba447cef8ab57de0f7,-1,-1,-1,-1,-1,-1,-1,0.329
9cc5fa17fc6708fd0c4afd895d58da23a36ff090,582,74,209,58,0,0,1,0.377
9f8791dce147204ed74275b2666ba51759c34780,-1,-1,-1,-1,-1,-1,-1,0.381
4546d20741e368e4cdba160058fab75303bf3575,-1,-1,-1,-1,-1,-1,-1,0.385
de2771a55fac0201da7f2068298daba63ed9ffe3,4732,104,21,281,1,0,805,0.401
deb4a36af80446f7eb5ecf7ed29b8a71e421cff0,959,42,13,197,1,0,213,0.402
126cfa4a78ba5fb8dbb6ec6e0a82262c05fa34ee,-1,60,688,61,0,0,88,0.402
5744f993cfc0d6f8070664c33492597458c7cd93,4235,12,47,14,1,0,263,0.454
55e377293bf8a4028d6af21488fbbfdf630c7bf7,601,68,1,79,1,0,4,0.456
e8c7f52f43e425380cc9134c7fdf072ea1836f83,-1,-1,-1,-1,-1,-1,-1,0.460
6f0c3d2f5e24574ce030005aa11cfe936e9e1810,9879,115,1887,106,1,18,256,0.474
6a95d3dd00f65847192032a988aec17bc5f5ae6b,389,100,4,224,0,0,36,0.504
269367c5d85ceeace472828489ce04daebb23876,1215,14,14054,16,4,0,1,0.505
00382fe91f179e13da09189db05b46b3d3e16496,-1,-1,-1,-1,-1,-1,-1,0.517
7e425e5850c5e0573b1d58a6a0f19c121ac02f4e,2390,47,804,121,14,140005,35,0.536
3b22b5765f54d894acd1a4fc846efe9fd7fff6cc,775,394,88,264,1,6,90,0.539
4598b83dec97f1ffec129a4d0e8edcd59ac703c8,-1,-1,-1,-1,-1,-1,-1,0.544
30d152c0f639e66c7064966c55a5f5bb08dc8169,1078,197,736,349,2,0,0,0.544
6ae4e73f2b60fb4468457e8b473551702227ef54,6230,27,5421,36,1,23,2232,0.575
fefa2676f55ce6ca85cf87597e8f50698cd49f05,107,2,11,2,0,0,4,0.586
da973b976a8f7c2434cd36e4acf2e74137cebd6f,202,153,65,120,0,0,239,0.586
1663682b16c6bb65a6300273c4cb2dc16e5137fe,5543,134,1,126,0,0,29,0.587
23830a5658af5757c827c8aefee372293464e685,5907,35,28,244,0,0,7,0.612
88eec54234ef20516a7b7e662f9726cde5a3da9c,6463,989,219,699,2,0,11,0.615
38875c45f39963db41603fe1597aa138eceaea8a,1331,346,293,369,0,0,471,0.616
8f676f4944d46016a950872aeb03c3a892ce1e26,2969,83,12996,450,0,0,1,0.616
f754264bcd1a03ec9deced6972bf3bfeb226f531,1902,599,555,589,1,1,656,0.619
16927cad693c8b9a8279ed95293acb6d7561a834,4494,13,107,965,0,0,4,0.624
8a1a8da6b6848a59b0f8869ddd26c7cc7d3acf31,271,8,270,9,2,11,10,0.628
fd8cb53fd31fab1a13ef5889c0ccb1ec735c9f4a,4190,257,135,251,1,18,626,0.652
85fba9e3aea29cf31846585eb99234e18ef3b2ab,-1,-1,-1,-1,-1,-1,-1,0.657
f58366de6d9a4de06a70e202e326b497bcc4e23f,1743,0,39,525,0,0,41,0.692
a3aa1363cdc7768004c7fb40ea94d7a7652eee74,4830,3,89,978,0,0,1,0.695
89b9ac00dc9a6f7052caaa53c59873a7a33faad5,5776,140,1158,515,1,133,750,0.702
de1aa777d07aa1e80a443557593ca22986dca6e5,2867,3,400,27,0,0,1,0.740
f52e58156e78929476a9bfcd11c06b494c02ce71,8147,31,0,258,122,0,1,0.756
5dee761412fbbb361de63623d7606b09d551bf4c,1504,0,37,416,1,16,12,0.761
09884f2293c3b120c2f498a3b1319b5828889fe0,-1,1352,399,1253,10,0,1,0.765
